,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526442402895,-200,-200,-200,-79,-92,-200,-74,-77,-200,-200,-200,-200,-200
1526442403013,-200,-89,-200,-78,-86,-200,-75,-75,-200,-200,-200,-200,-200
1526442407551,-200,-81,-200,-71,-85,-200,-73,-65,-200,-200,-200,-200,-200
1526442407664,-200,-81,-200,-71,-85,-200,-73,-67,-200,-200,-200,-200,-200
1526442407819,-200,-82,-200,-72,-83,-200,-200,-66,-200,-200,-200,-200,-200
1526442407928,-200,-81,-200,-73,-81,-200,-72,-65,-200,-200,-200,-200,-200
1526442408030,-200,-80,-200,-70,-81,-200,-72,-66,-200,-200,-200,-200,-200
1526442412564,-200,-85,-200,-73,-78,-95,-68,-67,-200,-200,-200,-200,-200
1526442412663,-200,-85,-200,-72,-78,-200,-68,-67,-200,-200,-200,-200,-200
1526442412776,-200,-86,-200,-76,-200,-200,-69,-66,-200,-200,-200,-200,-200
1526442412936,-200,-87,-200,-76,-76,-200,-66,-65,-200,-200,-200,-200,-200
1526442413039,-97,-88,-200,-78,-76,-200,-68,-65,-200,-200,-200,-200,-200
