,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526442447576,-200,-86,-82,-70,-82,-200,-200,-95,-200,-200,-200
1526442447707,-200,-200,-83,-70,-83,-200,-200,-94,-200,-200,-200
1526442447807,-200,-87,-84,-71,-200,-200,-200,-200,-200,-200,-200
1526442447918,-200,-85,-85,-71,-85,-200,-200,-94,-200,-200,-200
1526442448018,-200,-68,-84,-70,-83,-200,-81,-200,-200,-200,-200
1526442452639,-200,-69,-74,-69,-200,-200,-81,-90,-200,-200,-200
1526442452741,-200,-69,-73,-69,-200,-200,-81,-200,-200,-200,-200
1526442452848,-200,-70,-73,-70,-200,-200,-80,-90,-200,-200,-200
1526442452949,-200,-70,-72,-69,-200,-200,-80,-93,-200,-200,-200
1526442453059,-200,-70,-72,-70,-200,-200,-200,-200,-200,-200,-200
1526442457537,-93,-200,-72,-67,-81,-95,-200,-93,-200,-200,-200
1526442457634,-200,-200,-72,-67,-81,-200,-83,-200,-200,-200,-200
1526442457736,-93,-71,-72,-67,-82,-96,-81,-200,-200,-200,-95
1526442457841,-200,-70,-72,-65,-81,-94,-81,-200,-200,-200,-200
1526442457935,-200,-71,-72,-65,-81,-200,-81,-200,-200,-200,-200
1526442458045,-200,-200,-80,-66,-81,-96,-81,-95,-92,-200,-200
1526442462584,-200,-89,-81,-72,-200,-200,-200,-200,-200,-200,-200
1526442462692,-200,-200,-82,-71,-200,-200,-90,-200,-200,-200,-200
1526442462820,-200,-82,-84,-70,-200,-200,-89,-200,-200,-200,-200
1526442462921,-200,-200,-81,-69,-87,-200,-90,-94,-200,-200,-200
1526442463033,-200,-200,-80,-200,-87,-200,-90,-93,-200,-200,-200
1526442467557,-200,-72,-74,-68,-81,-200,-83,-94,-200,-200,-200
1526442467645,-200,-73,-73,-69,-82,-200,-83,-200,-200,-200,-200
1526442467750,-200,-71,-74,-69,-83,-200,-83,-200,-200,-200,-200
1526442467865,-200,-200,-74,-68,-83,-200,-83,-200,-200,-200,-200
1526442467963,-200,-200,-200,-68,-82,-200,-84,-200,-200,-200,-95
1526442468072,-200,-71,-73,-69,-200,-200,-85,-95,-200,-200,-200
1526442472597,-200,-200,-72,-68,-85,-200,-88,-200,-200,-200,-200
1526442472707,-89,-74,-72,-67,-86,-200,-200,-200,-100,-200,-97
1526442472805,-90,-74,-71,-68,-85,-200,-88,-200,-200,-200,-200
1526442472912,-200,-71,-73,-68,-84,-200,-88,-95,-200,-200,-96
1526442473011,-89,-73,-71,-67,-200,-200,-86,-200,-200,-91,-200
1526442477537,-200,-200,-200,-78,-87,-200,-87,-200,-200,-200,-200
1526442477641,-200,-200,-82,-75,-89,-200,-87,-200,-200,-200,-200
1526442477748,-200,-200,-83,-74,-89,-200,-89,-200,-200,-200,-200
1526442477861,-200,-84,-200,-73,-93,-200,-88,-200,-200,-200,-200
1526442477958,-200,-88,-83,-72,-200,-200,-200,-200,-200,-200,-200
1526442478059,-200,-79,-76,-71,-92,-200,-87,-200,-200,-200,-200
1526442482609,-200,-81,-76,-72,-91,-200,-200,-200,-200,-200,-200
1526442482710,-200,-80,-76,-71,-90,-200,-200,-91,-200,-200,-200
1526442482817,-200,-80,-76,-71,-200,-200,-86,-200,-200,-200,-200
1526442482920,-200,-79,-76,-72,-90,-200,-86,-200,-200,-200,-200
1526442483019,-200,-79,-76,-72,-89,-200,-200,-89,-200,-200,-200
1526442487559,-200,-73,-72,-65,-78,-200,-200,-200,-93,-200,-200
1526442487664,-200,-73,-72,-65,-79,-200,-200,-200,-94,-200,-200
1526442487767,-200,-76,-72,-65,-200,-200,-86,-200,-200,-200,-200
1526442487898,-200,-76,-72,-65,-200,-200,-200,-97,-200,-200,-200
1526442487994,-200,-77,-71,-65,-80,-200,-84,-100,-94,-200,-200
1526442488097,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
