,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1
1526443932721,-94,-73,-88,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526443937098,-200,-66,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443937201,-200,-66,-87,-200,-90,-200,-200,-75,-85,-200,-200,-200,-200,-200,-200,-200
1526443937296,-200,-66,-87,-200,-88,-200,-200,-75,-85,-200,-89,-200,-200,-200,-200,-200
1526443937398,-99,-66,-200,-200,-200,-200,-200,-81,-200,-200,-90,-200,-90,-200,-200,-200
1526443942067,-200,-75,-87,-79,-83,-200,-200,-76,-87,-200,-200,-97,-200,-200,-200,-200
1526443942174,-200,-200,-86,-80,-200,-200,-200,-76,-88,-200,-200,-100,-200,-200,-200,-200
1526443942269,-200,-200,-87,-80,-200,-200,-200,-76,-87,-88,-90,-98,-200,-200,-200,-200
1526443942433,-97,-200,-87,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526443947043,-95,-74,-96,-85,-200,-200,-200,-74,-200,-89,-200,-99,-200,-200,-200,-200
1526443947131,-97,-74,-98,-85,-200,-200,-200,-73,-83,-200,-200,-98,-200,-200,-200,-200
1526443947249,-96,-74,-97,-200,-200,-92,-200,-74,-83,-90,-200,-200,-200,-200,-200,-200
1526443947358,-200,-200,-97,-200,-200,-200,-200,-73,-83,-89,-200,-200,-200,-200,-200,-200
1526443947441,-98,-66,-87,-88,-200,-200,-200,-77,-83,-200,-200,-200,-200,-102,-200,-200
1526443952143,-99,-66,-87,-200,-200,-200,-200,-77,-86,-200,-200,-200,-200,-101,-200,-200
1526443952285,-200,-66,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-100,-200,-200
1526443952372,-200,-66,-87,-200,-200,-200,-200,-200,-86,-88,-90,-96,-200,-200,-200,-200
1526443957105,-99,-74,-88,-200,-200,-200,-200,-74,-89,-200,-200,-96,-200,-200,-200,-200
1526443957292,-98,-74,-86,-200,-82,-200,-200,-74,-89,-88,-90,-200,-200,-200,-200,-200
1526443957423,-94,-81,-87,-200,-200,-200,-200,-200,-88,-200,-200,-98,-200,-200,-200,-200
1526443962069,-94,-69,-99,-82,-82,-200,-200,-73,-200,-200,-200,-96,-200,-200,-200,-200
1526443962250,-200,-69,-99,-82,-82,-200,-200,-200,-84,-88,-200,-96,-200,-200,-200,-200
1526443962380,-200,-67,-98,-200,-82,-200,-200,-72,-200,-200,-200,-97,-200,-200,-200,-200
1526443962484,-200,-74,-86,-77,-84,-91,-200,-68,-83,-86,-92,-97,-200,-97,-92,-200
1526443967129,-200,-200,-200,-200,-200,-200,-200,-69,-84,-200,-200,-200,-200,-200,-92,-94
1526443967266,-200,-200,-87,-200,-92,-91,-200,-69,-86,-200,-200,-200,-200,-200,-92,-200
1526443967355,-200,-74,-87,-200,-200,-200,-200,-200,-87,-200,-92,-200,-200,-99,-200,-200
1526443967497,-97,-69,-85,-78,-200,-200,-200,-85,-200,-200,-90,-200,-200,-200,-200,-200
1526443972135,-200,-200,-85,-79,-85,-87,-200,-84,-85,-200,-90,-200,-200,-200,-200,-200
1526443972229,-96,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
