,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
1526443717447,-200,-200,-200,-200,-66,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526443722051,-92,-82,-200,-92,-68,-200,-66,-200,-88,-67,-200,-200,-85,-200,-200
1526443722143,-200,-200,-200,-200,-68,-200,-66,-200,-88,-67,-200,-100,-200,-200,-200
1526443722255,-94,-82,-200,-92,-68,-65,-67,-200,-88,-67,-200,-200,-87,-200,-200
1526443722356,-93,-82,-99,-93,-68,-65,-66,-200,-88,-67,-81,-200,-200,-200,-200
1526443722461,-200,-200,-200,-95,-68,-200,-200,-200,-200,-75,-82,-200,-200,-200,-200
1526443727489,-200,-83,-200,-93,-68,-65,-200,-200,-87,-200,-81,-200,-88,-200,-200
1526443727591,-93,-200,-98,-94,-68,-65,-200,-200,-88,-67,-82,-200,-88,-200,-200
1526443727698,-91,-200,-98,-92,-200,-65,-200,-200,-200,-67,-81,-200,-200,-200,-200
1526443732086,-200,-200,-200,-95,-200,-63,-77,-200,-200,-68,-87,-200,-79,-200,-200
1526443732204,-86,-88,-200,-200,-200,-62,-200,-200,-200,-68,-200,-98,-79,-200,-200
1526443732304,-86,-86,-200,-94,-200,-62,-200,-200,-200,-68,-86,-99,-79,-200,-200
1526443732411,-91,-87,-95,-94,-67,-66,-200,-200,-87,-200,-80,-200,-79,-200,-200
1526443737184,-90,-200,-95,-200,-68,-200,-78,-200,-86,-71,-200,-200,-83,-200,-200
1526443737284,-200,-200,-95,-96,-68,-66,-78,-200,-87,-71,-200,-200,-83,-200,-200
1526443737382,-91,-200,-93,-200,-67,-66,-78,-200,-87,-200,-80,-200,-83,-200,-200
1526443742027,-91,-200,-200,-92,-69,-65,-66,-200,-87,-67,-200,-200,-88,-200,-200
1526443742125,-92,-82,-200,-93,-69,-65,-67,-200,-87,-200,-81,-200,-87,-200,-200
1526443742222,-200,-82,-200,-92,-80,-200,-67,-200,-87,-67,-200,-200,-86,-200,-200
1526443742334,-200,-82,-200,-200,-69,-200,-67,-200,-87,-67,-82,-200,-200,-200,-200
1526443742445,-200,-200,-200,-200,-200,-200,-200,-200,-87,-67,-200,-200,-200,-200,-200
