,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460442364,-37,-50,-43,-42,-70,-53,-45,-45,-52,-50,-64,-65,-54,-56,-55,-63,-66,-51,-62,-67,-53,-60,-65,-81,-76,-73,-80,-67,-78,-71,-70,-74,-79,-78,-82,-200,-80,-84,-60,-74,-84,-77,-77,-76,-70,-82,-82,-85,-77,-81,-200,-200,-93,-78,-75,-200,-79,-78,-85,-88,-88,-81,-81,-86,-86,-82,-84,-86,-92,-87,-90,-91,-92,-200,-200,-94,-91,-87,-91,-93,-200,-92,-93,-94,-200,-200,-73,-86,-93,-91,-200,-95,-95,-200,-77,-200,-89,-200,-95,-200,-75,-89,-200,-200,-200,-200,-200,-200,-200,-200,-94,-96,-93,-200,-200,-200,-200
1526460445425,-37,-45,-45,-44,-72,-53,-49,-44,-53,-53,-62,-65,-50,-59,-55,-63,-64,-52,-64,-54,-54,-60,-65,-81,-75,-84,-78,-70,-77,-70,-68,-67,-83,-76,-82,-72,-80,-85,-67,-72,-85,-79,-78,-75,-68,-80,-81,-85,-77,-74,-92,-200,-92,-77,-74,-200,-79,-80,-85,-86,-88,-85,-81,-85,-84,-84,-85,-84,-200,-87,-90,-91,-92,-200,-200,-94,-91,-88,-200,-90,-88,-200,-94,-94,-200,-200,-71,-86,-93,-91,-200,-200,-95,-200,-77,-200,-200,-200,-95,-200,-75,-89,-200,-80,-200,-200,-200,-200,-93,-200,-94,-200,-93,-200,-200,-200,-200
1526460448482,-35,-50,-42,-42,-71,-53,-44,-46,-52,-52,-63,-67,-55,-58,-55,-63,-58,-51,-62,-68,-53,-52,-65,-81,-76,-84,-77,-68,-76,-72,-70,-72,-82,-78,-82,-71,-79,-84,-71,-72,-84,-79,-78,-74,-69,-80,-81,-86,-78,-74,-92,-200,-92,-79,-70,-200,-79,-80,-84,-86,-86,-82,-83,-85,-86,-84,-84,-84,-94,-87,-90,-94,-92,-200,-200,-94,-92,-86,-200,-90,-90,-91,-94,-93,-200,-200,-72,-200,-93,-91,-200,-200,-200,-200,-77,-200,-200,-200,-93,-200,-75,-89,-200,-94,-200,-200,-200,-200,-93,-200,-94,-200,-93,-200,-200,-200,-200
1526460451536,-37,-49,-44,-42,-70,-52,-48,-46,-51,-54,-64,-66,-55,-58,-64,-62,-60,-51,-61,-68,-52,-55,-67,-81,-76,-84,-80,-68,-77,-72,-68,-73,-79,-79,-82,-71,-80,-84,-71,-74,-85,-79,-78,-74,-72,-82,-81,-86,-76,-75,-92,-200,-92,-79,-75,-200,-200,-78,-84,-88,-87,-82,-83,-86,-85,-83,-85,-85,-92,-89,-200,-92,-92,-200,-85,-92,-90,-86,-200,-94,-90,-90,-93,-93,-200,-200,-72,-200,-200,-91,-200,-200,-200,-200,-77,-76,-200,-200,-93,-200,-75,-89,-200,-94,-200,-200,-200,-200,-93,-94,-200,-200,-200,-97,-200,-200,-200
1526460454600,-38,-47,-46,-43,-70,-51,-44,-49,-53,-51,-67,-66,-52,-58,-64,-65,-59,-53,-63,-66,-54,-55,-69,-80,-78,-200,-81,-71,-80,-73,-72,-72,-82,-76,-82,-71,-82,-82,-59,-72,-88,-79,-75,-76,-76,-82,-81,-84,-77,-83,-200,-200,-200,-77,-76,-200,-200,-81,-85,-91,-87,-82,-83,-86,-84,-83,-85,-85,-92,-89,-92,-91,-90,-200,-85,-94,-89,-87,-91,-93,-90,-92,-93,-93,-200,-200,-72,-200,-93,-91,-200,-94,-95,-200,-62,-76,-200,-83,-93,-200,-75,-86,-200,-94,-200,-200,-200,-200,-200,-94,-200,-200,-200,-97,-200,-200,-200
1526460457667,-38,-47,-47,-42,-70,-52,-44,-48,-52,-49,-63,-64,-51,-57,-64,-61,-59,-51,-61,-62,-52,-57,-67,-80,-77,-79,-79,-71,-80,-73,-71,-75,-83,-72,-84,-73,-85,-82,-61,-72,-88,-78,-78,-77,-74,-86,-80,-84,-78,-73,-91,-200,-200,-79,-74,-200,-200,-79,-86,-91,-88,-83,-200,-86,-84,-82,-84,-85,-91,-89,-91,-93,-91,-200,-85,-94,-91,-83,-89,-93,-89,-95,-93,-200,-200,-200,-200,-90,-93,-91,-200,-94,-95,-200,-77,-76,-87,-94,-94,-200,-75,-87,-200,-92,-200,-200,-200,-200,-200,-95,-93,-200,-200,-97,-83,-200,-200
1526460460722,-37,-48,-45,-43,-67,-52,-47,-48,-54,-53,-66,-67,-52,-53,-200,-62,-66,-52,-62,-65,-52,-55,-67,-77,-78,-79,-78,-66,-82,-72,-72,-71,-80,-72,-85,-73,-85,-81,-64,-75,-87,-78,-78,-77,-72,-86,-82,-83,-80,-77,-91,-200,-89,-79,-75,-200,-80,-80,-86,-91,-88,-82,-80,-86,-85,-82,-84,-200,-91,-200,-92,-87,-91,-88,-200,-94,-89,-84,-92,-93,-88,-92,-200,-92,-200,-200,-200,-90,-93,-92,-200,-94,-96,-200,-77,-200,-88,-94,-94,-200,-75,-87,-200,-92,-200,-200,-200,-200,-200,-97,-93,-200,-200,-200,-83,-200,-200
1526460463779,-38,-48,-44,-43,-67,-52,-43,-46,-51,-50,-64,-67,-53,-55,-200,-61,-60,-50,-64,-68,-53,-60,-65,-76,-78,-79,-78,-68,-78,-72,-71,-74,-80,-72,-83,-73,-85,-81,-64,-74,-85,-77,-75,-75,-75,-85,-82,-83,-80,-78,-91,-200,-89,-79,-75,-200,-88,-80,-86,-91,-88,-84,-80,-86,-89,-82,-83,-200,-91,-200,-88,-87,-91,-93,-200,-200,-89,-89,-92,-200,-88,-92,-200,-93,-96,-200,-75,-90,-200,-92,-200,-94,-95,-200,-74,-200,-88,-92,-92,-200,-72,-87,-200,-92,-200,-200,-200,-200,-200,-97,-93,-200,-200,-200,-83,-200,-200
1526460466833,-38,-46,-43,-45,-71,-52,-48,-46,-51,-50,-62,-65,-53,-55,-200,-61,-66,-52,-63,-65,-53,-54,-66,-74,-76,-79,-77,-68,-77,-72,-71,-74,-83,-200,-80,-70,-87,-83,-69,-74,-86,-78,-76,-75,-74,-90,-82,-86,-80,-78,-200,-200,-89,-80,-73,-200,-88,-82,-86,-91,-90,-82,-80,-89,-86,-82,-84,-87,-200,-200,-88,-87,-90,-85,-200,-92,-92,-86,-92,-95,-89,-92,-93,-93,-96,-200,-75,-200,-200,-92,-200,-95,-96,-200,-78,-200,-88,-92,-92,-200,-73,-86,-86,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-83,-95,-200
1526460469894,-38,-47,-44,-46,-70,-53,-43,-45,-50,-50,-61,-61,-54,-54,-200,-63,-59,-53,-61,-67,-51,-58,-68,-80,-77,-71,-76,-70,-78,-72,-70,-71,-79,-77,-80,-73,-85,-82,-73,-73,-85,-77,-76,-75,-74,-85,-81,-84,-81,-78,-200,-200,-200,-80,-76,-200,-88,-82,-85,-90,-86,-82,-200,-85,-83,-84,-85,-90,-93,-200,-88,-89,-92,-93,-200,-91,-90,-84,-93,-91,-86,-93,-92,-94,-96,-200,-74,-89,-200,-93,-200,-94,-96,-200,-76,-200,-200,-95,-93,-200,-73,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-95,-200
1526460472956,-40,-48,-44,-41,-68,-54,-48,-44,-50,-51,-63,-64,-53,-55,-65,-63,-59,-51,-62,-63,-53,-54,-65,-80,-79,-80,-77,-70,-78,-73,-70,-74,-81,-76,-79,-73,-88,-82,-68,-71,-85,-75,-76,-74,-73,-85,-81,-83,-84,-76,-200,-200,-200,-80,-74,-200,-200,-84,-85,-90,-87,-82,-81,-85,-83,-83,-84,-88,-90,-200,-200,-93,-92,-93,-200,-91,-89,-86,-93,-91,-88,-92,-91,-95,-200,-200,-74,-89,-200,-93,-200,-94,-96,-200,-76,-200,-200,-95,-94,-200,-73,-86,-90,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-95,-95
1526460476015,-38,-46,-43,-43,-69,-54,-44,-46,-50,-50,-61,-65,-52,-56,-65,-62,-59,-51,-60,-66,-52,-59,-62,-80,-76,-80,-79,-70,-78,-73,-69,-73,-84,-78,-85,-73,-83,-82,-71,-76,-86,-75,-76,-75,-72,-85,-81,-85,-81,-76,-200,-200,-200,-80,-73,-200,-200,-85,-86,-90,-86,-83,-81,-85,-84,-84,-86,-88,-90,-87,-200,-90,-92,-93,-200,-91,-90,-90,-95,-88,-88,-92,-93,-95,-200,-200,-79,-89,-200,-91,-200,-94,-200,-200,-77,-200,-87,-95,-95,-200,-75,-86,-90,-91,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-95
