,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018
1526459920098,-38,-33,-43,-52,-51,-51,-68,-60,-51,-51,-60,-63,-57,-60,-58,-55,-58,-65,-76,-59,-71,-62,-73,-78,-74,-78,-78,-61,-67,-200,-68,-73,-63,-75,-67,-66,-77,-72,-68,-200,-84,-79,-79,-67,-79,-72,-75,-80,-78,-81,-86,-82,-87,-84,-78,-200,-94,-200,-79,-75,-77,-200,-87,-93,-81,-86,-84,-84,-81,-88,-200,-200,-84,-87,-200,-200,-97,-88,-200,-200,-200,-200,-200,-57,-82,-88,-200,-81,-94,-87,-94,-77,-200,-200,-200,-95,-200,-84,-200,-98,-90,-93,-96,-95,-200,-200
1526459923143,-32,-37,-46,-51,-54,-39,-61,-56,-49,-49,-65,-64,-60,-58,-61,-55,-59,-61,-76,-60,-65,-61,-73,-77,-74,-75,-78,-79,-67,-200,-65,-70,-52,-75,-67,-66,-78,-68,-69,-200,-85,-79,-200,-67,-87,-77,-77,-82,-78,-200,-87,-81,-87,-83,-78,-200,-94,-200,-77,-77,-74,-200,-200,-93,-83,-86,-89,-85,-81,-87,-200,-200,-84,-87,-200,-200,-200,-88,-200,-200,-200,-200,-200,-64,-82,-88,-200,-81,-200,-87,-91,-77,-200,-200,-200,-200,-200,-84,-200,-200,-90,-93,-96,-95,-200,-200
1526459926196,-32,-39,-42,-55,-54,-48,-63,-64,-48,-48,-57,-64,-61,-58,-62,-54,-63,-62,-76,-58,-69,-65,-73,-78,-74,-75,-76,-78,-70,-200,-63,-70,-48,-68,-61,-66,-77,-77,-73,-200,-89,-79,-82,-67,-74,-68,-76,-82,-78,-200,-85,-81,-200,-84,-200,-200,-200,-200,-79,-71,-74,-200,-200,-200,-83,-91,-87,-84,-79,-87,-200,-200,-82,-87,-200,-200,-200,-87,-200,-200,-200,-200,-200,-64,-81,-84,-89,-200,-94,-86,-91,-77,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-95,-200,-200
1526459929249,-27,-39,-42,-49,-49,-51,-58,-58,-49,-47,-57,-64,-60,-59,-63,-61,-61,-65,-200,-61,-70,-65,-73,-76,-200,-84,-75,-76,-68,-200,-63,-71,-73,-69,-59,-69,-78,-77,-73,-200,-86,-200,-80,-68,-73,-69,-77,-82,-78,-200,-84,-80,-200,-85,-200,-200,-200,-200,-73,-72,-72,-89,-200,-91,-82,-91,-87,-84,-79,-87,-200,-87,-76,-87,-200,-200,-200,-88,-200,-200,-200,-200,-200,-64,-81,-92,-89,-84,-94,-87,-91,-69,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526459932302,-33,-37,-43,-50,-51,-52,-55,-60,-49,-51,-58,-63,-60,-62,-60,-58,-61,-65,-77,-52,-69,-66,-200,-79,-74,-76,-75,-67,-70,-79,-64,-72,-49,-68,-62,-86,-80,-82,-70,-200,-87,-85,-83,-68,-73,-67,-76,-82,-77,-200,-84,-80,-85,-83,-200,-200,-92,-200,-72,-72,-73,-89,-200,-91,-85,-91,-87,-87,-79,-86,-200,-87,-82,-87,-200,-200,-200,-88,-91,-200,-200,-200,-200,-71,-82,-88,-89,-82,-95,-85,-200,-70,-200,-93,-200,-200,-79,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526459935358,-30,-37,-40,-49,-52,-49,-60,-58,-50,-52,-57,-62,-60,-62,-67,-54,-64,-62,-77,-58,-69,-70,-200,-79,-75,-70,-73,-75,-70,-79,-59,-73,-62,-69,-61,-86,-78,-79,-67,-200,-89,-85,-83,-65,-73,-69,-82,-82,-73,-81,-83,-82,-84,-83,-200,-200,-92,-200,-73,-77,-71,-89,-200,-91,-80,-200,-86,-87,-78,-88,-200,-88,-82,-86,-93,-200,-98,-87,-91,-200,-200,-200,-200,-65,-82,-88,-88,-82,-94,-85,-89,-70,-200,-93,-200,-200,-84,-200,-200,-200,-200,-200,-94,-94,-93,-200
1526459938415,-32,-41,-41,-51,-49,-52,-58,-59,-50,-50,-55,-60,-57,-59,-61,-57,-59,-61,-77,-59,-68,-62,-73,-69,-73,-77,-76,-75,-69,-86,-45,-73,-60,-69,-63,-80,-85,-78,-69,-200,-87,-83,-83,-66,-72,-68,-77,-82,-73,-81,-87,-83,-84,-85,-200,-71,-92,-87,-74,-76,-73,-89,-83,-200,-80,-200,-85,-85,-80,-88,-200,-88,-82,-86,-93,-200,-98,-88,-91,-200,-200,-86,-200,-66,-80,-91,-88,-82,-94,-84,-89,-70,-200,-93,-200,-200,-84,-200,-200,-200,-200,-200,-94,-94,-93,-86
1526459941469,-36,-38,-42,-51,-55,-53,-56,-66,-47,-50,-56,-72,-57,-61,-60,-58,-58,-61,-79,-57,-67,-62,-73,-65,-73,-64,-76,-77,-69,-86,-64,-69,-62,-76,-66,-80,-82,-75,-70,-200,-86,-83,-70,-71,-79,-71,-75,-82,-73,-81,-89,-81,-80,-81,-200,-71,-200,-87,-77,-76,-74,-200,-83,-200,-80,-92,-85,-85,-75,-85,-200,-88,-200,-86,-92,-200,-95,-87,-200,-200,-200,-86,-200,-66,-76,-91,-88,-200,-94,-84,-94,-72,-200,-93,-200,-96,-84,-86,-200,-200,-200,-200,-94,-94,-93,-89
1526459944520,-33,-37,-33,-56,-53,-53,-57,-56,-46,-50,-56,-56,-59,-60,-53,-60,-59,-55,-79,-56,-65,-66,-73,-76,-73,-67,-76,-77,-66,-86,-71,-72,-71,-73,-69,-85,-85,-76,-70,-87,-80,-83,-76,-73,-77,-67,-73,-82,-78,-81,-89,-86,-80,-79,-200,-71,-200,-87,-72,-74,-73,-200,-83,-200,-84,-92,-85,-85,-81,-85,-200,-85,-83,-92,-90,-200,-95,-89,-200,-200,-200,-86,-200,-67,-76,-87,-92,-200,-96,-85,-94,-72,-200,-200,-200,-96,-200,-86,-200,-200,-200,-200,-200,-200,-200,-89
1526459947573,-36,-41,-45,-47,-59,-55,-55,-66,-50,-46,-62,-65,-60,-58,-57,-57,-59,-59,-87,-55,-65,-61,-200,-74,-200,-67,-82,-70,-78,-200,-77,-72,-66,-71,-59,-85,-79,-89,-67,-78,-84,-82,-72,-74,-77,-72,-79,-77,-78,-81,-89,-84,-80,-84,-200,-200,-93,-200,-68,-74,-74,-86,-200,-83,-87,-93,-86,-200,-86,-85,-200,-85,-85,-90,-91,-200,-95,-88,-200,-200,-200,-200,-200,-70,-80,-86,-92,-200,-96,-86,-97,-72,-200,-200,-200,-96,-200,-86,-200,-200,-200,-200,-200,-200,-96,-89
1526459950624,-42,-43,-44,-52,-56,-55,-55,-61,-43,-47,-56,-61,-58,-58,-57,-61,-57,-59,-86,-57,-68,-61,-200,-76,-200,-70,-75,-70,-75,-200,-63,-76,-73,-80,-64,-77,-77,-74,-68,-79,-82,-82,-71,-71,-74,-69,-76,-77,-78,-200,-81,-84,-80,-83,-79,-77,-93,-200,-70,-82,-79,-86,-200,-83,-87,-93,-90,-200,-86,-85,-200,-85,-84,-91,-93,-200,-91,-89,-200,-200,-200,-200,-200,-70,-80,-89,-92,-200,-96,-92,-97,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-92
1526459953677,-33,-48,-41,-55,-59,-64,-54,-64,-46,-49,-60,-69,-61,-57,-57,-57,-58,-56,-83,-59,-65,-72,-200,-81,-200,-61,-75,-80,-76,-200,-65,-76,-73,-74,-67,-80,-86,-82,-68,-79,-86,-78,-71,-74,-82,-69,-78,-77,-200,-81,-83,-81,-80,-87,-79,-77,-93,-200,-78,-73,-81,-86,-200,-83,-87,-93,-90,-85,-86,-85,-200,-85,-81,-91,-93,-200,-91,-91,-200,-200,-200,-200,-200,-68,-80,-84,-200,-200,-99,-92,-97,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-92
