,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_08,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WIFI_RTT_03,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WIFI_RTT_07,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WIFI_RTT_06,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018
1540968992304,-27,-33,-48,-49,-60,-38,-43,-48,-46,-42,-47,-46,-38,-37,-200,-59,-56,-200,-200,-200,-49,-41,-51,-81,-200,-55,-51,-57,-67,-69,-50,-57,-64,-64,-70,-54,-78,-72,-62,-67,-66,-200,-75,-78,-69,-68,-79,-76,-84,-75,-77,-82,-80,-86,-53,-54,-54,-64,-64,-73,-88,-90,-64,-68,-75,-71,-84,-78,-82,-87,-63,-200,-200,-200,-200,-200,-200,-200
1540968995334,-27,-33,-48,-52,-60,-38,-43,-48,-46,-42,-47,-46,-38,-37,-200,-59,-56,-200,-200,-200,-49,-41,-51,-81,-200,-55,-51,-57,-67,-69,-50,-57,-64,-64,-70,-54,-78,-72,-62,-67,-66,-200,-75,-78,-69,-68,-79,-76,-84,-75,-77,-82,-80,-86,-53,-54,-54,-64,-64,-73,-88,-90,-64,-68,-75,-71,-84,-78,-82,-87,-63,-200,-200,-200,-200,-200,-200,-200
1540968998368,-36,-33,-32,-55,-60,-37,-43,-48,-46,-46,-47,-46,-37,-37,-200,-60,-56,-200,-200,-44,-49,-46,-50,-81,-200,-55,-51,-56,-67,-69,-54,-57,-60,-64,-74,-50,-77,-73,-62,-71,-66,-200,-73,-74,-69,-68,-78,-72,-80,-75,-77,-83,-81,-200,-53,-54,-56,-200,-200,-200,-88,-200,-64,-68,-75,-71,-84,-78,-82,-87,-63,-54,-59,-59,-69,-200,-200,-200
1540969001396,-36,-33,-32,-49,-60,-37,-43,-48,-46,-46,-47,-46,-37,-37,-200,-60,-56,-200,-200,-44,-49,-46,-50,-81,-200,-55,-51,-56,-67,-69,-54,-57,-60,-64,-74,-50,-77,-73,-62,-71,-66,-200,-73,-74,-69,-68,-78,-72,-80,-75,-77,-83,-81,-200,-53,-54,-56,-200,-200,-200,-88,-200,-64,-68,-75,-71,-84,-78,-82,-87,-63,-54,-59,-59,-69,-200,-200,-200
1540969004432,-27,-37,-21,-46,-56,-37,-43,-48,-48,-46,-47,-46,-37,-37,-200,-64,-54,-200,-200,-44,-49,-43,-53,-76,-52,-58,-51,-56,-63,-69,-54,-59,-63,-66,-70,-50,-77,-77,-55,-71,-200,-200,-75,-72,-66,-68,-77,-72,-80,-75,-79,-82,-81,-200,-48,-200,-57,-69,-200,-200,-86,-200,-62,-200,-200,-71,-84,-78,-82,-87,-63,-54,-59,-59,-69,-60,-89,-200
1540969007465,-27,-37,-21,-47,-56,-37,-43,-48,-48,-46,-47,-46,-37,-37,-200,-64,-54,-200,-200,-44,-49,-43,-53,-76,-52,-58,-51,-56,-63,-69,-54,-59,-63,-66,-70,-50,-77,-77,-55,-71,-200,-200,-75,-72,-66,-68,-77,-72,-80,-75,-79,-82,-81,-200,-48,-200,-57,-69,-200,-200,-86,-200,-62,-200,-200,-71,-84,-78,-82,-87,-63,-54,-59,-59,-69,-60,-89,-200
1540969010493,-27,-37,-21,-48,-57,-37,-43,-200,-48,-46,-200,-46,-37,-37,-200,-64,-54,-200,-200,-44,-49,-45,-53,-81,-52,-58,-51,-55,-63,-66,-54,-59,-62,-58,-68,-50,-73,-74,-55,-71,-59,-200,-74,-71,-69,-66,-75,-74,-80,-75,-77,-82,-80,-87,-48,-200,-57,-69,-200,-200,-87,-200,-62,-200,-200,-200,-84,-78,-82,-84,-66,-54,-59,-59,-69,-60,-89,-200
1540969013525,-27,-37,-21,-46,-57,-37,-43,-200,-48,-46,-200,-46,-37,-37,-200,-64,-54,-200,-200,-44,-49,-45,-53,-81,-52,-58,-51,-55,-63,-66,-54,-59,-62,-58,-68,-50,-73,-74,-55,-71,-59,-200,-74,-71,-69,-66,-75,-74,-80,-75,-77,-82,-80,-87,-48,-200,-57,-69,-200,-200,-87,-200,-62,-200,-200,-200,-84,-78,-82,-84,-66,-54,-59,-59,-69,-60,-89,-200
1540969016554,-27,-37,-16,-49,-58,-37,-43,-200,-47,-46,-200,-46,-37,-45,-200,-64,-50,-200,-48,-44,-200,-40,-54,-77,-52,-57,-200,-53,-60,-66,-50,-59,-62,-62,-69,-55,-77,-75,-57,-71,-63,-200,-74,-74,-68,-64,-79,-73,-82,-75,-79,-81,-83,-87,-48,-200,-55,-69,-200,-200,-87,-200,-62,-75,-200,-200,-84,-200,-200,-84,-66,-56,-59,-59,-69,-60,-88,-200
1540969019588,-27,-37,-16,-45,-58,-37,-43,-200,-47,-46,-200,-46,-37,-45,-200,-64,-50,-200,-48,-44,-200,-40,-54,-77,-52,-57,-200,-53,-60,-66,-50,-59,-62,-62,-69,-55,-77,-75,-57,-71,-63,-200,-74,-74,-68,-64,-79,-73,-82,-75,-79,-81,-83,-87,-48,-200,-55,-69,-200,-200,-87,-200,-62,-75,-200,-200,-84,-200,-200,-84,-66,-56,-59,-59,-69,-60,-88,-200
1540969022625,-27,-37,-16,-48,-57,-37,-200,-200,-47,-46,-200,-46,-37,-45,-200,-64,-54,-200,-48,-44,-200,-40,-55,-79,-52,-57,-200,-57,-60,-66,-49,-59,-65,-62,-75,-55,-76,-75,-57,-71,-63,-200,-76,-69,-67,-65,-78,-73,-82,-200,-79,-82,-84,-87,-48,-200,-55,-69,-200,-200,-87,-200,-62,-75,-73,-200,-200,-200,-200,-84,-66,-56,-59,-59,-69,-60,-88,-79
