,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WIFI_RTT_03,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WIFI_RTT_06,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1540969381271,-34,-32,-42,-45,-51,-42,-39,-54,-46,-43,-200,-44,-52,-200,-62,-57,-63,-200,-50,-200,-200,-200,-200,-61,-64,-69,-200,-64,-73,-71,-72,-200,-200,-60,-62,-69,-74,-200,-73,-200,-77,-77,-200,-74,-88,-80,-79,-89,-81,-80,-80,-71,-70,-76,-87,-59,-72,-84,-60,-64,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540969384300,-34,-31,-42,-45,-51,-42,-39,-54,-46,-43,-200,-44,-52,-200,-62,-57,-63,-200,-50,-200,-200,-200,-200,-61,-64,-69,-200,-64,-73,-71,-72,-200,-200,-60,-62,-69,-74,-200,-73,-200,-77,-77,-200,-74,-88,-80,-79,-89,-81,-80,-80,-71,-70,-76,-87,-59,-72,-84,-60,-64,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540969387330,-34,-30,-42,-45,-51,-41,-39,-54,-48,-49,-200,-48,-52,-200,-56,-57,-59,-200,-53,-59,-200,-200,-200,-61,-64,-70,-200,-64,-72,-71,-72,-200,-200,-63,-62,-73,-75,-200,-72,-200,-79,-79,-200,-75,-86,-80,-82,-89,-82,-80,-81,-71,-70,-76,-87,-59,-69,-84,-60,-64,-71,-47,-54,-61,-65,-79,-200,-200,-200,-200
1540969390354,-34,-35,-42,-45,-51,-41,-39,-54,-48,-49,-200,-48,-52,-200,-56,-57,-59,-200,-53,-59,-200,-200,-200,-61,-64,-70,-200,-64,-72,-71,-72,-200,-200,-63,-62,-73,-75,-200,-72,-200,-79,-79,-200,-75,-86,-80,-82,-89,-82,-80,-81,-71,-70,-76,-87,-59,-69,-84,-60,-64,-71,-47,-54,-61,-65,-79,-200,-200,-200,-200
1540969393385,-34,-28,-42,-41,-200,-41,-39,-53,-48,-44,-200,-46,-54,-200,-58,-57,-64,-200,-53,-59,-200,-200,-67,-58,-200,-65,-200,-63,-74,-71,-72,-200,-200,-59,-62,-73,-73,-200,-74,-200,-79,-81,-200,-75,-87,-82,-83,-89,-81,-80,-80,-71,-70,-76,-87,-59,-69,-84,-58,-64,-71,-47,-54,-61,-65,-79,-63,-200,-200,-200
1540969396412,-34,-30,-42,-41,-200,-41,-39,-53,-48,-44,-200,-46,-54,-200,-58,-57,-64,-200,-53,-59,-200,-200,-67,-58,-200,-65,-200,-63,-74,-71,-72,-200,-200,-59,-62,-73,-73,-200,-74,-200,-79,-81,-200,-75,-87,-82,-83,-89,-81,-80,-80,-71,-70,-76,-87,-59,-69,-84,-58,-64,-71,-47,-54,-61,-65,-79,-63,-200,-200,-200
1540969399447,-33,-28,-45,-41,-54,-41,-41,-53,-46,-44,-50,-47,-52,-200,-58,-54,-64,-200,-53,-59,-200,-200,-67,-58,-200,-63,-200,-62,-73,-71,-72,-200,-200,-59,-62,-75,-69,-200,-72,-200,-79,-81,-200,-76,-87,-82,-83,-89,-81,-80,-81,-200,-200,-200,-87,-59,-69,-84,-58,-64,-71,-47,-54,-61,-68,-79,-63,-77,-200,-200
1540969402473,-33,-31,-45,-41,-54,-41,-41,-53,-46,-44,-50,-47,-52,-200,-58,-54,-64,-200,-53,-59,-200,-200,-67,-58,-200,-63,-200,-62,-73,-71,-72,-200,-200,-59,-62,-75,-69,-200,-72,-200,-79,-81,-200,-76,-87,-82,-83,-89,-81,-80,-81,-200,-200,-200,-87,-59,-69,-84,-58,-64,-71,-47,-54,-61,-68,-79,-63,-77,-200,-200
1540969405505,-33,-29,-49,-41,-54,-39,-42,-53,-46,-48,-50,-45,-52,-200,-57,-52,-64,-60,-53,-59,-200,-200,-67,-60,-200,-62,-200,-62,-75,-71,-72,-67,-200,-61,-62,-72,-71,-200,-74,-200,-77,-83,-200,-75,-87,-82,-82,-89,-81,-81,-81,-200,-68,-200,-200,-59,-67,-200,-58,-64,-71,-47,-54,-61,-68,-79,-63,-77,-55,-75
1540969408532,-33,-32,-49,-41,-54,-39,-42,-53,-46,-48,-50,-45,-52,-200,-57,-52,-64,-60,-53,-59,-200,-200,-67,-60,-200,-62,-200,-62,-75,-71,-72,-67,-200,-61,-62,-72,-71,-200,-74,-200,-77,-83,-200,-75,-87,-82,-82,-89,-81,-81,-81,-200,-68,-200,-200,-59,-67,-200,-58,-64,-71,-47,-54,-61,-68,-79,-63,-77,-55,-75
1540969411565,-32,-30,-46,-41,-54,-42,-41,-53,-43,-44,-50,-48,-53,-200,-57,-52,-64,-56,-45,-59,-200,-200,-67,-59,-200,-66,-200,-63,-74,-71,-200,-67,-200,-61,-200,-71,-71,-200,-74,-200,-77,-80,-200,-75,-88,-82,-82,-89,-82,-81,-82,-200,-68,-200,-200,-59,-65,-88,-58,-200,-200,-47,-54,-61,-68,-79,-63,-77,-55,-75
