,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WIFI_RTT_08,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WIFI_RTT_06,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_07,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WIFI_RTT_03,TP-LINK_3528,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1540969123249,-43,-45,-37,-29,-42,-45,-47,-45,-43,-39,-200,-51,-200,-47,-45,-60,-37,-57,-47,-58,-51,-200,-60,-200,-200,-200,-58,-54,-65,-200,-55,-71,-58,-65,-62,-74,-67,-63,-66,-67,-69,-71,-73,-71,-70,-62,-69,-84,-78,-69,-74,-80,-78,-76,-80,-84,-84,-87,-86,-83,-85,-86,-87,-63,-52,-74,-88,-51,-57,-64,-58,-57,-66,-72,-61,-200,-200,-200,-200,-200,-200,-200,-200
1540969126284,-43,-45,-37,-29,-42,-45,-47,-45,-43,-39,-200,-51,-200,-47,-45,-60,-37,-57,-47,-58,-51,-200,-60,-200,-200,-200,-58,-54,-65,-200,-55,-71,-58,-65,-62,-74,-67,-63,-66,-67,-69,-71,-73,-71,-70,-62,-69,-84,-78,-69,-74,-80,-78,-76,-80,-84,-84,-87,-86,-83,-85,-86,-87,-63,-52,-74,-88,-51,-57,-64,-58,-57,-66,-72,-61,-200,-200,-200,-200,-200,-200,-200,-200
1540969129318,-42,-35,-36,-30,-44,-45,-200,-46,-45,-39,-200,-51,-42,-43,-46,-60,-38,-57,-48,-58,-48,-200,-60,-200,-59,-200,-55,-54,-67,-200,-55,-68,-58,-68,-66,-200,-66,-63,-66,-67,-69,-71,-69,-72,-74,-62,-67,-84,-80,-65,-78,-75,-77,-74,-78,-78,-83,-87,-86,-81,-85,-85,-87,-200,-52,-71,-88,-51,-57,-64,-58,-57,-66,-72,-61,-72,-86,-200,-200,-200,-200,-200,-200
1540969132344,-42,-35,-36,-30,-44,-45,-200,-46,-45,-39,-200,-51,-42,-43,-46,-60,-38,-57,-48,-58,-48,-200,-60,-200,-59,-200,-55,-54,-67,-200,-55,-68,-58,-68,-66,-200,-66,-63,-66,-67,-69,-71,-69,-72,-74,-62,-67,-84,-80,-65,-78,-75,-77,-74,-78,-78,-83,-87,-86,-81,-85,-85,-87,-200,-52,-71,-88,-51,-57,-64,-58,-57,-66,-72,-61,-72,-86,-200,-200,-200,-200,-200,-200
1540969135375,-43,-31,-35,-32,-41,-45,-200,-46,-45,-39,-200,-51,-42,-47,-48,-57,-38,-200,-48,-58,-48,-200,-60,-200,-59,-200,-55,-54,-67,-200,-55,-66,-53,-60,-66,-200,-62,-63,-200,-66,-66,-67,-67,-72,-78,-62,-70,-78,-80,-68,-78,-78,-77,-76,-81,-78,-85,-86,-86,-80,-86,-85,-87,-200,-200,-71,-200,-51,-57,-64,-58,-57,-66,-72,-61,-72,-86,-200,-200,-200,-200,-200,-200
1540969138409,-43,-31,-35,-32,-41,-45,-200,-46,-45,-39,-200,-51,-42,-47,-48,-57,-38,-200,-48,-58,-48,-200,-60,-200,-59,-200,-55,-54,-67,-200,-55,-66,-53,-60,-66,-200,-62,-63,-200,-66,-66,-67,-67,-72,-78,-62,-70,-78,-80,-68,-78,-78,-77,-76,-81,-78,-85,-86,-86,-80,-86,-85,-87,-200,-200,-71,-200,-51,-57,-64,-58,-57,-66,-72,-61,-72,-86,-200,-200,-200,-200,-200,-200
1540969141447,-44,-35,-35,-32,-41,-45,-200,-46,-45,-39,-200,-55,-47,-47,-49,-58,-38,-200,-48,-58,-48,-200,-61,-200,-71,-200,-58,-55,-67,-52,-55,-67,-57,-59,-62,-200,-62,-200,-200,-66,-66,-66,-66,-72,-75,-62,-72,-78,-85,-68,-78,-79,-78,-74,-80,-78,-86,-86,-86,-81,-86,-85,-87,-200,-200,-71,-200,-200,-53,-200,-58,-57,-66,-72,-63,-72,-86,-54,-58,-73,-77,-84,-200
1540969144477,-44,-35,-35,-32,-41,-45,-200,-46,-45,-39,-200,-55,-47,-47,-49,-58,-38,-200,-48,-58,-48,-200,-61,-200,-71,-200,-58,-55,-67,-52,-55,-67,-57,-59,-62,-200,-62,-200,-200,-66,-66,-66,-66,-72,-75,-62,-72,-78,-85,-68,-78,-79,-78,-74,-80,-78,-86,-86,-86,-81,-86,-85,-87,-200,-200,-71,-200,-200,-53,-200,-58,-57,-66,-72,-63,-72,-86,-54,-58,-73,-77,-84,-200
1540969147509,-41,-40,-34,-32,-41,-45,-200,-46,-45,-39,-200,-55,-47,-51,-44,-58,-38,-200,-48,-58,-48,-200,-67,-200,-71,-200,-58,-55,-65,-52,-56,-67,-59,-59,-62,-200,-60,-63,-200,-60,-66,-66,-66,-72,-74,-200,-72,-78,-81,-72,-78,-77,-81,-73,-80,-78,-86,-86,-89,-84,-86,-88,-87,-200,-200,-71,-86,-200,-53,-200,-58,-57,-200,-72,-63,-72,-86,-54,-58,-73,-77,-84,-73
1540969150549,-41,-40,-34,-32,-41,-45,-200,-46,-45,-39,-200,-55,-47,-51,-44,-58,-38,-200,-48,-58,-48,-200,-67,-200,-71,-200,-58,-55,-65,-52,-56,-67,-59,-59,-62,-200,-60,-63,-200,-60,-66,-66,-66,-72,-74,-200,-72,-78,-81,-72,-78,-77,-81,-73,-80,-78,-86,-86,-89,-84,-86,-88,-87,-200,-200,-71,-86,-200,-53,-200,-58,-57,-200,-72,-63,-72,-86,-54,-58,-73,-77,-84,-73
1540969153585,-41,-36,-37,-32,-41,-37,-200,-46,-45,-200,-42,-55,-47,-48,-46,-60,-38,-200,-48,-57,-52,-200,-63,-200,-71,-200,-58,-55,-62,-52,-55,-70,-59,-60,-62,-200,-60,-63,-200,-63,-67,-66,-70,-72,-74,-200,-75,-78,-77,-73,-78,-77,-78,-74,-78,-78,-86,-84,-89,-85,-86,-88,-86,-200,-200,-71,-86,-200,-53,-200,-58,-200,-200,-200,-63,-72,-86,-54,-58,-73,-77,-84,-73
