,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WIFI_RTT_08,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro
1540969500988,-35,-40,-37,-31,-44,-43,-46,-38,-200,-48,-48,-46,-42,-52,-200,-54,-49,-200,-200,-50,-58,-65,-76,-200,-64,-51,-59,-200,-74,-72,-68,-68,-59,-76,-200,-81,-78,-200,-200,-63,-78,-80,-76,-81,-74,-83,-75,-200,-200,-200,-56,-68,-67,-65,-76,-76,-83,-57,-70,-77,-83,-70,-89,-56,-66,-200,-200,-200,-200,-200,-200
1540969504010,-35,-38,-37,-31,-44,-43,-46,-38,-200,-48,-48,-46,-42,-52,-200,-54,-49,-200,-200,-50,-58,-65,-76,-200,-64,-51,-59,-200,-74,-72,-68,-68,-59,-76,-200,-81,-78,-200,-200,-63,-78,-80,-76,-81,-74,-83,-75,-200,-200,-200,-56,-68,-67,-65,-76,-76,-83,-57,-70,-77,-83,-70,-89,-56,-66,-200,-200,-200,-200,-200,-200
1540969507040,-43,-36,-36,-31,-44,-40,-46,-48,-200,-60,-64,-58,-42,-52,-200,-200,-49,-200,-200,-51,-58,-79,-76,-200,-68,-53,-59,-200,-73,-72,-68,-68,-58,-76,-65,-81,-78,-200,-200,-69,-76,-83,-76,-80,-76,-83,-75,-200,-200,-200,-56,-68,-200,-65,-76,-76,-83,-57,-70,-77,-83,-70,-89,-56,-66,-200,-200,-200,-200,-200,-200
1540969510049,-43,-36,-36,-31,-38,-40,-46,-48,-200,-60,-64,-58,-42,-52,-200,-200,-49,-200,-200,-51,-58,-79,-76,-200,-65,-53,-57,-200,-73,-72,-200,-200,-61,-80,-65,-77,-78,-200,-200,-69,-74,-81,-79,-80,-81,-83,-77,-200,-200,-200,-56,-200,-200,-200,-200,-200,-200,-57,-70,-77,-83,-70,-89,-56,-66,-200,-200,-200,-200,-200,-200
1540969513069,-43,-37,-36,-31,-38,-40,-46,-48,-200,-60,-64,-58,-42,-52,-200,-200,-49,-200,-200,-51,-58,-79,-76,-200,-65,-53,-57,-200,-73,-72,-200,-200,-61,-80,-65,-77,-78,-200,-200,-69,-74,-81,-79,-80,-81,-83,-77,-200,-200,-200,-56,-200,-200,-200,-200,-200,-200,-57,-70,-77,-83,-70,-89,-56,-66,-200,-200,-200,-200,-200,-200
1540969516100,-35,-40,-36,-31,-40,-40,-46,-39,-200,-52,-51,-49,-42,-52,-200,-200,-49,-200,-200,-56,-58,-79,-73,-200,-65,-51,-60,-200,-69,-72,-200,-200,-59,-79,-65,-78,-80,-200,-200,-60,-79,-76,-84,-83,-76,-83,-81,-91,-200,-82,-57,-200,-200,-200,-200,-200,-200,-57,-70,-77,-83,-70,-89,-56,-66,-64,-73,-85,-89,-200,-200
1540969519125,-35,-39,-36,-31,-40,-40,-46,-39,-200,-52,-51,-49,-42,-200,-200,-200,-49,-200,-200,-56,-58,-79,-73,-200,-65,-51,-60,-200,-69,-72,-200,-200,-59,-79,-65,-78,-80,-200,-200,-60,-79,-76,-84,-83,-76,-83,-81,-91,-200,-82,-57,-200,-200,-200,-200,-200,-200,-57,-200,-200,-83,-70,-89,-56,-66,-64,-73,-85,-89,-200,-200
1540969522153,-36,-41,-43,-37,-36,-39,-46,-36,-200,-52,-51,-50,-42,-200,-200,-58,-49,-200,-200,-54,-57,-79,-72,-200,-65,-51,-56,-200,-75,-72,-200,-200,-57,-74,-65,-78,-80,-200,-200,-62,-79,-76,-75,-79,-76,-84,-75,-89,-200,-79,-59,-200,-200,-200,-200,-200,-200,-57,-200,-200,-83,-70,-89,-56,-66,-64,-73,-85,-89,-73,-200
1540969525182,-36,-34,-43,-37,-36,-39,-46,-36,-200,-52,-51,-50,-42,-200,-200,-58,-49,-200,-200,-54,-57,-79,-72,-200,-65,-51,-56,-200,-75,-200,-200,-200,-57,-74,-65,-78,-80,-200,-200,-62,-79,-76,-75,-79,-76,-84,-75,-89,-200,-79,-59,-200,-200,-200,-200,-200,-200,-57,-200,-200,-83,-200,-200,-56,-66,-64,-73,-85,-89,-73,-200
1540969528202,-32,-41,-43,-34,-53,-39,-44,-36,-200,-49,-47,-49,-45,-200,-200,-58,-48,-200,-200,-51,-57,-79,-68,-200,-61,-55,-56,-200,-73,-200,-200,-200,-65,-74,-66,-78,-75,-200,-200,-59,-78,-79,-74,-77,-76,-84,-73,-89,-200,-79,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-69,-200,-200,-200,-64,-73,-85,-89,-73,-47
