,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_06,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WIFI_RTT_08,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WIFI_RTT_07,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_03,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1540969057327,-35,-36,-32,-37,-44,-200,-27,-200,-200,-56,-50,-57,-53,-39,-51,-54,-47,-54,-200,-200,-59,-54,-55,-200,-59,-200,-200,-200,-64,-69,-56,-62,-62,-69,-62,-64,-66,-76,-200,-72,-69,-67,-200,-79,-74,-200,-78,-79,-79,-81,-200,-74,-81,-88,-81,-85,-200,-200,-200,-48,-39,-53,-56,-69,-71,-42,-48,-82,-50,-68,-69,-86,-89,-71,-200,-200,-200,-200,-200
1540969060351,-35,-36,-32,-37,-44,-200,-27,-200,-200,-56,-50,-57,-53,-39,-51,-54,-47,-54,-200,-200,-59,-54,-55,-200,-59,-200,-200,-200,-64,-69,-56,-62,-62,-69,-62,-64,-66,-76,-200,-72,-69,-67,-200,-79,-74,-200,-78,-79,-79,-81,-200,-74,-81,-88,-81,-85,-200,-200,-200,-48,-39,-53,-56,-69,-71,-42,-48,-82,-50,-68,-69,-86,-89,-71,-200,-200,-200,-200,-200
1540969063385,-38,-40,-38,-36,-44,-200,-23,-200,-200,-56,-47,-58,-49,-39,-51,-55,-47,-50,-200,-200,-59,-57,-55,-200,-59,-200,-200,-200,-67,-69,-58,-59,-62,-69,-62,-65,-70,-75,-200,-73,-65,-63,-200,-79,-78,-200,-79,-82,-77,-79,-200,-75,-84,-88,-86,-88,-90,-200,-200,-48,-37,-200,-56,-200,-67,-43,-48,-82,-42,-68,-69,-86,-88,-71,-49,-62,-85,-200,-200
1540969066413,-38,-40,-38,-36,-44,-200,-23,-200,-200,-56,-47,-58,-49,-43,-51,-55,-47,-50,-200,-200,-59,-57,-55,-200,-59,-200,-200,-200,-67,-69,-58,-59,-62,-69,-62,-65,-70,-75,-200,-73,-65,-63,-200,-79,-78,-200,-79,-82,-77,-79,-200,-75,-84,-88,-86,-88,-90,-200,-200,-48,-37,-200,-56,-200,-67,-43,-48,-82,-42,-68,-69,-86,-88,-71,-49,-62,-85,-200,-200
1540969069446,-38,-40,-38,-53,-44,-200,-23,-200,-200,-54,-47,-58,-49,-43,-51,-55,-45,-50,-200,-200,-61,-58,-56,-200,-59,-200,-200,-200,-67,-66,-57,-56,-59,-69,-62,-64,-68,-72,-70,-72,-65,-63,-200,-78,-77,-200,-78,-74,-79,-81,-200,-74,-79,-88,-84,-82,-90,-200,-87,-51,-36,-200,-56,-200,-67,-44,-48,-82,-42,-68,-68,-86,-88,-71,-49,-62,-85,-49,-56
1540969072472,-38,-40,-38,-53,-44,-200,-23,-200,-200,-54,-47,-58,-49,-40,-51,-55,-45,-50,-200,-200,-61,-58,-56,-200,-59,-200,-200,-200,-67,-66,-57,-56,-59,-69,-62,-64,-68,-72,-70,-72,-65,-63,-200,-78,-77,-200,-78,-74,-79,-81,-200,-74,-79,-88,-84,-82,-90,-200,-87,-51,-36,-200,-56,-200,-67,-44,-48,-82,-42,-68,-68,-86,-88,-71,-49,-62,-85,-49,-56
1540969075508,-32,-40,-44,-41,-44,-200,-27,-200,-200,-54,-47,-55,-49,-40,-51,-53,-45,-53,-200,-200,-57,-55,-56,-200,-59,-200,-65,-200,-70,-66,-59,-56,-59,-69,-62,-63,-68,-74,-70,-72,-65,-63,-200,-79,-77,-200,-82,-77,-77,-80,-200,-74,-78,-88,-84,-82,-86,-200,-87,-51,-36,-200,-56,-200,-62,-44,-200,-82,-42,-68,-68,-86,-88,-71,-49,-62,-85,-49,-56
1540969078544,-32,-40,-44,-41,-44,-200,-27,-200,-200,-54,-47,-55,-49,-40,-51,-53,-45,-53,-200,-200,-57,-55,-56,-200,-59,-200,-65,-200,-70,-66,-59,-56,-59,-69,-62,-63,-68,-74,-70,-72,-65,-63,-200,-79,-77,-200,-82,-77,-77,-80,-200,-74,-78,-88,-84,-82,-86,-200,-87,-51,-36,-200,-56,-200,-62,-44,-200,-82,-42,-68,-68,-86,-88,-71,-49,-62,-85,-49,-56
1540969081570,-32,-40,-36,-39,-43,-200,-29,-51,-200,-54,-47,-59,-48,-41,-200,-55,-45,-51,-200,-200,-57,-55,-56,-200,-59,-200,-65,-200,-71,-66,-55,-59,-58,-200,-62,-63,-71,-74,-70,-75,-71,-67,-200,-79,-77,-67,-74,-78,-77,-79,-200,-78,-82,-88,-84,-81,-86,-200,-87,-51,-38,-200,-59,-200,-62,-44,-200,-84,-38,-200,-68,-200,-88,-71,-49,-62,-85,-49,-56
1540969084604,-32,-40,-36,-39,-43,-200,-29,-51,-200,-54,-47,-59,-48,-42,-200,-55,-45,-51,-200,-200,-57,-55,-56,-200,-59,-200,-65,-200,-71,-66,-55,-59,-58,-200,-62,-63,-71,-74,-70,-75,-71,-67,-200,-79,-77,-67,-74,-78,-77,-79,-200,-78,-82,-88,-84,-81,-86,-200,-87,-51,-38,-200,-59,-200,-62,-44,-200,-84,-38,-200,-68,-200,-88,-71,-49,-62,-85,-49,-56
1540969087635,-32,-42,-13,-39,-44,-200,-29,-51,-200,-54,-49,-57,-48,-45,-200,-64,-45,-55,-200,-56,-57,-55,-54,-200,-200,-200,-65,-200,-67,-66,-61,-61,-58,-200,-200,-69,-71,-78,-70,-71,-69,-68,-200,-79,-77,-67,-74,-80,-78,-82,-200,-78,-80,-84,-84,-81,-86,-89,-87,-46,-38,-200,-59,-200,-62,-44,-200,-84,-38,-200,-68,-200,-88,-200,-49,-62,-85,-49,-56
