,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WIFI_RTT_08,WIFI_RTT_06,D-Link_DIR-823Pro_5GHz,WIFI_RTT_03,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_07,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1540969316356,-35,-45,-42,-29,-53,-41,-47,-43,-50,-200,-51,-49,-51,-200,-64,-63,-59,-55,-59,-63,-65,-200,-60,-63,-73,-56,-60,-66,-67,-65,-67,-66,-200,-71,-200,-200,-75,-72,-73,-77,-71,-77,-74,-85,-78,-200,-88,-200,-200,-77,-84,-57,-57,-45,-50,-66,-72,-82,-58,-200,-200,-200,-200,-200,-200
1540969319385,-35,-45,-42,-29,-53,-41,-47,-43,-50,-200,-51,-49,-51,-200,-64,-63,-59,-55,-59,-63,-65,-200,-60,-63,-73,-56,-60,-66,-67,-65,-67,-66,-200,-71,-200,-200,-75,-72,-73,-77,-71,-77,-74,-85,-78,-200,-88,-200,-200,-77,-84,-57,-57,-45,-50,-66,-72,-82,-58,-200,-200,-200,-200,-200,-200
1540969322416,-39,-45,-41,-34,-45,-41,-47,-55,-46,-200,-51,-49,-51,-200,-64,-63,-59,-50,-59,-63,-65,-58,-60,-63,-73,-54,-63,-71,-72,-64,-67,-66,-200,-70,-200,-200,-74,-200,-76,-81,-79,-81,-78,-84,-81,-200,-86,-88,-200,-77,-84,-200,-57,-45,-50,-66,-72,-82,-58,-200,-200,-200,-200,-200,-200
1540969325443,-39,-45,-41,-34,-45,-41,-47,-55,-46,-200,-51,-49,-51,-200,-64,-63,-59,-50,-59,-63,-65,-58,-60,-63,-73,-54,-63,-71,-72,-64,-67,-66,-200,-70,-200,-200,-74,-200,-76,-81,-79,-81,-78,-84,-81,-200,-86,-88,-200,-77,-84,-200,-57,-45,-50,-66,-72,-82,-58,-200,-200,-200,-200,-200,-200
1540969328469,-35,-48,-42,-33,-44,-44,-47,-55,-50,-200,-51,-51,-51,-200,-72,-60,-59,-52,-55,-63,-200,-58,-60,-63,-68,-54,-62,-71,-75,-64,-67,-66,-200,-75,-200,-200,-72,-200,-76,-77,-75,-78,-78,-85,-82,-200,-86,-88,-200,-77,-200,-200,-200,-45,-50,-66,-72,-82,-58,-59,-200,-200,-200,-200,-200
1540969331492,-35,-48,-42,-33,-44,-44,-47,-55,-50,-200,-51,-51,-51,-200,-72,-60,-59,-52,-55,-63,-200,-58,-60,-63,-68,-54,-62,-71,-75,-64,-67,-66,-200,-75,-200,-200,-72,-200,-76,-77,-75,-78,-78,-85,-82,-200,-86,-88,-200,-77,-200,-200,-200,-45,-50,-66,-72,-82,-58,-59,-200,-200,-200,-200,-200
1540969334523,-36,-45,-41,-36,-43,-44,-200,-47,-47,-200,-51,-52,-59,-200,-65,-64,-58,-52,-59,-200,-200,-58,-60,-69,-72,-54,-61,-71,-75,-68,-200,-65,-200,-66,-200,-200,-76,-77,-80,-81,-74,-78,-80,-85,-82,-200,-86,-88,-200,-77,-200,-200,-200,-45,-50,-200,-200,-200,-58,-59,-70,-200,-200,-200,-200
1540969337548,-36,-45,-41,-36,-43,-44,-200,-47,-47,-200,-51,-52,-59,-200,-65,-64,-58,-52,-59,-200,-200,-58,-60,-69,-72,-54,-61,-71,-75,-68,-200,-65,-200,-66,-200,-200,-76,-77,-80,-81,-74,-78,-80,-85,-82,-200,-86,-88,-200,-77,-200,-200,-200,-45,-50,-200,-200,-200,-58,-59,-70,-200,-200,-200,-200
1540969340579,-40,-41,-37,-38,-43,-45,-53,-46,-54,-200,-47,-48,-57,-200,-66,-59,-60,-52,-59,-200,-63,-58,-200,-69,-72,-60,-65,-71,-72,-68,-200,-64,-200,-70,-200,-200,-76,-77,-76,-79,-73,-77,-80,-83,-82,-200,-86,-88,-200,-88,-86,-200,-200,-45,-50,-200,-200,-200,-200,-62,-70,-67,-68,-80,-200
1540969343606,-40,-41,-37,-38,-43,-45,-53,-46,-54,-200,-47,-48,-57,-200,-66,-59,-60,-52,-59,-200,-63,-58,-200,-69,-72,-60,-65,-71,-72,-68,-200,-64,-200,-70,-200,-200,-76,-77,-76,-79,-73,-77,-80,-83,-82,-200,-86,-88,-200,-88,-86,-200,-200,-45,-50,-200,-200,-200,-200,-62,-70,-67,-68,-80,-200
1540969346630,-35,-41,-39,-39,-43,-57,-53,-46,-54,-200,-47,-47,-57,-200,-61,-59,-58,-63,-63,-200,-63,-58,-200,-68,-69,-60,-65,-65,-71,-68,-200,-64,-200,-66,-200,-200,-74,-77,-74,-77,-80,-76,-80,-82,-81,-200,-86,-88,-89,-88,-86,-200,-200,-59,-50,-200,-200,-200,-200,-62,-70,-67,-68,-80,-75
