,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_08,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WIFI_RTT_06,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WIFI_RTT_03,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_07,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1540968926695,-37,-40,-24,-36,-31,-37,-42,-42,-41,-62,-50,-55,-64,-47,-60,-200,-59,-67,-62,-200,-57,-60,-42,-49,-200,-200,-64,-64,-55,-60,-200,-56,-67,-200,-53,-61,-200,-200,-200,-200,-200,-200,-75,-82,-66,-73,-70,-64,-79,-75,-81,-85,-87,-85,-200,-200,-200,-81,-68,-88,-74,-200,-48,-56,-60,-73,-91,-64,-41,-51,-51,-69,-61,-62,-200,-200,-200,-200,-200,-200,-200,-200
1540968929725,-37,-45,-20,-36,-32,-37,-39,-42,-41,-62,-50,-52,-68,-47,-59,-200,-59,-67,-62,-200,-64,-63,-43,-49,-200,-75,-64,-57,-55,-63,-200,-60,-63,-200,-56,-61,-200,-200,-67,-200,-200,-200,-73,-81,-65,-69,-70,-60,-79,-76,-82,-89,-85,-87,-200,-200,-200,-78,-69,-88,-74,-200,-200,-56,-59,-73,-200,-66,-41,-51,-51,-72,-61,-62,-72,-200,-200,-200,-200,-200,-200,-200
1540968932760,-37,-45,-20,-36,-32,-37,-39,-42,-41,-62,-50,-52,-68,-47,-59,-200,-59,-67,-62,-200,-64,-63,-43,-49,-200,-75,-64,-57,-55,-63,-200,-60,-63,-200,-56,-61,-200,-200,-67,-200,-200,-200,-73,-81,-65,-69,-70,-60,-79,-76,-82,-89,-85,-87,-200,-200,-200,-78,-69,-88,-74,-200,-200,-56,-59,-73,-200,-66,-41,-51,-51,-72,-61,-62,-72,-200,-200,-200,-200,-200,-200,-200
1540968935791,-37,-43,-24,-34,-31,-37,-39,-43,-47,-62,-50,-52,-64,-47,-59,-200,-59,-200,-62,-54,-60,-66,-42,-49,-200,-75,-64,-57,-55,-63,-200,-64,-63,-200,-55,-61,-200,-200,-67,-200,-200,-200,-75,-80,-62,-70,-74,-59,-71,-81,-82,-84,-85,-86,-200,-200,-200,-78,-75,-88,-76,-200,-200,-56,-65,-73,-200,-66,-42,-49,-51,-72,-61,-68,-72,-51,-58,-200,-200,-200,-200,-200
1540968938817,-37,-43,-24,-34,-31,-37,-39,-43,-47,-62,-50,-52,-64,-47,-59,-200,-59,-200,-62,-54,-60,-66,-42,-49,-200,-75,-64,-57,-55,-63,-200,-64,-63,-200,-55,-61,-200,-200,-67,-200,-200,-200,-75,-80,-62,-70,-74,-59,-71,-81,-82,-84,-85,-86,-200,-200,-200,-78,-75,-88,-76,-200,-200,-56,-65,-73,-200,-66,-42,-49,-51,-72,-61,-68,-72,-51,-58,-200,-200,-200,-200,-200
1540968941848,-200,-41,-22,-34,-29,-37,-41,-43,-47,-62,-200,-49,-68,-47,-59,-200,-59,-200,-62,-54,-59,-62,-42,-200,-200,-75,-64,-59,-55,-63,-200,-64,-64,-200,-52,-61,-200,-200,-67,-200,-200,-200,-74,-76,-63,-70,-71,-59,-71,-82,-83,-82,-85,-86,-200,-200,-200,-78,-66,-88,-76,-200,-200,-56,-61,-73,-200,-61,-42,-49,-200,-72,-61,-68,-72,-51,-58,-74,-200,-200,-200,-200
1540968944874,-200,-41,-22,-34,-29,-37,-41,-43,-47,-62,-200,-49,-68,-47,-59,-200,-59,-200,-62,-54,-59,-62,-42,-200,-200,-75,-64,-59,-55,-63,-200,-64,-64,-200,-52,-61,-200,-200,-67,-200,-200,-200,-74,-76,-63,-70,-71,-59,-71,-82,-83,-82,-85,-86,-200,-200,-200,-78,-66,-88,-76,-200,-200,-56,-61,-73,-200,-61,-42,-49,-200,-72,-61,-68,-72,-51,-58,-74,-200,-200,-200,-200
1540968947905,-200,-41,-50,-30,-31,-37,-44,-44,-47,-61,-200,-53,-69,-47,-59,-200,-59,-200,-200,-54,-59,-62,-42,-200,-200,-75,-64,-62,-55,-63,-200,-58,-62,-200,-49,-58,-200,-200,-67,-200,-200,-200,-75,-77,-63,-73,-72,-58,-71,-80,-83,-82,-85,-85,-200,-200,-200,-78,-66,-88,-73,-200,-200,-56,-61,-200,-200,-61,-42,-49,-200,-72,-61,-68,-72,-55,-58,-74,-43,-51,-81,-200
1540968950916,-200,-41,-50,-30,-31,-37,-44,-44,-47,-61,-200,-53,-69,-47,-59,-200,-59,-200,-200,-54,-59,-62,-42,-200,-200,-75,-64,-62,-55,-63,-200,-58,-62,-200,-49,-58,-200,-200,-67,-200,-200,-200,-75,-77,-63,-73,-72,-58,-71,-80,-83,-82,-85,-85,-200,-200,-200,-78,-66,-88,-73,-200,-200,-56,-61,-200,-200,-61,-42,-49,-200,-72,-61,-68,-72,-55,-58,-74,-43,-51,-81,-200
1540968953946,-48,-42,-50,-30,-31,-42,-44,-43,-47,-53,-200,-53,-65,-47,-59,-200,-200,-200,-200,-54,-56,-62,-42,-200,-200,-75,-63,-60,-200,-63,-200,-58,-67,-200,-50,-58,-200,-200,-67,-200,-200,-200,-76,-79,-62,-77,-79,-58,-71,-83,-84,-85,-85,-82,-200,-200,-200,-78,-70,-200,-81,-200,-200,-56,-61,-200,-200,-61,-42,-49,-64,-72,-200,-68,-72,-52,-58,-74,-43,-51,-81,-47
1540968956975,-48,-42,-50,-30,-31,-42,-44,-43,-47,-53,-200,-53,-65,-47,-59,-200,-200,-200,-200,-54,-56,-62,-42,-200,-200,-75,-63,-60,-200,-63,-200,-58,-67,-200,-50,-58,-200,-200,-67,-200,-200,-200,-76,-79,-62,-77,-79,-58,-71,-83,-84,-85,-85,-82,-200,-200,-200,-78,-70,-200,-81,-200,-200,-56,-61,-200,-200,-61,-42,-49,-64,-72,-200,-68,-72,-52,-58,-74,-43,-51,-81,-47
