,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
1526463347687,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-92,-85,-200,-200,-93,-200,-89,-200,-200,-200,-200,-94,-200
1526463347798,-200,-73,-80,-200,-200,-96,-200,-200,-200,-101,-200,-87,-200,-200,-86,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463352375,-200,-200,-200,-70,-200,-95,-200,-200,-200,-200,-200,-200,-91,-200,-82,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463352475,-200,-71,-200,-70,-200,-200,-90,-200,-72,-200,-200,-88,-200,-100,-82,-68,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526463352638,-200,-200,-200,-70,-200,-200,-200,-200,-73,-200,-86,-200,-89,-200,-82,-68,-86,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526463352768,-200,-200,-200,-70,-200,-200,-89,-200,-73,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463352845,-96,-73,-200,-200,-200,-95,-94,-89,-200,-200,-200,-200,-200,-200,-83,-68,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526463357378,-200,-71,-200,-75,-200,-200,-200,-88,-200,-200,-200,-200,-200,-94,-83,-71,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463357480,-200,-71,-200,-75,-200,-200,-200,-89,-200,-97,-91,-200,-200,-95,-200,-71,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526463357613,-96,-70,-200,-200,-200,-200,-96,-88,-200,-200,-91,-200,-200,-94,-200,-72,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463357691,-200,-72,-200,-76,-94,-82,-96,-89,-200,-99,-91,-200,-200,-93,-84,-200,-97,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526463357787,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-84,-71,-95,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526463357912,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
