,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526458253295,-28,-33,-39,-50,-40,-46,-53,-58,-50,-60,-61,-57,-64,-66,-70,-62,-65,-60,-69,-66,-200,-77,-67,-66,-71,-79,-63,-64,-74,-60,-71,-69,-200,-69,-80,-77,-68,-74,-80,-71,-79,-200,-73,-71,-78,-81,-61,-200,-200,-69,-200,-200,-200,-82,-200,-200,-87,-82,-85,-200,-200,-200,-200,-200,-86,-87,-200,-200,-200,-200,-86,-71,-200,-89,-200,-200,-81,-84,-89,-80,-83,-88,-77,-80,-87,-62,-76,-200,-200,-200,-200,-200,-200,-200
1526458253296,-28,-33,-39,-50,-40,-46,-53,-58,-50,-60,-61,-57,-64,-66,-70,-62,-65,-60,-69,-66,-200,-77,-67,-66,-71,-79,-63,-64,-74,-60,-71,-69,-200,-69,-80,-77,-68,-74,-80,-71,-79,-200,-73,-71,-78,-81,-61,-200,-200,-69,-200,-200,-200,-82,-200,-200,-87,-82,-85,-200,-200,-200,-200,-200,-86,-87,-200,-200,-200,-200,-86,-71,-200,-89,-200,-200,-81,-84,-89,-80,-83,-88,-77,-80,-87,-62,-76,-200,-200,-200,-200,-200,-200,-200
1526458256352,-28,-34,-38,-49,-45,-46,-52,-60,-49,-57,-61,-60,-64,-66,-69,-62,-65,-60,-68,-64,-200,-77,-67,-66,-72,-79,-63,-65,-74,-60,-71,-69,-200,-70,-80,-77,-69,-74,-80,-71,-79,-200,-73,-74,-78,-81,-61,-200,-200,-69,-200,-200,-200,-82,-200,-200,-87,-82,-87,-200,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-86,-75,-200,-89,-200,-200,-81,-84,-89,-80,-83,-87,-77,-80,-87,-62,-76,-200,-200,-200,-200,-200,-200,-200
1526458256365,-28,-34,-38,-49,-45,-46,-52,-60,-49,-57,-61,-60,-64,-66,-69,-62,-65,-60,-68,-64,-200,-77,-67,-66,-72,-79,-63,-65,-74,-60,-71,-69,-200,-70,-80,-77,-69,-74,-80,-71,-79,-200,-73,-74,-78,-81,-61,-200,-200,-69,-200,-200,-200,-82,-200,-200,-87,-82,-87,-200,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-86,-75,-200,-89,-200,-200,-81,-84,-89,-80,-83,-87,-77,-80,-87,-62,-76,-200,-200,-200,-200,-200,-200,-200
1526458259423,-26,-32,-38,-49,-43,-49,-52,-58,-50,-56,-63,-57,-64,-66,-70,-66,-65,-60,-68,-64,-200,-77,-67,-69,-70,-79,-63,-63,-78,-60,-71,-69,-200,-71,-80,-77,-69,-76,-80,-69,-79,-200,-75,-74,-78,-200,-61,-200,-200,-200,-200,-89,-200,-82,-200,-200,-200,-82,-87,-200,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-86,-75,-200,-93,-200,-200,-81,-200,-200,-81,-83,-87,-77,-84,-87,-65,-76,-89,-200,-200,-200,-200,-200,-200
1526458259428,-26,-32,-38,-49,-43,-49,-52,-58,-50,-56,-63,-57,-64,-66,-70,-66,-65,-60,-68,-64,-200,-77,-67,-69,-70,-79,-63,-63,-78,-60,-71,-69,-200,-71,-80,-77,-69,-76,-80,-69,-79,-200,-75,-74,-78,-200,-61,-200,-200,-200,-200,-89,-200,-82,-200,-200,-200,-82,-87,-200,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-86,-75,-200,-93,-200,-200,-81,-200,-200,-81,-83,-87,-77,-84,-87,-65,-76,-89,-200,-200,-200,-200,-200,-200
1526458262523,-26,-30,-37,-50,-45,-49,-54,-57,-52,-56,-63,-61,-64,-200,-71,-62,-65,-58,-68,-63,-200,-77,-67,-66,-70,-200,-63,-63,-78,-59,-72,-69,-200,-71,-80,-200,-70,-76,-80,-69,-75,-80,-77,-73,-200,-200,-66,-200,-200,-200,-200,-89,-200,-82,-83,-200,-200,-82,-88,-200,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-87,-75,-200,-92,-200,-200,-200,-200,-200,-81,-81,-87,-77,-81,-87,-65,-76,-89,-200,-200,-200,-200,-200,-200
1526458262524,-26,-30,-37,-50,-45,-49,-54,-57,-52,-56,-63,-61,-64,-200,-71,-62,-65,-58,-68,-63,-200,-77,-67,-66,-70,-200,-63,-63,-78,-59,-72,-69,-200,-71,-80,-200,-70,-76,-80,-69,-75,-80,-77,-73,-200,-200,-66,-200,-200,-200,-200,-89,-200,-82,-83,-200,-200,-82,-88,-200,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-87,-75,-200,-92,-200,-200,-200,-200,-200,-81,-81,-87,-77,-81,-87,-65,-76,-89,-200,-200,-200,-200,-200,-200
1526458265583,-28,-33,-35,-52,-48,-35,-54,-63,-52,-56,-63,-55,-63,-200,-70,-62,-61,-58,-66,-63,-200,-76,-67,-67,-70,-200,-60,-67,-78,-59,-72,-69,-68,-70,-86,-200,-69,-76,-80,-73,-75,-80,-73,-79,-200,-80,-62,-200,-200,-79,-200,-89,-200,-81,-83,-200,-200,-82,-88,-200,-200,-200,-200,-200,-86,-88,-200,-87,-200,-200,-87,-75,-200,-92,-200,-200,-70,-77,-200,-81,-81,-87,-200,-78,-87,-66,-76,-89,-200,-200,-200,-200,-200,-200
1526458265598,-28,-33,-35,-52,-48,-35,-54,-63,-52,-56,-63,-55,-63,-200,-70,-62,-61,-58,-66,-63,-200,-76,-67,-67,-70,-200,-60,-67,-78,-59,-72,-69,-68,-70,-86,-200,-69,-76,-80,-73,-75,-80,-73,-79,-200,-80,-62,-200,-200,-79,-200,-89,-200,-81,-83,-200,-200,-82,-88,-200,-200,-200,-200,-200,-86,-88,-200,-87,-200,-200,-87,-75,-200,-92,-200,-200,-70,-77,-200,-81,-81,-87,-200,-78,-87,-66,-76,-89,-200,-200,-200,-200,-200,-200
1526458268672,-29,-32,-36,-53,-48,-48,-54,-63,-53,-53,-59,-51,-65,-62,-70,-62,-65,-61,-66,-61,-200,-76,-200,-63,-67,-200,-60,-64,-78,-59,-69,-60,-68,-66,-76,-200,-69,-76,-200,-73,-75,-80,-73,-76,-200,-80,-60,-200,-200,-79,-200,-89,-200,-80,-83,-200,-200,-82,-88,-200,-200,-87,-200,-200,-86,-88,-200,-87,-200,-200,-87,-75,-200,-92,-200,-200,-70,-77,-200,-81,-81,-87,-200,-78,-87,-66,-76,-89,-200,-200,-200,-200,-200,-200
1526458268681,-29,-32,-36,-53,-48,-48,-54,-63,-53,-53,-59,-51,-65,-62,-70,-62,-65,-61,-66,-61,-200,-76,-200,-63,-67,-200,-60,-64,-78,-59,-69,-60,-68,-66,-76,-200,-69,-76,-200,-73,-75,-80,-73,-76,-200,-80,-60,-200,-200,-79,-200,-89,-200,-80,-83,-200,-200,-82,-88,-200,-200,-87,-200,-200,-86,-88,-200,-87,-200,-200,-87,-75,-200,-92,-200,-200,-70,-77,-200,-81,-81,-87,-200,-78,-87,-66,-76,-89,-200,-200,-200,-200,-200,-200
1526458271755,-26,-35,-36,-54,-44,-48,-57,-50,-45,-56,-61,-56,-65,-62,-70,-63,-71,-61,-65,-61,-200,-74,-200,-67,-64,-76,-61,-64,-78,-62,-67,-60,-68,-69,-76,-200,-71,-76,-200,-74,-75,-80,-74,-72,-200,-80,-59,-200,-200,-75,-200,-89,-200,-80,-83,-200,-200,-82,-88,-200,-200,-87,-200,-200,-82,-88,-200,-87,-200,-200,-87,-74,-200,-85,-200,-200,-70,-77,-200,-81,-81,-84,-200,-78,-87,-66,-200,-89,-84,-200,-200,-200,-200,-200
1526458271757,-26,-35,-36,-54,-44,-48,-57,-50,-45,-56,-61,-56,-65,-62,-70,-63,-71,-61,-65,-61,-200,-74,-200,-67,-64,-76,-61,-64,-78,-62,-67,-60,-68,-69,-76,-200,-71,-76,-200,-74,-75,-80,-74,-72,-200,-80,-59,-200,-200,-75,-200,-89,-200,-80,-83,-200,-200,-82,-88,-200,-200,-87,-200,-200,-82,-88,-200,-87,-200,-200,-87,-74,-200,-85,-200,-200,-70,-77,-200,-81,-81,-84,-200,-78,-87,-66,-200,-89,-84,-200,-200,-200,-200,-200
1526458274818,-26,-31,-36,-51,-41,-47,-60,-51,-51,-60,-57,-53,-67,-66,-68,-71,-68,-62,-65,-61,-200,-73,-71,-63,-68,-76,-62,-64,-200,-60,-67,-60,-68,-68,-84,-82,-71,-200,-200,-74,-75,-80,-74,-72,-200,-74,-58,-200,-200,-79,-200,-200,-200,-81,-85,-200,-200,-82,-88,-200,-200,-87,-200,-200,-82,-88,-200,-87,-200,-200,-87,-74,-200,-85,-200,-200,-70,-77,-200,-81,-81,-84,-200,-78,-87,-70,-88,-200,-84,-82,-88,-200,-200,-200
1526458274834,-26,-31,-36,-51,-41,-47,-60,-51,-51,-60,-57,-53,-67,-66,-68,-71,-68,-62,-65,-61,-200,-73,-71,-63,-68,-76,-62,-64,-200,-60,-67,-60,-68,-68,-84,-82,-71,-200,-200,-74,-75,-80,-74,-72,-200,-74,-58,-200,-200,-79,-200,-200,-200,-81,-85,-200,-200,-82,-88,-200,-200,-87,-200,-200,-82,-88,-200,-87,-200,-200,-87,-74,-200,-85,-200,-200,-70,-77,-200,-81,-81,-84,-200,-78,-87,-70,-88,-200,-84,-82,-88,-200,-200,-200
1526458277878,-27,-33,-36,-48,-39,-49,-59,-51,-51,-55,-57,-58,-67,-65,-71,-63,-69,-60,-65,-61,-200,-70,-70,-63,-68,-76,-63,-64,-75,-60,-67,-59,-68,-68,-81,-82,-71,-200,-200,-75,-200,-77,-73,-72,-200,-77,-66,-200,-200,-74,-200,-200,-200,-83,-85,-200,-200,-82,-200,-200,-200,-90,-200,-200,-82,-88,-200,-87,-200,-200,-89,-82,-200,-85,-200,-200,-70,-77,-86,-200,-200,-84,-200,-78,-200,-70,-80,-200,-84,-82,-88,-200,-200,-200
1526458277887,-27,-33,-36,-48,-39,-49,-59,-51,-51,-55,-57,-58,-67,-65,-71,-63,-69,-60,-65,-61,-200,-70,-70,-63,-68,-76,-63,-64,-75,-60,-67,-59,-68,-68,-81,-82,-71,-200,-200,-75,-200,-77,-73,-72,-200,-77,-66,-200,-200,-74,-200,-200,-200,-83,-85,-200,-200,-82,-200,-200,-200,-90,-200,-200,-82,-88,-200,-87,-200,-200,-89,-82,-200,-85,-200,-200,-70,-77,-86,-200,-200,-84,-200,-78,-200,-70,-80,-200,-84,-82,-88,-200,-200,-200
1526458280946,-28,-29,-38,-48,-46,-49,-59,-51,-45,-60,-60,-56,-67,-63,-71,-63,-64,-60,-65,-61,-200,-70,-70,-63,-71,-76,-62,-67,-75,-60,-67,-67,-200,-69,-81,-82,-70,-200,-200,-75,-200,-77,-73,-74,-200,-77,-69,-200,-200,-74,-200,-200,-200,-82,-85,-200,-200,-200,-200,-200,-200,-90,-200,-200,-82,-88,-200,-200,-200,-200,-89,-76,-200,-85,-200,-200,-200,-77,-86,-200,-200,-85,-200,-200,-82,-68,-80,-200,-84,-82,-88,-200,-200,-200
1526458280947,-28,-29,-38,-48,-46,-49,-59,-51,-45,-60,-60,-56,-67,-63,-71,-63,-64,-60,-65,-61,-200,-70,-70,-63,-71,-76,-62,-67,-75,-60,-67,-67,-200,-69,-81,-82,-70,-200,-200,-75,-200,-77,-73,-74,-200,-77,-69,-200,-200,-74,-200,-200,-200,-82,-85,-200,-200,-200,-200,-200,-200,-90,-200,-200,-82,-88,-200,-200,-200,-200,-89,-76,-200,-85,-200,-200,-200,-77,-86,-200,-200,-85,-200,-200,-82,-68,-80,-200,-84,-82,-88,-200,-200,-200
1526458284014,-28,-31,-38,-47,-48,-47,-58,-51,-48,-58,-61,-59,-69,-63,-70,-63,-65,-58,-71,-62,-200,-70,-71,-65,-63,-76,-62,-67,-75,-58,-67,-67,-200,-69,-81,-82,-70,-200,-200,-74,-200,-77,-73,-72,-200,-76,-63,-200,-200,-74,-200,-200,-200,-82,-85,-200,-200,-200,-200,-200,-200,-90,-200,-200,-82,-88,-200,-200,-200,-200,-89,-76,-200,-89,-200,-200,-200,-77,-86,-200,-200,-85,-200,-82,-82,-63,-80,-200,-84,-82,-88,-200,-200,-200
1526458284027,-28,-31,-38,-47,-48,-47,-58,-51,-48,-58,-61,-59,-69,-63,-70,-63,-65,-58,-71,-62,-200,-70,-71,-65,-63,-76,-62,-67,-75,-58,-67,-67,-200,-69,-81,-82,-70,-200,-200,-74,-200,-77,-73,-72,-200,-76,-63,-200,-200,-74,-200,-200,-200,-82,-85,-200,-200,-200,-200,-200,-200,-90,-200,-200,-82,-88,-200,-200,-200,-200,-89,-76,-200,-89,-200,-200,-200,-77,-86,-200,-200,-85,-200,-82,-82,-63,-80,-200,-84,-82,-88,-200,-200,-200
1526458287050,-27,-30,-38,-50,-41,-47,-54,-51,-52,-54,-61,-59,-65,-63,-69,-63,-67,-59,-71,-62,-200,-70,-70,-66,-63,-76,-61,-64,-75,-60,-67,-67,-200,-69,-76,-82,-70,-76,-200,-76,-200,-77,-74,-72,-200,-76,-63,-200,-200,-74,-200,-200,-200,-82,-85,-200,-200,-200,-83,-200,-200,-87,-200,-200,-200,-88,-200,-200,-200,-200,-89,-76,-91,-89,-200,-200,-200,-77,-86,-200,-200,-85,-200,-82,-85,-63,-80,-200,-200,-82,-88,-200,-200,-200
1526458287079,-27,-30,-38,-50,-41,-47,-54,-51,-52,-54,-61,-59,-65,-63,-69,-63,-67,-59,-71,-62,-200,-70,-70,-66,-63,-76,-61,-64,-75,-60,-67,-67,-200,-69,-76,-82,-70,-76,-200,-76,-200,-77,-74,-72,-200,-76,-63,-200,-200,-74,-200,-200,-200,-82,-85,-200,-200,-200,-83,-200,-200,-87,-200,-200,-200,-88,-200,-200,-200,-200,-89,-76,-91,-89,-200,-200,-200,-77,-86,-200,-200,-85,-200,-82,-85,-63,-80,-200,-200,-82,-88,-200,-200,-200
1526458290129,-27,-29,-38,-50,-40,-49,-57,-52,-52,-58,-61,-52,-66,-69,-71,-63,-63,-58,-69,-62,-200,-70,-70,-66,-69,-200,-62,-64,-75,-60,-68,-67,-200,-68,-80,-75,-71,-76,-84,-76,-77,-77,-75,-72,-200,-76,-60,-200,-200,-74,-200,-200,-200,-82,-85,-200,-200,-200,-80,-200,-200,-87,-200,-200,-200,-88,-200,-200,-200,-200,-89,-76,-91,-89,-200,-200,-200,-77,-86,-200,-200,-85,-200,-82,-85,-64,-80,-200,-200,-82,-200,-200,-200,-200
1526458290142,-27,-29,-38,-50,-40,-49,-57,-52,-52,-58,-61,-52,-66,-69,-71,-63,-63,-58,-69,-62,-200,-70,-70,-66,-69,-200,-62,-64,-75,-60,-68,-67,-200,-68,-80,-75,-71,-76,-84,-76,-77,-77,-75,-72,-200,-76,-60,-200,-200,-74,-200,-200,-200,-82,-85,-200,-200,-200,-80,-200,-200,-87,-200,-200,-200,-88,-200,-200,-200,-200,-89,-76,-91,-89,-200,-200,-200,-77,-86,-200,-200,-85,-200,-82,-85,-64,-80,-200,-200,-82,-200,-200,-200,-200
