,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro
1526458577682,-34,-26,-29,-41,-42,-38,-50,-45,-55,-54,-51,-66,-61,-56,-57,-63,-67,-200,-65,-65,-63,-200,-71,-64,-63,-71,-59,-63,-65,-72,-68,-70,-83,-200,-67,-73,-68,-77,-67,-68,-77,-83,-74,-81,-75,-77,-73,-200,-82,-74,-200,-81,-200,-89,-75,-88,-83,-76,-87,-200,-200,-200,-81,-83,-92,-91,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458580753,-33,-27,-26,-46,-40,-34,-49,-45,-56,-54,-56,-55,-61,-58,-57,-64,-66,-200,-77,-63,-63,-200,-71,-64,-69,-71,-58,-63,-68,-72,-68,-70,-78,-82,-72,-72,-70,-77,-68,-68,-74,-83,-200,-72,-75,-78,-73,-84,-78,-74,-200,-81,-200,-89,-73,-88,-83,-68,-87,-200,-200,-200,-200,-200,-92,-91,-80,-87,-84,-88,-91,-200,-200,-200,-200,-200,-200
1526458583824,-36,-27,-29,-45,-37,-36,-49,-48,-55,-54,-53,-52,-59,-60,-58,-67,-62,-61,-70,-59,-69,-200,-71,-63,-69,-71,-58,-63,-75,-72,-72,-70,-78,-82,-73,-73,-71,-77,-68,-77,-73,-83,-79,-72,-75,-78,-76,-84,-78,-74,-200,-81,-200,-89,-73,-87,-82,-68,-200,-200,-200,-200,-200,-200,-200,-91,-80,-87,-86,-88,-91,-82,-200,-200,-200,-200,-200
1526458586879,-35,-27,-25,-47,-37,-38,-50,-48,-54,-53,-49,-56,-61,-60,-54,-69,-59,-65,-66,-59,-65,-200,-68,-63,-69,-71,-58,-67,-71,-71,-72,-71,-78,-82,-75,-70,-69,-72,-69,-77,-73,-83,-74,-69,-75,-78,-72,-84,-78,-74,-200,-81,-200,-200,-78,-87,-87,-68,-200,-200,-200,-200,-200,-200,-200,-200,-80,-87,-86,-89,-91,-83,-74,-200,-200,-200,-200
1526458589945,-36,-29,-25,-46,-38,-36,-50,-53,-55,-49,-47,-56,-65,-57,-59,-69,-56,-66,-66,-67,-57,-200,-68,-63,-67,-200,-57,-67,-71,-72,-72,-71,-78,-82,-75,-73,-69,-72,-69,-77,-76,-83,-74,-69,-75,-81,-72,-72,-78,-74,-200,-80,-200,-200,-78,-89,-87,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-89,-91,-85,-74,-81,-84,-200,-200
1526458592997,-37,-28,-25,-47,-34,-39,-50,-54,-54,-53,-51,-52,-60,-57,-60,-69,-56,-66,-66,-63,-63,-200,-68,-63,-67,-200,-61,-67,-74,-72,-72,-71,-78,-82,-67,-78,-70,-72,-71,-77,-75,-200,-74,-71,-75,-81,-71,-72,-78,-200,-83,-80,-88,-90,-78,-89,-86,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-89,-91,-85,-74,-81,-84,-87,-89
1526458596062,-38,-28,-26,-47,-36,-38,-48,-52,-54,-53,-49,-53,-62,-58,-61,-69,-56,-66,-69,-60,-63,-200,-68,-68,-67,-200,-58,-67,-70,-72,-72,-71,-200,-200,-69,-77,-70,-69,-71,-72,-75,-84,-72,-70,-78,-81,-74,-72,-77,-200,-83,-80,-88,-88,-78,-86,-86,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-89,-200,-85,-74,-81,-84,-87,-89
1526458599108,-40,-29,-24,-46,-36,-38,-52,-51,-53,-52,-49,-54,-62,-58,-58,-69,-56,-66,-70,-60,-66,-79,-68,-68,-67,-73,-59,-74,-69,-72,-73,-71,-76,-70,-69,-73,-70,-69,-70,-72,-78,-84,-72,-72,-76,-81,-72,-72,-77,-200,-83,-80,-88,-87,-81,-86,-86,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-85,-74,-81,-84,-87,-89
1526458602153,-38,-30,-26,-44,-38,-36,-51,-52,-55,-52,-49,-54,-62,-60,-62,-69,-63,-65,-62,-63,-69,-79,-200,-72,-67,-73,-59,-74,-69,-72,-73,-200,-76,-70,-68,-69,-67,-69,-70,-72,-77,-84,-72,-72,-74,-76,-72,-72,-78,-200,-83,-80,-88,-87,-81,-86,-86,-73,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-85,-76,-81,-84,-87,-89
1526458605208,-38,-30,-29,-43,-35,-40,-51,-52,-55,-52,-48,-55,-62,-60,-60,-69,-55,-65,-64,-63,-69,-79,-200,-72,-67,-73,-59,-74,-65,-200,-73,-200,-76,-70,-68,-67,-68,-69,-70,-72,-77,-84,-76,-72,-74,-76,-72,-200,-78,-200,-83,-200,-88,-87,-81,-86,-86,-73,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-90,-85,-76,-200,-200,-87,-89
1526458608272,-39,-27,-25,-44,-36,-41,-51,-52,-56,-52,-50,-55,-76,-63,-62,-72,-62,-69,-64,-63,-69,-79,-200,-72,-67,-73,-56,-74,-68,-200,-83,-67,-78,-70,-72,-67,-68,-69,-70,-69,-77,-84,-76,-72,-74,-76,-74,-200,-78,-200,-200,-78,-200,-87,-81,-86,-200,-73,-200,-200,-200,-200,-200,-88,-200,-92,-200,-200,-200,-200,-90,-85,-76,-82,-200,-200,-200
1526458611328,-39,-29,-25,-43,-38,-37,-51,-50,-53,-51,-50,-56,-68,-59,-59,-72,-63,-69,-69,-63,-65,-80,-81,-68,-73,-77,-56,-74,-70,-200,-83,-67,-83,-70,-66,-68,-68,-200,-72,-69,-79,-84,-75,-72,-75,-83,-74,-200,-78,-200,-200,-78,-200,-87,-81,-85,-200,-66,-200,-85,-80,-200,-80,-88,-200,-92,-200,-200,-200,-200,-90,-85,-76,-82,-81,-200,-200
