,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526458824957,-35,-32,-34,-43,-47,-44,-50,-54,-50,-44,-54,-60,-58,-57,-54,-57,-58,-59,-59,-57,-58,-61,-62,-63,-61,-68,-65,-72,-60,-68,-73,-67,-68,-200,-72,-83,-60,-75,-61,-200,-75,-79,-75,-69,-84,-200,-76,-74,-80,-78,-71,-73,-71,-82,-200,-200,-200,-79,-200,-85,-200,-88,-200,-200,-200,-200,-200,-200,-90,-200,-200,-84,-200,-73,-200,-200,-200,-75,-77,-83,-200,-200,-200,-200
1526458828033,-33,-32,-35,-41,-48,-44,-49,-50,-47,-41,-51,-60,-60,-52,-50,-56,-57,-55,-58,-57,-59,-58,-63,-63,-61,-68,-70,-72,-63,-65,-73,-67,-70,-200,-73,-83,-60,-75,-60,-200,-75,-79,-75,-69,-83,-200,-76,-76,-80,-78,-79,-73,-75,-82,-200,-200,-200,-79,-200,-85,-200,-88,-200,-200,-200,-200,-200,-200,-90,-200,-200,-84,-72,-73,-200,-200,-200,-200,-72,-83,-200,-200,-200,-200
1526458831085,-33,-32,-35,-42,-48,-39,-45,-48,-46,-42,-53,-62,-64,-55,-49,-56,-58,-55,-57,-58,-59,-66,-63,-63,-66,-67,-70,-72,-62,-67,-68,-67,-69,-200,-73,-80,-60,-75,-56,-200,-75,-79,-74,-69,-82,-200,-78,-76,-200,-78,-79,-80,-75,-79,-200,-200,-200,-79,-200,-86,-200,-88,-200,-200,-87,-91,-200,-200,-90,-200,-200,-84,-72,-73,-200,-200,-200,-200,-71,-83,-83,-200,-200,-200
1526458834150,-33,-33,-34,-41,-49,-39,-49,-48,-46,-43,-59,-62,-62,-53,-52,-56,-58,-58,-59,-58,-60,-70,-63,-64,-66,-69,-74,-72,-66,-69,-68,-67,-71,-200,-72,-80,-60,-72,-56,-200,-77,-79,-74,-69,-82,-200,-79,-76,-200,-78,-79,-80,-75,-79,-86,-200,-200,-77,-200,-86,-200,-90,-200,-200,-87,-91,-200,-200,-87,-200,-200,-84,-72,-72,-200,-200,-200,-200,-71,-83,-83,-81,-200,-200
1526458837193,-32,-34,-35,-40,-49,-39,-47,-51,-46,-44,-63,-62,-58,-53,-52,-55,-60,-56,-59,-57,-68,-60,-63,-64,-66,-71,-74,-72,-66,-67,-68,-67,-71,-200,-71,-80,-60,-72,-56,-200,-77,-79,-74,-200,-82,-200,-78,-76,-200,-200,-79,-80,-75,-79,-86,-200,-200,-77,-200,-86,-200,-90,-200,-200,-87,-91,-200,-200,-87,-200,-200,-84,-72,-72,-200,-200,-200,-200,-71,-200,-83,-81,-200,-200
1526458840248,-31,-34,-35,-42,-46,-39,-44,-54,-47,-41,-53,-60,-58,-54,-56,-56,-60,-56,-57,-57,-63,-60,-62,-64,-66,-70,-74,-72,-60,-71,-77,-62,-67,-200,-71,-76,-200,-70,-56,-200,-77,-80,-74,-200,-82,-200,-78,-76,-71,-200,-79,-80,-74,-79,-86,-200,-200,-77,-200,-86,-200,-90,-200,-200,-87,-91,-200,-200,-87,-200,-200,-84,-72,-72,-200,-200,-200,-200,-71,-200,-83,-81,-82,-200
1526458843318,-32,-35,-33,-41,-49,-45,-47,-51,-46,-42,-57,-60,-56,-54,-56,-58,-60,-54,-57,-58,-58,-61,-62,-62,-63,-70,-74,-200,-62,-70,-72,-64,-67,-200,-71,-76,-66,-69,-56,-200,-72,-80,-74,-200,-82,-200,-78,-77,-71,-200,-200,-78,-74,-79,-86,-200,-200,-77,-200,-86,-200,-90,-200,-200,-87,-91,-200,-200,-87,-200,-200,-84,-200,-72,-87,-200,-85,-200,-71,-200,-83,-81,-82,-200
1526458846375,-32,-33,-35,-40,-49,-40,-51,-50,-46,-43,-55,-63,-57,-54,-55,-55,-66,-55,-59,-58,-61,-61,-62,-62,-64,-70,-74,-67,-62,-70,-72,-64,-70,-200,-74,-76,-73,-70,-200,-200,-72,-80,-74,-200,-82,-200,-78,-77,-71,-200,-200,-77,-73,-200,-86,-200,-200,-76,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-87,-200,-91,-85,-200,-72,-90,-79,-87,-200,-73,-85,-200,-81,-82,-200
1526458849419,-31,-34,-34,-42,-49,-45,-47,-49,-49,-41,-59,-59,-57,-56,-57,-53,-66,-54,-58,-58,-61,-54,-62,-62,-64,-70,-70,-68,-62,-73,-72,-66,-69,-200,-73,-76,-73,-74,-200,-200,-72,-80,-76,-68,-200,-78,-78,-77,-71,-200,-200,-77,-73,-200,-200,-200,-200,-76,-86,-200,-200,-86,-85,-200,-200,-200,-200,-200,-200,-200,-91,-82,-200,-200,-90,-77,-87,-80,-73,-85,-200,-200,-82,-81
1526458852477,-31,-32,-34,-40,-53,-41,-50,-49,-48,-41,-59,-59,-57,-56,-57,-53,-62,-57,-58,-58,-61,-61,-61,-62,-64,-70,-70,-68,-64,-68,-65,-66,-69,-200,-73,-79,-73,-70,-200,-200,-72,-80,-75,-68,-200,-78,-200,-77,-71,-200,-200,-77,-73,-200,-200,-200,-200,-76,-86,-200,-200,-86,-85,-200,-200,-200,-200,-200,-200,-200,-91,-84,-200,-200,-90,-77,-87,-80,-73,-85,-200,-200,-82,-81
1526458855527,-33,-32,-37,-40,-50,-41,-49,-48,-47,-41,-53,-62,-64,-57,-52,-57,-66,-54,-59,-57,-60,-61,-61,-62,-63,-71,-70,-68,-64,-66,-65,-66,-69,-200,-73,-83,-73,-69,-63,-200,-85,-80,-75,-66,-200,-78,-80,-77,-200,-200,-200,-77,-73,-200,-200,-81,-200,-78,-86,-200,-200,-86,-85,-200,-200,-200,-200,-200,-200,-200,-91,-84,-200,-70,-90,-77,-87,-80,-69,-85,-200,-200,-200,-81
1526458858580,-32,-31,-37,-40,-48,-45,-49,-52,-48,-41,-51,-63,-64,-56,-52,-54,-59,-55,-58,-58,-60,-61,-61,-64,-63,-71,-71,-68,-61,-68,-74,-66,-69,-200,-73,-83,-63,-71,-58,-200,-85,-80,-72,-66,-200,-78,-80,-200,-77,-200,-200,-75,-72,-200,-200,-81,-200,-78,-86,-200,-200,-86,-85,-200,-200,-92,-200,-200,-200,-78,-91,-84,-200,-70,-90,-76,-87,-80,-67,-81,-200,-200,-200,-81
