,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
1526453402866,-80,-83,-90,-200,-94,-200,-200,-85,-79,-72,-87,-91,-89,-200,-200,-200,-97,-79,-97,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526453402976,-83,-77,-88,-200,-200,-200,-96,-200,-200,-71,-87,-200,-90,-200,-83,-200,-95,-200,-200,-93,-200,-200,-200,-200,-200,-94,-95,-200,-200,-200
1526453403094,-200,-81,-200,-200,-200,-200,-200,-200,-200,-70,-87,-200,-200,-200,-83,-200,-95,-200,-96,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526453407402,-200,-79,-76,-78,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-85,-83,-200,-84,-200,-200,-200,-200,-200,-81,-200,-200,-90,-200,-200,-200
1526453407517,-72,-83,-200,-77,-200,-200,-200,-93,-75,-68,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526453407641,-73,-200,-77,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-83,-82,-200,-83,-200,-200,-200,-200,-85,-82,-200,-94,-200,-200,-200,-200
1526453407764,-71,-200,-75,-200,-200,-200,-200,-90,-200,-68,-200,-200,-200,-89,-200,-200,-200,-89,-200,-200,-200,-200,-86,-81,-200,-200,-200,-200,-200,-200
1526453407912,-200,-200,-75,-78,-200,-200,-200,-91,-76,-68,-200,-200,-200,-89,-200,-82,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526453407980,-71,-77,-79,-78,-89,-200,-95,-91,-77,-200,-74,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-87,-200,-85,-200,-200,-91,-200,-200,-200
1526453412467,-69,-74,-200,-85,-200,-200,-200,-200,-78,-200,-74,-200,-200,-200,-84,-86,-200,-82,-200,-200,-92,-90,-200,-86,-200,-200,-89,-200,-200,-200
1526453412571,-200,-75,-80,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-84,-84,-200,-79,-200,-200,-200,-88,-200,-200,-200,-200,-88,-91,-200,-200
1526453412677,-72,-74,-200,-200,-200,-200,-92,-200,-79,-200,-200,-200,-92,-200,-200,-200,-200,-81,-94,-200,-200,-88,-92,-86,-200,-200,-200,-200,-200,-200
1526453412778,-72,-74,-77,-83,-200,-93,-200,-200,-200,-67,-73,-200,-94,-200,-82,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-92,-200,-200,-200
1526453412881,-72,-80,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-87,-87,-84,-200,-200,-200,-200,-200,-200
1526453412992,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-85,-200,-200,-93,-200,-200,-200,-200,-85,-200,-98,-200,-91,-200,-200
1526453417404,-77,-81,-200,-200,-97,-200,-200,-200,-200,-200,-87,-92,-90,-200,-81,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526453417506,-200,-87,-200,-200,-200,-200,-200,-200,-81,-200,-87,-200,-200,-200,-83,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-98,-200
1526453417625,-78,-200,-88,-200,-200,-200,-200,-86,-78,-71,-200,-91,-200,-93,-81,-94,-200,-200,-98,-87,-200,-200,-200,-200,-200,-200,-94,-200,-99,-200
1526453417721,-200,-80,-88,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453417830,-200,-200,-87,-81,-200,-200,-200,-87,-200,-72,-200,-93,-91,-200,-82,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526453418005,-200,-80,-85,-80,-200,-93,-200,-87,-73,-70,-87,-93,-93,-200,-80,-200,-95,-80,-93,-88,-200,-200,-200,-200,-200,-97,-200,-200,-99,-200
1526453422460,-200,-86,-74,-200,-200,-200,-200,-200,-73,-67,-200,-200,-200,-200,-78,-85,-200,-88,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453422567,-72,-87,-74,-78,-200,-200,-200,-200,-74,-68,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-88,-88,-88,-81,-200,-200,-200,-200,-200,-200
1526453422689,-71,-89,-74,-200,-92,-200,-200,-92,-200,-200,-78,-200,-200,-200,-79,-200,-200,-86,-200,-200,-91,-200,-91,-200,-200,-200,-91,-200,-200,-200
1526453422793,-72,-88,-200,-200,-200,-200,-200,-90,-200,-67,-78,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-87,-200,-81,-200,-95,-200,-200,-200,-200
1526453422903,-72,-88,-200,-73,-92,-200,-200,-200,-74,-67,-200,-200,-200,-200,-80,-200,-200,-82,-200,-200,-200,-200,-91,-80,-200,-91,-200,-200,-96,-200
1526453427424,-200,-72,-200,-73,-200,-95,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526453427529,-75,-72,-200,-73,-200,-200,-94,-200,-73,-66,-200,-200,-200,-93,-200,-82,-200,-79,-200,-200,-200,-200,-85,-200,-200,-91,-200,-200,-200,-200
1526453427689,-74,-200,-77,-75,-200,-200,-93,-86,-73,-66,-74,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-87,-200,-200,-200
1526453427841,-75,-73,-200,-74,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-81,-200,-79,-200,-200,-200,-200,-200,-200,-97,-200,-200,-90,-200,-200
1526453427935,-200,-73,-200,-200,-200,-200,-200,-200,-73,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-87,-200,-200,-200
1526453432415,-82,-79,-200,-200,-200,-200,-200,-86,-78,-71,-200,-200,-88,-97,-83,-89,-200,-80,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453432520,-200,-80,-200,-200,-200,-94,-200,-87,-92,-71,-200,-200,-200,-200,-200,-93,-200,-80,-94,-90,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526453432620,-81,-79,-200,-79,-200,-200,-200,-200,-200,-74,-200,-200,-94,-200,-200,-200,-95,-81,-94,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526453432716,-79,-78,-200,-80,-200,-200,-200,-87,-79,-72,-200,-200,-90,-200,-200,-89,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453432840,-78,-76,-200,-82,-200,-200,-200,-200,-79,-74,-86,-90,-91,-200,-80,-200,-200,-78,-200,-200,-200,-200,-98,-200,-200,-97,-200,-200,-200,-200
1526453432931,-82,-79,-200,-80,-200,-200,-200,-200,-200,-70,-200,-90,-89,-200,-200,-200,-200,-81,-200,-88,-200,-200,-200,-200,-200,-94,-200,-200,-200,-97
1526453433043,-200,-200,-200,-200,-97,-200,-200,-85,-78,-74,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526453437408,-73,-81,-74,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-91,-200,-200,-200,-89,-200,-200,-200,-88,-200,-200,-200,-92,-200,-200,-200,-200
1526453437529,-72,-200,-74,-76,-200,-200,-200,-200,-75,-69,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-82,-200,-91,-200,-200,-200,-200
1526453437611,-200,-81,-74,-76,-200,-200,-200,-200,-76,-200,-81,-200,-200,-200,-83,-81,-200,-200,-200,-200,-200,-89,-200,-82,-200,-89,-200,-200,-200,-200
1526453437761,-72,-80,-200,-200,-200,-200,-200,-200,-75,-200,-79,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453437889,-200,-81,-74,-77,-200,-200,-97,-200,-200,-70,-80,-200,-200,-200,-200,-81,-200,-200,-200,-200,-94,-200,-87,-81,-200,-200,-200,-200,-97,-200
1526453437993,-72,-72,-200,-200,-91,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-88,-200,-81,-200,-200,-200,-200,-200,-200
1526453442444,-73,-200,-76,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526453442541,-73,-200,-200,-200,-200,-200,-200,-84,-82,-69,-200,-200,-95,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453442663,-71,-200,-76,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-81,-86,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453442782,-73,-72,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-94,-200,-82,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200
1526453442889,-200,-72,-200,-200,-91,-200,-200,-200,-200,-68,-200,-200,-200,-200,-81,-200,-200,-82,-200,-200,-200,-87,-200,-200,-200,-200,-200,-90,-200,-200
1526453447408,-200,-78,-87,-79,-200,-97,-200,-89,-79,-72,-200,-93,-200,-200,-83,-200,-95,-82,-97,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526453447540,-81,-77,-88,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-97,-200,-200,-200,-81,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453447633,-82,-76,-88,-200,-200,-200,-200,-88,-79,-200,-87,-92,-91,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200
1526453447733,-80,-80,-87,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-96,-200,-200,-200,-200,-200,-200,-94,-200,-200,-97,-200,-200,-200,-200,-200,-200
1526453447859,-78,-77,-89,-200,-96,-200,-200,-88,-200,-200,-200,-200,-93,-200,-82,-200,-200,-200,-98,-89,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453448026,-200,-78,-200,-81,-200,-200,-200,-87,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
