,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526464116391,-25,-33,-49,-56,-60,-60,-59,-61,-66,-62,-64,-82,-75,-77,-74,-87,-75,-84,-70,-74,-75,-83,-73,-73,-73,-72,-75,-84,-66,-69,-66,-70,-91,-75,-70,-82,-83,-200,-200,-78,-75,-87,-88,-66,-87,-200,-200,-200,-200,-81,-86,-200,-86,-200,-200,-200,-200,-89,-79,-200,-90,-200,-88,-84,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526464119422,-31,-31,-54,-52,-64,-59,-58,-59,-61,-59,-64,-79,-71,-57,-73,-86,-75,-84,-64,-80,-72,-200,-69,-77,-81,-73,-71,-84,-67,-69,-73,-77,-82,-75,-70,-84,-83,-200,-200,-73,-81,-87,-87,-66,-200,-200,-200,-200,-200,-83,-86,-200,-86,-200,-200,-200,-200,-91,-79,-200,-90,-200,-88,-84,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526464122452,-28,-37,-48,-58,-57,-59,-65,-59,-72,-62,-68,-79,-75,-62,-85,-86,-200,-82,-67,-80,-78,-85,-82,-75,-81,-71,-75,-84,-68,-57,-73,-80,-82,-78,-80,-84,-83,-200,-86,-87,-81,-87,-87,-66,-200,-200,-200,-200,-200,-83,-200,-88,-200,-200,-200,-200,-200,-89,-79,-200,-200,-200,-88,-84,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526464125464,-33,-41,-56,-53,-58,-65,-57,-61,-68,-62,-67,-79,-75,-63,-78,-86,-76,-80,-67,-73,-81,-78,-79,-75,-85,-77,-76,-200,-68,-59,-78,-80,-82,-78,-66,-84,-83,-200,-86,-87,-79,-87,-87,-71,-200,-200,-200,-200,-200,-83,-200,-86,-200,-200,-200,-200,-200,-89,-79,-200,-200,-200,-88,-200,-200,-79,-86,-87,-90,-200,-200,-200,-200,-200
1526464128495,-33,-41,-56,-53,-58,-65,-57,-61,-68,-62,-67,-79,-75,-63,-78,-86,-76,-80,-67,-73,-81,-78,-79,-75,-85,-77,-76,-200,-68,-59,-78,-80,-82,-78,-66,-84,-83,-200,-86,-87,-79,-87,-87,-71,-200,-200,-200,-200,-200,-83,-200,-86,-200,-200,-200,-200,-200,-89,-79,-200,-200,-200,-88,-200,-200,-79,-86,-87,-90,-200,-200,-200,-200,-200
1526464131524,-33,-41,-56,-53,-58,-65,-57,-61,-68,-62,-67,-79,-75,-63,-78,-86,-76,-80,-67,-73,-81,-78,-79,-75,-85,-77,-76,-200,-68,-59,-78,-80,-82,-78,-66,-84,-83,-200,-86,-87,-79,-87,-87,-71,-200,-200,-200,-200,-200,-83,-200,-86,-200,-200,-200,-200,-200,-89,-79,-200,-200,-200,-88,-200,-200,-79,-86,-87,-90,-200,-200,-200,-200,-200
1526464134554,-33,-41,-56,-53,-58,-65,-57,-61,-68,-62,-67,-79,-75,-63,-78,-86,-76,-80,-67,-73,-81,-78,-79,-75,-85,-77,-76,-200,-68,-59,-78,-80,-82,-78,-66,-84,-83,-200,-86,-87,-79,-87,-87,-71,-200,-200,-200,-200,-200,-83,-200,-86,-200,-200,-200,-200,-200,-89,-79,-200,-200,-200,-88,-200,-200,-79,-86,-87,-90,-200,-200,-200,-200,-200
1526464137564,-26,-40,-49,-45,-56,-58,-55,-61,-58,-66,-71,-78,-75,-63,-78,-86,-82,-77,-56,-74,-81,-78,-71,-70,-85,-71,-67,-200,-64,-69,-71,-75,-82,-83,-67,-77,-81,-200,-86,-87,-80,-200,-87,-71,-200,-200,-200,-200,-200,-83,-200,-86,-87,-200,-200,-200,-200,-89,-200,-88,-90,-200,-86,-89,-80,-79,-88,-87,-90,-87,-89,-200,-200,-200
1526464140575,-30,-33,-48,-55,-56,-67,-61,-200,-70,-63,-71,-78,-73,-74,-72,-86,-75,-77,-68,-76,-200,-200,-77,-69,-200,-66,-77,-200,-69,-71,-80,-76,-200,-79,-66,-77,-81,-200,-200,-200,-80,-200,-200,-71,-200,-84,-200,-200,-200,-81,-200,-78,-87,-200,-200,-200,-200,-200,-200,-88,-90,-86,-86,-89,-80,-200,-88,-200,-200,-86,-89,-88,-200,-200
1526464143606,-21,-40,-51,-57,-58,-57,-60,-64,-58,-63,-75,-83,-67,-74,-76,-86,-72,-77,-68,-75,-200,-82,-77,-68,-86,-70,-75,-81,-70,-71,-72,-76,-200,-79,-66,-82,-81,-200,-200,-200,-80,-200,-88,-71,-200,-84,-200,-200,-200,-81,-200,-78,-87,-200,-200,-200,-200,-200,-200,-88,-90,-86,-80,-89,-80,-200,-88,-200,-200,-86,-89,-88,-200,-200
1526464146616,-31,-39,-49,-54,-56,-40,-56,-64,-67,-65,-76,-83,-67,-77,-78,-86,-77,-82,-82,-75,-85,-82,-71,-74,-86,-71,-74,-81,-72,-68,-76,-73,-200,-75,-79,-82,-81,-200,-200,-200,-80,-200,-88,-79,-200,-84,-200,-200,-200,-83,-200,-78,-87,-200,-200,-200,-200,-200,-200,-88,-90,-90,-79,-89,-80,-200,-88,-200,-200,-90,-89,-88,-86,-90
1526464149628,-30,-34,-42,-50,-59,-60,-57,-67,-64,-67,-70,-82,-72,-75,-87,-200,-75,-81,-65,-75,-74,-81,-65,-73,-77,-74,-72,-80,-69,-64,-73,-73,-200,-81,-67,-77,-82,-200,-200,-200,-80,-90,-88,-74,-200,-200,-200,-200,-200,-83,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-89,-79,-90,-88,-200,-200,-200,-200,-90,-200,-82,-86,-90
