,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018
1526452308839,-46,-41,-48,-45,-49,-65,-35,-61,-54,-60,-75,-47,-57,-58,-71,-63,-200,-200,-63,-83,-65,-64,-200,-69,-60,-72,-200,-68,-78,-200,-82,-68,-76,-71,-200,-81,-80,-83,-200,-70,-200,-83,-200,-76,-200,-83,-200,-87,-200,-76,-90,-200,-68,-200,-200,-200,-44,-200,-89,-200,-85,-69,-200,-200,-200,-79,-200,-64,-71,-80,-200,-200,-200,-200,-78,-85,-87,-80,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452311843,-44,-42,-41,-46,-49,-60,-36,-56,-54,-55,-78,-51,-58,-62,-55,-66,-200,-65,-62,-64,-65,-76,-62,-72,-57,-68,-200,-67,-78,-75,-82,-69,-76,-63,-200,-78,-200,-83,-200,-70,-74,-83,-85,-76,-200,-65,-200,-87,-200,-58,-90,-200,-73,-200,-200,-200,-51,-68,-89,-200,-200,-69,-200,-200,-200,-80,-200,-64,-71,-80,-200,-88,-200,-200,-200,-200,-200,-80,-87,-91,-74,-200,-200,-200,-200,-200,-200,-200
1526452314849,-41,-43,-37,-50,-54,-54,-34,-56,-54,-56,-77,-51,-58,-60,-66,-66,-71,-65,-64,-64,-66,-58,-61,-75,-58,-68,-73,-70,-78,-75,-78,-69,-76,-72,-200,-78,-200,-78,-200,-70,-74,-83,-85,-73,-200,-63,-200,-87,-200,-58,-90,-59,-73,-200,-200,-200,-49,-68,-89,-78,-200,-69,-200,-200,-200,-80,-200,-64,-72,-80,-88,-88,-200,-200,-64,-200,-200,-80,-87,-91,-74,-200,-200,-200,-200,-200,-200,-200
1526452317853,-41,-41,-37,-59,-49,-54,-33,-55,-54,-53,-75,-53,-57,-60,-67,-61,-58,-59,-54,-200,-59,-58,-65,-68,-57,-70,-73,-66,-200,-200,-78,-200,-76,-62,-200,-200,-200,-79,-200,-73,-74,-200,-200,-73,-200,-63,-200,-200,-200,-58,-200,-59,-75,-200,-81,-200,-49,-200,-200,-78,-200,-200,-200,-200,-78,-200,-200,-200,-72,-200,-88,-86,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452320856,-45,-42,-37,-50,-51,-50,-33,-81,-55,-56,-79,-55,-57,-200,-73,-60,-58,-59,-61,-65,-69,-200,-65,-67,-57,-86,-200,-63,-200,-200,-200,-200,-200,-81,-200,-200,-200,-80,-200,-64,-79,-77,-200,-200,-200,-63,-82,-200,-200,-59,-200,-200,-75,-200,-83,-200,-49,-72,-77,-200,-200,-200,-200,-82,-78,-77,-200,-200,-73,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452323861,-44,-38,-40,-67,-57,-50,-33,-69,-58,-52,-77,-49,-56,-200,-70,-61,-68,-59,-66,-64,-69,-63,-65,-67,-58,-68,-200,-81,-70,-73,-200,-200,-77,-70,-200,-89,-200,-81,-89,-83,-79,-77,-200,-200,-85,-72,-87,-200,-200,-61,-200,-200,-75,-83,-83,-200,-51,-73,-72,-200,-200,-200,-200,-82,-91,-89,-90,-200,-79,-200,-200,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526452326866,-49,-39,-39,-50,-56,-200,-33,-58,-60,-51,-76,-49,-54,-53,-72,-61,-64,-61,-64,-64,-68,-63,-67,-200,-53,-68,-200,-81,-70,-73,-200,-67,-82,-79,-200,-89,-200,-51,-79,-79,-81,-200,-77,-70,-85,-72,-87,-200,-200,-61,-200,-200,-200,-83,-200,-200,-51,-73,-72,-200,-85,-200,-83,-85,-91,-88,-90,-67,-79,-200,-200,-89,-79,-200,-200,-200,-200,-77,-87,-200,-200,-91,-87,-88,-200,-200,-200,-200
1526452329926,-45,-41,-40,-78,-52,-63,-41,-60,-57,-54,-76,-64,-53,-53,-69,-56,-64,-65,-67,-64,-68,-63,-67,-200,-51,-70,-200,-81,-72,-73,-200,-67,-82,-80,-200,-89,-200,-78,-84,-79,-81,-200,-77,-67,-85,-72,-87,-81,-200,-59,-200,-200,-200,-83,-82,-200,-53,-73,-71,-200,-85,-200,-83,-85,-91,-88,-90,-67,-74,-200,-200,-89,-79,-200,-65,-200,-200,-77,-87,-200,-200,-91,-87,-88,-84,-91,-200,-200
1526452332984,-41,-41,-42,-54,-49,-63,-36,-55,-68,-53,-74,-52,-52,-58,-64,-76,-65,-58,-64,-66,-68,-200,-67,-200,-51,-70,-200,-200,-70,-200,-200,-67,-73,-80,-200,-200,-200,-73,-84,-79,-74,-80,-77,-68,-200,-62,-200,-81,-200,-59,-200,-200,-200,-200,-82,-200,-48,-73,-71,-200,-85,-200,-84,-85,-200,-88,-200,-67,-75,-200,-200,-89,-79,-200,-65,-200,-200,-77,-87,-200,-200,-90,-88,-85,-84,-91,-79,-200
1526452336036,-40,-42,-38,-46,-45,-58,-42,-57,-60,-53,-85,-53,-54,-58,-66,-63,-62,-62,-64,-64,-73,-200,-75,-74,-55,-68,-200,-200,-70,-200,-200,-200,-73,-81,-200,-200,-200,-79,-200,-72,-74,-80,-81,-65,-200,-63,-200,-79,-200,-59,-200,-200,-200,-200,-200,-200,-53,-73,-85,-92,-200,-67,-84,-82,-200,-200,-200,-200,-68,-200,-200,-85,-200,-200,-200,-92,-200,-200,-87,-200,-200,-90,-88,-85,-88,-200,-82,-200
1526452339044,-44,-38,-39,-50,-47,-57,-39,-55,-60,-53,-74,-53,-56,-61,-73,-62,-63,-62,-65,-79,-73,-67,-75,-74,-52,-68,-200,-64,-200,-200,-200,-200,-200,-81,-200,-200,-200,-81,-200,-72,-200,-76,-81,-65,-200,-63,-200,-80,-200,-200,-200,-58,-78,-200,-90,-200,-54,-73,-72,-77,-200,-66,-200,-82,-200,-200,-200,-200,-73,-200,-200,-85,-80,-200,-200,-84,-200,-200,-87,-200,-200,-200,-200,-200,-88,-200,-82,-200
1526452342066,-42,-45,-39,-48,-52,-62,-39,-58,-56,-53,-75,-63,-54,-61,-65,-62,-63,-80,-65,-79,-200,-67,-71,-200,-53,-69,-200,-66,-200,-68,-200,-200,-200,-66,-200,-200,-200,-76,-200,-70,-200,-76,-200,-200,-200,-63,-200,-80,-200,-57,-200,-58,-78,-200,-88,-200,-51,-74,-74,-77,-200,-66,-200,-200,-200,-81,-200,-200,-73,-200,-200,-89,-80,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82
