,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526453291004,-29,-46,-54,-46,-53,-71,-64,-58,-58,-75,-60,-58,-200,-71,-73,-200,-62,-86,-70,-84,-200,-200,-77,-200,-200,-87,-77,-58,-79,-54,-71,-200,-84,-200,-83,-200,-200,-200,-82,-64,-200,-83,-85,-200,-200,-200,-84,-200,-83,-78,-200,-85,-82,-200,-70,-65,-74,-67,-78,-77,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453294009,-35,-47,-55,-46,-55,-59,-57,-61,-57,-75,-60,-62,-65,-74,-71,-200,-62,-86,-69,-73,-200,-200,-73,-200,-78,-87,-84,-60,-79,-83,-71,-200,-84,-200,-83,-200,-200,-200,-82,-67,-200,-83,-85,-200,-200,-200,-84,-200,-83,-81,-200,-83,-82,-81,-66,-65,-74,-69,-90,-77,-200,-200,-82,-200,-200,-87,-83,-79,-200,-200,-200,-200,-200,-69,-200,-89,-86,-78,-200,-77,-200,-90,-200,-200,-200,-84,-88,-88,-200,-200,-200,-200,-200,-200,-200
1526453297045,-32,-45,-55,-47,-55,-57,-82,-61,-58,-200,-62,-63,-65,-75,-72,-200,-59,-200,-77,-85,-200,-65,-73,-64,-70,-86,-84,-61,-200,-80,-72,-200,-200,-200,-200,-200,-200,-200,-200,-68,-74,-200,-200,-200,-200,-200,-85,-200,-200,-78,-200,-83,-200,-81,-62,-64,-79,-69,-74,-77,-200,-200,-82,-200,-200,-200,-81,-79,-200,-200,-200,-200,-200,-73,-200,-89,-86,-78,-200,-77,-200,-200,-200,-200,-200,-84,-88,-88,-83,-90,-200,-200,-200,-200,-200
1526453300049,-31,-50,-55,-44,-55,-56,-82,-59,-66,-67,-64,-70,-65,-75,-69,-74,-59,-80,-55,-83,-200,-65,-76,-62,-70,-86,-84,-58,-79,-79,-72,-81,-200,-200,-200,-200,-200,-55,-200,-64,-79,-83,-200,-200,-200,-200,-85,-200,-200,-78,-200,-83,-91,-81,-64,-60,-75,-66,-74,-77,-200,-200,-82,-200,-200,-200,-81,-79,-200,-200,-74,-200,-200,-73,-80,-89,-86,-78,-89,-79,-200,-200,-200,-200,-200,-84,-88,-88,-83,-90,-80,-200,-200,-200,-200
1526453303101,-37,-49,-56,-45,-57,-56,-72,-61,-53,-69,-68,-71,-65,-75,-71,-74,-59,-80,-72,-87,-200,-65,-74,-63,-77,-86,-200,-58,-79,-79,-72,-80,-200,-200,-88,-200,-200,-83,-200,-64,-79,-83,-200,-200,-200,-78,-85,-200,-84,-78,-200,-200,-91,-200,-63,-60,-75,-67,-74,-78,-200,-200,-79,-200,-200,-200,-81,-79,-200,-200,-74,-200,-200,-63,-80,-200,-200,-200,-89,-91,-79,-200,-200,-200,-200,-200,-200,-88,-83,-90,-80,-88,-200,-200,-200
1526453306109,-32,-49,-54,-44,-81,-58,-54,-63,-53,-68,-67,-71,-63,-200,-71,-74,-200,-81,-78,-83,-200,-67,-76,-61,-77,-200,-200,-58,-200,-80,-79,-83,-82,-200,-88,-76,-200,-78,-86,-64,-77,-200,-200,-200,-200,-78,-87,-200,-83,-200,-200,-85,-80,-200,-64,-60,-200,-67,-74,-76,-78,-200,-79,-200,-89,-200,-84,-79,-200,-200,-74,-200,-200,-65,-200,-85,-84,-200,-200,-80,-79,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526453309157,-30,-50,-56,-43,-82,-56,-55,-62,-52,-68,-64,-74,-65,-200,-70,-200,-74,-81,-72,-83,-200,-70,-76,-62,-200,-200,-92,-58,-200,-78,-76,-83,-82,-200,-200,-76,-200,-82,-90,-88,-77,-200,-200,-200,-200,-200,-87,-200,-85,-80,-200,-85,-80,-200,-64,-60,-200,-66,-74,-76,-78,-200,-75,-200,-89,-87,-82,-79,-200,-200,-76,-81,-200,-63,-200,-88,-83,-80,-200,-80,-200,-200,-83,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526453312204,-29,-49,-55,-45,-56,-50,-55,-62,-53,-65,-66,-62,-74,-200,-68,-73,-74,-81,-71,-83,-200,-70,-75,-58,-200,-200,-76,-61,-200,-79,-76,-200,-200,-200,-200,-200,-88,-82,-90,-66,-75,-83,-200,-200,-200,-80,-200,-200,-85,-77,-200,-200,-81,-200,-59,-65,-76,-66,-74,-77,-78,-200,-78,-200,-200,-87,-75,-79,-200,-200,-76,-81,-200,-63,-87,-88,-83,-80,-200,-80,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-77,-200,-86,-200,-200
1526453315263,-36,-49,-58,-45,-58,-56,-55,-62,-54,-69,-67,-57,-73,-73,-67,-66,-74,-81,-73,-81,-200,-65,-59,-61,-200,-91,-82,-57,-200,-77,-75,-200,-200,-200,-200,-200,-88,-84,-84,-66,-75,-83,-200,-200,-200,-80,-200,-200,-85,-77,-200,-200,-81,-200,-61,-57,-78,-65,-73,-77,-78,-200,-78,-86,-200,-87,-75,-83,-200,-200,-72,-81,-200,-73,-87,-84,-82,-80,-200,-80,-200,-200,-200,-200,-200,-200,-200,-85,-79,-200,-77,-200,-86,-200,-200
1526453318283,-38,-42,-54,-48,-58,-52,-62,-53,-56,-69,-54,-59,-66,-68,-68,-66,-200,-200,-77,-82,-200,-69,-76,-61,-85,-91,-82,-61,-200,-78,-76,-200,-77,-200,-86,-200,-88,-84,-84,-68,-75,-83,-200,-200,-200,-80,-200,-200,-200,-77,-200,-85,-81,-200,-62,-57,-74,-65,-73,-76,-75,-200,-82,-86,-200,-83,-75,-83,-200,-200,-74,-200,-200,-73,-87,-84,-82,-76,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-79,-200,-77,-200,-86,-91,-200
1526453321353,-28,-44,-53,-47,-59,-50,-56,-55,-53,-88,-60,-61,-65,-68,-69,-71,-200,-83,-80,-81,-200,-69,-79,-200,-85,-87,-200,-61,-200,-79,-73,-200,-77,-200,-86,-200,-200,-200,-200,-67,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-72,-63,-75,-65,-200,-73,-75,-200,-82,-200,-200,-83,-75,-80,-80,-200,-74,-200,-200,-200,-200,-200,-82,-76,-200,-80,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-90,-84
1526453324358,-28,-49,-54,-48,-59,-52,-61,-54,-54,-88,-60,-57,-66,-79,-68,-74,-200,-87,-77,-81,-200,-65,-75,-60,-200,-87,-200,-58,-200,-81,-69,-200,-200,-200,-200,-200,-200,-200,-200,-62,-75,-200,-200,-200,-200,-80,-200,-200,-85,-77,-200,-200,-83,-200,-61,-63,-75,-64,-73,-75,-200,-200,-200,-200,-200,-200,-74,-80,-80,-200,-76,-200,-200,-200,-82,-200,-82,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-84
