,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526464649980,-43,-51,-40,-56,-74,-56,-56,-57,-77,-53,-65,-69,-68,-78,-73,-76,-72,-69,-71,-76,-76,-79,-71,-75,-76,-66,-83,-73,-83,-200,-67,-85,-87,-80,-65,-200,-80,-81,-200,-88,-200,-81,-88,-200,-89,-80,-86,-200,-200,-89,-200,-200,-200,-200,-200,-85,-88,-88,-90,-87,-84,-200,-200,-200,-200
1526464652996,-46,-51,-42,-56,-71,-56,-53,-57,-77,-67,-62,-74,-68,-78,-68,-76,-72,-69,-73,-76,-76,-79,-69,-75,-76,-66,-83,-70,-83,-200,-71,-85,-86,-80,-69,-76,-80,-81,-200,-84,-200,-81,-88,-84,-89,-84,-86,-200,-200,-89,-200,-200,-200,-200,-200,-85,-88,-88,-90,-87,-84,-200,-200,-200,-200
1526464656048,-46,-51,-42,-56,-71,-56,-53,-57,-77,-67,-62,-74,-68,-78,-68,-76,-72,-69,-73,-76,-76,-79,-69,-75,-76,-66,-83,-70,-83,-200,-71,-85,-86,-80,-69,-76,-80,-81,-200,-84,-200,-81,-88,-84,-89,-84,-86,-200,-200,-89,-200,-200,-200,-200,-200,-85,-88,-88,-90,-87,-84,-200,-200,-200,-200
1526464659073,-42,-53,-42,-54,-70,-56,-58,-68,-67,-60,-63,-68,-66,-74,-77,-200,-74,-66,-73,-75,-76,-74,-69,-83,-83,-64,-83,-73,-76,-84,-69,-85,-86,-75,-71,-76,-80,-200,-200,-84,-200,-79,-200,-82,-88,-84,-86,-200,-200,-89,-200,-200,-200,-200,-200,-85,-200,-83,-90,-200,-92,-85,-85,-200,-200
1526464662119,-42,-46,-44,-55,-70,-54,-57,-62,-67,-56,-60,-65,-66,-74,-80,-200,-73,-66,-73,-74,-200,-66,-69,-83,-83,-68,-81,-73,-76,-87,-67,-81,-86,-75,-71,-76,-200,-200,-200,-84,-200,-79,-200,-82,-88,-79,-86,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-90,-90,-200,-92,-85,-85,-86,-95
1526464665154,-42,-46,-44,-55,-70,-54,-57,-62,-67,-56,-60,-65,-66,-74,-80,-200,-73,-66,-73,-74,-200,-66,-69,-83,-83,-68,-81,-73,-76,-87,-67,-81,-86,-75,-71,-76,-200,-200,-200,-84,-200,-79,-200,-82,-88,-79,-86,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-90,-90,-200,-92,-85,-85,-86,-95
1526464668206,-42,-46,-44,-55,-70,-54,-57,-62,-67,-56,-60,-65,-66,-74,-80,-200,-73,-66,-73,-74,-200,-66,-69,-83,-83,-68,-81,-73,-76,-87,-67,-81,-86,-75,-71,-76,-200,-200,-200,-84,-200,-79,-200,-82,-88,-79,-86,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-90,-90,-200,-92,-85,-85,-86,-95
1526464671253,-42,-61,-45,-54,-200,-56,-63,-65,-65,-61,-61,-65,-67,-71,-76,-78,-76,-66,-72,-79,-79,-66,-200,-81,-80,-71,-79,-68,-200,-80,-69,-81,-200,-75,-72,-81,-86,-200,-90,-85,-200,-200,-85,-83,-88,-79,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-86,-200,-200,-87,-200,-200,-86,-95
1526464674301,-42,-61,-53,-54,-74,-57,-63,-64,-65,-59,-58,-67,-67,-71,-76,-78,-76,-67,-72,-80,-79,-66,-74,-81,-80,-71,-75,-74,-200,-80,-68,-81,-200,-75,-77,-81,-86,-200,-90,-85,-200,-200,-85,-83,-88,-79,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-86,-200,-200,-87,-200,-200,-86,-95
1526464677348,-42,-61,-53,-54,-74,-57,-63,-64,-65,-59,-58,-67,-67,-71,-76,-78,-76,-67,-72,-80,-79,-66,-74,-81,-80,-71,-75,-74,-200,-80,-68,-81,-200,-75,-77,-81,-86,-200,-90,-85,-200,-200,-85,-83,-88,-79,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-86,-200,-200,-87,-200,-200,-86,-95
1526464680393,-42,-61,-53,-54,-74,-57,-63,-64,-65,-59,-58,-67,-67,-71,-76,-78,-76,-67,-72,-80,-79,-66,-74,-81,-80,-71,-75,-74,-200,-80,-68,-81,-200,-75,-77,-81,-86,-200,-90,-85,-200,-200,-85,-83,-88,-79,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-86,-200,-200,-87,-200,-200,-86,-95
1526464683438,-41,-58,-54,-54,-71,-55,-57,-63,-64,-59,-65,-76,-65,-200,-77,-200,-73,-67,-72,-79,-200,-70,-74,-81,-76,-65,-77,-75,-78,-200,-67,-84,-200,-74,-77,-200,-200,-200,-82,-200,-200,-200,-86,-84,-83,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
