,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526464972194,-45,-36,-52,-55,-57,-64,-65,-57,-56,-58,-56,-65,-64,-62,-60,-69,-74,-75,-200,-75,-66,-76,-66,-72,-78,-78,-200,-78,-71,-200,-82,-200,-78,-76,-83,-82,-200,-73,-82,-76,-200,-200,-200,-200,-200,-86,-75,-200,-200,-83,-86,-92,-86,-89,-90,-200,-200,-200,-200
1526464975240,-45,-36,-52,-55,-57,-64,-65,-57,-56,-58,-56,-65,-64,-62,-60,-69,-74,-75,-200,-75,-66,-76,-66,-72,-78,-78,-200,-78,-71,-200,-82,-200,-78,-76,-83,-82,-200,-73,-82,-76,-200,-200,-200,-200,-200,-86,-75,-200,-200,-83,-86,-92,-86,-89,-90,-200,-200,-200,-200
1526464978283,-45,-36,-52,-55,-57,-64,-65,-57,-56,-58,-56,-65,-64,-62,-60,-69,-74,-75,-200,-75,-66,-76,-66,-72,-78,-78,-200,-78,-71,-200,-82,-200,-78,-76,-83,-82,-200,-73,-82,-76,-200,-200,-200,-200,-200,-86,-75,-200,-200,-83,-86,-92,-86,-89,-90,-200,-200,-200,-200
1526464981327,-45,-35,-52,-58,-58,-69,-60,-69,-57,-64,-60,-63,-65,-63,-67,-67,-74,-62,-78,-73,-69,-76,-72,-73,-69,-79,-200,-80,-200,-78,-82,-88,-200,-78,-84,-200,-200,-73,-84,-76,-84,-85,-200,-200,-200,-77,-75,-200,-200,-200,-200,-200,-83,-84,-200,-87,-200,-200,-200
1526464984354,-47,-37,-51,-58,-58,-62,-64,-62,-57,-62,-60,-63,-65,-63,-67,-64,-74,-62,-79,-73,-69,-76,-72,-73,-72,-79,-200,-80,-200,-78,-82,-88,-200,-73,-84,-200,-200,-73,-84,-76,-84,-85,-200,-200,-200,-77,-75,-200,-200,-200,-200,-200,-83,-84,-200,-87,-200,-200,-200
1526464987394,-47,-37,-51,-58,-58,-62,-64,-62,-57,-62,-60,-63,-65,-63,-67,-64,-74,-62,-79,-73,-69,-76,-72,-73,-72,-79,-200,-80,-200,-78,-82,-88,-200,-73,-84,-200,-200,-73,-84,-76,-84,-85,-200,-200,-200,-77,-75,-200,-200,-200,-200,-200,-83,-84,-200,-87,-200,-200,-200
1526464990442,-47,-37,-51,-58,-58,-62,-64,-62,-57,-62,-60,-63,-65,-63,-67,-64,-74,-62,-79,-73,-69,-76,-72,-73,-72,-79,-200,-80,-200,-78,-82,-88,-200,-73,-84,-200,-200,-73,-84,-76,-84,-85,-200,-200,-200,-77,-75,-200,-200,-200,-200,-200,-83,-84,-200,-87,-200,-200,-200
1526464993488,-57,-39,-48,-53,-56,-61,-61,-57,-59,-64,-59,-200,-67,-74,-71,-64,-73,-63,-79,-70,-71,-200,-67,-79,-73,-76,-75,-200,-200,-200,-200,-200,-76,-72,-200,-81,-79,-200,-81,-81,-200,-200,-88,-200,-200,-87,-200,-83,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526464996527,-54,-36,-55,-54,-52,-61,-61,-53,-55,-56,-59,-63,-69,-61,-62,-65,-73,-64,-70,-70,-71,-200,-67,-79,-73,-78,-75,-74,-67,-75,-200,-200,-79,-72,-200,-81,-79,-200,-81,-81,-200,-200,-88,-200,-200,-87,-200,-83,-200,-200,-88,-200,-200,-200,-86,-83,-78,-82,-200
1526464999567,-54,-36,-55,-54,-52,-61,-61,-53,-55,-56,-59,-63,-69,-61,-62,-65,-73,-64,-70,-70,-71,-200,-67,-79,-73,-78,-75,-74,-67,-75,-200,-200,-79,-72,-200,-81,-79,-200,-81,-81,-200,-200,-88,-200,-200,-87,-200,-83,-200,-200,-88,-200,-200,-200,-86,-83,-78,-82,-200
1526465002607,-54,-36,-55,-54,-52,-61,-61,-53,-55,-56,-59,-63,-69,-61,-62,-65,-73,-64,-70,-70,-71,-200,-67,-79,-73,-78,-75,-74,-67,-75,-200,-200,-79,-72,-200,-81,-79,-200,-81,-81,-200,-200,-88,-200,-200,-87,-200,-83,-200,-200,-88,-200,-200,-200,-86,-83,-78,-82,-200
1526465005654,-53,-39,-46,-58,-56,-65,-61,-57,-59,-69,-59,-65,-63,-67,-68,-64,-82,-62,-70,-72,-69,-81,-200,-76,-71,-78,-72,-74,-79,-78,-200,-200,-75,-74,-200,-76,-82,-72,-83,-200,-200,-83,-85,-200,-200,-81,-200,-200,-200,-200,-88,-200,-200,-200,-86,-83,-78,-82,-79
