,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526464724200,-32,-45,-53,-55,-48,-56,-55,-58,-52,-60,-60,-64,-59,-77,-71,-70,-68,-67,-63,-78,-72,-71,-71,-200,-81,-80,-200,-79,-91,-81,-81,-200,-200,-200,-80,-83,-88,-89,-85,-200,-87,-82,-89,-200,-200,-84,-77,-200,-84,-200,-81,-89,-93,-88,-85,-200,-200,-200
1526464727247,-32,-45,-53,-55,-48,-56,-55,-58,-52,-60,-60,-64,-59,-77,-71,-70,-68,-67,-63,-78,-72,-71,-71,-200,-81,-80,-200,-79,-91,-81,-81,-200,-200,-200,-80,-83,-88,-89,-85,-200,-87,-82,-89,-200,-200,-84,-77,-200,-84,-200,-81,-89,-93,-88,-85,-200,-200,-200
1526464730277,-32,-45,-53,-55,-48,-56,-55,-58,-52,-60,-60,-64,-59,-77,-71,-70,-68,-67,-63,-78,-72,-71,-71,-200,-81,-80,-200,-79,-91,-81,-81,-200,-200,-200,-80,-83,-88,-89,-85,-200,-87,-82,-89,-200,-200,-84,-77,-200,-84,-200,-81,-89,-93,-88,-85,-200,-200,-200
1526464733327,-35,-47,-53,-54,-48,-52,-58,-60,-52,-60,-64,-61,-60,-81,-69,-200,-69,-67,-66,-78,-73,-69,-71,-200,-86,-80,-200,-80,-200,-200,-81,-200,-200,-200,-78,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-79,-200,-200,-200,-85,-200,-200,-200
1526464736371,-36,-46,-53,-54,-48,-52,-56,-59,-52,-59,-64,-60,-62,-81,-69,-68,-68,-65,-67,-78,-72,-68,-71,-200,-76,-80,-74,-80,-200,-200,-81,-200,-200,-200,-80,-200,-93,-200,-84,-86,-87,-85,-200,-200,-200,-200,-79,-200,-200,-200,-79,-88,-200,-200,-86,-91,-200,-200
1526464739410,-36,-46,-53,-54,-48,-52,-56,-59,-52,-59,-64,-60,-62,-81,-69,-68,-68,-65,-67,-78,-72,-68,-71,-200,-76,-80,-74,-80,-200,-200,-81,-200,-200,-200,-80,-200,-93,-200,-84,-86,-87,-85,-200,-200,-200,-200,-79,-200,-200,-200,-79,-88,-200,-200,-86,-91,-200,-200
1526464742455,-36,-46,-53,-54,-48,-52,-56,-59,-52,-59,-64,-60,-62,-81,-69,-68,-68,-65,-67,-78,-72,-68,-71,-200,-76,-80,-74,-80,-200,-200,-81,-200,-200,-200,-80,-200,-93,-200,-84,-86,-87,-85,-200,-200,-200,-200,-79,-200,-200,-200,-79,-88,-200,-200,-86,-91,-200,-200
1526464745493,-40,-48,-55,-54,-48,-52,-56,-55,-54,-58,-60,-63,-62,-200,-65,-80,-67,-65,-66,-73,-72,-66,-70,-200,-84,-79,-73,-200,-200,-80,-80,-200,-200,-200,-80,-200,-93,-200,-86,-86,-86,-82,-89,-200,-200,-200,-82,-87,-200,-200,-80,-88,-200,-200,-86,-91,-91,-92
1526464748541,-40,-48,-54,-54,-49,-52,-55,-56,-53,-58,-67,-62,-63,-200,-66,-68,-68,-65,-67,-74,-75,-70,-71,-87,-85,-76,-73,-200,-200,-80,-80,-200,-200,-200,-77,-84,-93,-200,-86,-86,-86,-81,-89,-200,-200,-200,-82,-87,-200,-200,-80,-88,-200,-200,-86,-89,-91,-92
1526464751579,-40,-48,-54,-54,-49,-52,-55,-56,-53,-58,-67,-62,-63,-200,-66,-68,-68,-65,-67,-74,-75,-70,-71,-87,-85,-76,-73,-200,-200,-80,-80,-200,-200,-200,-77,-84,-93,-200,-86,-86,-86,-81,-89,-200,-200,-200,-82,-87,-200,-200,-80,-88,-200,-200,-86,-89,-91,-92
1526464754616,-40,-48,-54,-54,-49,-52,-55,-56,-53,-58,-67,-62,-63,-200,-66,-68,-68,-65,-67,-74,-75,-70,-71,-87,-85,-76,-73,-200,-200,-80,-80,-200,-200,-200,-77,-84,-93,-200,-86,-86,-86,-81,-89,-200,-200,-200,-82,-87,-200,-200,-80,-88,-200,-200,-86,-89,-91,-92
1526464757652,-36,-51,-52,-51,-53,-51,-52,-59,-52,-60,-63,-69,-65,-74,-68,-65,-72,-70,-65,-70,-72,-70,-70,-87,-85,-75,-73,-85,-74,-200,-78,-200,-200,-200,-77,-84,-200,-200,-86,-200,-200,-81,-200,-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200
