,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,WHU-2018
1526464575674,-46,-43,-54,-65,-77,-62,-65,-61,-57,-59,-67,-64,-66,-81,-73,-84,-74,-68,-75,-80,-77,-82,-79,-200,-76,-74,-81,-84,-79,-79,-200,-81,-200,-80,-88,-86,-79,-91,-200,-78,-200,-200,-90,-200,-200,-200,-200,-83,-80,-81,-90,-200,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464578721,-46,-43,-54,-65,-77,-62,-65,-61,-57,-59,-67,-64,-66,-81,-73,-84,-74,-68,-75,-80,-77,-82,-79,-200,-76,-74,-81,-84,-79,-79,-200,-81,-200,-80,-88,-86,-79,-91,-200,-78,-200,-200,-90,-200,-200,-200,-200,-83,-80,-81,-90,-200,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464581767,-46,-43,-54,-65,-77,-62,-65,-61,-57,-59,-67,-64,-66,-81,-73,-84,-74,-68,-75,-80,-77,-82,-79,-200,-76,-74,-81,-84,-79,-79,-200,-81,-200,-80,-88,-86,-79,-91,-200,-78,-200,-200,-90,-200,-200,-200,-200,-83,-80,-81,-90,-200,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464584818,-45,-45,-55,-200,-73,-61,-65,-61,-57,-63,-68,-64,-68,-81,-73,-77,-75,-200,-78,-200,-200,-80,-77,-200,-77,-200,-200,-84,-82,-79,-84,-88,-200,-80,-200,-200,-83,-87,-200,-81,-85,-200,-91,-200,-200,-88,-200,-84,-80,-81,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464587859,-45,-43,-54,-200,-73,-61,-66,-61,-57,-59,-67,-65,-65,-81,-73,-76,-75,-200,-75,-85,-200,-80,-77,-200,-75,-200,-200,-85,-82,-79,-84,-88,-200,-80,-200,-200,-83,-87,-200,-80,-85,-200,-91,-200,-200,-88,-200,-84,-80,-81,-200,-200,-200,-86,-91,-83,-90,-200,-200,-200,-200,-200,-200,-200
1526464590907,-45,-43,-54,-200,-73,-61,-66,-61,-57,-59,-67,-65,-65,-81,-73,-76,-75,-200,-75,-85,-200,-80,-77,-200,-75,-200,-200,-85,-82,-79,-84,-88,-200,-80,-200,-200,-83,-87,-200,-80,-85,-200,-91,-200,-200,-88,-200,-84,-80,-81,-200,-200,-200,-86,-91,-83,-90,-200,-200,-200,-200,-200,-200,-200
1526464593948,-45,-43,-54,-200,-73,-61,-66,-61,-57,-59,-67,-65,-65,-81,-73,-76,-75,-200,-75,-85,-200,-80,-77,-200,-75,-200,-200,-85,-82,-79,-84,-88,-200,-80,-200,-200,-83,-87,-200,-80,-85,-200,-91,-200,-200,-88,-200,-84,-80,-81,-200,-200,-200,-86,-91,-83,-90,-200,-200,-200,-200,-200,-200,-200
1526464596992,-51,-37,-62,-61,-68,-58,-67,-63,-51,-65,-70,-61,-67,-79,-200,-76,-73,-200,-75,-77,-84,-86,-200,-200,-72,-77,-81,-85,-83,-84,-200,-86,-200,-75,-200,-200,-82,-200,-200,-80,-84,-200,-88,-200,-200,-85,-200,-84,-80,-81,-200,-91,-85,-200,-91,-86,-90,-84,-200,-200,-200,-200,-200,-200
1526464600038,-54,-35,-65,-57,-69,-58,-66,-61,-51,-62,-66,-61,-67,-79,-200,-70,-74,-68,-75,-74,-84,-83,-200,-200,-72,-72,-78,-85,-83,-84,-85,-86,-200,-75,-200,-200,-82,-200,-200,-80,-84,-200,-88,-200,-200,-87,-200,-83,-80,-82,-200,-91,-85,-200,-91,-85,-89,-84,-83,-93,-200,-200,-200,-200
1526464603087,-54,-35,-65,-57,-69,-58,-66,-61,-51,-62,-66,-61,-67,-79,-200,-70,-74,-68,-75,-74,-84,-83,-200,-200,-72,-72,-78,-85,-83,-84,-85,-86,-200,-75,-200,-200,-82,-200,-200,-80,-84,-200,-88,-200,-200,-87,-200,-83,-80,-82,-200,-91,-85,-200,-91,-85,-89,-84,-83,-93,-200,-200,-200,-200
1526464606134,-54,-35,-65,-57,-69,-58,-66,-61,-51,-62,-66,-61,-67,-79,-200,-70,-74,-68,-75,-74,-84,-83,-200,-200,-72,-72,-78,-85,-83,-84,-85,-86,-200,-75,-200,-200,-82,-200,-200,-80,-84,-200,-88,-200,-200,-87,-200,-83,-80,-82,-200,-91,-85,-200,-91,-85,-89,-84,-83,-93,-200,-200,-200,-200
1526464609176,-47,-34,-69,-62,-73,-60,-67,-62,-50,-64,-64,-61,-66,-78,-80,-71,-74,-63,-81,-78,-85,-79,-71,-200,-70,-72,-82,-200,-85,-84,-85,-83,-200,-74,-200,-200,-82,-200,-84,-200,-84,-200,-88,-200,-200,-87,-200,-86,-80,-81,-200,-200,-200,-200,-200,-87,-89,-200,-83,-93,-90,-90,-91,-93
