,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526464873267,-46,-43,-48,-46,-45,-60,-59,-61,-69,-200,-69,-63,-59,-66,-78,-69,-75,-200,-200,-74,-67,-200,-87,-77,-200,-77,-67,-77,-74,-200,-80,-60,-200,-67,-75,-83,-200,-82,-200,-200,-76,-83,-200,-200,-70,-200,-200,-69,-87,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526464876278,-46,-43,-48,-46,-45,-60,-59,-61,-69,-200,-69,-63,-59,-66,-78,-69,-75,-200,-200,-74,-67,-200,-87,-77,-200,-77,-67,-77,-74,-200,-80,-60,-200,-67,-75,-83,-200,-82,-200,-200,-76,-83,-200,-200,-70,-200,-200,-69,-87,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526464879327,-46,-43,-48,-46,-45,-60,-59,-61,-69,-200,-69,-63,-59,-66,-78,-69,-75,-200,-200,-74,-67,-200,-87,-77,-200,-77,-67,-77,-74,-200,-80,-60,-200,-67,-75,-83,-200,-82,-200,-200,-76,-83,-200,-200,-70,-200,-200,-69,-87,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526464882375,-46,-43,-45,-49,-43,-58,-62,-60,-66,-200,-70,-62,-59,-66,-69,-73,-73,-200,-200,-71,-67,-78,-89,-77,-81,-73,-68,-77,-72,-200,-84,-60,-200,-70,-75,-80,-75,-200,-84,-90,-83,-78,-88,-200,-70,-74,-200,-74,-88,-200,-80,-88,-200,-200,-200,-200,-200,-200
1526464885421,-46,-43,-45,-49,-43,-58,-62,-60,-66,-200,-70,-62,-59,-66,-69,-73,-73,-200,-200,-71,-67,-78,-89,-77,-81,-73,-68,-77,-72,-200,-84,-60,-200,-70,-75,-80,-75,-200,-84,-90,-83,-78,-88,-200,-70,-74,-200,-74,-88,-200,-80,-88,-200,-200,-200,-200,-200,-200
1526464888457,-46,-43,-45,-49,-43,-58,-62,-60,-66,-200,-70,-62,-59,-66,-69,-73,-73,-200,-200,-71,-67,-78,-89,-77,-81,-73,-68,-77,-72,-200,-84,-60,-200,-70,-75,-80,-75,-200,-84,-90,-83,-78,-88,-200,-70,-74,-200,-74,-88,-200,-80,-88,-200,-200,-200,-200,-200,-200
1526464891501,-46,-43,-45,-49,-43,-58,-62,-60,-66,-200,-70,-62,-59,-66,-69,-73,-73,-200,-200,-71,-67,-78,-89,-77,-81,-73,-68,-77,-72,-200,-84,-60,-200,-70,-75,-80,-75,-200,-84,-90,-83,-78,-88,-200,-70,-74,-200,-74,-88,-200,-80,-88,-200,-200,-200,-200,-200,-200
1526464894549,-47,-44,-49,-50,-46,-59,-70,-63,-64,-67,-70,-59,-57,-67,-74,-71,-200,-72,-72,-73,-71,-80,-79,-78,-200,-71,-200,-200,-80,-200,-82,-63,-88,-73,-200,-200,-76,-200,-81,-200,-80,-82,-91,-200,-72,-76,-200,-61,-200,-200,-200,-200,-86,-86,-88,-88,-200,-200
1526464897596,-39,-43,-42,-50,-50,-63,-63,-62,-73,-67,-70,-65,-62,-67,-74,-69,-75,-73,-74,-73,-67,-80,-77,-72,-200,-71,-72,-200,-80,-200,-85,-63,-88,-73,-200,-200,-76,-85,-81,-200,-80,-77,-91,-200,-72,-76,-200,-61,-200,-200,-83,-89,-86,-86,-88,-88,-200,-200
1526464900638,-39,-43,-42,-50,-50,-63,-63,-62,-73,-67,-70,-65,-62,-67,-74,-69,-75,-73,-74,-73,-67,-80,-77,-72,-200,-71,-72,-200,-80,-200,-85,-63,-88,-73,-200,-200,-76,-85,-81,-200,-80,-77,-91,-200,-72,-76,-200,-61,-200,-200,-83,-89,-86,-86,-88,-88,-200,-200
1526464903674,-39,-43,-42,-50,-50,-63,-63,-62,-73,-67,-70,-65,-62,-67,-74,-69,-75,-73,-74,-73,-67,-80,-77,-72,-200,-71,-72,-200,-80,-200,-85,-63,-88,-73,-200,-200,-76,-85,-81,-200,-80,-77,-91,-200,-72,-76,-200,-61,-200,-200,-83,-89,-86,-86,-88,-88,-200,-200
1526464906724,-44,-41,-45,-50,-52,-66,-59,-61,-67,-200,-67,-72,-56,-64,-74,-78,-81,-73,-74,-73,-67,-200,-77,-72,-200,-76,-68,-200,-69,-82,-82,-68,-200,-70,-73,-83,-78,-85,-200,-200,-73,-82,-200,-200,-74,-79,-200,-63,-84,-200,-83,-89,-200,-200,-200,-200,-88,-91
