,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,DLINK_D02A98,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,whu2011309
1526449517392,-31,-38,-49,-53,-51,-62,-68,-43,-60,-63,-65,-57,-65,-58,-63,-67,-78,-73,-71,-68,-68,-200,-72,-81,-56,-68,-72,-79,-79,-80,-200,-75,-74,-72,-83,-78,-69,-91,-83,-80,-93,-81,-200,-61,-89,-200,-81,-80,-84,-200,-83,-200,-92,-90,-91,-90,-86,-91,-81,-90,-80,-96,-90,-71,-85,-96,-89,-200,-95,-200,-200,-98,-200,-200,-79,-200,-200,-67,-76,-91,-86,-200,-94,-200,-200,-85,-91,-94,-91,-200,-97,-82,-200,-200,-87,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449520445,-30,-40,-50,-52,-49,-64,-60,-43,-58,-63,-62,-59,-61,-57,-65,-68,-79,-72,-71,-68,-64,-75,-71,-83,-56,-67,-73,-84,-79,-81,-200,-75,-70,-73,-87,-77,-69,-90,-90,-80,-93,-83,-200,-64,-89,-200,-79,-80,-84,-200,-84,-200,-92,-90,-89,-90,-88,-91,-79,-84,-81,-96,-90,-81,-85,-96,-87,-200,-200,-200,-200,-98,-200,-200,-79,-200,-200,-72,-74,-84,-88,-200,-92,-200,-200,-85,-91,-94,-91,-200,-97,-82,-200,-200,-87,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449523496,-26,-38,-51,-48,-49,-71,-56,-45,-58,-64,-61,-54,-62,-64,-63,-81,-76,-71,-62,-68,-69,-71,-76,-82,-57,-67,-75,-79,-79,-77,-200,-78,-76,-67,-82,-74,-67,-90,-90,-78,-93,-84,-200,-64,-86,-200,-80,-81,-84,-92,-80,-200,-91,-90,-81,-90,-87,-90,-81,-83,-80,-96,-87,-77,-200,-97,-87,-200,-200,-96,-200,-200,-200,-91,-79,-200,-200,-72,-82,-84,-86,-200,-93,-200,-200,-85,-200,-200,-200,-200,-95,-88,-200,-200,-87,-82,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526449526546,-25,-38,-52,-46,-53,-72,-60,-45,-61,-62,-62,-55,-69,-66,-63,-63,-76,-69,-71,-71,-69,-76,-78,-82,-64,-65,-76,-79,-79,-75,-200,-80,-71,-71,-78,-73,-66,-90,-90,-79,-200,-84,-200,-62,-86,-86,-86,-81,-83,-92,-76,-200,-91,-200,-82,-200,-85,-91,-80,-83,-80,-200,-87,-79,-200,-87,-88,-96,-200,-96,-200,-200,-200,-94,-70,-200,-200,-72,-82,-83,-86,-200,-94,-97,-200,-84,-200,-200,-200,-200,-95,-88,-200,-200,-200,-200,-200,-93,-94,-200,-200,-200,-200,-200,-200,-200
1526449529595,-25,-35,-50,-46,-57,-73,-57,-42,-63,-62,-59,-56,-70,-62,-63,-66,-78,-72,-74,-70,-70,-76,-74,-82,-57,-68,-76,-73,-78,-75,-200,-78,-72,-71,-83,-69,-68,-92,-88,-79,-200,-83,-200,-57,-90,-86,-85,-82,-83,-92,-77,-200,-91,-200,-83,-94,-87,-91,-83,-82,-80,-200,-87,-87,-200,-89,-89,-96,-200,-96,-200,-200,-200,-94,-70,-200,-200,-82,-82,-85,-89,-200,-94,-97,-200,-82,-89,-87,-200,-200,-95,-88,-200,-200,-200,-200,-200,-93,-94,-200,-200,-200,-200,-200,-200,-200
1526449532648,-25,-36,-51,-47,-48,-71,-61,-45,-63,-64,-59,-56,-70,-61,-63,-67,-75,-69,-74,-69,-69,-73,-75,-82,-64,-66,-74,-79,-82,-75,-200,-78,-72,-71,-83,-70,-65,-93,-88,-78,-92,-83,-200,-57,-90,-86,-87,-80,-83,-92,-77,-200,-93,-200,-81,-90,-87,-90,-82,-82,-80,-200,-87,-78,-200,-89,-92,-96,-200,-200,-200,-200,-200,-93,-70,-200,-200,-77,-82,-85,-89,-200,-95,-97,-200,-82,-90,-90,-94,-200,-95,-200,-200,-200,-200,-200,-200,-200,-94,-79,-93,-200,-200,-200,-200,-200
1526449535701,-25,-40,-55,-53,-47,-63,-64,-38,-59,-64,-75,-59,-62,-54,-63,-68,-78,-72,-68,-69,-77,-72,-69,-86,-71,-72,-82,-77,-82,-72,-200,-78,-72,-71,-76,-65,-72,-93,-88,-84,-92,-82,-200,-59,-90,-200,-87,-82,-78,-85,-77,-200,-89,-68,-81,-90,-87,-94,-72,-84,-83,-200,-200,-80,-84,-89,-83,-92,-200,-200,-200,-200,-200,-93,-84,-200,-200,-80,-76,-85,-89,-200,-95,-200,-200,-82,-90,-90,-96,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-79,-93,-91,-200,-200,-200,-200
1526449538752,-23,-52,-50,-55,-55,-57,-56,-42,-59,-69,-68,-64,-65,-51,-62,-68,-78,-72,-71,-72,-77,-72,-73,-78,-71,-67,-80,-70,-82,-76,-200,-77,-200,-75,-76,-63,-74,-88,-200,-81,-83,-82,-200,-63,-90,-200,-87,-82,-80,-85,-200,-200,-90,-68,-88,-90,-200,-89,-75,-84,-84,-200,-200,-80,-84,-94,-83,-90,-94,-200,-200,-200,-200,-93,-84,-200,-200,-80,-76,-93,-200,-88,-95,-200,-200,-200,-90,-90,-92,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-94,-93,-91,-95,-200,-200,-200
1526449541802,-23,-46,-48,-56,-55,-62,-55,-41,-59,-67,-68,-64,-64,-52,-63,-69,-77,-82,-71,-71,-76,-74,-73,-76,-72,-68,-80,-75,-76,-76,-200,-78,-200,-78,-77,-65,-74,-88,-200,-85,-88,-82,-200,-64,-89,-200,-200,-80,-84,-85,-82,-200,-85,-68,-87,-94,-200,-91,-74,-84,-84,-200,-200,-75,-82,-94,-87,-90,-94,-200,-200,-200,-200,-200,-84,-200,-200,-80,-76,-93,-92,-88,-200,-200,-200,-200,-200,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-91,-95,-95,-200,-200
1526449544858,-24,-49,-48,-56,-55,-60,-59,-41,-57,-68,-67,-62,-61,-53,-65,-69,-78,-82,-72,-70,-76,-74,-74,-77,-72,-68,-82,-75,-78,-76,-200,-78,-81,-78,-77,-66,-76,-88,-89,-85,-88,-82,-200,-64,-87,-200,-89,-83,-86,-200,-84,-200,-87,-93,-87,-94,-200,-91,-76,-91,-83,-200,-87,-73,-82,-94,-87,-93,-94,-200,-200,-200,-200,-200,-74,-200,-200,-84,-200,-93,-92,-88,-200,-200,-200,-200,-200,-91,-92,-200,-200,-77,-200,-200,-200,-89,-92,-200,-200,-94,-200,-200,-95,-95,-200,-200
1526449547910,-23,-47,-48,-55,-54,-60,-57,-42,-59,-68,-64,-61,-64,-52,-64,-74,-77,-82,-72,-70,-75,-71,-77,-78,-72,-68,-81,-75,-75,-76,-200,-79,-81,-81,-77,-66,-73,-200,-89,-85,-88,-80,-200,-64,-87,-200,-89,-81,-86,-200,-84,-200,-88,-93,-88,-94,-200,-91,-73,-91,-81,-200,-87,-73,-82,-94,-88,-82,-200,-200,-200,-200,-200,-200,-74,-200,-200,-84,-83,-93,-92,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-77,-200,-200,-200,-89,-92,-200,-200,-200,-200,-200,-95,-95,-200,-200
1526449550959,-24,-47,-48,-55,-53,-62,-54,-41,-59,-67,-66,-61,-65,-52,-64,-74,-78,-82,-72,-74,-75,-73,-75,-74,-73,-69,-82,-74,-76,-76,-200,-80,-83,-81,-77,-66,-76,-200,-88,-86,-87,-81,-200,-66,-87,-200,-89,-81,-89,-94,-83,-200,-87,-93,-88,-95,-200,-91,-76,-91,-82,-200,-87,-76,-200,-94,-90,-82,-200,-200,-200,-95,-200,-200,-76,-200,-200,-84,-82,-93,-92,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-79,-200,-200,-200,-89,-92,-200,-200,-200,-200,-200,-200,-200,-87,-97
