,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,DLINK_D02A58,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,DLINK_D013A8
1526449594206,-41,-42,-55,-61,-47,-52,-55,-53,-48,-72,-59,-66,-60,-74,-59,-63,-69,-90,-68,-76,-72,-73,-66,-64,-79,-72,-74,-89,-72,-73,-76,-82,-79,-82,-69,-92,-89,-86,-76,-84,-71,-94,-200,-74,-78,-80,-84,-75,-200,-83,-86,-86,-87,-200,-200,-82,-200,-85,-91,-89,-91,-200,-85,-200,-84,-89,-93,-200,-96,-92,-76,-200,-97,-200,-200,-87,-200,-89,-94,-200,-93,-200,-200,-200,-200,-86,-96,-97,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449597260,-40,-42,-52,-60,-44,-53,-53,-47,-50,-74,-59,-66,-60,-74,-63,-65,-69,-89,-68,-76,-71,-77,-62,-65,-78,-73,-77,-87,-71,-69,-74,-82,-79,-81,-70,-91,-84,-90,-73,-83,-70,-86,-85,-72,-78,-80,-86,-75,-83,-87,-87,-84,-87,-200,-200,-81,-200,-85,-96,-89,-91,-200,-85,-200,-85,-89,-93,-93,-96,-92,-85,-200,-96,-200,-200,-87,-200,-91,-91,-200,-92,-94,-200,-200,-200,-86,-96,-96,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526449600314,-41,-35,-56,-59,-42,-53,-52,-54,-50,-75,-58,-67,-59,-75,-59,-63,-69,-89,-61,-78,-71,-72,-62,-66,-78,-72,-75,-87,-71,-71,-74,-82,-82,-81,-70,-91,-84,-84,-66,-83,-70,-86,-85,-73,-76,-82,-86,-74,-83,-86,-85,-85,-88,-200,-200,-81,-93,-84,-93,-89,-91,-200,-86,-200,-84,-90,-93,-93,-96,-200,-83,-200,-96,-200,-200,-87,-200,-91,-92,-200,-91,-94,-200,-200,-200,-84,-200,-98,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526449603361,-40,-33,-53,-58,-41,-53,-54,-52,-49,-75,-59,-68,-60,-74,-61,-65,-69,-90,-61,-77,-72,-73,-63,-66,-76,-78,-74,-87,-71,-72,-75,-82,-82,-81,-70,-93,-84,-83,-73,-200,-78,-82,-200,-71,-75,-80,-89,-77,-83,-86,-87,-85,-88,-200,-200,-79,-93,-93,-93,-200,-89,-200,-87,-87,-84,-90,-91,-93,-200,-95,-86,-84,-200,-200,-87,-87,-200,-91,-93,-200,-90,-200,-200,-200,-100,-85,-95,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449606409,-40,-42,-55,-58,-42,-59,-55,-51,-51,-73,-60,-63,-56,-74,-63,-64,-69,-91,-69,-77,-72,-73,-66,-69,-75,-73,-77,-87,-72,-72,-75,-83,-79,-82,-70,-92,-200,-88,-79,-200,-75,-82,-83,-71,-78,-80,-88,-78,-80,-84,-87,-85,-88,-200,-200,-83,-93,-83,-93,-200,-89,-89,-87,-87,-84,-89,-91,-200,-200,-93,-86,-84,-200,-200,-87,-200,-200,-200,-91,-200,-90,-200,-200,-80,-100,-85,-93,-94,-85,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526449609461,-40,-35,-50,-57,-42,-52,-51,-52,-48,-73,-58,-68,-61,-74,-62,-64,-69,-89,-68,-77,-72,-77,-63,-67,-75,-72,-77,-87,-72,-72,-75,-82,-82,-82,-70,-92,-200,-83,-79,-85,-75,-85,-83,-72,-76,-80,-88,-79,-80,-85,-87,-85,-88,-200,-200,-81,-200,-94,-200,-90,-89,-89,-87,-87,-84,-88,-91,-200,-98,-95,-86,-84,-200,-200,-87,-200,-200,-92,-92,-200,-90,-200,-200,-80,-97,-85,-93,-94,-85,-200,-95,-94,-97,-200,-200,-200,-200,-200
1526449612512,-38,-36,-55,-57,-42,-53,-51,-49,-48,-74,-60,-65,-60,-75,-61,-62,-67,-89,-68,-77,-71,-78,-63,-67,-75,-71,-77,-85,-72,-74,-75,-80,-83,-81,-74,-92,-200,-89,-79,-85,-70,-85,-84,-70,-76,-81,-88,-80,-80,-85,-87,-82,-88,-200,-200,-81,-95,-82,-200,-90,-200,-89,-86,-200,-84,-90,-200,-200,-98,-90,-73,-200,-200,-200,-200,-200,-200,-92,-92,-200,-90,-200,-200,-80,-97,-200,-93,-200,-85,-200,-95,-94,-97,-88,-200,-200,-200,-200
1526449615568,-40,-35,-55,-57,-47,-52,-51,-53,-49,-75,-58,-61,-60,-75,-60,-62,-67,-87,-70,-78,-71,-72,-62,-69,-82,-73,-77,-85,-59,-73,-75,-81,-79,-80,-70,-92,-200,-89,-76,-85,-60,-84,-84,-69,-75,-82,-200,-80,-76,-85,-87,-87,-200,-200,-200,-81,-95,-94,-94,-90,-200,-200,-87,-200,-84,-89,-90,-200,-98,-90,-80,-200,-200,-200,-85,-200,-200,-94,-93,-200,-90,-200,-200,-200,-97,-200,-200,-200,-200,-200,-95,-94,-97,-88,-97,-99,-200,-200
1526449618616,-39,-36,-53,-56,-44,-51,-54,-48,-49,-75,-60,-68,-60,-72,-62,-63,-68,-87,-70,-78,-71,-71,-66,-69,-82,-73,-77,-86,-67,-73,-75,-80,-81,-80,-65,-91,-200,-90,-76,-85,-76,-84,-84,-72,-75,-82,-200,-81,-76,-85,-87,-86,-86,-200,-200,-81,-95,-83,-94,-200,-200,-94,-89,-200,-86,-90,-90,-200,-200,-91,-80,-200,-200,-200,-86,-200,-200,-94,-91,-200,-91,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-88,-97,-95,-200,-200
1526449621663,-40,-42,-52,-56,-44,-52,-55,-52,-49,-75,-59,-63,-59,-75,-63,-62,-68,-87,-67,-78,-72,-71,-67,-69,-77,-73,-77,-86,-67,-75,-200,-79,-80,-80,-70,-93,-200,-89,-76,-85,-73,-92,-200,-70,-72,-80,-200,-83,-82,-85,-87,-86,-89,-200,-200,-81,-73,-83,-94,-200,-200,-94,-87,-200,-87,-90,-90,-200,-200,-91,-87,-200,-200,-200,-86,-200,-200,-94,-92,-200,-90,-200,-200,-200,-200,-200,-94,-200,-85,-200,-200,-200,-200,-200,-97,-95,-200,-200
1526449624731,-45,-37,-52,-55,-48,-54,-53,-58,-54,-75,-62,-68,-62,-85,-60,-66,-75,-200,-70,-77,-68,-73,-55,-68,-80,-77,-78,-86,-73,-75,-200,-79,-85,-80,-73,-92,-200,-88,-64,-200,-73,-92,-200,-74,-76,-82,-87,-82,-82,-84,-88,-87,-89,-200,-200,-79,-73,-90,-94,-200,-200,-91,-90,-200,-87,-90,-90,-200,-95,-91,-87,-200,-200,-200,-86,-200,-200,-200,-92,-200,-90,-200,-200,-91,-200,-200,-94,-200,-85,-200,-200,-200,-98,-94,-200,-95,-91,-200
1526449627777,-44,-37,-54,-54,-43,-53,-56,-59,-53,-75,-61,-67,-60,-85,-66,-67,-77,-200,-73,-78,-70,-79,-57,-70,-79,-77,-80,-200,-73,-76,-200,-80,-84,-81,-74,-92,-200,-87,-64,-85,-73,-92,-200,-72,-77,-84,-80,-79,-82,-86,-87,-87,-89,-200,-200,-78,-94,-96,-94,-200,-200,-91,-89,-200,-82,-90,-92,-93,-95,-200,-87,-200,-200,-200,-200,-200,-92,-200,-92,-200,-90,-92,-200,-92,-200,-200,-94,-200,-200,-200,-200,-200,-98,-94,-200,-98,-91,-99
