,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526451169647,-38,-45,-41,-67,-50,-49,-47,-70,-56,-68,-45,-55,-67,-61,-53,-57,-59,-61,-69,-61,-64,-60,-68,-59,-55,-66,-69,-67,-70,-66,-74,-75,-84,-85,-78,-80,-79,-76,-80,-72,-84,-88,-78,-200,-68,-82,-83,-200,-200,-200,-200,-200,-88,-72,-83,-200,-92,-200,-90,-81,-90,-91,-200,-90,-86,-200,-200,-200,-73,-88,-64,-200,-87,-200,-200,-90,-87,-89,-200,-73,-87,-87,-81,-86,-82,-81,-90,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451172659,-44,-43,-45,-67,-46,-53,-47,-71,-51,-61,-43,-53,-70,-58,-54,-61,-61,-62,-72,-63,-65,-63,-66,-67,-55,-66,-68,-67,-69,-66,-78,-75,-200,-85,-82,-80,-79,-76,-80,-200,-71,-88,-76,-81,-68,-83,-83,-87,-200,-200,-200,-200,-88,-72,-85,-87,-92,-200,-90,-81,-90,-91,-200,-90,-88,-200,-200,-200,-70,-88,-200,-85,-85,-200,-200,-90,-87,-89,-200,-73,-200,-87,-81,-86,-79,-81,-90,-84,-83,-91,-200,-200,-200,-200,-200,-200,-200
1526451175693,-37,-44,-44,-68,-40,-50,-49,-71,-52,-61,-44,-52,-64,-65,-57,-59,-63,-59,-65,-66,-71,-58,-67,-62,-55,-66,-66,-67,-74,-72,-78,-75,-200,-200,-82,-80,-79,-79,-76,-200,-73,-200,-76,-81,-68,-83,-200,-87,-200,-200,-200,-200,-88,-91,-85,-87,-92,-200,-88,-83,-90,-91,-87,-200,-88,-200,-200,-200,-61,-88,-200,-85,-85,-60,-200,-90,-200,-200,-89,-73,-200,-87,-87,-86,-79,-81,-90,-84,-83,-91,-68,-83,-200,-200,-200,-200,-200
1526451178737,-38,-42,-41,-67,-43,-50,-49,-74,-53,-62,-43,-54,-64,-65,-55,-59,-57,-61,-74,-65,-71,-61,-66,-61,-60,-66,-68,-67,-80,-69,-78,-75,-200,-77,-82,-80,-77,-75,-78,-200,-72,-84,-76,-81,-69,-83,-200,-89,-200,-89,-200,-200,-88,-91,-84,-90,-92,-200,-88,-83,-90,-91,-87,-200,-88,-200,-91,-200,-71,-200,-200,-85,-83,-64,-200,-200,-200,-200,-89,-73,-200,-200,-87,-88,-79,-81,-200,-84,-83,-91,-68,-83,-200,-200,-200,-200,-200
1526451181774,-40,-40,-47,-56,-43,-48,-49,-76,-55,-62,-45,-54,-63,-56,-55,-59,-54,-63,-74,-63,-71,-62,-64,-61,-60,-200,-68,-68,-68,-73,-75,-200,-200,-77,-75,-80,-70,-75,-78,-72,-84,-84,-81,-80,-69,-83,-87,-89,-87,-89,-200,-200,-200,-91,-84,-90,-200,-200,-88,-83,-200,-200,-87,-200,-88,-200,-91,-200,-70,-200,-57,-85,-85,-66,-200,-91,-200,-200,-89,-200,-200,-89,-82,-88,-80,-200,-200,-200,-83,-91,-68,-83,-200,-200,-200,-200,-200
1526451184800,-47,-42,-42,-71,-41,-50,-45,-74,-55,-53,-46,-55,-65,-58,-54,-61,-62,-71,-74,-72,-66,-61,-66,-60,-60,-200,-67,-67,-73,-75,-75,-200,-85,-77,-75,-200,-79,-84,-84,-72,-84,-84,-81,-80,-76,-78,-87,-89,-87,-89,-200,-200,-85,-85,-84,-90,-200,-200,-87,-81,-200,-200,-87,-200,-200,-200,-91,-200,-75,-200,-57,-200,-85,-66,-200,-91,-200,-200,-89,-86,-200,-89,-82,-88,-80,-200,-200,-200,-200,-200,-68,-86,-90,-200,-200,-200,-200
1526451187846,-42,-52,-49,-40,-56,-51,-45,-73,-54,-53,-50,-54,-65,-61,-54,-61,-67,-71,-72,-70,-65,-67,-70,-58,-65,-200,-68,-67,-70,-75,-75,-200,-85,-84,-75,-77,-76,-84,-84,-72,-77,-84,-81,-80,-70,-73,-84,-86,-87,-85,-200,-200,-85,-85,-85,-77,-200,-200,-87,-87,-200,-200,-200,-200,-200,-200,-91,-200,-63,-200,-57,-87,-85,-66,-200,-89,-200,-200,-200,-86,-200,-89,-82,-88,-80,-200,-200,-200,-200,-200,-200,-86,-90,-200,-200,-200,-200
1526451190861,-44,-43,-46,-70,-40,-49,-43,-73,-47,-53,-51,-51,-63,-70,-50,-61,-63,-70,-72,-68,-68,-66,-70,-63,-65,-64,-71,-67,-72,-52,-78,-200,-85,-84,-75,-73,-76,-84,-84,-69,-82,-200,-82,-80,-70,-73,-84,-86,-87,-85,-200,-200,-85,-85,-85,-77,-200,-200,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-75,-91,-57,-87,-84,-66,-200,-89,-200,-200,-88,-86,-200,-89,-81,-200,-80,-200,-200,-200,-200,-200,-200,-86,-90,-200,-200,-200,-200
1526451193876,-46,-43,-49,-72,-42,-47,-44,-77,-45,-54,-52,-58,-68,-64,-54,-64,-62,-68,-67,-64,-67,-70,-72,-63,-60,-64,-68,-67,-75,-74,-75,-200,-85,-84,-200,-73,-76,-87,-84,-75,-82,-200,-82,-84,-75,-80,-84,-86,-200,-85,-200,-82,-85,-88,-85,-77,-200,-200,-81,-87,-200,-90,-88,-200,-200,-200,-200,-200,-74,-91,-64,-87,-84,-200,-200,-89,-200,-200,-88,-82,-91,-200,-81,-200,-78,-200,-200,-200,-200,-200,-200,-86,-90,-79,-91,-200,-200
1526451196893,-42,-43,-44,-65,-42,-47,-43,-72,-47,-54,-51,-53,-66,-67,-52,-64,-68,-75,-69,-66,-69,-68,-74,-66,-60,-65,-69,-200,-71,-74,-78,-200,-200,-81,-200,-73,-76,-87,-200,-75,-82,-200,-81,-86,-75,-80,-84,-82,-200,-85,-200,-82,-200,-88,-85,-85,-200,-200,-85,-87,-200,-90,-88,-200,-200,-200,-200,-200,-74,-91,-64,-87,-82,-200,-200,-89,-200,-200,-88,-82,-91,-200,-79,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-79,-91,-200,-200
1526451199935,-42,-42,-46,-65,-42,-48,-45,-72,-52,-54,-49,-53,-64,-64,-52,-65,-68,-77,-69,-66,-68,-69,-76,-66,-60,-65,-67,-200,-71,-75,-80,-73,-200,-81,-200,-73,-76,-87,-85,-75,-82,-200,-79,-86,-75,-80,-200,-86,-200,-200,-200,-82,-200,-87,-85,-85,-200,-200,-82,-84,-200,-91,-89,-200,-90,-200,-200,-200,-73,-91,-64,-200,-82,-59,-200,-200,-200,-200,-88,-88,-91,-200,-79,-200,-79,-200,-200,-88,-200,-200,-200,-89,-200,-79,-91,-89,-200
1526451202975,-42,-40,-47,-67,-40,-45,-46,-76,-49,-54,-53,-55,-65,-66,-57,-65,-68,-74,-69,-66,-67,-68,-78,-66,-62,-68,-66,-200,-75,-75,-80,-73,-200,-81,-82,-73,-80,-87,-85,-75,-83,-200,-85,-88,-75,-78,-200,-86,-200,-200,-200,-82,-200,-87,-200,-85,-200,-90,-82,-84,-200,-91,-89,-200,-90,-90,-200,-200,-75,-200,-65,-200,-82,-58,-84,-200,-200,-200,-200,-88,-91,-83,-81,-200,-79,-200,-200,-88,-200,-200,-200,-89,-200,-79,-91,-89,-90
