,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018
1526451415354,-61,-44,-57,-63,-46,-63,-41,-61,-58,-67,-61,-76,-69,-79,-62,-71,-72,-66,-86,-75,-73,-63,-42,-61,-78,-62,-72,-74,-70,-74,-79,-71,-200,-75,-200,-200,-200,-82,-75,-80,-74,-87,-82,-82,-200,-200,-200,-89,-200,-200,-200,-87,-86,-200,-200,-83,-90,-200,-87,-200,-200,-200,-200,-200,-86,-75,-200,-78,-200,-88,-200,-85,-91,-90,-200,-200,-200
1526451418386,-61,-46,-54,-60,-54,-59,-37,-61,-59,-67,-65,-76,-69,-85,-60,-71,-74,-66,-86,-72,-80,-65,-45,-59,-78,-62,-72,-74,-73,-80,-79,-75,-82,-76,-200,-200,-200,-82,-75,-80,-73,-87,-82,-66,-200,-200,-200,-89,-200,-200,-89,-87,-86,-88,-200,-83,-90,-200,-87,-200,-200,-200,-200,-200,-89,-200,-200,-78,-200,-88,-200,-83,-87,-90,-200,-200,-200
1526451421419,-61,-44,-58,-62,-48,-61,-44,-61,-58,-67,-61,-76,-74,-85,-58,-64,-71,-68,-200,-65,-80,-66,-44,-62,-78,-62,-73,-75,-71,-80,-78,-74,-82,-78,-76,-200,-200,-82,-76,-80,-76,-87,-82,-83,-200,-86,-200,-90,-200,-200,-89,-87,-86,-88,-200,-83,-90,-200,-87,-200,-200,-200,-200,-200,-87,-200,-200,-78,-200,-88,-200,-83,-87,-200,-200,-200,-200
1526451424453,-64,-45,-59,-61,-54,-62,-36,-59,-59,-67,-64,-75,-68,-85,-57,-71,-72,-70,-200,-65,-78,-66,-43,-61,-80,-68,-70,-77,-73,-80,-79,-75,-81,-78,-84,-200,-200,-83,-72,-83,-77,-87,-200,-79,-200,-85,-200,-90,-85,-200,-89,-87,-86,-88,-200,-83,-91,-200,-89,-200,-200,-200,-200,-200,-87,-75,-200,-79,-200,-87,-200,-83,-88,-200,-200,-200,-200
1526451427471,-59,-50,-48,-62,-51,-64,-40,-62,-58,-70,-61,-79,-68,-82,-62,-72,-73,-73,-73,-65,-81,-66,-44,-61,-80,-70,-70,-74,-71,-77,-79,-75,-80,-73,-77,-200,-200,-85,-73,-83,-77,-87,-200,-81,-200,-86,-200,-90,-87,-200,-88,-77,-88,-88,-200,-200,-91,-200,-90,-200,-200,-200,-200,-200,-90,-82,-84,-77,-89,-87,-200,-83,-88,-200,-89,-200,-200
1526451430512,-59,-47,-53,-63,-50,-64,-44,-61,-61,-70,-62,-75,-69,-85,-63,-63,-70,-71,-76,-74,-78,-65,-48,-61,-80,-65,-70,-78,-70,-81,-79,-75,-80,-73,-77,-200,-200,-85,-72,-79,-81,-88,-200,-81,-200,-86,-200,-90,-84,-200,-88,-83,-85,-200,-200,-85,-91,-200,-90,-200,-200,-200,-200,-200,-90,-82,-84,-83,-89,-87,-200,-87,-88,-200,-89,-200,-200
1526451433522,-63,-46,-52,-62,-50,-64,-39,-58,-61,-70,-62,-75,-39,-85,-64,-64,-72,-71,-76,-72,-79,-67,-45,-57,-200,-65,-72,-78,-71,-81,-77,-76,-80,-73,-77,-200,-200,-85,-72,-80,-80,-88,-200,-81,-200,-86,-200,-200,-85,-200,-89,-83,-85,-200,-200,-85,-200,-200,-90,-200,-200,-200,-200,-200,-88,-82,-84,-83,-89,-87,-200,-87,-200,-200,-89,-82,-200
1526451436534,-57,-44,-54,-61,-50,-60,-41,-60,-60,-200,-61,-75,-65,-87,-61,-64,-72,-69,-76,-72,-77,-63,-51,-56,-200,-69,-74,-76,-73,-81,-74,-75,-200,-73,-200,-200,-200,-84,-72,-79,-82,-88,-200,-81,-200,-86,-200,-200,-85,-200,-89,-87,-85,-200,-88,-85,-200,-200,-90,-200,-200,-200,-200,-200,-88,-200,-84,-83,-200,-87,-200,-87,-200,-200,-89,-82,-200
1526451439565,-59,-44,-51,-64,-51,-63,-40,-59,-62,-200,-61,-74,-69,-83,-64,-64,-70,-69,-69,-72,-80,-66,-50,-59,-200,-66,-74,-73,-72,-81,-77,-76,-84,-79,-84,-200,-200,-84,-72,-79,-80,-88,-200,-80,-200,-85,-200,-200,-86,-200,-90,-87,-85,-200,-88,-85,-200,-200,-200,-200,-86,-200,-200,-200,-87,-200,-200,-82,-200,-87,-90,-87,-200,-200,-200,-82,-90
1526451442601,-59,-44,-54,-63,-53,-62,-44,-59,-59,-200,-64,-74,-67,-85,-60,-66,-71,-65,-69,-71,-80,-66,-49,-58,-80,-71,-74,-79,-70,-80,-74,-76,-84,-78,-84,-200,-200,-84,-75,-79,-81,-200,-200,-81,-200,-84,-200,-200,-86,-200,-90,-85,-86,-200,-88,-85,-200,-200,-90,-200,-86,-200,-200,-200,-87,-200,-200,-82,-88,-87,-90,-86,-91,-200,-200,-82,-90
1526451445636,-59,-47,-52,-60,-49,-62,-42,-58,-58,-200,-61,-75,-66,-85,-60,-70,-72,-71,-71,-71,-80,-66,-44,-58,-78,-71,-74,-75,-69,-77,-76,-77,-81,-78,-84,-200,-200,-84,-75,-79,-80,-200,-85,-81,-200,-84,-200,-200,-86,-200,-89,-85,-86,-200,-88,-85,-200,-200,-90,-200,-90,-200,-200,-200,-87,-200,-200,-81,-88,-87,-90,-82,-91,-200,-200,-200,-90
1526451448651,-57,-46,-52,-61,-51,-62,-41,-57,-59,-200,-61,-75,-68,-82,-61,-68,-72,-71,-71,-71,-81,-66,-43,-58,-78,-71,-200,-75,-69,-77,-77,-77,-80,-77,-84,-200,-200,-200,-75,-82,-80,-200,-87,-80,-200,-84,-200,-200,-86,-200,-89,-82,-86,-200,-200,-85,-91,-200,-90,-200,-90,-200,-200,-200,-86,-74,-200,-80,-88,-87,-90,-82,-91,-200,-200,-200,-90
