,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526451343854,-51,-44,-41,-64,-50,-50,-50,-67,-55,-44,-200,-58,-67,-70,-61,-60,-62,-71,-70,-62,-200,-65,-79,-67,-69,-75,-73,-200,-77,-200,-78,-70,-78,-78,-200,-79,-84,-200,-79,-200,-200,-85,-86,-200,-200,-200,-200,-68,-80,-81,-87,-200,-200,-200,-89,-200,-90,-89,-92,-200,-200,-200,-90,-200,-91,-78,-88,-90,-90,-90,-70,-200,-79,-200,-88,-87,-200,-89,-87,-89,-200,-200,-200,-200,-200
1526451346889,-51,-44,-42,-62,-53,-50,-49,-65,-54,-51,-200,-56,-67,-68,-64,-69,-62,-70,-76,-62,-200,-67,-78,-66,-69,-71,-73,-82,-73,-200,-77,-70,-75,-80,-200,-79,-84,-200,-79,-200,-200,-84,-86,-89,-200,-200,-200,-74,-80,-81,-87,-200,-200,-200,-89,-200,-90,-88,-92,-200,-200,-200,-200,-200,-91,-78,-88,-90,-90,-90,-70,-200,-84,-200,-85,-87,-200,-89,-87,-89,-200,-200,-200,-200,-200
1526451349923,-53,-42,-43,-60,-56,-46,-50,-65,-56,-48,-79,-59,-67,-66,-62,-63,-62,-70,-77,-62,-200,-66,-78,-68,-70,-73,-73,-81,-72,-79,-77,-69,-76,-81,-200,-200,-84,-200,-79,-200,-200,-84,-89,-89,-200,-200,-200,-75,-85,-82,-87,-87,-200,-200,-89,-200,-90,-88,-200,-91,-200,-88,-90,-200,-91,-83,-88,-90,-90,-200,-71,-69,-82,-200,-85,-87,-200,-88,-87,-200,-90,-200,-200,-200,-200
1526451352936,-53,-39,-41,-69,-50,-50,-49,-65,-54,-49,-79,-59,-51,-66,-61,-70,-60,-70,-78,-59,-200,-62,-78,-70,-70,-77,-79,-81,-68,-77,-71,-68,-77,-84,-200,-80,-84,-200,-85,-200,-200,-84,-89,-89,-200,-200,-200,-73,-81,-82,-88,-87,-200,-200,-89,-200,-200,-89,-200,-91,-200,-88,-90,-200,-91,-78,-88,-90,-90,-200,-72,-69,-85,-200,-85,-87,-200,-88,-87,-200,-90,-82,-200,-200,-200
1526451355969,-54,-38,-42,-59,-48,-46,-48,-61,-55,-50,-70,-60,-70,-63,-64,-62,-63,-67,-78,-67,-200,-64,-78,-67,-71,-73,-80,-81,-70,-78,-76,-68,-77,-80,-200,-80,-200,-200,-78,-200,-200,-84,-85,-89,-200,-200,-200,-73,-81,-81,-88,-87,-200,-200,-90,-200,-200,-89,-200,-91,-200,-90,-90,-200,-200,-81,-200,-90,-200,-200,-72,-69,-84,-200,-85,-87,-200,-89,-200,-200,-89,-84,-200,-200,-200
1526451358997,-51,-44,-42,-67,-52,-50,-48,-63,-55,-52,-70,-59,-63,-53,-66,-62,-63,-71,-78,-64,-200,-62,-78,-66,-69,-74,-80,-81,-74,-78,-78,-70,-80,-77,-77,-79,-200,-200,-79,-200,-200,-200,-85,-200,-200,-200,-200,-73,-80,-81,-90,-87,-200,-200,-90,-200,-200,-89,-200,-91,-200,-90,-90,-200,-90,-81,-87,-90,-90,-200,-74,-73,-84,-200,-200,-87,-85,-86,-88,-200,-89,-84,-89,-200,-200
1526451362025,-51,-42,-43,-66,-51,-50,-48,-63,-53,-50,-70,-55,-63,-53,-61,-70,-61,-71,-78,-64,-200,-66,-200,-66,-70,-70,-73,-82,-70,-80,-80,-67,-78,-79,-77,-79,-200,-200,-79,-200,-86,-84,-85,-200,-200,-200,-86,-75,-77,-81,-90,-200,-200,-90,-90,-200,-200,-90,-200,-200,-200,-90,-200,-200,-90,-77,-87,-200,-90,-90,-73,-73,-84,-200,-83,-200,-85,-90,-88,-200,-89,-84,-89,-200,-200
1526451365063,-52,-41,-43,-62,-48,-46,-49,-63,-54,-50,-70,-58,-53,-53,-64,-61,-60,-71,-77,-64,-78,-63,-76,-66,-69,-74,-72,-82,-71,-80,-80,-67,-82,-79,-77,-81,-85,-68,-84,-200,-86,-84,-85,-200,-200,-200,-86,-75,-79,-81,-89,-86,-200,-90,-90,-200,-200,-89,-200,-200,-200,-90,-200,-200,-91,-77,-87,-200,-90,-90,-73,-73,-84,-200,-83,-200,-85,-90,-88,-200,-89,-84,-89,-200,-200
1526451368102,-52,-55,-40,-60,-53,-47,-49,-62,-55,-52,-200,-59,-53,-66,-65,-69,-63,-74,-77,-62,-78,-61,-76,-67,-70,-74,-72,-82,-73,-80,-78,-69,-77,-78,-77,-81,-85,-68,-84,-200,-86,-84,-85,-87,-200,-200,-87,-75,-76,-200,-89,-86,-200,-90,-90,-200,-200,-88,-200,-200,-200,-200,-200,-91,-91,-77,-87,-200,-90,-90,-73,-73,-82,-200,-83,-200,-85,-90,-88,-200,-200,-200,-89,-80,-87
1526451371112,-54,-44,-41,-63,-52,-45,-49,-62,-55,-50,-200,-64,-64,-67,-60,-70,-59,-67,-77,-65,-78,-61,-77,-67,-70,-73,-78,-82,-68,-80,-78,-69,-77,-83,-76,-81,-85,-74,-78,-200,-86,-84,-89,-87,-200,-200,-87,-70,-81,-82,-89,-86,-200,-90,-90,-200,-200,-88,-200,-200,-200,-200,-200,-91,-91,-78,-200,-200,-200,-90,-72,-200,-85,-200,-83,-200,-83,-89,-200,-200,-200,-200,-200,-80,-87
1526451374122,-52,-48,-41,-61,-52,-49,-49,-60,-54,-52,-200,-56,-69,-55,-62,-63,-58,-67,-77,-64,-78,-66,-84,-67,-70,-73,-78,-82,-69,-80,-75,-69,-79,-81,-76,-80,-85,-74,-80,-200,-200,-200,-89,-87,-200,-200,-87,-73,-81,-82,-89,-86,-200,-200,-90,-200,-200,-88,-200,-200,-200,-200,-200,-91,-91,-78,-89,-200,-91,-200,-72,-200,-84,-200,-200,-200,-83,-88,-200,-200,-200,-200,-200,-80,-87
1526451377159,-50,-54,-42,-67,-53,-46,-50,-62,-55,-51,-200,-56,-66,-67,-64,-62,-59,-67,-200,-64,-200,-63,-77,-70,-71,-74,-75,-82,-69,-82,-75,-69,-78,-78,-76,-85,-84,-78,-83,-200,-200,-200,-87,-87,-200,-200,-87,-75,-80,-80,-89,-86,-200,-200,-89,-200,-90,-86,-200,-200,-200,-90,-89,-91,-200,-83,-89,-90,-91,-200,-72,-69,-81,-200,-200,-89,-83,-86,-200,-200,-200,-200,-200,-80,-87
