,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526458042198,-36,-42,-51,-51,-66,-67,-65,-64,-69,-68,-65,-74,-73,-71,-90,-68,-76,-78,-71,-75,-79,-84,-68,-76,-88,-78,-77,-80,-76,-200,-200,-200,-78,-78,-88,-200,-91,-200,-200,-76,-83,-200,-200,-85,-200,-86,-88,-200,-200,-200
1526458045235,-36,-42,-51,-51,-66,-67,-65,-64,-69,-68,-65,-74,-73,-71,-90,-68,-76,-78,-71,-75,-79,-84,-68,-76,-88,-78,-77,-80,-76,-200,-200,-200,-78,-78,-88,-200,-91,-200,-200,-76,-83,-200,-200,-85,-200,-86,-88,-200,-200,-200
1526458048279,-36,-42,-51,-51,-66,-67,-65,-64,-69,-68,-65,-74,-73,-71,-90,-68,-76,-78,-71,-75,-79,-84,-68,-76,-88,-78,-77,-80,-76,-200,-200,-200,-78,-78,-88,-200,-91,-200,-200,-76,-83,-200,-200,-85,-200,-86,-88,-200,-200,-200
1526458051320,-43,-43,-52,-53,-69,-64,-64,-66,-67,-72,-66,-70,-76,-74,-90,-66,-200,-74,-74,-77,-80,-86,-66,-73,-84,-80,-75,-80,-77,-200,-80,-200,-76,-78,-88,-200,-91,-200,-200,-78,-77,-86,-200,-79,-200,-200,-88,-86,-200,-200
1526458054345,-39,-43,-52,-58,-69,-68,-68,-66,-67,-73,-66,-67,-72,-74,-90,-67,-200,-73,-73,-76,-80,-86,-66,-74,-84,-80,-76,-83,-79,-200,-80,-200,-76,-78,-88,-200,-91,-200,-200,-79,-77,-86,-200,-79,-200,-200,-88,-86,-89,-89
1526458057374,-39,-43,-52,-58,-69,-68,-68,-66,-67,-73,-66,-67,-72,-74,-90,-67,-200,-73,-73,-76,-80,-86,-66,-74,-84,-80,-76,-83,-79,-200,-80,-200,-76,-78,-88,-200,-91,-200,-200,-79,-77,-86,-200,-79,-200,-200,-88,-86,-89,-89
1526458060413,-39,-43,-52,-58,-69,-68,-68,-66,-67,-73,-66,-67,-72,-74,-90,-67,-200,-73,-73,-76,-80,-86,-66,-74,-84,-80,-76,-83,-79,-200,-80,-200,-76,-78,-88,-200,-91,-200,-200,-79,-77,-86,-200,-79,-200,-200,-88,-86,-89,-89
1526458063456,-40,-47,-53,-58,-67,-65,-69,-67,-68,-73,-66,-69,-76,-200,-200,-69,-80,-76,-69,-77,-200,-84,-70,-77,-200,-80,-75,-81,-79,-200,-200,-200,-78,-200,-85,-200,-200,-200,-200,-77,-77,-86,-200,-200,-200,-200,-200,-200,-89,-89
1526458066468,-41,-48,-53,-57,-66,-64,-68,-67,-70,-73,-66,-67,-75,-200,-200,-71,-80,-75,-72,-74,-78,-84,-75,-77,-200,-80,-75,-79,-86,-200,-200,-200,-77,-81,-85,-200,-200,-200,-200,-74,-77,-86,-200,-79,-200,-200,-200,-200,-89,-90
1526458069507,-41,-48,-53,-57,-66,-64,-68,-67,-70,-73,-66,-67,-75,-200,-200,-71,-80,-75,-72,-74,-78,-84,-75,-77,-200,-80,-75,-79,-86,-200,-200,-200,-77,-81,-85,-200,-200,-200,-200,-74,-77,-86,-200,-79,-200,-200,-200,-200,-89,-90
1526458072547,-41,-48,-53,-57,-66,-64,-68,-67,-70,-73,-66,-67,-75,-200,-200,-71,-80,-75,-72,-74,-78,-84,-75,-77,-200,-80,-75,-79,-86,-200,-200,-200,-77,-81,-85,-200,-200,-200,-200,-74,-77,-86,-200,-79,-200,-200,-200,-200,-89,-90
1526458075592,-42,-47,-51,-55,-66,-64,-67,-66,-64,-73,-200,-68,-74,-75,-200,-69,-80,-75,-71,-72,-79,-84,-70,-74,-200,-77,-76,-82,-86,-88,-82,-81,-77,-81,-80,-200,-200,-200,-200,-72,-82,-200,-84,-85,-200,-200,-200,-200,-200,-89
