,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58
1526465805406,-55,-43,-59,-54,-38,-49,-54,-57,-65,-58,-46,-47,-73,-61,-44,-49,-52,-47,-47,-200,-54,-61,-57,-200,-200,-51,-72,-65,-60,-56,-85,-75,-78,-66,-63,-200,-200,-77,-76,-78,-200,-63,-200,-75,-200,-57,-73,-73,-200,-200,-81,-200,-72,-200,-80,-80,-58,-200,-88,-78,-83,-85,-200,-200,-74,-200,-200,-82,-88,-200,-200,-200,-79,-200,-200,-76,-80,-200,-75,-200,-200,-76,-77,-81,-86,-48,-62,-200,-200,-200,-67,-78,-91,-74,-84,-90,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526465808463,-51,-43,-63,-54,-36,-45,-54,-57,-65,-58,-54,-55,-74,-60,-44,-48,-53,-51,-48,-200,-58,-56,-56,-200,-200,-52,-72,-65,-64,-57,-85,-77,-78,-66,-63,-80,-200,-72,-76,-78,-200,-63,-200,-68,-200,-57,-73,-73,-200,-71,-82,-200,-72,-200,-83,-83,-58,-200,-88,-79,-83,-85,-200,-200,-76,-200,-200,-82,-88,-200,-200,-200,-79,-200,-200,-76,-80,-200,-75,-200,-200,-76,-77,-81,-86,-48,-62,-200,-72,-200,-67,-200,-200,-74,-84,-90,-87,-78,-86,-200,-200,-200,-200,-200,-200
1526465811514,-57,-41,-63,-52,-38,-49,-58,-57,-68,-51,-46,-57,-76,-63,-44,-48,-57,-47,-48,-200,-58,-62,-56,-200,-200,-52,-70,-65,-64,-57,-85,-77,-63,-66,-63,-81,-200,-72,-76,-200,-200,-61,-200,-68,-200,-67,-74,-74,-200,-71,-74,-200,-72,-200,-78,-83,-57,-79,-200,-79,-83,-85,-200,-200,-75,-200,-200,-82,-200,-200,-200,-85,-79,-200,-200,-76,-80,-200,-76,-200,-200,-76,-200,-200,-200,-58,-62,-200,-72,-200,-67,-200,-200,-74,-84,-90,-87,-80,-86,-200,-200,-200,-200,-200,-200
1526465814580,-51,-41,-79,-54,-37,-50,-56,-57,-68,-52,-46,-56,-71,-63,-43,-50,-53,-46,-47,-200,-58,-63,-60,-200,-200,-52,-70,-65,-62,-57,-70,-74,-63,-65,-63,-81,-200,-72,-200,-200,-200,-63,-200,-68,-200,-64,-70,-74,-200,-71,-78,-200,-200,-200,-80,-83,-56,-79,-200,-79,-84,-85,-200,-200,-74,-200,-200,-200,-200,-200,-200,-85,-79,-200,-200,-76,-80,-200,-73,-200,-200,-76,-200,-200,-84,-58,-69,-200,-88,-200,-67,-200,-200,-200,-200,-200,-87,-73,-86,-76,-200,-200,-200,-200,-200
1526465817632,-51,-43,-63,-54,-33,-50,-50,-54,-68,-56,-50,-53,-72,-69,-43,-47,-52,-46,-46,-72,-58,-55,-58,-200,-200,-53,-70,-65,-60,-57,-70,-77,-63,-63,-63,-81,-200,-70,-200,-200,-200,-68,-200,-68,-200,-60,-69,-82,-200,-71,-78,-200,-200,-200,-80,-83,-56,-81,-88,-79,-84,-85,-82,-200,-70,-200,-200,-200,-200,-200,-200,-85,-79,-200,-200,-78,-80,-200,-74,-200,-200,-78,-78,-200,-84,-57,-69,-200,-88,-200,-200,-200,-200,-200,-81,-200,-87,-73,-86,-76,-200,-200,-200,-200,-200
1526465820707,-50,-42,-63,-52,-37,-47,-53,-54,-64,-54,-50,-57,-73,-69,-43,-44,-55,-48,-47,-72,-57,-55,-55,-200,-200,-50,-70,-200,-60,-60,-79,-76,-63,-67,-200,-81,-200,-70,-200,-200,-200,-64,-200,-66,-200,-63,-69,-74,-200,-68,-78,-200,-200,-200,-82,-83,-55,-78,-90,-83,-84,-200,-82,-200,-72,-200,-200,-200,-200,-200,-77,-85,-200,-200,-82,-78,-80,-200,-74,-200,-200,-77,-78,-200,-84,-53,-61,-200,-88,-200,-200,-200,-200,-200,-81,-200,-200,-73,-86,-76,-200,-200,-200,-200,-200
1526465823791,-46,-49,-58,-60,-41,-44,-54,-54,-68,-52,-49,-58,-76,-55,-44,-52,-51,-48,-51,-61,-54,-61,-55,-74,-200,-54,-70,-69,-60,-56,-71,-72,-63,-71,-60,-81,-200,-70,-72,-200,-200,-69,-200,-74,-200,-58,-69,-70,-200,-77,-73,-200,-200,-200,-82,-200,-55,-78,-87,-79,-84,-200,-82,-200,-67,-200,-200,-200,-200,-200,-77,-85,-200,-200,-82,-81,-73,-200,-79,-200,-200,-81,-76,-200,-86,-53,-61,-200,-88,-200,-69,-200,-200,-72,-81,-200,-200,-73,-200,-76,-90,-92,-200,-200,-200
1526465826870,-54,-44,-65,-54,-34,-48,-51,-57,-68,-60,-49,-58,-74,-65,-43,-57,-51,-47,-49,-61,-46,-61,-59,-74,-200,-54,-76,-69,-57,-57,-71,-72,-200,-66,-64,-200,-74,-71,-72,-200,-200,-68,-200,-74,-200,-55,-69,-73,-200,-77,-76,-200,-200,-200,-82,-81,-55,-78,-87,-79,-84,-200,-82,-200,-72,-200,-200,-200,-200,-200,-73,-200,-81,-200,-82,-81,-86,-200,-75,-200,-200,-77,-79,-200,-84,-56,-76,-200,-88,-200,-69,-200,-200,-72,-83,-200,-200,-73,-200,-76,-90,-92,-79,-200,-200
1526465829959,-52,-43,-57,-54,-34,-46,-53,-56,-72,-68,-62,-58,-74,-65,-43,-51,-52,-54,-47,-61,-46,-67,-58,-74,-200,-52,-76,-69,-58,-58,-64,-75,-67,-70,-64,-200,-74,-72,-72,-200,-200,-68,-200,-66,-200,-55,-71,-72,-88,-77,-76,-200,-200,-200,-82,-81,-64,-78,-87,-79,-85,-200,-88,-200,-72,-200,-200,-200,-200,-200,-73,-200,-81,-200,-82,-81,-86,-200,-75,-200,-200,-79,-79,-200,-84,-56,-64,-200,-200,-200,-69,-200,-200,-72,-83,-200,-200,-200,-200,-76,-90,-92,-79,-200,-200
1526465833021,-52,-46,-54,-52,-34,-45,-53,-56,-72,-59,-50,-58,-74,-65,-43,-52,-50,-48,-47,-61,-55,-67,-56,-74,-200,-52,-69,-69,-62,-59,-68,-76,-58,-74,-64,-200,-74,-72,-72,-200,-200,-68,-200,-66,-200,-55,-71,-76,-88,-77,-74,-200,-200,-200,-76,-81,-60,-78,-87,-79,-80,-200,-88,-200,-71,-200,-200,-200,-200,-200,-73,-200,-81,-200,-82,-81,-86,-200,-75,-200,-200,-77,-77,-200,-84,-56,-64,-74,-200,-200,-69,-85,-200,-72,-83,-200,-200,-200,-200,-76,-90,-92,-79,-90,-200
1526465836093,-52,-42,-61,-52,-31,-50,-49,-56,-72,-55,-50,-47,-74,-65,-43,-55,-52,-47,-48,-70,-55,-63,-60,-74,-200,-50,-69,-69,-61,-62,-68,-76,-58,-76,-64,-78,-74,-79,-72,-200,-200,-73,-200,-66,-200,-55,-68,-72,-88,-77,-76,-200,-71,-200,-80,-84,-56,-200,-87,-79,-84,-200,-88,-200,-72,-200,-200,-200,-200,-200,-75,-200,-81,-200,-200,-81,-82,-200,-75,-200,-200,-77,-77,-200,-84,-56,-64,-74,-200,-200,-65,-85,-200,-72,-83,-200,-200,-200,-200,-200,-90,-92,-79,-90,-87
1526465839157,-48,-41,-69,-52,-36,-52,-49,-54,-72,-52,-50,-54,-76,-58,-43,-50,-52,-46,-48,-70,-55,-61,-60,-200,-200,-50,-69,-200,-63,-59,-75,-75,-58,-76,-64,-78,-74,-79,-200,-200,-200,-67,-200,-73,-200,-62,-67,-72,-88,-200,-76,-200,-71,-200,-79,-84,-56,-200,-87,-79,-83,-200,-88,-200,-73,-200,-200,-200,-86,-200,-75,-200,-78,-200,-200,-200,-82,-200,-76,-200,-200,-77,-77,-200,-84,-56,-64,-74,-200,-200,-65,-85,-200,-200,-83,-76,-200,-200,-200,-77,-200,-200,-79,-90,-87
