,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58
1526465897938,-29,-44,-35,-48,-52,-58,-47,-60,-45,-57,-49,-54,-65,-52,-56,-62,-61,-52,-60,-59,-56,-55,-62,-56,-60,-68,-68,-65,-74,-62,-60,-79,-200,-57,-64,-74,-63,-69,-60,-71,-70,-74,-76,-200,-83,-74,-72,-200,-78,-69,-79,-83,-200,-83,-200,-83,-77,-200,-77,-200,-73,-80,-87,-80,-88,-200,-200,-200,-88,-200,-200,-92,-68,-71,-81,-82,-83,-88,-77,-81,-82,-67,-80,-80,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465897939,-29,-44,-35,-48,-52,-58,-47,-60,-45,-57,-49,-54,-65,-52,-56,-62,-61,-52,-60,-59,-56,-55,-62,-56,-60,-68,-68,-65,-74,-62,-60,-79,-200,-57,-64,-74,-63,-69,-60,-71,-70,-74,-76,-200,-83,-74,-72,-200,-78,-69,-79,-83,-200,-83,-200,-83,-77,-200,-77,-200,-73,-80,-87,-80,-88,-200,-200,-200,-88,-200,-200,-92,-68,-71,-81,-82,-83,-88,-77,-81,-82,-67,-80,-80,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465900992,-28,-45,-35,-48,-52,-58,-50,-59,-46,-49,-45,-55,-61,-52,-56,-62,-63,-52,-60,-59,-60,-55,-62,-61,-60,-68,-68,-65,-73,-65,-60,-79,-200,-57,-64,-73,-61,-69,-60,-71,-71,-200,-76,-200,-83,-74,-72,-200,-68,-66,-79,-83,-200,-84,-200,-83,-77,-200,-200,-81,-73,-84,-87,-83,-200,-200,-200,-200,-88,-86,-200,-200,-68,-66,-81,-82,-83,-88,-73,-80,-82,-66,-80,-85,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465901000,-28,-45,-35,-48,-52,-58,-50,-59,-46,-49,-45,-55,-61,-52,-56,-62,-63,-52,-60,-59,-60,-55,-62,-61,-60,-68,-68,-65,-73,-65,-60,-79,-200,-57,-64,-73,-61,-69,-60,-71,-71,-200,-76,-200,-83,-74,-72,-200,-68,-66,-79,-83,-200,-84,-200,-83,-77,-200,-200,-81,-73,-84,-87,-83,-200,-200,-200,-200,-88,-86,-200,-200,-68,-66,-81,-82,-83,-88,-73,-80,-82,-66,-80,-85,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465904070,-33,-41,-34,-48,-51,-58,-45,-60,-44,-56,-46,-55,-63,-51,-59,-62,-57,-49,-61,-63,-60,-55,-59,-69,-62,-61,-200,-65,-73,-65,-59,-79,-200,-57,-65,-73,-60,-69,-60,-71,-71,-200,-200,-200,-83,-74,-72,-77,-68,-66,-79,-78,-200,-86,-200,-83,-200,-200,-200,-81,-74,-84,-200,-80,-200,-200,-200,-200,-88,-86,-200,-200,-200,-69,-200,-79,-200,-84,-74,-79,-82,-66,-80,-85,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465904080,-33,-41,-34,-48,-51,-58,-45,-60,-44,-56,-46,-55,-63,-51,-59,-62,-57,-49,-61,-63,-60,-55,-59,-69,-62,-61,-200,-65,-73,-65,-59,-79,-200,-57,-65,-73,-60,-69,-60,-71,-71,-200,-200,-200,-83,-74,-72,-77,-68,-66,-79,-78,-200,-86,-200,-83,-200,-200,-200,-81,-74,-84,-200,-80,-200,-200,-200,-200,-88,-86,-200,-200,-200,-69,-200,-79,-200,-84,-74,-79,-82,-66,-80,-85,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465907165,-32,-40,-34,-56,-51,-60,-46,-58,-47,-56,-47,-55,-59,-52,-59,-62,-57,-51,-59,-63,-60,-55,-59,-63,-62,-62,-200,-57,-72,-65,-59,-84,-200,-59,-66,-72,-60,-69,-60,-71,-71,-74,-200,-200,-83,-74,-73,-77,-68,-66,-79,-78,-200,-86,-68,-83,-81,-200,-200,-81,-74,-84,-80,-80,-87,-200,-200,-200,-88,-86,-200,-89,-200,-69,-200,-85,-200,-84,-74,-79,-82,-66,-80,-87,-82,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465907168,-32,-40,-34,-56,-51,-60,-46,-58,-47,-56,-47,-55,-59,-52,-59,-62,-57,-51,-59,-63,-60,-55,-59,-63,-62,-62,-200,-57,-72,-65,-59,-84,-200,-59,-66,-72,-60,-69,-60,-71,-71,-74,-200,-200,-83,-74,-73,-77,-68,-66,-79,-78,-200,-86,-68,-83,-81,-200,-200,-81,-74,-84,-80,-80,-87,-200,-200,-200,-88,-86,-200,-89,-200,-69,-200,-85,-200,-84,-74,-79,-82,-66,-80,-87,-82,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465910252,-32,-41,-36,-50,-49,-54,-50,-67,-48,-51,-49,-51,-65,-49,-71,-62,-57,-51,-65,-65,-60,-54,-59,-63,-62,-62,-200,-71,-73,-62,-58,-84,-200,-57,-65,-72,-63,-86,-60,-70,-72,-74,-200,-200,-83,-74,-73,-77,-66,-66,-79,-78,-200,-84,-68,-84,-81,-200,-72,-81,-74,-84,-80,-88,-87,-200,-200,-200,-86,-86,-200,-89,-200,-65,-200,-85,-200,-84,-74,-79,-83,-66,-80,-87,-82,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465910254,-32,-41,-36,-50,-49,-54,-50,-67,-48,-51,-49,-51,-65,-49,-71,-62,-57,-51,-65,-65,-60,-54,-59,-63,-62,-62,-200,-71,-73,-62,-58,-84,-200,-57,-65,-72,-63,-86,-60,-70,-72,-74,-200,-200,-83,-74,-73,-77,-66,-66,-79,-78,-200,-84,-68,-84,-81,-200,-72,-81,-74,-84,-80,-88,-87,-200,-200,-200,-86,-86,-200,-89,-200,-65,-200,-85,-200,-84,-74,-79,-83,-66,-80,-87,-82,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465913326,-28,-43,-36,-58,-49,-56,-50,-67,-43,-48,-48,-55,-61,-53,-59,-63,-57,-51,-62,-63,-55,-54,-59,-58,-62,-62,-62,-66,-77,-62,-59,-84,-200,-58,-64,-72,-61,-73,-59,-71,-72,-74,-200,-200,-83,-76,-72,-77,-65,-66,-200,-78,-200,-84,-68,-84,-81,-200,-68,-81,-74,-71,-79,-84,-87,-200,-200,-200,-85,-86,-200,-89,-200,-69,-79,-85,-200,-84,-74,-79,-83,-66,-200,-87,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465913328,-28,-43,-36,-58,-49,-56,-50,-67,-43,-48,-48,-55,-61,-53,-59,-63,-57,-51,-62,-63,-55,-54,-59,-58,-62,-62,-62,-66,-77,-62,-59,-84,-200,-58,-64,-72,-61,-73,-59,-71,-72,-74,-200,-200,-83,-76,-72,-77,-65,-66,-200,-78,-200,-84,-68,-84,-81,-200,-68,-81,-74,-71,-79,-84,-87,-200,-200,-200,-85,-86,-200,-89,-200,-69,-79,-85,-200,-84,-74,-79,-83,-66,-200,-87,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465916398,-29,-43,-36,-51,-50,-55,-50,-67,-47,-50,-51,-55,-61,-48,-79,-65,-57,-54,-64,-64,-55,-54,-57,-65,-63,-62,-62,-70,-77,-62,-61,-84,-85,-58,-64,-73,-61,-73,-62,-71,-72,-74,-200,-200,-75,-76,-72,-77,-65,-66,-200,-78,-200,-85,-68,-84,-79,-200,-68,-200,-75,-71,-79,-81,-87,-200,-200,-200,-85,-86,-200,-89,-200,-69,-81,-85,-200,-85,-78,-79,-83,-66,-200,-87,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465916410,-29,-43,-36,-51,-50,-55,-50,-67,-47,-50,-51,-55,-61,-48,-79,-65,-57,-54,-64,-64,-55,-54,-57,-65,-63,-62,-62,-70,-77,-62,-61,-84,-85,-58,-64,-73,-61,-73,-62,-71,-72,-74,-200,-200,-75,-76,-72,-77,-65,-66,-200,-78,-200,-85,-68,-84,-79,-200,-68,-200,-75,-71,-79,-81,-87,-200,-200,-200,-85,-86,-200,-89,-200,-69,-81,-85,-200,-85,-78,-79,-83,-66,-200,-87,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465919455,-30,-41,-38,-52,-53,-58,-49,-59,-47,-57,-48,-49,-61,-45,-79,-66,-200,-54,-64,-63,-57,-54,-57,-59,-62,-57,-62,-70,-73,-62,-59,-84,-69,-58,-64,-73,-62,-72,-60,-72,-72,-74,-200,-200,-75,-75,-72,-200,-65,-67,-200,-200,-79,-85,-68,-84,-79,-200,-65,-200,-78,-73,-78,-84,-87,-200,-200,-200,-85,-200,-200,-89,-75,-69,-79,-85,-82,-85,-77,-79,-83,-200,-77,-87,-200,-200,-79,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526465919458,-30,-41,-38,-52,-53,-58,-49,-59,-47,-57,-48,-49,-61,-45,-79,-66,-200,-54,-64,-63,-57,-54,-57,-59,-62,-57,-62,-70,-73,-62,-59,-84,-69,-58,-64,-73,-62,-72,-60,-72,-72,-74,-200,-200,-75,-75,-72,-200,-65,-67,-200,-200,-79,-85,-68,-84,-79,-200,-65,-200,-78,-73,-78,-84,-87,-200,-200,-200,-85,-200,-200,-89,-75,-69,-79,-85,-82,-85,-77,-79,-83,-200,-77,-87,-200,-200,-79,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526465922512,-30,-41,-38,-52,-51,-60,-50,-62,-45,-57,-48,-55,-64,-45,-79,-66,-53,-54,-56,-64,-69,-54,-57,-55,-62,-57,-69,-59,-73,-62,-58,-200,-69,-57,-64,-73,-64,-78,-60,-73,-72,-200,-200,-200,-75,-74,-72,-200,-65,-69,-200,-84,-79,-86,-200,-84,-77,-200,-65,-200,-77,-73,-82,-84,-200,-200,-200,-200,-85,-200,-200,-200,-75,-69,-80,-77,-82,-84,-77,-79,-83,-200,-77,-79,-200,-200,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200
1526465922534,-30,-41,-38,-52,-51,-60,-50,-62,-45,-57,-48,-55,-64,-45,-79,-66,-53,-54,-56,-64,-69,-54,-57,-55,-62,-57,-69,-59,-73,-62,-58,-200,-69,-57,-64,-73,-64,-78,-60,-73,-72,-200,-200,-200,-75,-74,-72,-200,-65,-69,-200,-84,-79,-86,-200,-84,-77,-200,-65,-200,-77,-73,-82,-84,-200,-200,-200,-200,-85,-200,-200,-200,-75,-69,-80,-77,-82,-84,-77,-79,-83,-200,-77,-79,-200,-200,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200
1526465925591,-30,-41,-37,-52,-50,-61,-45,-50,-46,-57,-49,-55,-65,-56,-79,-66,-60,-55,-65,-64,-69,-57,-57,-55,-62,-57,-69,-61,-83,-200,-58,-200,-69,-57,-64,-75,-62,-78,-61,-72,-200,-200,-200,-200,-75,-74,-72,-200,-65,-67,-200,-84,-79,-86,-200,-200,-77,-200,-65,-200,-75,-83,-80,-84,-200,-200,-200,-200,-85,-200,-200,-200,-75,-69,-80,-77,-82,-84,-73,-200,-200,-200,-77,-79,-200,-200,-200,-76,-77,-71,-200,-200,-200,-200,-200,-200
1526465925599,-30,-41,-37,-52,-50,-61,-45,-50,-46,-57,-49,-55,-65,-56,-79,-66,-60,-55,-65,-64,-69,-57,-57,-55,-62,-57,-69,-61,-83,-200,-58,-200,-69,-57,-64,-75,-62,-78,-61,-72,-200,-200,-200,-200,-75,-74,-72,-200,-65,-67,-200,-84,-79,-86,-200,-200,-77,-200,-65,-200,-75,-83,-80,-84,-200,-200,-200,-200,-85,-200,-200,-200,-75,-69,-80,-77,-82,-84,-73,-200,-200,-200,-77,-79,-200,-200,-200,-76,-77,-71,-200,-200,-200,-200,-200,-200
1526465928665,-30,-42,-36,-52,-50,-61,-46,-57,-46,-58,-46,-54,-62,-51,-61,-68,-60,-55,-62,-64,-61,-58,-57,-59,-54,-54,-69,-60,-75,-87,-59,-200,-78,-57,-59,-75,-63,-78,-61,-72,-200,-200,-200,-200,-75,-73,-74,-200,-69,-68,-200,-84,-79,-83,-200,-200,-77,-200,-65,-200,-75,-83,-80,-84,-87,-200,-200,-200,-200,-85,-200,-200,-75,-70,-80,-77,-82,-84,-72,-77,-84,-200,-77,-79,-200,-200,-200,-76,-77,-71,-200,-200,-200,-200,-200,-200
1526465928679,-30,-42,-36,-52,-50,-61,-46,-57,-46,-58,-46,-54,-62,-51,-61,-68,-60,-55,-62,-64,-61,-58,-57,-59,-54,-54,-69,-60,-75,-87,-59,-200,-78,-57,-59,-75,-63,-78,-61,-72,-200,-200,-200,-200,-75,-73,-74,-200,-69,-68,-200,-84,-79,-83,-200,-200,-77,-200,-65,-200,-75,-83,-80,-84,-87,-200,-200,-200,-200,-85,-200,-200,-75,-70,-80,-77,-82,-84,-72,-77,-84,-200,-77,-79,-200,-200,-200,-76,-77,-71,-200,-200,-200,-200,-200,-200
1526465931730,-30,-42,-36,-53,-50,-61,-48,-60,-49,-58,-48,-54,-67,-51,-61,-67,-60,-55,-62,-63,-61,-58,-200,-57,-60,-55,-66,-60,-75,-87,-59,-200,-70,-62,-63,-76,-61,-78,-58,-72,-200,-74,-200,-200,-200,-73,-74,-200,-69,-68,-200,-79,-79,-83,-200,-86,-77,-200,-65,-200,-77,-75,-83,-84,-87,-200,-200,-200,-200,-85,-200,-200,-74,-65,-81,-80,-81,-84,-73,-77,-84,-200,-81,-79,-200,-200,-200,-79,-77,-71,-200,-200,-200,-200,-200,-200
1526465931730,-30,-42,-36,-53,-50,-61,-48,-60,-49,-58,-48,-54,-67,-51,-61,-67,-60,-55,-62,-63,-61,-58,-200,-57,-60,-55,-66,-60,-75,-87,-59,-200,-70,-62,-63,-76,-61,-78,-58,-72,-200,-74,-200,-200,-200,-73,-74,-200,-69,-68,-200,-79,-79,-83,-200,-86,-77,-200,-65,-200,-77,-75,-83,-84,-87,-200,-200,-200,-200,-85,-200,-200,-74,-65,-81,-80,-81,-84,-73,-77,-84,-200,-81,-79,-200,-200,-200,-79,-77,-71,-200,-200,-200,-200,-200,-200
1526465934762,-28,-46,-38,-53,-50,-54,-44,-59,-49,-58,-50,-53,-66,-51,-70,-67,-60,-51,-59,-63,-61,-58,-57,-56,-60,-55,-66,-61,-80,-64,-60,-200,-70,-61,-64,-76,-61,-70,-60,-72,-200,-74,-200,-200,-75,-73,-73,-200,-69,-67,-200,-79,-200,-83,-200,-86,-77,-200,-200,-200,-77,-75,-83,-200,-87,-200,-200,-200,-200,-85,-200,-200,-74,-65,-81,-80,-81,-84,-77,-77,-84,-200,-81,-79,-200,-200,-88,-79,-77,-71,-86,-200,-200,-200,-200,-200
