,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526465731575,-39,-43,-63,-44,-43,-40,-52,-55,-53,-54,-47,-41,-58,-38,-66,-54,-200,-200,-64,-45,-71,-58,-58,-64,-57,-57,-52,-74,-57,-61,-57,-59,-74,-53,-55,-53,-64,-81,-77,-66,-73,-69,-61,-73,-200,-200,-62,-73,-68,-74,-73,-67,-72,-77,-79,-73,-71,-200,-200,-73,-200,-200,-82,-81,-73,-81,-71,-86,-200,-200,-200,-83,-61,-68,-200,-200,-77,-80,-79,-200,-200,-67,-200,-200,-200,-88,-200,-200,-83,-200,-200,-83,-81,-200,-69,-76,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465734658,-39,-45,-62,-44,-38,-41,-50,-55,-53,-54,-47,-38,-60,-38,-66,-52,-200,-200,-65,-44,-72,-57,-58,-64,-60,-58,-53,-77,-57,-58,-57,-63,-73,-55,-55,-52,-69,-81,-76,-66,-72,-69,-60,-70,-200,-200,-62,-73,-68,-73,-73,-67,-72,-77,-79,-74,-71,-200,-200,-73,-200,-79,-81,-200,-73,-78,-200,-83,-200,-200,-200,-85,-61,-69,-200,-200,-78,-78,-79,-87,-200,-67,-200,-200,-200,-88,-200,-200,-83,-200,-200,-200,-81,-200,-200,-200,-200,-82,-70,-80,-81,-89,-200,-200,-200,-200,-200,-200,-200
1526465737744,-36,-39,-54,-53,-42,-41,-48,-56,-52,-48,-49,-42,-56,-37,-71,-51,-200,-56,-65,-49,-70,-57,-200,-64,-60,-58,-57,-77,-57,-57,-52,-64,-68,-55,-57,-52,-69,-75,-76,-200,-72,-69,-59,-70,-200,-79,-60,-73,-68,-73,-76,-67,-200,-77,-79,-75,-71,-200,-200,-73,-87,-79,-79,-200,-73,-76,-200,-83,-200,-200,-200,-85,-200,-72,-200,-200,-77,-78,-77,-86,-200,-67,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-82,-70,-80,-81,-89,-74,-200,-200,-200,-200,-200,-200
1526465740801,-36,-46,-54,-53,-43,-39,-49,-56,-53,-51,-52,-40,-55,-37,-69,-53,-200,-56,-65,-44,-71,-56,-200,-64,-57,-58,-53,-77,-59,-57,-54,-65,-68,-54,-56,-52,-67,-75,-75,-200,-72,-69,-59,-68,-200,-79,-58,-74,-200,-73,-73,-68,-200,-77,-200,-75,-71,-200,-200,-74,-87,-79,-77,-200,-73,-75,-200,-84,-200,-200,-200,-85,-57,-68,-200,-200,-77,-76,-77,-82,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-82,-70,-80,-81,-89,-74,-200,-200,-200,-200,-200,-200
1526465743859,-36,-46,-57,-54,-42,-38,-49,-56,-53,-50,-52,-41,-62,-37,-69,-51,-56,-56,-65,-48,-71,-56,-58,-68,-57,-58,-51,-77,-62,-58,-54,-60,-68,-54,-52,-51,-66,-75,-77,-68,-72,-69,-60,-68,-200,-79,-62,-75,-200,-73,-74,-68,-200,-76,-200,-75,-71,-200,-200,-74,-87,-79,-81,-81,-74,-76,-200,-85,-200,-200,-200,-85,-61,-68,-200,-68,-77,-76,-77,-82,-200,-200,-200,-87,-200,-89,-200,-200,-200,-81,-200,-200,-81,-200,-200,-200,-200,-82,-70,-80,-81,-89,-74,-69,-78,-200,-200,-200,-200
1526465746918,-36,-41,-53,-48,-43,-36,-49,-56,-51,-53,-55,-41,-61,-39,-69,-53,-56,-56,-65,-48,-72,-56,-58,-56,-60,-59,-52,-77,-60,-58,-60,-60,-68,-55,-54,-51,-66,-75,-78,-68,-73,-64,-60,-69,-200,-79,-62,-73,-200,-73,-73,-66,-74,-76,-200,-74,-71,-200,-200,-71,-87,-79,-81,-81,-74,-78,-200,-85,-200,-200,-200,-85,-58,-66,-200,-68,-77,-76,-81,-84,-200,-66,-200,-87,-200,-89,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-82,-70,-80,-81,-89,-74,-69,-78,-200,-200,-200,-200
1526465750002,-38,-41,-56,-49,-41,-39,-49,-60,-51,-53,-61,-41,-58,-38,-67,-50,-56,-56,-200,-45,-70,-56,-58,-56,-61,-59,-53,-60,-60,-57,-57,-62,-68,-55,-52,-52,-65,-75,-78,-68,-70,-65,-60,-67,-200,-79,-63,-73,-68,-72,-70,-66,-74,-76,-200,-74,-72,-57,-200,-73,-87,-200,-85,-81,-74,-77,-71,-85,-200,-200,-200,-87,-54,-68,-200,-68,-77,-76,-78,-84,-200,-57,-200,-87,-200,-89,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-69,-78,-77,-200,-200,-200
1526465753052,-38,-39,-54,-51,-45,-38,-52,-60,-53,-53,-50,-38,-61,-35,-63,-50,-56,-56,-200,-45,-70,-55,-58,-56,-61,-59,-53,-60,-60,-57,-57,-62,-68,-59,-54,-52,-67,-200,-77,-66,-70,-65,-57,-67,-200,-200,-62,-73,-68,-72,-70,-69,-74,-76,-200,-74,-72,-57,-200,-72,-200,-200,-81,-81,-74,-74,-71,-85,-200,-200,-200,-87,-54,-68,-200,-68,-79,-76,-80,-82,-200,-57,-200,-87,-200,-89,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-78,-77,-88,-200,-200
1526465756138,-40,-39,-49,-48,-42,-39,-59,-60,-53,-51,-50,-41,-56,-35,-63,-51,-56,-56,-200,-43,-68,-56,-58,-57,-60,-59,-48,-60,-60,-57,-56,-66,-71,-55,-55,-50,-68,-73,-73,-64,-72,-66,-60,-70,-200,-200,-60,-74,-68,-72,-74,-69,-74,-76,-200,-74,-70,-57,-200,-72,-200,-200,-79,-81,-73,-75,-71,-85,-80,-200,-200,-87,-54,-68,-77,-68,-79,-200,-78,-83,-200,-57,-200,-87,-200,-89,-200,-200,-200,-81,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-78,-77,-88,-200,-200
1526465759213,-37,-43,-58,-45,-43,-39,-59,-60,-53,-51,-54,-39,-57,-37,-63,-51,-200,-56,-200,-43,-68,-56,-200,-60,-59,-59,-52,-60,-60,-57,-54,-66,-71,-51,-55,-50,-68,-73,-74,-64,-72,-67,-60,-70,-200,-200,-60,-74,-68,-72,-74,-69,-74,-200,-200,-73,-71,-57,-200,-72,-200,-200,-80,-200,-73,-78,-71,-200,-80,-200,-200,-86,-54,-68,-77,-200,-79,-200,-78,-83,-200,-57,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-88,-200,-200
1526465762234,-49,-45,-54,-46,-35,-42,-59,-58,-53,-49,-50,-41,-56,-44,-57,-55,-200,-56,-59,-45,-70,-58,-200,-60,-59,-59,-50,-60,-60,-52,-81,-63,-71,-51,-51,-46,-61,-73,-79,-64,-73,-66,-58,-70,-200,-74,-62,-74,-68,-72,-74,-66,-200,-78,-200,-73,-73,-57,-200,-72,-200,-200,-80,-200,-73,-77,-71,-200,-80,-200,-200,-87,-55,-78,-77,-200,-79,-200,-77,-83,-83,-57,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-77,-88,-66,-200
1526465765254,-46,-45,-48,-50,-39,-40,-49,-58,-53,-49,-46,-44,-55,-38,-60,-52,-200,-200,-55,-45,-74,-58,-200,-59,-59,-60,-50,-200,-60,-52,-57,-64,-71,-56,-52,-51,-61,-73,-78,-67,-75,-68,-63,-70,-200,-74,-65,-78,-200,-72,-74,-66,-200,-78,-200,-75,-76,-57,-200,-73,-200,-200,-83,-200,-73,-75,-71,-200,-80,-200,-200,-85,-56,-78,-77,-62,-76,-200,-77,-83,-83,-200,-200,-200,-200,-200,-73,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-88,-66,-86
