,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526450374261,-200,-75,-200,-200,-87,-200,-200,-86,-200,-200,-200,-200,-200,-76,-84,-62,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526450375421,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450376461,-200,-77,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-82,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526450377546,-200,-75,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450377675,-88,-80,-200,-200,-200,-88,-200,-200,-88,-75,-89,-86,-200,-200,-200,-62,-68,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-90,-87,-93,-84,-200,-200,-200,-200
1526450378810,-85,-200,-92,-88,-200,-200,-200,-88,-200,-77,-78,-200,-200,-81,-88,-70,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-94,-88,-200,-200
1526450381039,-95,-200,-200,-77,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450382078,-86,-200,-200,-200,-200,-200,-200,-200,-90,-200,-82,-90,-81,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-90,-200,-91,-95,-89,-200,-200,-200,-200
1526450383157,-200,-200,-200,-82,-200,-200,-200,-86,-200,-200,-200,-200,-77,-200,-200,-66,-67,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-81,-200,-89,-200,-200,-82,-200,-200,-200,-200
1526450384267,-86,-200,-200,-79,-89,-200,-200,-200,-200,-74,-94,-200,-200,-200,-200,-73,-70,-200,-200,-200,-200,-84,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200
1526450385404,-88,-200,-200,-200,-200,-200,-200,-200,-200,-83,-81,-200,-200,-200,-200,-71,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450386461,-84,-79,-200,-200,-82,-200,-200,-200,-90,-75,-84,-76,-75,-81,-200,-200,-67,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-91,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450387638,-86,-81,-200,-80,-85,-87,-200,-200,-92,-80,-81,-200,-78,-79,-200,-69,-200,-200,-200,-91,-80,-200,-88,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-82,-200,-200,-92,-200
1526450389915,-83,-72,-200,-82,-200,-200,-200,-200,-200,-76,-92,-200,-76,-81,-200,-200,-200,-200,-200,-94,-84,-77,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526450391040,-83,-75,-200,-81,-200,-90,-200,-200,-200,-200,-200,-200,-77,-75,-200,-200,-68,-200,-200,-91,-200,-200,-200,-100,-200,-200,-200,-200,-82,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526450393156,-200,-73,-83,-200,-90,-200,-200,-200,-200,-71,-200,-200,-86,-200,-200,-76,-200,-200,-200,-96,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450394236,-77,-72,-200,-79,-75,-200,-200,-84,-91,-70,-200,-200,-200,-200,-200,-67,-67,-200,-200,-200,-200,-78,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450395371,-200,-75,-200,-200,-91,-200,-200,-82,-200,-67,-83,-76,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526450396449,-200,-74,-200,-77,-200,-90,-200,-200,-200,-70,-87,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526450398637,-80,-73,-200,-77,-200,-200,-200,-200,-200,-73,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-91,-200,-200,-200
1526450399766,-200,-73,-200,-200,-200,-200,-200,-85,-200,-200,-84,-200,-76,-79,-200,-66,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-95,-200,-200
1526450400845,-84,-72,-200,-80,-200,-200,-200,-83,-91,-68,-200,-76,-82,-77,-200,-89,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-89,-200,-200,-79,-200,-200,-200,-200
1526450405268,-200,-200,-87,-200,-200,-200,-200,-86,-200,-71,-200,-88,-200,-200,-200,-200,-67,-200,-200,-98,-200,-200,-92,-200,-200,-200,-200,-93,-200,-200,-88,-200,-200,-82,-200,-91,-200,-200
1526450406348,-200,-200,-200,-200,-200,-92,-200,-87,-97,-70,-200,-80,-200,-200,-200,-200,-72,-200,-200,-200,-200,-76,-82,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450407458,-200,-200,-200,-80,-82,-200,-200,-85,-200,-200,-82,-77,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90
1526450408554,-200,-71,-74,-71,-200,-94,-200,-88,-200,-78,-84,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-78,-200,-200,-200,-200,-94,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526450408656,-79,-74,-200,-77,-84,-200,-200,-85,-86,-70,-84,-87,-78,-200,-87,-76,-200,-89,-200,-200,-84,-200,-81,-200,-96,-200,-200,-200,-81,-200,-200,-200,-92,-200,-200,-200,-200,-92
1526450410891,-200,-200,-200,-82,-200,-200,-200,-87,-200,-75,-200,-200,-200,-200,-86,-76,-200,-200,-200,-200,-81,-200,-79,-92,-200,-92,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450413059,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-67,-200,-200,-200,-200,-84,-82,-81,-200,-200,-91,-200,-200,-82,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526450414189,-200,-72,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450415296,-200,-68,-87,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-63,-200,-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450416347,-200,-70,-200,-94,-85,-200,-94,-200,-200,-72,-78,-200,-200,-80,-200,-75,-200,-87,-200,-200,-81,-90,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526450417461,-85,-74,-74,-200,-200,-200,-200,-200,-91,-72,-200,-200,-78,-76,-86,-68,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526450418686,-87,-69,-78,-200,-200,-83,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-63,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-89,-91,-90,-200,-200,-200,-200,-200,-86,-200,-94
1526450420745,-200,-200,-83,-68,-81,-88,-200,-200,-200,-66,-87,-80,-71,-84,-200,-70,-73,-200,-200,-200,-84,-75,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450421891,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-78,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450422965,-200,-200,-200,-200,-82,-200,-200,-90,-89,-200,-76,-200,-83,-83,-78,-73,-74,-89,-200,-90,-200,-76,-80,-88,-200,-200,-200,-200,-82,-200,-92,-87,-84,-79,-200,-200,-200,-200
1526450425155,-200,-200,-200,-200,-79,-200,-200,-200,-85,-69,-74,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450426250,-200,-72,-200,-200,-87,-200,-93,-200,-200,-200,-200,-81,-200,-200,-200,-73,-200,-200,-200,-200,-200,-83,-200,-200,-200,-79,-200,-200,-90,-200,-90,-200,-90,-82,-200,-95,-200,-200
1526450426341,-200,-200,-77,-200,-76,-200,-200,-200,-89,-70,-78,-200,-200,-200,-200,-70,-200,-88,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200
