,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,DLINK_D02A20,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461814434,-43,-46,-54,-56,-43,-54,-38,-44,-49,-52,-65,-58,-59,-67,-61,-57,-55,-65,-70,-61,-79,-67,-62,-69,-77,-66,-75,-77,-63,-59,-72,-64,-75,-66,-77,-82,-75,-92,-200,-66,-70,-76,-80,-80,-73,-71,-85,-72,-79,-79,-87,-200,-90,-200,-75,-79,-74,-86,-84,-79,-85,-200,-200,-200,-82,-89,-95,-86,-200,-88,-94,-200,-89,-84,-82,-200,-81,-90,-94,-96,-94,-200,-96,-200,-200,-73,-200,-200,-65,-200,-90,-84,-200,-200,-200,-94,-90,-87,-85,-200,-200,-200
1526461817486,-43,-45,-52,-57,-43,-52,-36,-39,-48,-55,-61,-57,-55,-66,-60,-57,-53,-75,-68,-62,-79,-68,-68,-68,-77,-66,-75,-78,-67,-60,-75,-63,-81,-66,-78,-78,-78,-91,-200,-64,-70,-76,-80,-200,-73,-71,-80,-73,-81,-81,-87,-200,-86,-200,-75,-79,-74,-88,-84,-83,-85,-200,-200,-200,-82,-89,-95,-89,-200,-90,-95,-83,-85,-87,-82,-200,-81,-90,-94,-96,-94,-200,-97,-94,-200,-76,-200,-83,-57,-200,-200,-83,-85,-200,-71,-94,-90,-87,-85,-200,-200,-200
1526461820538,-43,-44,-52,-56,-45,-54,-37,-39,-49,-54,-61,-50,-53,-65,-60,-57,-52,-65,-74,-60,-83,-68,-61,-66,-76,-68,-75,-79,-68,-60,-72,-63,-83,-200,-77,-80,-78,-76,-200,-63,-71,-76,-81,-200,-200,-72,-86,-70,-81,-80,-200,-200,-86,-200,-76,-80,-75,-87,-200,-80,-85,-200,-200,-200,-82,-93,-200,-89,-200,-90,-95,-86,-86,-82,-87,-200,-81,-89,-94,-96,-94,-200,-97,-94,-200,-73,-79,-83,-57,-200,-200,-83,-85,-200,-71,-200,-200,-200,-85,-200,-200,-200
1526461823594,-38,-44,-51,-57,-44,-54,-37,-38,-49,-58,-60,-52,-52,-64,-61,-57,-52,-64,-72,-60,-83,-68,-65,-61,-78,-64,-75,-78,-69,-60,-72,-63,-83,-200,-77,-79,-79,-76,-200,-63,-65,-72,-81,-200,-85,-72,-86,-70,-81,-80,-200,-200,-86,-200,-75,-79,-75,-87,-200,-80,-200,-200,-200,-200,-82,-91,-200,-90,-200,-90,-95,-86,-85,-82,-83,-200,-82,-89,-94,-200,-93,-200,-97,-94,-200,-70,-79,-83,-68,-200,-200,-83,-85,-200,-71,-200,-200,-200,-85,-87,-200,-200
1526461826644,-42,-43,-51,-54,-42,-51,-40,-37,-49,-54,-59,-53,-59,-68,-59,-57,-55,-73,-75,-60,-79,-68,-63,-68,-76,-65,-74,-79,-67,-60,-72,-63,-82,-200,-77,-78,-79,-92,-200,-63,-70,-72,-80,-200,-82,-71,-83,-70,-200,-80,-200,-200,-200,-200,-74,-79,-75,-87,-82,-80,-200,-200,-200,-200,-81,-92,-93,-89,-200,-89,-95,-92,-85,-87,-86,-200,-82,-89,-93,-200,-92,-200,-97,-200,-200,-70,-79,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-87,-200,-200
1526461829694,-43,-43,-48,-56,-43,-53,-37,-37,-49,-51,-66,-56,-55,-66,-64,-56,-55,-61,-61,-62,-86,-70,-65,-63,-75,-70,-74,-79,-68,-59,-74,-63,-80,-200,-78,-79,-79,-77,-200,-62,-69,-74,-80,-80,-82,-72,-82,-73,-200,-79,-85,-80,-86,-200,-76,-80,-74,-89,-83,-79,-84,-88,-200,-200,-79,-92,-92,-90,-200,-90,-95,-85,-85,-83,-86,-200,-82,-200,-92,-200,-92,-94,-97,-200,-200,-71,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526461832749,-41,-42,-49,-56,-44,-50,-37,-38,-46,-53,-61,-55,-57,-66,-60,-57,-49,-64,-73,-61,-81,-70,-65,-65,-69,-72,-72,-80,-59,-58,-72,-63,-73,-200,-77,-79,-76,-77,-200,-62,-70,-76,-79,-80,-82,-73,-83,-71,-200,-81,-85,-93,-88,-200,-76,-80,-74,-89,-83,-79,-81,-88,-200,-200,-82,-92,-92,-92,-200,-91,-95,-85,-85,-85,-86,-200,-82,-87,-91,-96,-95,-94,-97,-95,-200,-71,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-200
1526461835808,-41,-43,-49,-56,-43,-53,-39,-43,-54,-53,-61,-57,-53,-65,-59,-56,-50,-61,-61,-61,-76,-70,-68,-63,-71,-67,-72,-79,-69,-58,-74,-61,-82,-200,-77,-78,-78,-77,-200,-63,-70,-74,-79,-80,-200,-72,-79,-75,-200,-79,-85,-93,-88,-200,-75,-80,-74,-88,-82,-81,-81,-88,-200,-200,-81,-92,-92,-95,-200,-92,-95,-85,-85,-81,-82,-200,-82,-90,-91,-96,-95,-94,-96,-95,-200,-73,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-200
1526461838853,-44,-44,-49,-56,-42,-49,-36,-38,-49,-51,-61,-57,-54,-66,-60,-56,-52,-73,-74,-61,-81,-69,-71,-66,-65,-68,-73,-80,-69,-59,-73,-63,-82,-200,-77,-77,-78,-77,-200,-64,-69,-77,-79,-78,-200,-72,-82,-74,-200,-79,-200,-93,-88,-200,-75,-80,-73,-90,-82,-78,-80,-200,-200,-200,-82,-91,-200,-90,-200,-92,-95,-200,-85,-81,-84,-200,-82,-90,-91,-96,-95,-96,-96,-95,-200,-69,-200,-200,-69,-200,-200,-200,-200,-95,-200,-91,-200,-200,-85,-200,-91,-200
1526461841907,-44,-44,-50,-54,-43,-48,-37,-38,-49,-53,-66,-56,-57,-67,-66,-55,-51,-62,-63,-61,-85,-69,-68,-67,-70,-66,-73,-77,-68,-57,-72,-61,-78,-67,-77,-77,-78,-200,-200,-62,-67,-79,-79,-80,-200,-72,-82,-73,-200,-79,-200,-200,-200,-200,-76,-81,-74,-90,-82,-78,-80,-87,-200,-200,-83,-93,-200,-90,-200,-92,-95,-81,-85,-82,-80,-200,-82,-87,-91,-200,-200,-96,-96,-91,-200,-73,-200,-200,-70,-200,-200,-200,-200,-95,-200,-91,-200,-200,-85,-200,-90,-97
1526461844955,-43,-44,-50,-56,-42,-50,-38,-38,-49,-51,-67,-59,-49,-64,-62,-55,-51,-62,-75,-200,-85,-74,-64,-63,-70,-70,-74,-77,-67,-61,-71,-64,-79,-67,-78,-78,-80,-200,-200,-62,-68,-78,-77,-80,-82,-74,-82,-71,-80,-79,-86,-89,-88,-200,-76,-77,-73,-90,-200,-78,-82,-87,-200,-200,-83,-92,-200,-88,-200,-93,-200,-81,-87,-81,-81,-200,-82,-87,-90,-200,-200,-96,-97,-91,-200,-70,-200,-82,-68,-200,-82,-200,-200,-95,-200,-91,-200,-200,-84,-200,-90,-97
1526461848016,-43,-46,-51,-54,-34,-53,-37,-39,-50,-53,-64,-58,-51,-54,-63,-55,-50,-60,-77,-58,-80,-73,-67,-58,-73,-70,-74,-76,-66,-62,-73,-63,-79,-65,-81,-76,-80,-76,-200,-64,-68,-78,-79,-80,-82,-74,-79,-71,-80,-79,-86,-89,-88,-200,-77,-77,-73,-92,-200,-79,-80,-87,-200,-200,-84,-90,-200,-91,-200,-93,-200,-85,-85,-81,-81,-200,-82,-87,-89,-200,-200,-200,-97,-91,-200,-74,-200,-82,-68,-200,-85,-200,-87,-200,-200,-200,-200,-92,-84,-200,-90,-97
