,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A20,DLINK_D02A38,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whjx-gaofeng-13,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,,DLINK_D00EB8,whjx-xiaozhuyang-1,,ez-lzh-liubin-1,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461592911,-42,-57,-38,-49,-58,-48,-47,-59,-67,-66,-73,-59,-63,-51,-80,-58,-65,-69,-68,-69,-66,-65,-75,-55,-74,-67,-71,-84,-90,-79,-74,-74,-74,-76,-67,-74,-83,-76,-74,-80,-85,-80,-200,-83,-200,-69,-89,-77,-74,-84,-89,-80,-78,-74,-79,-80,-84,-200,-87,-86,-84,-200,-200,-200,-83,-200,-79,-93,-200,-91,-200,-200,-95,-87,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-94,-87,-200,-92,-200,-200,-200,-89,-200,-200,-85,-90,-94,-200,-80,-200,-200,-97,-90,-200,-200,-200,-200,-200
1526461595962,-41,-54,-36,-47,-50,-53,-41,-61,-64,-65,-72,-59,-71,-52,-78,-58,-66,-69,-64,-57,-69,-68,-74,-67,-73,-72,-79,-83,-90,-200,-74,-74,-70,-73,-67,-75,-83,-76,-74,-80,-86,-80,-200,-90,-86,-69,-89,-77,-79,-84,-200,-78,-79,-74,-79,-80,-84,-200,-87,-91,-81,-95,-200,-200,-82,-200,-79,-93,-200,-94,-200,-200,-97,-91,-94,-91,-200,-200,-200,-96,-200,-200,-200,-200,-200,-80,-93,-87,-200,-94,-200,-96,-200,-89,-200,-200,-86,-90,-94,-200,-78,-200,-200,-97,-90,-90,-97,-200,-200,-200
1526461599017,-37,-52,-37,-45,-56,-48,-45,-65,-62,-65,-62,-74,-62,-52,-86,-69,-66,-67,-66,-74,-67,-72,-76,-64,-73,-72,-61,-76,-200,-200,-74,-74,-79,-70,-65,-75,-89,-73,-77,-89,-84,-74,-200,-82,-86,-68,-89,-200,-79,-81,-85,-78,-81,-75,-75,-83,-86,-200,-87,-90,-81,-95,-200,-200,-82,-200,-79,-93,-200,-94,-200,-200,-97,-83,-94,-91,-200,-200,-94,-96,-200,-200,-200,-200,-200,-80,-88,-91,-200,-88,-200,-96,-74,-89,-200,-200,-84,-200,-90,-96,-77,-200,-200,-97,-200,-90,-97,-200,-200,-200
1526461602067,-39,-56,-36,-48,-51,-50,-47,-65,-58,-69,-73,-74,-62,-54,-76,-59,-66,-69,-71,-67,-61,-68,-80,-51,-71,-52,-76,-76,-200,-70,-200,-74,-69,-70,-71,-78,-76,-73,-77,-78,-81,-74,-200,-91,-86,-65,-89,-200,-79,-81,-85,-86,-82,-78,-75,-86,-86,-200,-87,-92,-81,-95,-200,-200,-83,-93,-200,-91,-200,-93,-200,-200,-97,-90,-94,-91,-200,-200,-94,-96,-200,-200,-200,-200,-200,-80,-88,-91,-200,-92,-200,-96,-74,-200,-200,-200,-84,-92,-90,-96,-77,-200,-200,-200,-200,-90,-97,-98,-200,-200
1526461605111,-39,-57,-37,-49,-52,-46,-48,-64,-61,-62,-74,-77,-63,-54,-74,-58,-66,-70,-67,-67,-61,-68,-80,-61,-71,-68,-69,-77,-200,-70,-67,-73,-66,-78,-68,-78,-80,-73,-74,-78,-81,-74,-200,-82,-200,-69,-89,-81,-73,-89,-85,-81,-81,-76,-75,-86,-85,-200,-85,-92,-83,-200,-200,-200,-84,-93,-71,-91,-95,-92,-200,-200,-200,-94,-94,-94,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-95,-91,-200,-91,-200,-200,-74,-200,-200,-200,-87,-92,-93,-96,-80,-200,-200,-200,-200,-200,-200,-98,-93,-200
1526461608162,-35,-59,-34,-44,-55,-45,-46,-66,-62,-62,-73,-77,-64,-52,-72,-58,-64,-72,-65,-65,-63,-67,-76,-57,-79,-72,-69,-75,-200,-70,-67,-69,-65,-75,-70,-77,-80,-82,-74,-78,-81,-200,-200,-82,-200,-68,-91,-81,-73,-78,-200,-81,-78,-76,-200,-78,-85,-200,-86,-92,-84,-200,-200,-200,-84,-93,-71,-91,-95,-92,-200,-200,-200,-94,-89,-94,-200,-200,-94,-200,-200,-200,-200,-200,-200,-78,-95,-200,-200,-91,-200,-200,-200,-200,-200,-200,-87,-92,-93,-200,-76,-200,-200,-200,-200,-200,-200,-98,-93,-200
1526461611211,-36,-62,-35,-48,-53,-45,-45,-70,-59,-66,-73,-77,-65,-53,-74,-59,-67,-76,-68,-65,-63,-66,-79,-58,-79,-69,-81,-76,-86,-74,-67,-76,-65,-75,-70,-81,-80,-82,-75,-78,-79,-80,-200,-82,-87,-68,-88,-79,-78,-81,-200,-82,-80,-81,-200,-87,-85,-200,-87,-200,-83,-200,-200,-200,-83,-200,-71,-200,-95,-94,-200,-200,-200,-90,-89,-94,-200,-200,-200,-92,-200,-89,-200,-200,-200,-78,-88,-200,-200,-91,-94,-200,-200,-200,-93,-200,-85,-92,-93,-200,-76,-200,-200,-200,-200,-90,-200,-200,-93,-200
1526461614262,-40,-56,-35,-52,-50,-52,-45,-62,-59,-67,-73,-60,-62,-53,-72,-56,-68,-72,-65,-67,-65,-64,-74,-64,-79,-67,-73,-76,-86,-73,-200,-74,-64,-74,-68,-79,-80,-82,-76,-200,-83,-80,-200,-82,-87,-69,-88,-80,-77,-86,-200,-80,-78,-77,-82,-87,-83,-200,-87,-87,-86,-91,-200,-200,-83,-200,-73,-200,-200,-94,-200,-200,-200,-90,-89,-94,-200,-200,-200,-92,-200,-88,-200,-200,-200,-81,-89,-91,-200,-91,-94,-200,-200,-200,-93,-200,-85,-200,-93,-200,-76,-200,-96,-200,-93,-92,-200,-200,-200,-200
1526461617312,-41,-57,-34,-49,-49,-52,-44,-66,-60,-71,-69,-61,-64,-55,-73,-60,-68,-68,-66,-68,-64,-65,-79,-76,-68,-69,-84,-76,-88,-74,-200,-79,-66,-72,-68,-80,-83,-82,-74,-200,-80,-79,-200,-88,-89,-66,-91,-80,-77,-86,-200,-83,-82,-77,-83,-78,-84,-94,-87,-87,-86,-91,-200,-200,-83,-200,-84,-200,-95,-93,-200,-200,-200,-91,-200,-200,-200,-200,-200,-92,-200,-88,-200,-200,-200,-81,-97,-90,-200,-91,-94,-96,-200,-200,-93,-200,-93,-200,-93,-200,-200,-96,-96,-200,-93,-92,-200,-200,-200,-93
1526461620372,-35,-61,-38,-47,-51,-50,-41,-66,-57,-73,-66,-61,-61,-56,-69,-58,-70,-80,-64,-69,-62,-64,-72,-60,-68,-72,-69,-72,-88,-74,-200,-82,-66,-72,-72,-80,-83,-82,-72,-200,-81,-77,-200,-88,-84,-64,-90,-80,-77,-87,-200,-87,-84,-77,-88,-78,-84,-91,-200,-87,-86,-91,-200,-200,-86,-93,-84,-85,-95,-90,-200,-200,-200,-90,-91,-91,-83,-200,-200,-92,-200,-88,-200,-200,-200,-83,-97,-90,-200,-94,-200,-96,-200,-200,-93,-200,-89,-91,-94,-200,-200,-97,-96,-200,-93,-92,-200,-200,-200,-93
1526461623426,-39,-59,-38,-53,-45,-52,-51,-61,-59,-75,-64,-61,-70,-56,-75,-57,-71,-80,-66,-68,-62,-65,-77,-63,-79,-76,-82,-75,-82,-74,-200,-76,-71,-69,-69,-78,-83,-75,-72,-79,-80,-77,-200,-79,-87,-67,-93,-80,-77,-86,-200,-83,-79,-77,-87,-76,-84,-91,-86,-87,-87,-90,-200,-76,-84,-93,-84,-85,-95,-90,-200,-200,-200,-93,-88,-93,-83,-200,-200,-92,-200,-90,-200,-200,-200,-83,-89,-90,-200,-94,-200,-96,-200,-200,-93,-200,-90,-91,-94,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-93
1526461626479,-37,-54,-37,-47,-54,-47,-46,-64,-60,-70,-67,-79,-65,-54,-71,-61,-71,-77,-72,-68,-60,-69,-68,-59,-79,-70,-81,-83,-81,-71,-200,-78,-68,-65,-74,-75,-81,-75,-76,-79,-81,-82,-200,-84,-85,-66,-92,-80,-83,-85,-200,-83,-79,-77,-87,-76,-200,-91,-86,-87,-85,-90,-200,-79,-88,-93,-200,-85,-200,-94,-200,-200,-200,-90,-88,-93,-83,-200,-200,-93,-200,-90,-200,-200,-200,-87,-87,-200,-200,-94,-95,-200,-200,-200,-95,-200,-90,-91,-94,-200,-86,-97,-200,-200,-200,-200,-200,-200,-200,-84
