,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whjx-gaofeng-13,WHU-2018
1526461741021,-38,-36,-38,-54,-60,-50,-44,-57,-48,-47,-200,-58,-61,-68,-61,-44,-63,-84,-69,-65,-70,-56,-200,-70,-63,-58,-74,-65,-76,-72,-73,-67,-74,-67,-72,-66,-70,-200,-200,-69,-81,-61,-76,-75,-80,-79,-76,-200,-58,-76,-73,-200,-83,-87,-77,-200,-85,-77,-200,-81,-200,-200,-200,-81,-85,-86,-85,-89,-80,-89,-90,-88,-200,-84,-200,-92,-200,-200,-92,-96,-200,-70,-200,-81,-81,-87,-200,-200,-200,-200,-200,-84,-85,-87,-200,-87,-67,-200,-200,-200,-84,-200,-76,-85,-88,-72,-74,-96,-200,-200,-200,-200,-200,-200
1526461744084,-39,-37,-38,-52,-54,-48,-44,-59,-42,-49,-200,-61,-67,-73,-60,-43,-72,-81,-66,-67,-65,-56,-200,-71,-62,-60,-73,-64,-75,-72,-67,-67,-74,-74,-73,-65,-70,-200,-200,-69,-80,-59,-76,-74,-80,-72,-74,-200,-59,-76,-77,-200,-85,-87,-77,-200,-81,-80,-94,-82,-200,-200,-200,-81,-85,-86,-85,-88,-83,-89,-90,-88,-200,-83,-200,-91,-200,-200,-87,-200,-200,-69,-200,-82,-78,-88,-200,-200,-200,-200,-200,-81,-89,-88,-200,-87,-200,-200,-200,-200,-90,-200,-200,-85,-88,-72,-75,-96,-97,-200,-200,-200,-200,-200
1526461747136,-39,-38,-41,-55,-53,-49,-44,-60,-49,-45,-200,-59,-68,-73,-65,-43,-72,-80,-66,-67,-67,-58,-200,-71,-61,-60,-70,-64,-74,-73,-75,-71,-79,-77,-73,-65,-69,-200,-200,-71,-79,-59,-76,-75,-200,-79,-74,-200,-59,-76,-75,-200,-83,-87,-200,-200,-81,-79,-95,-81,-200,-200,-200,-81,-84,-82,-83,-87,-83,-88,-90,-90,-200,-83,-200,-91,-200,-200,-86,-92,-97,-69,-200,-82,-84,-87,-200,-200,-200,-200,-74,-81,-89,-88,-200,-87,-200,-200,-95,-200,-90,-200,-200,-200,-200,-72,-73,-96,-97,-96,-200,-200,-200,-200
1526461750191,-38,-36,-36,-54,-44,-50,-43,-59,-51,-48,-200,-59,-59,-73,-63,-43,-80,-81,-57,-67,-67,-56,-200,-71,-62,-60,-69,-57,-74,-73,-66,-63,-74,-75,-71,-65,-71,-200,-200,-71,-78,-58,-77,-74,-200,-78,-76,-200,-58,-72,-75,-85,-73,-200,-200,-200,-83,-79,-95,-81,-200,-200,-200,-80,-85,-80,-83,-87,-84,-87,-90,-88,-200,-82,-200,-90,-200,-200,-86,-92,-95,-69,-81,-82,-79,-86,-200,-200,-200,-200,-74,-81,-89,-90,-200,-89,-200,-82,-94,-200,-90,-200,-83,-200,-200,-200,-73,-200,-97,-96,-75,-89,-200,-200
1526461753247,-38,-38,-39,-55,-57,-52,-41,-57,-50,-45,-200,-59,-66,-76,-61,-46,-80,-78,-65,-72,-70,-58,-200,-72,-63,-60,-71,-64,-75,-73,-73,-51,-74,-78,-71,-66,-69,-200,-200,-67,-78,-59,-76,-74,-200,-77,-75,-200,-57,-76,-75,-83,-73,-200,-200,-200,-83,-75,-95,-81,-200,-200,-200,-80,-85,-80,-83,-87,-85,-87,-200,-91,-93,-83,-200,-91,-200,-200,-93,-92,-95,-70,-81,-200,-78,-86,-200,-200,-200,-200,-74,-84,-200,-90,-200,-89,-200,-82,-94,-200,-90,-200,-83,-200,-200,-200,-73,-200,-200,-96,-75,-89,-200,-200
1526461756298,-38,-35,-38,-58,-56,-48,-42,-59,-49,-44,-200,-59,-68,-76,-68,-46,-80,-78,-63,-73,-65,-58,-200,-73,-61,-62,-69,-64,-75,-71,-73,-66,-74,-77,-70,-64,-71,-200,-200,-67,-84,-59,-76,-74,-200,-77,-75,-200,-58,-77,-76,-85,-73,-200,-76,-200,-83,-76,-95,-81,-200,-200,-200,-80,-86,-83,-92,-200,-85,-87,-95,-89,-93,-83,-200,-91,-200,-200,-93,-85,-95,-69,-84,-80,-85,-86,-89,-200,-200,-200,-71,-83,-90,-91,-200,-89,-200,-82,-94,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-75,-89,-200,-200
1526461759351,-40,-38,-38,-54,-59,-47,-42,-57,-50,-47,-75,-59,-62,-76,-63,-47,-71,-78,-63,-70,-67,-55,-200,-64,-61,-58,-71,-64,-73,-70,-71,-74,-74,-78,-71,-65,-71,-200,-200,-67,-78,-59,-75,-74,-82,-79,-75,-200,-52,-77,-68,-86,-83,-85,-76,-200,-81,-78,-200,-80,-200,-200,-200,-200,-86,-86,-90,-200,-85,-89,-91,-90,-93,-85,-200,-90,-200,-200,-93,-85,-200,-70,-84,-80,-80,-86,-89,-95,-200,-98,-71,-83,-90,-90,-200,-89,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-97,-200
1526461762401,-41,-38,-40,-54,-57,-48,-37,-57,-49,-44,-75,-58,-67,-75,-66,-45,-71,-77,-64,-70,-66,-59,-200,-73,-63,-61,-73,-64,-74,-70,-72,-68,-74,-77,-72,-65,-71,-200,-200,-67,-78,-58,-75,-73,-82,-78,-76,-200,-56,-76,-74,-86,-84,-85,-77,-200,-86,-80,-200,-78,-200,-84,-200,-200,-85,-84,-91,-200,-85,-90,-89,-90,-200,-84,-200,-90,-200,-200,-200,-85,-200,-69,-84,-80,-78,-86,-89,-95,-91,-98,-71,-83,-82,-90,-200,-89,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-97,-86
1526461765452,-38,-37,-38,-54,-56,-47,-43,-61,-51,-46,-77,-59,-69,-75,-64,-47,-70,-77,-64,-70,-68,-56,-200,-74,-60,-64,-71,-64,-75,-71,-72,-54,-74,-77,-70,-67,-70,-200,-200,-68,-78,-58,-77,-74,-82,-78,-75,-200,-57,-78,-75,-86,-83,-83,-78,-200,-86,-80,-95,-79,-200,-85,-200,-80,-87,-82,-91,-200,-85,-89,-92,-89,-200,-83,-200,-90,-200,-200,-200,-200,-200,-69,-200,-79,-83,-86,-200,-95,-91,-98,-71,-83,-82,-90,-200,-89,-200,-200,-95,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-91,-86
1526461768504,-40,-38,-38,-55,-57,-46,-41,-58,-50,-47,-76,-59,-68,-75,-67,-47,-68,-77,-63,-200,-68,-56,-200,-75,-61,-60,-73,-62,-75,-68,-74,-69,-74,-80,-72,-65,-71,-200,-200,-68,-85,-61,-77,-73,-200,-78,-74,-200,-58,-77,-76,-200,-84,-83,-78,-200,-86,-75,-95,-79,-200,-85,-200,-82,-87,-80,-91,-200,-86,-89,-91,-91,-94,-83,-200,-90,-200,-200,-200,-200,-200,-70,-200,-79,-82,-86,-200,-93,-91,-200,-71,-83,-82,-90,-200,-200,-200,-200,-95,-200,-91,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-91,-86
1526461771557,-38,-37,-39,-53,-57,-47,-41,-55,-50,-44,-81,-59,-69,-200,-69,-45,-79,-77,-63,-70,-67,-56,-200,-73,-61,-61,-72,-62,-75,-68,-72,-73,-74,-80,-77,-64,-71,-200,-200,-68,-78,-59,-77,-73,-200,-78,-76,-200,-59,-77,-76,-200,-83,-85,-78,-200,-82,-77,-95,-79,-200,-83,-200,-80,-85,-86,-200,-84,-86,-89,-91,-87,-94,-83,-200,-90,-200,-200,-91,-200,-200,-70,-200,-80,-77,-85,-200,-94,-200,-200,-71,-84,-87,-90,-200,-200,-200,-200,-95,-200,-92,-200,-200,-200,-200,-82,-200,-200,-200,-200,-73,-200,-91,-200
1526461774613,-38,-36,-36,-51,-57,-52,-42,-57,-50,-39,-75,-60,-58,-200,-62,-47,-79,-77,-66,-67,-66,-56,-200,-73,-63,-59,-74,-64,-75,-64,-66,-66,-76,-81,-71,-65,-71,-200,-200,-68,-82,-59,-76,-72,-200,-80,-74,-200,-55,-76,-75,-85,-83,-85,-73,-200,-82,-79,-200,-80,-200,-83,-200,-79,-86,-86,-200,-84,-86,-89,-91,-86,-94,-85,-200,-90,-200,-200,-94,-200,-200,-70,-200,-80,-77,-85,-200,-95,-91,-200,-200,-82,-85,-89,-200,-200,-200,-200,-200,-200,-89,-200,-200,-89,-200,-79,-85,-200,-200,-200,-73,-200,-200,-86
