,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526441971157,-34,-36,-43,-51,-51,-50,-67,-59,-59,-59,-63,-71,-66,-77,-64,-77,-76,-89,-68,-78,-83,-78,-84,-88,-200,-200,-90,-200,-85,-88,-200,-200
1526441974194,-34,-36,-43,-51,-51,-50,-67,-59,-59,-59,-63,-71,-66,-77,-64,-77,-76,-89,-68,-78,-83,-78,-84,-88,-200,-200,-90,-200,-85,-88,-200,-200
1526441977219,-34,-36,-43,-51,-51,-50,-67,-59,-59,-59,-63,-71,-66,-77,-64,-77,-76,-89,-68,-78,-83,-78,-84,-88,-200,-200,-90,-200,-85,-88,-200,-200
1526441980241,-33,-42,-43,-50,-54,-51,-67,-59,-59,-59,-61,-68,-66,-82,-66,-77,-74,-84,-68,-78,-200,-200,-81,-86,-200,-200,-90,-200,-200,-200,-200,-200
1526441983272,-31,-38,-43,-50,-53,-51,-64,-59,-60,-59,-59,-69,-64,-78,-66,-77,-74,-84,-68,-76,-200,-78,-81,-86,-200,-200,-90,-90,-200,-200,-200,-200
1526441986307,-31,-38,-43,-50,-53,-51,-64,-59,-60,-59,-59,-69,-64,-78,-66,-77,-74,-84,-68,-76,-200,-78,-81,-86,-200,-200,-90,-90,-200,-200,-200,-200
1526441989337,-31,-38,-43,-50,-53,-51,-64,-59,-60,-59,-59,-69,-64,-78,-66,-77,-74,-84,-68,-76,-200,-78,-81,-86,-200,-200,-90,-90,-200,-200,-200,-200
1526441992380,-28,-37,-42,-53,-50,-52,-61,-60,-60,-60,-59,-67,-63,-78,-64,-77,-72,-80,-72,-71,-84,-72,-85,-90,-200,-200,-200,-90,-200,-200,-200,-200
1526441995398,-28,-37,-44,-49,-50,-49,-61,-57,-60,-60,-60,-67,-65,-78,-64,-75,-86,-80,-70,-71,-84,-72,-85,-90,-200,-200,-200,-90,-200,-200,-200,-200
1526441998437,-28,-37,-44,-49,-50,-49,-61,-57,-60,-60,-60,-67,-65,-78,-64,-75,-86,-80,-70,-71,-84,-72,-85,-90,-200,-200,-200,-90,-200,-200,-200,-200
1526442001469,-28,-37,-44,-49,-50,-49,-61,-57,-60,-60,-60,-67,-65,-78,-64,-75,-86,-80,-70,-71,-84,-72,-85,-90,-200,-200,-200,-90,-200,-200,-200,-200
1526442004514,-29,-37,-42,-49,-51,-54,-66,-59,-60,-54,-59,-67,-69,-82,-63,-76,-75,-200,-70,-75,-200,-77,-83,-83,-200,-200,-200,-200,-88,-200,-77,-87
