,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526442982176,-42,-33,-43,-52,-62,-57,-59,-68,-69,-72,-53,-77,-67,-86,-76,-70,-200,-84,-85,-78,-88,-84,-80,-81,-200,-80,-200,-200,-200,-200,-200,-84,-75,-83,-80,-88,-200,-92,-92,-200,-200,-200,-200
1526442985213,-42,-33,-43,-52,-62,-57,-59,-68,-69,-72,-53,-77,-67,-86,-76,-70,-200,-84,-85,-78,-88,-84,-80,-81,-200,-80,-200,-200,-200,-200,-200,-84,-75,-83,-80,-88,-200,-92,-92,-200,-200,-200,-200
1526442988226,-42,-33,-43,-52,-62,-57,-59,-68,-69,-72,-53,-77,-67,-86,-76,-70,-200,-84,-85,-78,-88,-84,-80,-81,-200,-80,-200,-200,-200,-200,-200,-84,-75,-83,-80,-88,-200,-92,-92,-200,-200,-200,-200
1526442991268,-45,-31,-44,-53,-58,-55,-59,-65,-69,-68,-53,-200,-70,-200,-200,-67,-200,-81,-85,-72,-88,-200,-77,-81,-200,-83,-200,-200,-200,-200,-200,-83,-77,-83,-200,-200,-200,-92,-92,-89,-200,-200,-200
1526442994305,-47,-32,-47,-54,-58,-55,-58,-65,-69,-71,-54,-200,-66,-200,-81,-67,-200,-79,-85,-76,-88,-200,-77,-81,-200,-83,-85,-200,-200,-200,-200,-83,-77,-83,-83,-200,-200,-92,-92,-89,-200,-200,-200
1526442997341,-47,-32,-47,-54,-58,-55,-58,-65,-69,-71,-54,-200,-66,-200,-81,-67,-200,-79,-85,-76,-88,-200,-77,-81,-200,-83,-85,-200,-200,-200,-200,-83,-77,-83,-83,-200,-200,-92,-92,-89,-200,-200,-200
1526443000377,-47,-32,-47,-54,-58,-55,-58,-65,-69,-71,-54,-200,-66,-200,-81,-67,-200,-79,-85,-76,-88,-200,-77,-81,-200,-83,-85,-200,-200,-200,-200,-83,-77,-83,-83,-200,-200,-92,-92,-89,-200,-200,-200
1526443003403,-42,-36,-39,-54,-58,-54,-56,-61,-69,-76,-56,-73,-76,-87,-81,-68,-200,-79,-78,-76,-80,-200,-79,-84,-200,-77,-85,-200,-200,-200,-200,-200,-76,-83,-80,-200,-200,-200,-92,-200,-89,-200,-200
1526443006422,-38,-35,-36,-58,-58,-59,-56,-65,-73,-71,-53,-72,-75,-87,-81,-69,-200,-79,-78,-76,-78,-200,-77,-84,-200,-81,-85,-200,-200,-200,-200,-200,-76,-83,-80,-200,-200,-200,-92,-200,-89,-85,-200
1526443009463,-38,-35,-36,-58,-58,-59,-56,-65,-73,-71,-53,-72,-75,-87,-81,-69,-200,-79,-78,-76,-78,-200,-77,-84,-200,-81,-85,-200,-200,-200,-200,-200,-76,-83,-80,-200,-200,-200,-92,-200,-89,-85,-200
1526443012495,-38,-35,-36,-58,-58,-59,-56,-65,-73,-71,-53,-72,-75,-87,-81,-69,-200,-79,-78,-76,-78,-200,-77,-84,-200,-81,-85,-200,-200,-200,-200,-200,-76,-83,-80,-200,-200,-200,-92,-200,-89,-85,-200
1526443015536,-44,-33,-36,-58,-62,-62,-60,-60,-78,-74,-59,-75,-72,-200,-200,-67,-200,-200,-200,-78,-79,-200,-76,-200,-200,-81,-200,-200,-200,-200,-200,-83,-76,-81,-200,-90,-200,-200,-200,-200,-200,-85,-91
