,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-13,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526442967469,-36,-39,-41,-52,-53,-60,-52,-69,-54,-59,-67,-61,-53,-80,-64,-72,-65,-84,-71,-95,-200,-84,-79,-74,-74,-86,-92,-77,-77,-77,-87,-87,-84,-200,-75,-85,-86,-88,-90,-200,-84,-85,-95,-200,-86,-86,-95,-98,-91,-83,-89,-89,-200,-94,-200,-95,-95,-94,-200,-200,-92,-200,-200,-93,-200,-200,-75,-95,-95,-96,-99,-92,-200,-200,-200,-200,-200,-200,-200
1526442970516,-37,-40,-41,-49,-49,-64,-51,-71,-54,-71,-66,-61,-61,-88,-65,-60,-68,-82,-70,-89,-200,-83,-76,-72,-75,-88,-91,-75,-80,-76,-88,-85,-86,-200,-74,-87,-88,-88,-86,-96,-83,-86,-95,-96,-88,-95,-95,-98,-90,-83,-91,-89,-200,-95,-200,-95,-95,-94,-200,-200,-92,-95,-200,-92,-200,-91,-200,-200,-98,-96,-99,-92,-93,-97,-200,-200,-200,-200,-200
1526442973561,-37,-38,-45,-49,-49,-61,-50,-66,-54,-74,-62,-62,-63,-88,-64,-71,-68,-77,-72,-87,-81,-82,-84,-75,-74,-86,-91,-77,-83,-77,-87,-85,-85,-200,-76,-86,-83,-200,-91,-96,-85,-83,-95,-95,-89,-95,-93,-98,-90,-86,-92,-86,-200,-95,-200,-95,-95,-200,-200,-200,-92,-95,-200,-92,-200,-91,-200,-200,-95,-200,-200,-92,-93,-97,-200,-200,-200,-200,-200
1526442976601,-37,-37,-45,-50,-49,-65,-55,-66,-55,-73,-66,-66,-57,-76,-64,-81,-68,-76,-71,-87,-87,-84,-84,-79,-76,-86,-91,-77,-78,-76,-87,-86,-85,-200,-73,-86,-80,-200,-85,-96,-83,-83,-200,-95,-83,-95,-93,-94,-90,-82,-91,-91,-200,-95,-200,-94,-94,-93,-200,-200,-200,-95,-83,-93,-200,-91,-200,-200,-95,-200,-200,-95,-93,-97,-200,-200,-200,-200,-200
1526442979640,-39,-38,-41,-56,-53,-64,-54,-73,-51,-72,-65,-61,-61,-78,-61,-72,-65,-78,-72,-86,-82,-85,-79,-79,-71,-86,-87,-75,-76,-76,-87,-79,-87,-200,-76,-86,-81,-84,-81,-94,-83,-85,-200,-95,-90,-92,-94,-94,-92,-82,-91,-91,-200,-200,-200,-94,-92,-93,-95,-200,-200,-95,-81,-93,-200,-200,-97,-200,-95,-200,-200,-95,-200,-200,-84,-200,-200,-200,-200
1526442982691,-39,-40,-44,-51,-51,-66,-55,-71,-51,-73,-65,-61,-57,-78,-68,-81,-65,-80,-66,-90,-79,-85,-79,-75,-73,-200,-87,-74,-77,-73,-86,-87,-84,-200,-71,-88,-86,-92,-82,-94,-83,-85,-200,-95,-81,-95,-94,-94,-92,-83,-91,-86,-200,-200,-200,-95,-93,-93,-95,-200,-95,-200,-81,-92,-200,-200,-86,-200,-94,-200,-200,-95,-200,-200,-84,-200,-200,-200,-200
1526442985738,-45,-38,-46,-50,-51,-66,-58,-69,-49,-74,-67,-61,-58,-81,-66,-81,-66,-81,-63,-87,-85,-85,-76,-77,-73,-84,-87,-75,-76,-75,-85,-87,-83,-200,-74,-88,-83,-92,-82,-94,-82,-84,-200,-95,-81,-95,-94,-200,-91,-83,-91,-94,-200,-200,-200,-95,-93,-92,-95,-200,-94,-200,-81,-91,-200,-200,-95,-96,-96,-200,-200,-95,-200,-200,-84,-95,-96,-200,-200
1526442988785,-39,-39,-46,-50,-49,-63,-50,-71,-48,-68,-60,-63,-62,-86,-63,-70,-64,-78,-71,-88,-87,-84,-81,-80,-74,-81,-90,-77,-72,-75,-85,-80,-85,-200,-75,-88,-83,-88,-82,-95,-85,-81,-200,-89,-81,-85,-200,-200,-93,-83,-91,-92,-200,-95,-200,-95,-96,-94,-93,-92,-94,-200,-81,-92,-200,-200,-95,-96,-96,-200,-200,-95,-200,-200,-200,-95,-96,-200,-200
1526442991831,-38,-38,-44,-50,-47,-63,-54,-69,-51,-77,-62,-62,-61,-86,-67,-70,-65,-80,-71,-85,-87,-83,-73,-82,-75,-82,-91,-76,-73,-77,-85,-85,-87,-200,-75,-89,-83,-87,-84,-95,-83,-81,-94,-91,-87,-85,-95,-200,-93,-82,-93,-93,-200,-95,-200,-93,-96,-94,-93,-92,-94,-200,-82,-92,-200,-94,-94,-96,-95,-200,-200,-95,-200,-200,-200,-95,-96,-200,-200
1526442994884,-39,-38,-42,-51,-51,-63,-51,-69,-55,-73,-61,-61,-63,-78,-64,-76,-64,-82,-74,-85,-85,-82,-82,-76,-73,-85,-91,-80,-71,-77,-200,-81,-83,-200,-75,-86,-81,-74,-82,-95,-84,-84,-94,-93,-86,-85,-95,-200,-93,-85,-93,-93,-200,-95,-200,-94,-94,-94,-93,-92,-93,-200,-83,-90,-200,-94,-97,-200,-97,-200,-200,-95,-200,-200,-200,-200,-98,-200,-200
1526442997927,-40,-38,-46,-49,-49,-64,-52,-70,-49,-72,-63,-63,-61,-78,-66,-71,-65,-80,-71,-86,-83,-84,-76,-79,-72,-83,-200,-77,-73,-74,-89,-79,-85,-200,-74,-86,-82,-89,-88,-200,-84,-84,-200,-94,-85,-95,-200,-98,-200,-78,-200,-88,-91,-200,-200,-94,-94,-200,-200,-200,-93,-200,-82,-92,-200,-200,-97,-200,-95,-200,-200,-200,-200,-200,-200,-200,-98,-95,-200
1526443000974,-39,-38,-46,-52,-50,-65,-52,-74,-49,-72,-62,-55,-59,-78,-66,-72,-64,-84,-70,-86,-84,-85,-76,-80,-74,-82,-200,-77,-73,-76,-85,-88,-86,-200,-76,-89,-84,-89,-86,-200,-85,-83,-200,-94,-85,-86,-200,-96,-91,-83,-93,-87,-91,-200,-200,-93,-95,-93,-200,-200,-95,-96,-82,-91,-200,-200,-91,-200,-95,-200,-200,-200,-200,-200,-200,-200,-98,-95,-97
