,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526463363084,-46,-43,-55,-65,-69,-66,-70,-66,-69,-75,-77,-75,-74,-75,-200,-80,-82,-82,-85,-78,-85,-80,-87,-200,-72,-200,-85,-200,-200,-200,-90,-200,-85,-200,-200,-200,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463366121,-46,-43,-55,-65,-69,-66,-70,-66,-69,-75,-77,-75,-74,-75,-200,-80,-82,-82,-85,-78,-85,-80,-87,-200,-72,-200,-85,-200,-200,-200,-90,-200,-85,-200,-200,-200,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463369154,-46,-43,-55,-65,-69,-66,-70,-66,-69,-75,-77,-75,-74,-75,-200,-80,-82,-82,-85,-78,-85,-80,-87,-200,-72,-200,-85,-200,-200,-200,-90,-200,-85,-200,-200,-200,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463372197,-33,-36,-46,-61,-53,-61,-78,-51,-53,-67,-60,-75,-66,-76,-200,-76,-76,-200,-200,-200,-73,-200,-76,-75,-64,-75,-70,-83,-200,-200,-200,-200,-85,-200,-72,-86,-74,-75,-71,-80,-82,-88,-92,-200,-200,-200,-200,-200,-200,-200
1526463375229,-34,-40,-44,-58,-53,-61,-65,-49,-53,-65,-59,-69,-66,-76,-200,-77,-76,-74,-200,-69,-73,-200,-70,-72,-66,-75,-66,-82,-200,-200,-200,-200,-85,-79,-72,-86,-74,-74,-71,-80,-82,-88,-92,-83,-85,-86,-93,-200,-200,-200
1526463378245,-32,-32,-45,-62,-52,-61,-65,-51,-54,-65,-58,-69,-69,-76,-200,-75,-76,-74,-200,-69,-73,-76,-72,-73,-66,-66,-69,-82,-83,-200,-81,-200,-85,-79,-73,-86,-83,-74,-74,-80,-82,-88,-92,-83,-85,-86,-93,-200,-200,-200
1526463381298,-32,-32,-45,-62,-52,-61,-65,-51,-54,-65,-58,-69,-69,-76,-200,-75,-76,-74,-200,-69,-73,-76,-72,-73,-66,-66,-69,-82,-83,-200,-81,-200,-85,-79,-73,-86,-83,-74,-74,-80,-82,-88,-92,-83,-85,-86,-93,-200,-200,-200
1526463384338,-30,-32,-51,-59,-53,-55,-59,-50,-54,-65,-63,-76,-69,-80,-200,-79,-76,-74,-200,-69,-70,-80,-72,-77,-71,-71,-73,-82,-83,-200,-81,-200,-200,-79,-73,-200,-83,-74,-74,-200,-200,-85,-200,-83,-85,-86,-93,-92,-200,-200
1526463387352,-28,-42,-45,-53,-60,-55,-59,-50,-52,-65,-60,-74,-79,-79,-200,-75,-73,-82,-200,-69,-74,-80,-72,-77,-71,-73,-73,-82,-83,-200,-81,-200,-200,-79,-73,-85,-83,-74,-74,-200,-200,-85,-200,-85,-85,-86,-93,-92,-83,-200
1526463390394,-28,-42,-45,-53,-60,-55,-59,-50,-52,-65,-60,-74,-79,-79,-200,-75,-73,-82,-200,-69,-74,-80,-72,-77,-71,-73,-73,-82,-83,-200,-81,-200,-200,-79,-73,-85,-83,-74,-74,-200,-200,-85,-200,-85,-85,-86,-93,-92,-83,-200
1526463393425,-28,-42,-45,-53,-60,-55,-59,-50,-52,-65,-60,-74,-79,-79,-200,-75,-73,-82,-200,-69,-74,-80,-72,-77,-71,-73,-73,-82,-83,-200,-81,-200,-200,-79,-73,-85,-83,-74,-74,-200,-200,-85,-200,-85,-85,-86,-93,-92,-83,-200
1526463396465,-29,-28,-48,-60,-63,-59,-76,-50,-56,-66,-67,-70,-66,-74,-200,-69,-76,-73,-77,-80,-68,-73,-200,-73,-67,-73,-73,-200,-200,-200,-82,-200,-200,-200,-200,-86,-200,-82,-200,-200,-200,-200,-200,-85,-83,-200,-200,-200,-83,-91
