,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro
1526442453099,-40,-39,-48,-55,-48,-65,-57,-76,-59,-55,-70,-67,-65,-75,-58,-65,-83,-68,-83,-79,-84,-77,-71,-76,-86,-200,-70,-84,-79,-84,-82,-80,-90,-86,-74,-88,-85,-84,-90,-80,-89,-88,-85,-73,-88,-82,-88,-200,-95,-86,-88,-89,-90,-200,-200,-106,-91,-85,-200,-200,-82,-80,-200,-200,-200,-84,-200,-90,-200,-200,-200,-200
1526442456135,-36,-41,-49,-56,-58,-67,-52,-73,-62,-60,-75,-68,-68,-72,-59,-65,-80,-68,-74,-73,-84,-76,-71,-78,-83,-200,-73,-86,-68,-84,-86,-78,-90,-86,-74,-88,-85,-84,-90,-80,-89,-88,-85,-82,-87,-81,-87,-200,-95,-86,-88,-90,-86,-200,-200,-106,-91,-84,-200,-200,-80,-80,-200,-200,-200,-84,-200,-90,-90,-200,-200,-200
1526442459172,-35,-40,-47,-57,-58,-60,-54,-76,-60,-54,-70,-69,-63,-71,-58,-63,-79,-68,-76,-73,-84,-77,-70,-81,-81,-200,-70,-86,-82,-84,-81,-77,-87,-86,-76,-200,-85,-84,-90,-77,-89,-89,-85,-77,-87,-81,-87,-200,-89,-90,-200,-90,-86,-200,-200,-106,-200,-86,-200,-200,-83,-80,-200,-200,-200,-84,-200,-90,-90,-200,-200,-200
1526442462206,-36,-39,-46,-54,-56,-61,-55,-72,-60,-55,-69,-68,-63,-61,-59,-67,-78,-66,-80,-78,-81,-76,-77,-84,-84,-200,-73,-86,-81,-85,-80,-78,-86,-200,-76,-86,-85,-84,-90,-81,-89,-89,-90,-73,-87,-85,-87,-200,-89,-90,-84,-90,-86,-200,-200,-91,-91,-84,-200,-200,-81,-80,-200,-200,-90,-200,-200,-90,-90,-200,-200,-200
1526442465241,-46,-43,-46,-53,-44,-64,-50,-75,-59,-60,-67,-74,-67,-76,-58,-63,-73,-66,-73,-78,-83,-76,-73,-84,-79,-200,-70,-92,-81,-86,-89,-86,-86,-200,-73,-82,-86,-200,-90,-88,-200,-94,-88,-87,-87,-86,-87,-91,-89,-90,-84,-93,-89,-200,-200,-92,-91,-84,-200,-200,-84,-90,-200,-200,-90,-200,-200,-91,-90,-93,-200,-200
1526442468277,-34,-41,-48,-53,-56,-65,-54,-71,-57,-53,-68,-72,-63,-65,-57,-66,-75,-66,-79,-78,-80,-79,-73,-78,-79,-200,-73,-92,-80,-86,-89,-81,-83,-200,-75,-86,-87,-88,-89,-79,-87,-88,-88,-87,-87,-82,-86,-91,-89,-89,-85,-91,-89,-200,-200,-91,-90,-84,-200,-200,-84,-90,-200,-200,-90,-200,-200,-91,-200,-93,-200,-200
1526442471318,-31,-42,-49,-59,-49,-74,-51,-72,-60,-57,-69,-62,-73,-65,-55,-72,-80,-74,-79,-80,-80,-79,-69,-80,-79,-200,-73,-92,-83,-86,-80,-75,-90,-200,-69,-86,-81,-88,-94,-85,-89,-91,-88,-90,-89,-85,-89,-91,-200,-89,-85,-91,-89,-200,-200,-91,-90,-89,-200,-200,-83,-85,-87,-87,-90,-200,-200,-91,-200,-93,-200,-200
1526442474355,-30,-43,-47,-55,-44,-67,-57,-72,-58,-59,-67,-68,-72,-65,-59,-67,-70,-70,-73,-70,-80,-80,-69,-83,-80,-200,-76,-92,-83,-82,-80,-76,-90,-200,-73,-86,-83,-90,-94,-84,-85,-87,-81,-90,-89,-84,-87,-91,-200,-89,-85,-92,-91,-200,-89,-91,-90,-89,-200,-200,-87,-84,-90,-87,-90,-200,-200,-91,-200,-93,-200,-200
1526442477392,-35,-46,-46,-63,-43,-70,-56,-82,-56,-59,-65,-61,-60,-72,-57,-70,-74,-71,-86,-77,-80,-80,-77,-77,-84,-200,-76,-200,-81,-82,-77,-82,-90,-200,-72,-90,-85,-85,-94,-80,-87,-88,-84,-90,-89,-85,-86,-200,-91,-89,-85,-92,-91,-200,-89,-91,-90,-84,-200,-200,-81,-80,-90,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526442480429,-34,-41,-53,-56,-50,-70,-59,-74,-57,-57,-67,-72,-74,-71,-57,-69,-82,-67,-77,-79,-84,-79,-70,-78,-81,-200,-70,-93,-84,-83,-84,-82,-85,-200,-75,-90,-86,-89,-91,-84,-87,-88,-87,-90,-89,-85,-90,-200,-91,-89,-87,-92,-89,-200,-89,-95,-90,-89,-200,-200,-81,-80,-90,-87,-89,-200,-200,-92,-200,-200,-91,-200
1526442483465,-34,-35,-52,-55,-40,-72,-57,-76,-58,-65,-71,-75,-70,-74,-59,-68,-80,-70,-77,-79,-78,-77,-70,-78,-81,-200,-74,-82,-84,-82,-80,-73,-87,-200,-75,-90,-89,-82,-91,-80,-86,-88,-86,-86,-200,-84,-89,-200,-91,-88,-87,-86,-89,-200,-89,-95,-90,-89,-200,-91,-81,-81,-90,-88,-89,-200,-200,-92,-200,-90,-91,-89
1526442486494,-38,-37,-52,-54,-40,-72,-53,-76,-61,-61,-67,-75,-64,-68,-52,-66,-75,-75,-74,-72,-78,-78,-78,-82,-81,-200,-73,-82,-84,-82,-80,-73,-87,-200,-76,-90,-88,-82,-91,-80,-86,-88,-86,-86,-200,-84,-89,-200,-91,-88,-82,-86,-89,-200,-200,-91,-90,-89,-200,-91,-82,-81,-85,-88,-89,-200,-200,-92,-200,-90,-91,-89
