,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1
1526461427761,-83,-200,-200,-200,-200,-91,-93,-84,-200,-93,-200,-200,-200,-74,-74,-88,-200,-200,-200
1526461427881,-200,-200,-91,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-73,-75,-200,-92,-200,-200
1526461432403,-80,-200,-200,-200,-200,-82,-84,-81,-85,-200,-88,-89,-92,-78,-74,-91,-89,-200,-200
1526461432488,-200,-200,-200,-97,-200,-200,-84,-80,-84,-200,-88,-200,-200,-80,-73,-90,-89,-200,-200
1526461432613,-200,-91,-200,-93,-200,-200,-200,-80,-85,-200,-88,-89,-200,-80,-73,-92,-89,-200,-200
1526461432696,-200,-200,-200,-94,-85,-82,-200,-200,-200,-200,-89,-200,-93,-80,-200,-200,-89,-200,-200
1526461432801,-200,-200,-90,-95,-84,-82,-200,-80,-86,-200,-88,-88,-93,-80,-73,-200,-89,-200,-200
1526461432908,-79,-90,-200,-200,-84,-82,-85,-200,-85,-89,-90,-200,-92,-80,-74,-91,-88,-200,-200
1526461437414,-82,-94,-200,-200,-88,-90,-200,-90,-90,-200,-200,-200,-200,-77,-200,-200,-200,-200,-96
1526461437565,-82,-95,-200,-200,-86,-200,-200,-91,-200,-200,-91,-92,-200,-77,-79,-94,-200,-200,-200
1526461437657,-82,-95,-200,-200,-87,-90,-200,-91,-200,-200,-200,-92,-95,-77,-79,-200,-200,-200,-200
1526461437763,-82,-94,-200,-97,-87,-89,-200,-90,-200,-200,-200,-200,-95,-77,-79,-200,-200,-200,-95
1526461437884,-82,-200,-200,-99,-86,-89,-200,-90,-90,-200,-200,-93,-200,-77,-79,-200,-200,-200,-200
