,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
1526461612399,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461612500,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526461612599,-80,-200,-200,-200,-88,-200,-200,-200,-200,-97,-200,-200,-89,-92,-200,-200
1526461612701,-80,-200,-200,-200,-89,-200,-92,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526461612810,-80,-82,-200,-200,-200,-92,-92,-200,-200,-200,-200,-87,-89,-91,-89,-200
1526461612917,-80,-200,-200,-91,-88,-98,-95,-200,-200,-200,-87,-87,-88,-200,-200,-200
1526461617513,-92,-200,-200,-93,-88,-95,-95,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526461617607,-92,-90,-200,-94,-88,-200,-94,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526461617716,-93,-92,-200,-93,-89,-97,-94,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526461617825,-92,-200,-200,-93,-87,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461617936,-92,-91,-200,-93,-89,-200,-95,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526461622427,-200,-200,-200,-200,-86,-200,-84,-200,-200,-200,-200,-200,-200,-200,-93,-200
1526461622523,-84,-200,-200,-92,-84,-200,-83,-200,-200,-200,-200,-92,-97,-92,-92,-200
1526461622620,-84,-200,-200,-91,-86,-200,-83,-200,-200,-200,-200,-91,-200,-200,-91,-200
1526461622727,-84,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-93,-91,-200
1526461622839,-84,-200,-200,-90,-200,-200,-84,-200,-200,-200,-86,-200,-200,-92,-200,-200
1526461622942,-79,-85,-200,-200,-200,-200,-83,-200,-200,-200,-92,-200,-91,-89,-200,-200
1526461627557,-200,-200,-200,-88,-84,-93,-88,-200,-200,-200,-200,-89,-200,-90,-200,-200
1526461627822,-81,-200,-200,-200,-70,-200,-200,-200,-96,-200,-93,-87,-200,-89,-200,-200
1526461627924,-83,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526461632499,-87,-95,-200,-93,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461632599,-87,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
