,0118.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526461283017,-200,-200,-200,-75,-82,-82,-200,-200,-200,-200,-200,-100,-200,-75,-200,-200,-200,-200
1526461287396,-200,-94,-91,-200,-95,-87,-87,-200,-90,-95,-200,-200,-96,-76,-200,-200,-200,-200
1526461287523,-200,-200,-91,-200,-200,-87,-200,-200,-200,-200,-88,-98,-200,-75,-200,-200,-200,-200
1526461287649,-200,-200,-89,-200,-94,-87,-87,-200,-91,-94,-88,-200,-200,-75,-200,-200,-200,-200
1526461287772,-200,-93,-200,-200,-94,-200,-88,-96,-91,-200,-200,-200,-97,-76,-92,-200,-200,-200
1526461287879,-200,-200,-91,-200,-200,-87,-88,-93,-89,-96,-200,-200,-94,-75,-200,-200,-200,-200
1526461287988,-86,-94,-200,-200,-200,-200,-78,-200,-88,-200,-200,-83,-200,-76,-200,-200,-200,-200
1526461292426,-89,-88,-93,-84,-79,-200,-79,-200,-200,-90,-80,-84,-92,-200,-200,-200,-200,-200
1526461292552,-200,-87,-200,-82,-200,-200,-200,-81,-200,-200,-80,-200,-92,-76,-200,-86,-200,-200
1526461292669,-200,-200,-93,-200,-79,-92,-79,-82,-80,-200,-200,-83,-200,-76,-200,-87,-200,-200
1526461292781,-87,-87,-200,-200,-79,-92,-200,-82,-80,-200,-80,-84,-93,-76,-200,-86,-200,-200
1526461292875,-200,-200,-200,-81,-80,-200,-79,-200,-200,-200,-79,-200,-200,-76,-200,-87,-200,-200
1526461292998,-200,-200,-92,-200,-79,-95,-79,-200,-80,-200,-80,-200,-200,-75,-200,-200,-200,-200
1526461297439,-200,-91,-86,-75,-200,-83,-86,-84,-81,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526461297534,-200,-91,-86,-200,-200,-83,-84,-200,-200,-90,-81,-82,-200,-200,-200,-200,-200,-200
1526461297636,-83,-91,-86,-200,-83,-200,-83,-81,-81,-89,-81,-200,-200,-200,-200,-95,-200,-200
1526461297740,-83,-200,-87,-75,-200,-83,-87,-200,-200,-92,-81,-200,-200,-74,-200,-200,-97,-200
1526461297917,-83,-200,-87,-75,-200,-82,-200,-82,-83,-92,-200,-81,-93,-75,-93,-200,-200,-200
1526461302412,-200,-200,-90,-81,-97,-200,-200,-200,-200,-200,-87,-98,-200,-75,-93,-91,-200,-200
1526461302516,-90,-200,-89,-80,-200,-200,-88,-200,-200,-200,-85,-200,-94,-200,-93,-94,-200,-200
1526461302619,-89,-200,-90,-81,-96,-89,-90,-200,-200,-200,-87,-200,-200,-200,-91,-91,-200,-200
1526461302725,-90,-200,-89,-81,-200,-90,-92,-200,-92,-200,-87,-200,-97,-200,-92,-91,-200,-200
1526461302836,-89,-200,-88,-81,-200,-90,-92,-200,-90,-200,-88,-200,-95,-200,-93,-91,-200,-200
1526461302954,-88,-87,-200,-200,-81,-200,-200,-200,-84,-200,-87,-200,-96,-200,-93,-200,-200,-200
1526461307475,-89,-200,-200,-200,-82,-200,-80,-81,-83,-85,-200,-200,-95,-200,-200,-87,-200,-200
1526461307574,-89,-88,-90,-200,-81,-200,-79,-200,-83,-86,-200,-200,-200,-200,-200,-88,-200,-200
1526461307674,-87,-200,-91,-200,-82,-82,-80,-81,-200,-85,-200,-200,-92,-200,-200,-88,-200,-200
1526461307782,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-75,-200,-88,-200,-200
1526461307907,-200,-88,-200,-81,-200,-82,-79,-81,-84,-200,-200,-83,-200,-76,-200,-88,-200,-200
1526461312387,-79,-90,-88,-76,-200,-80,-200,-200,-200,-200,-82,-84,-200,-200,-200,-85,-200,-200
1526461312496,-79,-90,-200,-76,-200,-81,-200,-200,-81,-200,-200,-200,-200,-75,-200,-85,-200,-200
1526461312607,-79,-89,-200,-75,-200,-81,-200,-200,-80,-200,-82,-200,-200,-75,-200,-200,-96,-99
1526461312726,-79,-89,-200,-76,-83,-81,-200,-83,-82,-200,-200,-85,-200,-74,-200,-85,-200,-200
1526461312829,-79,-200,-86,-75,-83,-200,-200,-82,-80,-93,-82,-200,-200,-75,-91,-84,-200,-200
1526461312956,-200,-200,-86,-200,-84,-81,-200,-82,-81,-92,-200,-84,-200,-200,-91,-200,-200,-200
1526461317387,-200,-200,-200,-200,-93,-87,-90,-93,-200,-93,-88,-200,-200,-200,-95,-91,-200,-200
1526461317479,-200,-94,-91,-81,-94,-87,-88,-96,-95,-95,-87,-200,-200,-200,-200,-91,-200,-200
1526461317593,-95,-93,-90,-81,-96,-88,-200,-95,-95,-96,-87,-200,-95,-77,-200,-90,-200,-200
1526461317707,-200,-94,-90,-81,-94,-88,-87,-95,-95,-200,-87,-200,-97,-200,-200,-92,-200,-200
1526461317825,-200,-93,-200,-200,-200,-87,-200,-200,-200,-200,-88,-200,-95,-200,-200,-91,-200,-200
1526461317938,-200,-95,-90,-81,-200,-200,-86,-200,-200,-95,-87,-84,-95,-78,-95,-90,-200,-200
1526461322398,-87,-88,-92,-200,-80,-200,-80,-81,-84,-84,-200,-200,-200,-200,-200,-88,-200,-200
1526461322508,-87,-200,-92,-200,-200,-82,-79,-81,-85,-85,-200,-83,-93,-76,-200,-200,-200,-200
1526461322607,-87,-200,-200,-81,-200,-83,-200,-81,-84,-84,-79,-81,-93,-77,-95,-88,-200,-200
1526461322705,-87,-200,-94,-200,-200,-200,-200,-200,-85,-200,-200,-83,-200,-75,-200,-87,-200,-200
1526461322805,-200,-87,-92,-200,-81,-200,-200,-81,-84,-84,-79,-83,-200,-76,-200,-88,-200,-200
1526461322918,-200,-200,-200,-200,-200,-82,-200,-200,-81,-200,-79,-83,-200,-200,-200,-200,-200,-200
1526461327454,-200,-200,-200,-200,-84,-82,-200,-82,-80,-200,-200,-85,-200,-200,-200,-84,-200,-200
1526461327566,-200,-200,-87,-75,-200,-80,-200,-82,-80,-200,-81,-85,-200,-75,-200,-85,-200,-200
1526461327687,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-84,-200,-74,-200,-200,-200,-200
1526461327794,-79,-200,-87,-75,-84,-200,-90,-200,-81,-200,-81,-85,-93,-75,-90,-85,-200,-200
