,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro
1526454272680,-35,-35,-32,-48,-45,-56,-48,-56,-56,-52,-54,-56,-66,-54,-60,-48,-59,-62,-56,-63,-56,-66,-66,-200,-59,-62,-73,-53,-70,-69,-200,-80,-65,-61,-200,-77,-80,-74,-200,-200,-82,-200,-200,-200,-82,-200,-75,-200,-63,-81,-200,-80,-73,-82,-82,-80,-81,-88,-200,-200,-77,-85,-200,-78,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-77,-83,-72,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454275685,-38,-27,-30,-49,-49,-54,-48,-49,-55,-53,-51,-56,-66,-66,-51,-48,-59,-62,-56,-63,-56,-66,-66,-200,-65,-65,-73,-54,-70,-68,-200,-73,-65,-60,-200,-77,-80,-77,-80,-200,-51,-59,-200,-200,-83,-200,-75,-200,-88,-81,-200,-75,-83,-82,-80,-80,-80,-88,-200,-200,-77,-85,-200,-76,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-75,-83,-72,-85,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454278690,-32,-30,-33,-43,-37,-52,-51,-65,-54,-50,-53,-200,-61,-52,-56,-57,-69,-61,-57,-200,-61,-59,-200,-200,-57,-65,-71,-51,-65,-68,-200,-73,-62,-62,-200,-74,-82,-77,-80,-200,-52,-68,-85,-200,-81,-200,-200,-200,-64,-78,-84,-80,-83,-200,-81,-82,-80,-84,-88,-77,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454281694,-33,-34,-35,-41,-40,-49,-53,-65,-67,-51,-53,-65,-76,-54,-55,-57,-64,-61,-56,-200,-61,-53,-66,-200,-57,-65,-74,-53,-64,-72,-200,-73,-62,-59,-77,-73,-55,-77,-78,-200,-74,-68,-85,-200,-75,-200,-200,-200,-64,-77,-83,-75,-83,-79,-83,-82,-80,-84,-88,-77,-200,-200,-200,-76,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-87,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454284699,-33,-32,-27,-69,-41,-50,-49,-51,-54,-52,-55,-65,-71,-57,-55,-48,-64,-48,-61,-200,-64,-63,-66,-200,-61,-73,-71,-78,-77,-64,-200,-200,-62,-60,-77,-74,-82,-200,-78,-200,-74,-200,-82,-200,-81,-200,-79,-77,-68,-71,-83,-76,-200,-79,-85,-77,-200,-200,-84,-200,-200,-200,-87,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526454287739,-46,-34,-31,-44,-44,-50,-47,-56,-53,-58,-57,-200,-71,-54,-55,-47,-64,-55,-62,-200,-57,-59,-200,-200,-57,-73,-78,-56,-77,-64,-200,-200,-200,-63,-77,-73,-72,-77,-200,-200,-71,-200,-82,-200,-81,-88,-79,-77,-74,-71,-200,-75,-200,-200,-78,-77,-89,-200,-84,-70,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-75,-91,-73,-78,-89,-200,-200,-200,-200,-200
1526454290795,-45,-33,-31,-42,-40,-49,-47,-58,-57,-53,-57,-68,-71,-53,-57,-49,-64,-54,-62,-200,-59,-58,-200,-200,-72,-56,-74,-55,-77,-63,-73,-200,-200,-59,-77,-73,-83,-77,-200,-200,-71,-61,-82,-200,-79,-88,-79,-77,-74,-77,-200,-73,-76,-200,-80,-77,-89,-200,-84,-70,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-79,-200,-200,-200,-200,-75,-91,-73,-78,-89,-200,-200,-200,-200,-200
1526454293802,-43,-29,-32,-42,-40,-44,-47,-62,-57,-59,-55,-68,-79,-51,-56,-55,-200,-55,-60,-200,-59,-58,-200,-200,-65,-57,-73,-54,-200,-71,-73,-200,-64,-61,-200,-73,-73,-200,-200,-76,-71,-61,-200,-200,-74,-200,-200,-76,-200,-77,-200,-77,-76,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454296847,-62,-31,-31,-43,-40,-44,-47,-62,-60,-55,-54,-68,-72,-52,-56,-54,-65,-57,-62,-200,-59,-65,-67,-200,-89,-57,-72,-54,-69,-69,-73,-200,-67,-62,-74,-73,-56,-200,-200,-76,-71,-61,-200,-200,-72,-200,-76,-76,-200,-77,-79,-77,-76,-77,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-81,-200,-200,-200,-200,-80,-200,-200,-89,-200,-83,-200,-200,-200,-200,-200,-200,-78,-83,-200,-200,-200
1526454299867,-38,-30,-32,-43,-40,-48,-45,-67,-61,-51,-53,-66,-69,-53,-57,-54,-80,-61,-60,-60,-200,-65,-67,-200,-62,-57,-73,-55,-64,-81,-200,-80,-67,-60,-78,-73,-53,-200,-79,-75,-71,-200,-200,-200,-77,-87,-76,-200,-73,-200,-79,-73,-200,-77,-83,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-89,-200,-83,-200,-200,-200,-200,-200,-200,-78,-83,-78,-200,-200
1526454302911,-42,-35,-28,-40,-38,-45,-46,-64,-52,-44,-57,-65,-72,-59,-56,-48,-80,-56,-60,-60,-70,-200,-200,-200,-58,-57,-74,-52,-67,-63,-200,-80,-58,-65,-76,-74,-73,-200,-79,-75,-73,-200,-200,-200,-78,-87,-200,-200,-69,-80,-200,-75,-200,-200,-84,-200,-81,-200,-200,-200,-200,-200,-200,-82,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200
1526454305950,-38,-31,-30,-43,-39,-45,-47,-66,-60,-45,-56,-59,-72,-51,-59,-48,-63,-56,-50,-62,-59,-63,-200,-200,-82,-57,-78,-52,-67,-63,-200,-78,-69,-63,-76,-59,-83,-200,-79,-200,-72,-200,-200,-200,-81,-200,-75,-200,-69,-80,-200,-76,-74,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-69,-89
