,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526455175779,-39,-35,-44,-88,-70,-47,-56,-52,-55,-55,-62,-55,-65,-69,-69,-66,-55,-65,-65,-67,-200,-70,-70,-78,-200,-200,-81,-200,-200,-69,-74,-82,-83,-82,-200,-200,-85,-200,-78,-200,-200,-61,-86,-87,-200,-200,-200,-88,-80,-82,-200,-200,-200,-73,-200,-79,-200,-200,-200,-200,-66,-67,-200,-200,-70,-75,-84,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455178784,-33,-49,-48,-49,-58,-50,-63,-52,-55,-53,-58,-52,-67,-69,-76,-62,-60,-75,-75,-70,-200,-70,-70,-84,-200,-200,-81,-200,-200,-69,-74,-80,-85,-83,-200,-200,-80,-200,-84,-200,-200,-61,-84,-87,-86,-88,-79,-88,-80,-82,-77,-81,-200,-73,-200,-82,-200,-200,-200,-83,-66,-67,-200,-200,-62,-75,-84,-85,-91,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455181788,-43,-49,-40,-49,-53,-62,-61,-50,-81,-57,-58,-73,-63,-71,-76,-67,-60,-66,-74,-66,-200,-70,-70,-84,-200,-200,-200,-200,-200,-71,-78,-82,-84,-82,-200,-200,-80,-200,-84,-200,-200,-74,-80,-87,-86,-88,-79,-88,-200,-82,-80,-81,-200,-200,-200,-82,-200,-200,-200,-83,-200,-200,-200,-200,-62,-200,-200,-200,-91,-83,-83,-84,-84,-90,-200,-200,-200,-200,-200,-200,-200
1526455184792,-41,-49,-38,-47,-53,-63,-60,-67,-85,-56,-67,-56,-63,-70,-79,-70,-200,-69,-74,-66,-200,-200,-71,-200,-200,-78,-200,-200,-200,-74,-78,-85,-85,-83,-77,-200,-200,-89,-200,-79,-200,-81,-84,-200,-200,-200,-85,-200,-200,-200,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-84,-84,-90,-200,-200,-200,-200,-200,-200,-200
1526455187796,-39,-48,-44,-51,-53,-54,-69,-57,-85,-58,-61,-73,-63,-64,-69,-66,-200,-69,-73,-66,-200,-200,-71,-200,-200,-78,-84,-200,-200,-74,-78,-83,-85,-83,-77,-200,-200,-89,-200,-79,-200,-71,-83,-200,-200,-200,-85,-200,-200,-200,-75,-83,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-90,-200,-70,-200,-200,-89,-200,-86,-200,-84,-84,-90,-87,-87,-91,-200,-200,-200,-200
1526455190801,-38,-44,-46,-52,-57,-53,-59,-55,-85,-59,-61,-74,-200,-67,-69,-63,-200,-72,-73,-200,-76,-79,-71,-78,-200,-78,-84,-200,-200,-74,-200,-80,-81,-85,-81,-200,-200,-89,-200,-83,-200,-67,-85,-200,-200,-200,-85,-200,-85,-200,-79,-83,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-90,-200,-70,-200,-200,-90,-200,-86,-200,-89,-200,-200,-87,-87,-91,-84,-89,-200,-200
1526455193805,-40,-45,-51,-56,-58,-52,-73,-58,-84,-58,-200,-80,-71,-67,-69,-65,-200,-73,-200,-71,-76,-79,-75,-82,-200,-200,-84,-200,-200,-79,-73,-80,-86,-79,-83,-200,-84,-200,-80,-83,-200,-66,-86,-200,-200,-200,-85,-200,-85,-200,-79,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-90,-85,-200,-200,-200,-200,-200,-84,-89,-90,-200
1526455196866,-37,-40,-48,-56,-54,-51,-64,-56,-84,-50,-62,-79,-71,-66,-72,-65,-200,-69,-71,-73,-76,-80,-71,-79,-200,-200,-81,-200,-200,-76,-73,-77,-79,-77,-83,-200,-84,-200,-80,-83,-200,-71,-86,-200,-200,-200,-85,-200,-85,-200,-79,-85,-200,-79,-200,-200,-86,-200,-200,-200,-200,-76,-200,-200,-69,-200,-87,-90,-200,-200,-90,-85,-200,-200,-84,-200,-200,-84,-89,-90,-200
1526455199872,-33,-48,-48,-48,-55,-54,-62,-58,-200,-53,-59,-77,-66,-71,-71,-200,-66,-66,-66,-73,-74,-76,-73,-58,-200,-200,-78,-200,-200,-68,-200,-80,-85,-81,-200,-88,-86,-79,-200,-78,-200,-71,-84,-200,-200,-90,-85,-200,-200,-200,-200,-85,-200,-77,-65,-200,-90,-200,-200,-200,-200,-76,-200,-200,-66,-80,-87,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526455202876,-35,-44,-53,-49,-53,-52,-59,-60,-81,-56,-84,-79,-64,-66,-67,-65,-66,-69,-66,-200,-74,-77,-73,-82,-200,-200,-79,-200,-80,-73,-200,-78,-84,-80,-200,-88,-86,-79,-200,-78,-200,-70,-84,-200,-200,-90,-86,-85,-200,-85,-200,-200,-200,-80,-63,-200,-90,-200,-200,-200,-69,-200,-200,-200,-66,-88,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455205881,-36,-54,-53,-58,-58,-50,-59,-56,-86,-52,-59,-79,-65,-68,-69,-65,-67,-68,-72,-73,-74,-77,-73,-77,-200,-200,-79,-200,-80,-73,-200,-81,-83,-85,-200,-88,-86,-79,-200,-78,-87,-67,-84,-200,-200,-90,-82,-85,-200,-85,-77,-200,-200,-80,-74,-200,-90,-200,-200,-200,-71,-200,-200,-200,-66,-88,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-91,-90
1526455208934,-37,-44,-52,-50,-62,-59,-60,-56,-86,-56,-62,-79,-65,-70,-68,-68,-73,-70,-70,-78,-74,-79,-72,-77,-200,-200,-79,-88,-80,-79,-80,-81,-84,-85,-76,-200,-88,-80,-81,-78,-87,-69,-81,-200,-200,-200,-82,-85,-200,-85,-77,-200,-200,-80,-71,-81,-200,-200,-200,-200,-71,-200,-200,-200,-86,-88,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-84,-200,-91,-90
