,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,WHU-2018,whu2011309,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,DLINK_D00E98,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58
1526455102479,-34,-43,-63,-52,-50,-59,-57,-53,-63,-59,-58,-56,-62,-56,-69,-71,-200,-72,-200,-81,-71,-71,-200,-200,-64,-76,-76,-76,-81,-81,-79,-86,-80,-79,-81,-200,-200,-200,-84,-80,-200,-85,-85,-200,-200,-88,-200,-53,-58,-200,-76,-200,-83,-200,-200,-200,-200,-200,-200,-200,-83,-77,-200,-200,-200,-200,-80,-200,-200,-86,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455105530,-33,-42,-47,-52,-48,-59,-66,-51,-65,-59,-58,-58,-62,-57,-71,-70,-69,-70,-71,-81,-68,-71,-200,-73,-68,-76,-82,-76,-81,-78,-79,-83,-83,-78,-52,-200,-82,-200,-84,-79,-88,-85,-86,-80,-200,-88,-83,-51,-59,-72,-84,-200,-83,-200,-200,-200,-200,-200,-200,-200,-83,-77,-200,-200,-200,-200,-80,-200,-200,-86,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455108537,-32,-44,-46,-54,-48,-58,-66,-71,-64,-62,-58,-60,-59,-55,-71,-70,-69,-70,-71,-78,-68,-70,-200,-73,-68,-77,-82,-200,-80,-79,-79,-82,-84,-55,-86,-200,-80,-70,-200,-77,-88,-200,-85,-81,-200,-200,-83,-50,-61,-72,-77,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-88,-200,-88,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526455111542,-32,-48,-42,-52,-47,-58,-59,-52,-64,-61,-62,-62,-59,-52,-69,-71,-69,-73,-72,-78,-65,-70,-200,-73,-68,-77,-82,-81,-79,-81,-79,-81,-81,-78,-86,-81,-80,-70,-82,-77,-88,-200,-85,-82,-200,-200,-83,-49,-59,-72,-78,-200,-200,-200,-200,-200,-82,-79,-200,-200,-82,-75,-200,-200,-200,-200,-200,-91,-200,-86,-200,-88,-88,-89,-87,-88,-91,-200,-200,-200,-200,-200
1526455114546,-35,-44,-54,-52,-47,-58,-58,-51,-64,-63,-61,-59,-56,-56,-74,-71,-200,-73,-75,-200,-62,-67,-77,-200,-66,-77,-200,-81,-79,-76,-200,-82,-84,-77,-77,-81,-79,-200,-82,-78,-200,-200,-84,-82,-200,-200,-200,-50,-57,-86,-78,-92,-86,-200,-200,-200,-81,-87,-200,-200,-82,-86,-200,-200,-200,-200,-58,-91,-200,-86,-200,-200,-200,-200,-87,-88,-91,-90,-200,-200,-200,-200
1526455117551,-33,-42,-43,-52,-49,-59,-64,-48,-60,-60,-59,-63,-63,-58,-66,-67,-68,-66,-75,-75,-71,-67,-77,-200,-66,-75,-200,-200,-200,-78,-200,-56,-81,-75,-79,-200,-53,-200,-81,-87,-84,-88,-84,-82,-200,-200,-200,-44,-59,-84,-200,-89,-86,-200,-200,-200,-81,-80,-200,-200,-200,-84,-85,-200,-200,-200,-77,-200,-200,-200,-200,-200,-89,-88,-200,-200,-200,-90,-75,-200,-200,-200
1526455120600,-38,-52,-53,-51,-48,-59,-57,-51,-62,-59,-56,-56,-58,-54,-79,-69,-64,-66,-72,-75,-71,-67,-77,-200,-64,-75,-79,-75,-79,-75,-79,-83,-82,-77,-81,-86,-82,-200,-81,-87,-84,-88,-84,-79,-200,-200,-200,-48,-59,-84,-84,-89,-86,-200,-200,-200,-81,-80,-200,-91,-82,-84,-85,-200,-200,-200,-77,-87,-200,-200,-200,-200,-89,-88,-200,-200,-200,-90,-75,-83,-200,-200
1526455123644,-34,-46,-51,-51,-48,-55,-56,-53,-61,-62,-57,-58,-61,-58,-69,-72,-64,-200,-79,-77,-73,-74,-200,-200,-63,-76,-79,-75,-77,-76,-78,-84,-83,-75,-58,-86,-75,-200,-81,-200,-86,-200,-84,-79,-200,-200,-200,-45,-54,-75,-76,-200,-200,-200,-200,-200,-200,-200,-200,-91,-80,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200
1526455126685,-38,-47,-46,-54,-48,-55,-58,-53,-62,-62,-59,-59,-59,-55,-69,-72,-66,-200,-79,-76,-73,-72,-200,-200,-63,-76,-75,-200,-77,-75,-78,-82,-80,-78,-78,-200,-81,-200,-88,-77,-86,-200,-84,-200,-200,-200,-200,-47,-61,-76,-76,-200,-200,-200,-200,-200,-200,-77,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455129719,-34,-43,-45,-52,-47,-200,-66,-49,-61,-62,-62,-65,-55,-59,-65,-200,-66,-65,-66,-79,-69,-77,-200,-200,-68,-74,-69,-75,-81,-79,-200,-80,-85,-81,-77,-200,-79,-200,-81,-77,-200,-85,-84,-80,-200,-200,-84,-42,-61,-79,-81,-86,-200,-200,-90,-200,-200,-77,-200,-200,-79,-200,-83,-200,-90,-70,-200,-86,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-86,-200
1526455132764,-31,-42,-47,-56,-54,-200,-69,-79,-65,-63,-64,-65,-60,-55,-69,-68,-200,-65,-76,-79,-66,-77,-82,-200,-61,-74,-69,-80,-83,-72,-200,-79,-79,-74,-84,-200,-76,-200,-79,-200,-200,-85,-86,-82,-200,-200,-77,-38,-64,-78,-82,-86,-200,-200,-90,-200,-200,-200,-200,-200,-200,-79,-83,-200,-90,-70,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200
1526455135778,-32,-39,-44,-54,-51,-200,-57,-62,-67,-63,-64,-63,-61,-56,-68,-74,-72,-66,-66,-80,-56,-77,-82,-200,-61,-74,-69,-79,-83,-73,-200,-82,-83,-72,-84,-200,-78,-72,-56,-200,-200,-85,-85,-80,-200,-200,-86,-45,-58,-78,-87,-86,-200,-200,-90,-200,-81,-200,-200,-200,-200,-79,-83,-200,-90,-70,-200,-86,-200,-200,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-86,-86
