,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454881257,-39,-49,-50,-59,-50,-52,-88,-47,-48,-51,-57,-86,-60,-65,-58,-59,-63,-200,-200,-59,-200,-66,-68,-200,-65,-67,-75,-65,-68,-67,-72,-200,-85,-82,-75,-64,-85,-67,-200,-200,-83,-91,-200,-200,-200,-200,-200,-200,-88,-53,-69,-73,-76,-77,-200,-70,-66,-66,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-66,-200,-200,-200,-200,-200,-200,-85,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454884263,-40,-45,-50,-77,-51,-58,-90,-52,-70,-52,-62,-87,-63,-67,-58,-60,-66,-65,-89,-59,-78,-65,-65,-200,-80,-67,-76,-79,-68,-67,-72,-200,-85,-82,-74,-76,-85,-67,-200,-200,-91,-91,-200,-86,-83,-91,-200,-88,-88,-71,-62,-72,-76,-77,-200,-70,-59,-66,-89,-200,-91,-200,-200,-200,-200,-73,-200,-200,-91,-200,-200,-84,-200,-200,-92,-85,-83,-89,-80,-86,-86,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454887267,-39,-48,-51,-57,-49,-58,-90,-52,-61,-51,-62,-85,-59,-68,-57,-62,-64,-67,-89,-59,-78,-81,-83,-83,-80,-68,-73,-64,-68,-80,-200,-80,-200,-83,-75,-63,-75,-200,-200,-200,-91,-89,-81,-86,-83,-91,-200,-88,-200,-71,-62,-73,-72,-78,-200,-76,-59,-200,-89,-200,-91,-200,-200,-200,-80,-73,-200,-200,-71,-200,-200,-84,-200,-200,-92,-200,-83,-200,-80,-86,-86,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526454890273,-41,-48,-50,-57,-51,-55,-89,-50,-49,-52,-62,-84,-62,-66,-58,-61,-63,-67,-89,-58,-76,-63,-83,-83,-67,-68,-73,-64,-68,-72,-77,-80,-200,-82,-74,-86,-75,-200,-200,-200,-91,-90,-81,-86,-83,-91,-200,-88,-89,-71,-62,-73,-77,-76,-76,-76,-62,-200,-89,-81,-91,-200,-200,-200,-80,-74,-80,-81,-70,-200,-200,-84,-72,-200,-92,-89,-83,-200,-80,-86,-86,-88,-88,-84,-200,-200,-200,-200,-200,-200,-200
1526454893325,-39,-47,-50,-59,-52,-55,-89,-49,-67,-51,-72,-85,-62,-65,-59,-65,-60,-67,-200,-60,-76,-62,-65,-80,-67,-68,-73,-67,-67,-68,-71,-78,-200,-82,-75,-70,-86,-69,-200,-200,-200,-90,-76,-200,-200,-200,-200,-200,-89,-54,-66,-69,-76,-76,-76,-76,-62,-200,-72,-81,-85,-200,-200,-200,-75,-74,-80,-81,-70,-200,-200,-200,-78,-200,-200,-89,-200,-200,-65,-200,-200,-200,-88,-84,-85,-200,-200,-200,-200,-200,-200
1526454896377,-39,-45,-49,-57,-52,-53,-90,-49,-65,-53,-62,-87,-61,-68,-54,-65,-63,-200,-74,-59,-77,-62,-62,-80,-68,-62,-72,-66,-67,-67,-76,-78,-200,-200,-75,-63,-86,-69,-200,-200,-200,-91,-78,-200,-200,-200,-200,-200,-88,-56,-63,-66,-76,-77,-80,-72,-200,-200,-72,-79,-85,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-70,-77,-200,-200,-85,-200,-200,-65,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526454899428,-42,-47,-48,-59,-49,-56,-90,-50,-47,-51,-62,-87,-62,-83,-58,-63,-77,-200,-74,-59,-77,-62,-62,-80,-80,-68,-72,-66,-68,-67,-76,-80,-200,-200,-75,-84,-76,-82,-80,-200,-200,-91,-90,-200,-200,-200,-200,-200,-88,-57,-62,-65,-73,-77,-88,-75,-69,-200,-87,-79,-92,-200,-200,-200,-85,-200,-200,-200,-81,-92,-200,-70,-77,-89,-89,-85,-200,-200,-65,-200,-200,-200,-200,-200,-85,-84,-86,-89,-200,-200,-200
1526454902495,-39,-71,-49,-59,-51,-56,-200,-50,-48,-53,-57,-200,-62,-66,-59,-87,-63,-65,-200,-59,-77,-62,-200,-80,-68,-67,-75,-66,-68,-72,-200,-80,-200,-82,-75,-63,-85,-82,-82,-200,-200,-91,-90,-200,-84,-200,-200,-200,-200,-54,-64,-73,-73,-77,-88,-75,-62,-200,-73,-200,-92,-200,-200,-200,-83,-200,-200,-200,-81,-83,-200,-68,-200,-89,-89,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-84,-86,-89,-87,-200,-200
1526454905531,-38,-49,-48,-62,-51,-57,-90,-58,-60,-51,-59,-86,-62,-67,-59,-58,-65,-65,-200,-59,-77,-62,-200,-80,-68,-67,-73,-66,-69,-72,-74,-80,-200,-81,-74,-63,-78,-82,-82,-200,-200,-89,-90,-200,-85,-200,-200,-200,-89,-54,-64,-74,-75,-77,-88,-69,-62,-200,-72,-200,-92,-200,-200,-200,-83,-200,-76,-200,-66,-83,-200,-67,-200,-89,-89,-200,-200,-200,-72,-200,-88,-200,-200,-200,-200,-84,-86,-89,-87,-200,-200
1526454908576,-40,-45,-44,-62,-54,-59,-90,-48,-59,-51,-63,-85,-63,-67,-55,-63,-71,-63,-74,-59,-200,-61,-200,-200,-68,-69,-73,-200,-72,-200,-73,-200,-200,-81,-81,-63,-82,-200,-200,-200,-200,-89,-200,-83,-85,-200,-200,-200,-90,-200,-67,-77,-75,-77,-200,-69,-200,-200,-72,-200,-200,-200,-200,-200,-76,-200,-76,-86,-67,-200,-200,-67,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-84,-200
1526454911634,-41,-47,-48,-62,-51,-55,-90,-51,-53,-53,-62,-85,-60,-67,-58,-61,-62,-66,-74,-58,-200,-67,-200,-80,-68,-70,-71,-71,-68,-71,-73,-200,-200,-80,-74,-64,-81,-200,-200,-200,-200,-89,-200,-85,-85,-200,-200,-200,-90,-56,-64,-77,-74,-75,-81,-70,-200,-200,-72,-80,-200,-200,-200,-200,-76,-200,-76,-82,-67,-200,-200,-67,-200,-200,-80,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-84,-84
1526454914646,-42,-49,-46,-59,-47,-52,-90,-51,-56,-53,-61,-54,-64,-67,-58,-64,-62,-63,-200,-59,-76,-67,-58,-80,-69,-70,-74,-71,-66,-71,-73,-200,-200,-81,-74,-66,-83,-68,-200,-200,-200,-200,-200,-85,-86,-200,-200,-200,-200,-54,-67,-72,-78,-74,-81,-70,-58,-200,-200,-80,-200,-200,-200,-200,-73,-76,-200,-82,-71,-200,-200,-200,-200,-200,-80,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84
