,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454955908,-38,-29,-43,-41,-45,-55,-58,-41,-78,-50,-53,-50,-200,-50,-49,-61,-66,-80,-76,-64,-200,-65,-54,-200,-84,-68,-78,-74,-66,-75,-81,-200,-71,-200,-200,-58,-80,-65,-81,-200,-74,-63,-79,-200,-200,-82,-70,-200,-200,-62,-62,-83,-200,-200,-200,-55,-57,-200,-73,-200,-80,-200,-200,-75,-200,-80,-200,-73,-72,-76,-82,-200,-83,-200,-200,-200,-200,-200,-200,-200,-81,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454958913,-28,-30,-42,-68,-42,-56,-57,-44,-78,-66,-43,-53,-200,-64,-45,-61,-77,-85,-65,-70,-200,-59,-57,-59,-84,-68,-69,-76,-67,-75,-74,-78,-71,-57,-73,-64,-78,-80,-81,-200,-74,-63,-81,-200,-200,-85,-70,-200,-200,-62,-62,-83,-200,-200,-200,-59,-57,-200,-73,-200,-80,-200,-200,-75,-200,-80,-200,-83,-83,-76,-82,-200,-83,-73,-70,-200,-200,-200,-200,-200,-81,-93,-86,-78,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454961959,-28,-76,-35,-52,-49,-54,-56,-42,-59,-66,-50,-56,-66,-54,-47,-200,-59,-79,-63,-69,-200,-62,-61,-59,-200,-200,-69,-76,-65,-74,-75,-78,-200,-57,-73,-67,-82,-78,-200,-200,-200,-200,-80,-200,-200,-82,-200,-200,-200,-59,-200,-83,-200,-200,-200,-55,-53,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-71,-83,-81,-200,-200,-200,-73,-70,-200,-200,-200,-200,-200,-200,-93,-200,-78,-85,-92,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454964966,-34,-36,-39,-44,-39,-57,-55,-47,-59,-52,-52,-51,-67,-53,-51,-62,-65,-79,-66,-68,-69,-62,-62,-59,-200,-72,-74,-78,-65,-76,-74,-78,-200,-57,-73,-60,-74,-80,-200,-200,-79,-80,-75,-200,-77,-82,-200,-200,-200,-61,-200,-83,-200,-79,-200,-52,-57,-200,-79,-200,-80,-200,-200,-200,-200,-200,-200,-71,-83,-78,-200,-200,-200,-73,-70,-200,-200,-200,-200,-200,-200,-93,-200,-78,-85,-92,-82,-86,-90,-200,-200,-200,-200,-200,-200,-200
1526454968016,-37,-32,-41,-43,-38,-76,-52,-56,-59,-55,-46,-55,-67,-62,-53,-63,-59,-81,-61,-68,-71,-62,-67,-200,-68,-72,-73,-75,-73,-71,-79,-78,-79,-73,-200,-59,-82,-75,-200,-200,-79,-67,-79,-200,-77,-80,-200,-200,-200,-59,-200,-200,-200,-79,-200,-57,-57,-200,-74,-89,-80,-200,-80,-200,-200,-76,-200,-200,-200,-78,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-90,-86,-87,-200,-200,-200,-200,-200
1526454971075,-35,-27,-40,-53,-36,-53,-60,-44,-65,-45,-45,-50,-57,-62,-46,-76,-59,-78,-61,-70,-71,-71,-62,-200,-67,-200,-73,-72,-73,-71,-77,-78,-69,-73,-200,-56,-75,-78,-79,-200,-200,-67,-77,-200,-200,-85,-200,-200,-200,-59,-200,-200,-200,-200,-200,-57,-50,-200,-72,-89,-200,-200,-80,-200,-200,-76,-200,-71,-73,-82,-200,-200,-200,-200,-69,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-86,-87,-200,-200,-200,-200,-200
1526454974134,-37,-31,-36,-56,-35,-52,-52,-49,-57,-44,-45,-48,-79,-57,-47,-65,-63,-79,-66,-68,-70,-59,-57,-200,-67,-200,-90,-79,-88,-71,-80,-78,-89,-73,-200,-57,-72,-80,-79,-79,-200,-67,-78,-200,-200,-77,-73,-200,-200,-61,-63,-200,-91,-200,-200,-58,-50,-200,-72,-89,-200,-200,-80,-76,-86,-76,-200,-72,-73,-76,-200,-200,-200,-200,-68,-200,-87,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-83,-200,-86,-87,-85,-200,-200,-200,-200
1526454977186,-34,-30,-33,-35,-40,-55,-54,-49,-57,-56,-51,-51,-54,-52,-51,-59,-74,-76,-64,-65,-70,-66,-59,-200,-200,-200,-90,-66,-88,-200,-78,-86,-76,-200,-76,-57,-51,-77,-79,-79,-200,-200,-79,-82,-200,-77,-73,-200,-86,-64,-63,-89,-91,-85,-200,-58,-200,-200,-200,-200,-83,-200,-200,-75,-86,-77,-200,-72,-200,-79,-200,-200,-200,-200,-68,-200,-200,-200,-81,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-81,-200,-200,-200
1526454980246,-36,-31,-38,-38,-49,-58,-50,-51,-56,-48,-51,-54,-54,-46,-49,-65,-74,-79,-61,-64,-70,-62,-67,-200,-200,-200,-90,-79,-64,-200,-79,-86,-76,-200,-76,-60,-79,-84,-79,-79,-200,-73,-76,-86,-200,-79,-68,-200,-86,-64,-63,-89,-91,-75,-200,-62,-200,-200,-200,-200,-83,-200,-200,-76,-81,-77,-200,-72,-74,-49,-82,-200,-86,-200,-68,-200,-200,-200,-81,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-81,-200,-200,-200
1526454983306,-42,-30,-37,-38,-53,-55,-53,-59,-56,-48,-71,-47,-58,-49,-49,-57,-60,-79,-62,-63,-72,-66,-67,-200,-200,-200,-76,-79,-62,-200,-78,-76,-75,-81,-200,-69,-75,-81,-73,-200,-200,-73,-76,-86,-200,-79,-78,-200,-200,-69,-200,-200,-200,-75,-200,-62,-200,-200,-77,-200,-200,-200,-200,-76,-81,-200,-200,-76,-70,-49,-82,-200,-86,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-86,-200
1526454986317,-32,-31,-42,-42,-42,-54,-55,-59,-58,-200,-71,-52,-58,-49,-51,-61,-65,-51,-69,-71,-72,-58,-59,-68,-200,-71,-70,-80,-66,-200,-78,-70,-79,-78,-200,-57,-75,-79,-73,-200,-200,-200,-78,-200,-200,-87,-72,-200,-85,-55,-70,-200,-200,-200,-200,-200,-200,-85,-74,-200,-200,-200,-78,-200,-79,-77,-200,-76,-70,-200,-200,-200,-86,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-62,-200,-200,-80,-200,-200,-200,-200,-200,-200,-78,-86,-200
1526454989377,-30,-35,-45,-46,-44,-44,-52,-50,-70,-49,-44,-51,-63,-63,-48,-55,-71,-48,-62,-65,-75,-60,-70,-68,-200,-78,-88,-83,-76,-200,-72,-70,-89,-77,-91,-58,-200,-82,-200,-200,-77,-200,-76,-89,-200,-85,-72,-200,-91,-55,-70,-200,-200,-200,-200,-57,-63,-78,-82,-200,-200,-200,-92,-200,-91,-77,-200,-82,-79,-81,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-80,-200,-200,-200,-200,-85,-80,-200,-88,-200,-200,-200,-200,-200,-200,-74
