,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro
1526454347957,-31,-51,-54,-42,-49,-53,-68,-58,-56,-53,-57,-53,-51,-50,-64,-62,-58,-200,-70,-64,-63,-63,-60,-52,-77,-65,-79,-200,-68,-74,-65,-69,-79,-72,-77,-75,-200,-200,-83,-86,-63,-200,-89,-51,-200,-80,-200,-200,-200,-200,-70,-74,-73,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-77,-200,-82,-200,-90,-200,-200,-200,-200,-75,-200,-87,-200,-200,-200,-200,-200,-81,-84,-200,-70,-81,-200,-200,-200,-200,-200,-200,-200
1526454350962,-30,-44,-49,-44,-52,-56,-73,-62,-49,-62,-52,-54,-47,-51,-68,-62,-59,-200,-66,-61,-64,-63,-78,-53,-77,-65,-79,-200,-200,-70,-70,-69,-84,-72,-75,-75,-200,-200,-83,-86,-65,-200,-89,-79,-200,-77,-200,-200,-200,-200,-71,-76,-79,-200,-79,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-80,-200,-90,-200,-67,-80,-200,-74,-200,-87,-200,-200,-200,-200,-200,-81,-84,-200,-200,-81,-87,-200,-200,-200,-200,-200,-200
1526454354010,-31,-31,-43,-43,-54,-57,-73,-65,-51,-56,-53,-50,-53,-49,-55,-65,-59,-56,-71,-65,-64,-200,-78,-53,-70,-200,-200,-200,-61,-73,-68,-76,-81,-73,-74,-72,-200,-81,-78,-200,-65,-200,-83,-74,-200,-83,-200,-86,-84,-200,-71,-77,-79,-200,-79,-85,-200,-87,-90,-200,-200,-80,-200,-200,-200,-80,-200,-200,-200,-71,-80,-200,-74,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-78,-87,-200,-200,-200,-200,-200,-200
1526454357017,-28,-34,-47,-39,-52,-57,-73,-59,-52,-58,-56,-49,-53,-50,-63,-60,-53,-59,-74,-60,-59,-59,-68,-53,-70,-200,-200,-200,-58,-75,-68,-76,-80,-72,-75,-74,-200,-81,-83,-200,-72,-200,-83,-50,-200,-83,-200,-86,-84,-200,-71,-77,-79,-200,-77,-85,-200,-87,-85,-200,-200,-83,-200,-200,-200,-80,-200,-200,-200,-71,-80,-200,-74,-200,-200,-88,-200,-200,-200,-200,-82,-200,-200,-200,-78,-87,-200,-200,-200,-200,-200,-200
1526454360025,-32,-44,-46,-40,-45,-47,-58,-56,-55,-53,-58,-54,-49,-51,-58,-60,-53,-59,-74,-51,-68,-68,-68,-53,-62,-200,-200,-200,-59,-73,-64,-200,-81,-69,-79,-74,-74,-200,-79,-84,-67,-200,-200,-77,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-85,-200,-200,-83,-200,-200,-200,-80,-200,-200,-62,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526454363065,-30,-43,-51,-46,-46,-50,-58,-49,-53,-53,-57,-50,-50,-51,-58,-61,-53,-200,-200,-52,-66,-70,-200,-61,-63,-60,-200,-72,-59,-73,-66,-74,-78,-70,-72,-74,-74,-78,-77,-84,-67,-200,-83,-74,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-87,-200,-200,-200,-200,-65,-200,-200,-80,-200,-200,-58,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-80,-200,-200,-200,-200,-200
1526454366093,-29,-50,-51,-48,-45,-47,-59,-46,-54,-54,-54,-52,-51,-54,-57,-61,-53,-59,-71,-55,-66,-70,-200,-76,-63,-59,-89,-65,-63,-71,-66,-74,-77,-71,-54,-76,-74,-78,-77,-84,-67,-73,-81,-76,-200,-78,-200,-200,-200,-200,-200,-200,-72,-200,-77,-200,-200,-87,-200,-200,-200,-200,-86,-200,-200,-80,-200,-91,-59,-63,-200,-200,-75,-200,-200,-200,-85,-200,-200,-200,-82,-200,-200,-200,-77,-200,-80,-78,-80,-200,-200,-200
1526454369158,-29,-49,-50,-45,-46,-49,-61,-48,-51,-53,-53,-49,-70,-53,-56,-86,-56,-59,-71,-64,-66,-61,-200,-57,-200,-60,-89,-65,-58,-70,-200,-78,-77,-74,-72,-76,-71,-200,-77,-200,-200,-73,-82,-77,-200,-85,-200,-200,-200,-200,-200,-80,-70,-200,-200,-200,-200,-200,-200,-200,-200,-77,-86,-200,-200,-80,-200,-91,-59,-63,-200,-200,-75,-200,-200,-200,-85,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-78,-80,-84,-200,-200
1526454372223,-28,-48,-43,-45,-45,-48,-61,-51,-50,-53,-55,-48,-52,-53,-61,-86,-57,-59,-71,-55,-65,-60,-200,-55,-63,-62,-81,-65,-61,-71,-72,-75,-78,-74,-73,-76,-71,-76,-79,-200,-200,-73,-82,-73,-200,-83,-200,-200,-200,-200,-200,-80,-70,-200,-74,-200,-200,-200,-200,-200,-200,-77,-86,-200,-200,-78,-200,-91,-59,-65,-200,-200,-75,-200,-200,-200,-85,-200,-200,-200,-82,-82,-200,-200,-200,-200,-200,-78,-80,-82,-78,-85
1526454375272,-29,-46,-43,-43,-45,-50,-200,-51,-53,-48,-52,-50,-51,-52,-68,-62,-55,-74,-66,-56,-65,-67,-75,-55,-54,-62,-81,-200,-59,-71,-71,-77,-78,-74,-72,-200,-200,-76,-77,-200,-200,-200,-80,-72,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-78,-86,-200,-200,-78,-200,-200,-200,-65,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-82,-82,-200,-200,-200,-200,-200,-76,-80,-82,-78,-85
1526454378334,-29,-44,-47,-42,-47,-47,-200,-51,-49,-48,-53,-49,-47,-53,-61,-82,-55,-54,-71,-51,-62,-60,-75,-56,-62,-59,-77,-200,-59,-71,-71,-75,-79,-73,-53,-200,-200,-200,-77,-200,-200,-200,-80,-76,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-81,-200,-90,-58,-200,-200,-200,-73,-200,-200,-200,-200,-200,-82,-200,-81,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200
1526454381370,-68,-43,-43,-43,-46,-49,-200,-43,-49,-55,-54,-49,-53,-53,-61,-62,-51,-57,-68,-81,-62,-65,-200,-56,-61,-58,-77,-200,-59,-71,-71,-75,-82,-72,-49,-79,-200,-200,-74,-200,-200,-200,-200,-76,-200,-74,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-89,-59,-200,-200,-200,-73,-200,-84,-200,-200,-200,-82,-200,-82,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200
