,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454706833,-36,-45,-46,-48,-56,-51,-200,-62,-52,-63,-59,-72,-56,-66,-80,-89,-53,-68,-71,-69,-200,-200,-75,-62,-63,-64,-200,-61,-200,-200,-200,-84,-68,-200,-200,-200,-84,-83,-200,-71,-84,-86,-85,-73,-79,-200,-200,-72,-200,-200,-78,-200,-200,-86,-86,-200,-81,-200,-86,-81,-83,-200,-200,-200,-200,-200,-73,-70,-87,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454707383,-36,-45,-46,-48,-56,-51,-200,-62,-52,-63,-59,-72,-56,-66,-80,-89,-53,-68,-71,-69,-200,-200,-75,-62,-63,-64,-200,-61,-200,-200,-200,-84,-68,-200,-200,-200,-84,-83,-200,-71,-84,-86,-85,-73,-79,-200,-200,-72,-200,-200,-78,-200,-200,-86,-86,-200,-81,-200,-86,-81,-83,-200,-200,-200,-200,-200,-73,-70,-87,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454709838,-29,-43,-46,-46,-55,-51,-200,-62,-52,-63,-59,-200,-59,-65,-61,-63,-60,-67,-77,-79,-200,-200,-75,-62,-63,-200,-200,-59,-65,-200,-200,-84,-68,-73,-200,-88,-83,-80,-200,-71,-83,-85,-85,-69,-79,-89,-200,-72,-200,-200,-77,-200,-200,-200,-86,-200,-200,-200,-86,-79,-83,-200,-84,-200,-200,-200,-200,-70,-200,-82,-84,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454710425,-29,-43,-46,-46,-55,-51,-200,-62,-52,-63,-59,-200,-59,-65,-61,-63,-60,-67,-77,-79,-200,-200,-75,-62,-63,-200,-200,-59,-65,-200,-200,-84,-68,-73,-200,-88,-83,-80,-200,-71,-83,-85,-85,-69,-79,-89,-200,-72,-200,-200,-77,-200,-200,-200,-86,-200,-200,-200,-86,-79,-83,-200,-84,-200,-200,-200,-200,-70,-200,-82,-84,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454712843,-28,-44,-47,-45,-53,-52,-200,-63,-53,-62,-58,-200,-54,-65,-81,-62,-60,-67,-81,-79,-200,-200,-76,-62,-62,-200,-200,-62,-66,-75,-200,-84,-68,-73,-200,-88,-83,-80,-82,-71,-85,-86,-85,-69,-76,-89,-200,-72,-200,-82,-77,-200,-200,-200,-87,-200,-200,-200,-86,-80,-65,-200,-85,-200,-87,-200,-74,-76,-200,-82,-84,-85,-89,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454713468,-28,-44,-47,-45,-53,-52,-200,-63,-53,-62,-58,-200,-54,-65,-81,-62,-60,-67,-81,-79,-200,-200,-76,-62,-62,-200,-200,-62,-66,-75,-200,-84,-68,-73,-200,-88,-83,-80,-82,-71,-85,-86,-85,-69,-76,-89,-200,-72,-200,-82,-77,-200,-200,-200,-87,-200,-200,-200,-86,-80,-65,-200,-85,-200,-87,-200,-74,-76,-200,-82,-84,-85,-89,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454715847,-29,-44,-90,-45,-55,-51,-200,-62,-54,-63,-58,-76,-55,-65,-80,-62,-57,-200,-70,-65,-200,-65,-76,-68,-62,-66,-82,-62,-65,-75,-200,-83,-64,-200,-200,-86,-84,-83,-82,-71,-82,-86,-85,-68,-76,-200,-200,-200,-86,-82,-200,-200,-200,-200,-87,-200,-200,-200,-200,-80,-65,-200,-85,-200,-87,-200,-72,-79,-200,-82,-200,-200,-89,-82,-85,-82,-84,-85,-200,-200,-200,-200,-200,-200,-200
1526454716512,-29,-44,-90,-45,-55,-51,-200,-62,-54,-63,-58,-76,-55,-65,-80,-62,-57,-200,-70,-65,-200,-65,-76,-68,-62,-66,-82,-62,-65,-75,-200,-83,-64,-200,-200,-86,-84,-83,-82,-71,-82,-86,-85,-68,-76,-200,-200,-200,-86,-82,-200,-200,-200,-200,-87,-200,-200,-200,-200,-80,-65,-200,-85,-200,-87,-200,-72,-79,-200,-82,-200,-200,-89,-82,-85,-82,-84,-85,-200,-200,-200,-200,-200,-200,-200
1526454718898,-30,-45,-46,-47,-55,-52,-200,-62,-52,-63,-59,-76,-59,-200,-80,-69,-58,-200,-62,-65,-72,-65,-200,-66,-63,-66,-82,-63,-71,-200,-68,-83,-64,-200,-200,-87,-84,-83,-82,-71,-84,-86,-86,-70,-200,-200,-200,-79,-86,-82,-200,-200,-200,-200,-200,-200,-81,-200,-200,-78,-66,-200,-200,-85,-200,-84,-72,-76,-85,-82,-200,-200,-89,-82,-200,-82,-84,-85,-84,-86,-200,-200,-200,-200,-200
1526454719554,-30,-45,-46,-47,-55,-52,-200,-62,-52,-63,-59,-76,-59,-200,-80,-69,-58,-200,-62,-65,-72,-65,-200,-66,-63,-66,-82,-63,-71,-200,-68,-83,-64,-200,-200,-87,-84,-83,-82,-71,-84,-86,-86,-70,-200,-200,-200,-79,-86,-82,-200,-200,-200,-200,-200,-200,-81,-200,-200,-78,-66,-200,-200,-85,-200,-84,-72,-76,-85,-82,-200,-200,-89,-82,-200,-82,-84,-85,-84,-86,-200,-200,-200,-200,-200
1526454721947,-29,-42,-46,-45,-49,-51,-200,-62,-55,-75,-58,-73,-55,-66,-80,-63,-58,-200,-62,-65,-72,-65,-77,-68,-60,-67,-82,-65,-72,-200,-68,-83,-64,-200,-200,-87,-59,-83,-82,-70,-85,-86,-85,-70,-77,-200,-200,-73,-86,-82,-200,-200,-200,-200,-200,-200,-81,-200,-200,-78,-66,-200,-200,-85,-200,-84,-74,-78,-85,-84,-200,-84,-89,-82,-200,-82,-84,-85,-84,-86,-200,-200,-200,-200,-200
1526454722602,-29,-42,-46,-45,-49,-51,-200,-62,-55,-75,-58,-73,-55,-66,-80,-63,-58,-200,-62,-65,-72,-65,-77,-68,-60,-67,-82,-65,-72,-200,-68,-83,-64,-200,-200,-87,-59,-83,-82,-70,-85,-86,-85,-70,-77,-200,-200,-73,-86,-82,-200,-200,-200,-200,-200,-200,-81,-200,-200,-78,-66,-200,-200,-85,-200,-84,-74,-78,-85,-84,-200,-84,-89,-82,-200,-82,-84,-85,-84,-86,-200,-200,-200,-200,-200
1526454724985,-79,-45,-46,-46,-53,-51,-200,-62,-55,-75,-58,-73,-56,-66,-58,-65,-56,-64,-62,-67,-70,-200,-77,-68,-62,-67,-200,-64,-76,-200,-200,-200,-200,-87,-200,-200,-83,-200,-80,-72,-83,-85,-85,-69,-77,-200,-200,-73,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-74,-88,-200,-84,-200,-84,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526454725643,-79,-45,-46,-46,-53,-51,-200,-62,-55,-75,-58,-73,-56,-66,-58,-65,-56,-64,-62,-67,-70,-200,-77,-68,-62,-67,-200,-64,-76,-200,-200,-200,-200,-87,-200,-200,-83,-200,-80,-72,-83,-85,-85,-69,-77,-200,-200,-73,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-74,-88,-200,-84,-200,-84,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526454728041,-29,-42,-45,-45,-57,-53,-70,-62,-52,-62,-56,-200,-55,-65,-80,-67,-59,-64,-61,-92,-70,-200,-73,-200,-63,-67,-200,-62,-66,-74,-79,-200,-200,-87,-200,-200,-83,-200,-80,-72,-84,-84,-85,-68,-71,-200,-200,-81,-200,-200,-200,-200,-85,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-84,-200,-200,-74,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-88,-200,-200,-200,-200
1526454728682,-29,-42,-45,-45,-57,-53,-70,-62,-52,-62,-56,-200,-55,-65,-80,-67,-59,-64,-61,-92,-70,-200,-73,-200,-63,-67,-200,-62,-66,-74,-79,-200,-200,-87,-200,-200,-83,-200,-80,-72,-84,-84,-85,-68,-71,-200,-200,-81,-200,-200,-200,-200,-85,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-84,-200,-200,-74,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-88,-200,-200,-200,-200
1526454731102,-29,-45,-49,-45,-56,-53,-81,-62,-50,-62,-58,-200,-63,-65,-80,-63,-54,-62,-62,-92,-200,-70,-67,-200,-60,-67,-80,-62,-66,-73,-79,-200,-200,-200,-200,-200,-58,-200,-77,-71,-84,-85,-86,-72,-79,-200,-200,-80,-200,-200,-200,-200,-86,-85,-200,-200,-82,-200,-200,-200,-67,-200,-200,-82,-200,-200,-74,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200
1526454731688,-29,-45,-49,-45,-56,-53,-81,-62,-50,-62,-58,-200,-63,-65,-80,-63,-54,-62,-62,-92,-200,-70,-67,-200,-60,-67,-80,-62,-66,-73,-79,-200,-200,-200,-200,-200,-58,-200,-77,-71,-84,-85,-86,-72,-79,-200,-200,-80,-200,-200,-200,-200,-86,-85,-200,-200,-82,-200,-200,-200,-67,-200,-200,-82,-200,-200,-74,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200
1526454734124,-34,-45,-45,-51,-58,-53,-81,-63,-50,-65,-59,-66,-56,-65,-59,-62,-59,-67,-64,-66,-70,-70,-74,-63,-62,-67,-80,-62,-72,-74,-200,-200,-70,-200,-200,-85,-83,-200,-77,-71,-84,-84,-85,-68,-79,-200,-200,-80,-200,-200,-200,-200,-86,-85,-200,-200,-81,-200,-82,-200,-79,-200,-200,-82,-87,-85,-200,-78,-200,-200,-91,-200,-200,-200,-91,-200,-200,-200,-200,-87,-200,-86,-200,-200,-200
1526454734725,-34,-45,-45,-51,-58,-53,-81,-63,-50,-65,-59,-66,-56,-65,-59,-62,-59,-67,-64,-66,-70,-70,-74,-63,-62,-67,-80,-62,-72,-74,-200,-200,-70,-200,-200,-85,-83,-200,-77,-71,-84,-84,-85,-68,-79,-200,-200,-80,-200,-200,-200,-200,-86,-85,-200,-200,-81,-200,-82,-200,-79,-200,-200,-82,-87,-85,-200,-78,-200,-200,-91,-200,-200,-200,-91,-200,-200,-200,-200,-87,-200,-86,-200,-200,-200
1526454737167,-29,-45,-46,-46,-53,-53,-200,-63,-56,-63,-58,-70,-56,-66,-80,-67,-60,-67,-64,-66,-70,-68,-74,-61,-61,-67,-200,-62,-65,-74,-200,-84,-67,-200,-200,-85,-59,-82,-80,-70,-82,-84,-85,-68,-68,-200,-200,-81,-86,-81,-200,-200,-200,-85,-200,-200,-82,-200,-84,-200,-79,-200,-200,-200,-87,-85,-200,-200,-200,-200,-91,-200,-200,-200,-91,-200,-200,-200,-85,-87,-200,-200,-200,-200,-200
1526454737786,-29,-45,-46,-46,-53,-53,-200,-63,-56,-63,-58,-70,-56,-66,-80,-67,-60,-67,-64,-66,-70,-68,-74,-61,-61,-67,-200,-62,-65,-74,-200,-84,-67,-200,-200,-85,-59,-82,-80,-70,-82,-84,-85,-68,-68,-200,-200,-81,-86,-81,-200,-200,-200,-85,-200,-200,-82,-200,-84,-200,-79,-200,-200,-200,-87,-85,-200,-200,-200,-200,-91,-200,-200,-200,-91,-200,-200,-200,-85,-87,-200,-200,-200,-200,-200
1526454740235,-33,-42,-45,-47,-53,-54,-200,-64,-85,-62,-58,-70,-59,-66,-59,-66,-56,-67,-63,-67,-70,-69,-74,-69,-62,-67,-80,-58,-71,-74,-200,-84,-69,-69,-200,-85,-83,-81,-80,-69,-84,-84,-86,-73,-68,-200,-200,-81,-86,-81,-200,-86,-86,-85,-200,-200,-80,-200,-84,-200,-79,-200,-200,-200,-87,-85,-74,-80,-200,-87,-84,-200,-200,-85,-91,-200,-200,-200,-84,-87,-89,-200,-71,-200,-200
1526454740843,-33,-42,-45,-47,-53,-54,-200,-64,-85,-62,-58,-70,-59,-66,-59,-66,-56,-67,-63,-67,-70,-69,-74,-69,-62,-67,-80,-58,-71,-74,-200,-84,-69,-69,-200,-85,-83,-81,-80,-69,-84,-84,-86,-73,-68,-200,-200,-81,-86,-81,-200,-86,-86,-85,-200,-200,-80,-200,-84,-200,-79,-200,-200,-200,-87,-85,-74,-80,-200,-87,-84,-200,-200,-85,-91,-200,-200,-200,-84,-87,-89,-200,-71,-200,-200
1526454743288,-29,-46,-45,-45,-55,-53,-200,-64,-50,-62,-58,-200,-57,-65,-81,-59,-56,-65,-74,-67,-200,-69,-74,-69,-62,-67,-80,-62,-72,-74,-200,-200,-68,-69,-200,-87,-83,-81,-200,-70,-81,-84,-85,-69,-200,-200,-200,-79,-200,-200,-78,-86,-86,-200,-88,-200,-80,-200,-82,-200,-67,-200,-85,-84,-200,-200,-74,-80,-200,-87,-84,-200,-200,-85,-200,-200,-200,-200,-84,-200,-89,-200,-71,-200,-200
1526454743884,-29,-46,-45,-45,-55,-53,-200,-64,-50,-62,-58,-200,-57,-65,-81,-59,-56,-65,-74,-67,-200,-69,-74,-69,-62,-67,-80,-62,-72,-74,-200,-200,-68,-69,-200,-87,-83,-81,-200,-70,-81,-84,-85,-69,-200,-200,-200,-79,-200,-200,-78,-86,-86,-200,-88,-200,-80,-200,-82,-200,-67,-200,-85,-84,-200,-200,-74,-80,-200,-87,-84,-200,-200,-85,-200,-200,-200,-200,-84,-200,-89,-200,-71,-200,-200
1526454746355,-29,-45,-45,-46,-49,-53,-200,-200,-55,-62,-58,-74,-56,-65,-80,-64,-58,-64,-76,-200,-200,-200,-77,-61,-62,-67,-82,-63,-83,-83,-79,-83,-66,-200,-200,-87,-83,-200,-200,-71,-84,-84,-86,-69,-200,-200,-200,-79,-86,-82,-78,-86,-200,-200,-88,-200,-200,-200,-84,-200,-68,-200,-85,-82,-200,-86,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454746891,-29,-45,-45,-46,-49,-53,-200,-200,-55,-62,-58,-74,-56,-65,-80,-64,-58,-64,-76,-200,-200,-200,-77,-61,-62,-67,-82,-63,-83,-83,-79,-83,-66,-200,-200,-87,-83,-200,-200,-71,-84,-84,-86,-69,-200,-200,-200,-79,-86,-82,-78,-86,-200,-200,-88,-200,-200,-200,-84,-200,-68,-200,-85,-82,-200,-86,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454749425,-29,-45,-47,-51,-55,-50,-200,-64,-52,-59,-58,-69,-60,-65,-79,-68,-58,-75,-76,-200,-200,-200,-67,-81,-86,-200,-82,-62,-73,-83,-79,-83,-66,-200,-200,-86,-83,-84,-84,-84,-84,-85,-84,-86,-200,-200,-200,-200,-86,-83,-200,-88,-92,-200,-92,-200,-90,-200,-85,-92,-69,-200,-200,-85,-200,-85,-75,-90,-88,-87,-200,-200,-89,-82,-200,-83,-200,-200,-84,-200,-200,-200,-72,-90,-200
1526454749896,-29,-45,-47,-51,-55,-50,-200,-64,-52,-59,-58,-69,-60,-65,-79,-68,-58,-75,-76,-200,-200,-200,-67,-81,-86,-200,-82,-62,-73,-83,-79,-83,-66,-200,-200,-86,-83,-84,-84,-84,-84,-85,-84,-86,-200,-200,-200,-200,-86,-83,-200,-88,-92,-200,-92,-200,-90,-200,-85,-92,-69,-200,-200,-85,-200,-85,-75,-90,-88,-87,-200,-200,-89,-82,-200,-83,-200,-200,-84,-200,-200,-200,-72,-90,-200
1526454752460,-33,-44,-46,-43,-55,-52,-200,-64,-64,-63,-58,-69,-59,-66,-79,-67,-58,-75,-200,-200,-71,-200,-76,-60,-63,-200,-82,-61,-73,-82,-200,-83,-69,-200,-200,-88,-83,-84,-77,-84,-200,-87,-85,-86,-77,-200,-200,-79,-200,-82,-200,-88,-92,-200,-92,-200,-90,-200,-85,-92,-69,-200,-200,-82,-200,-85,-75,-90,-88,-87,-200,-200,-89,-82,-200,-83,-200,-200,-84,-200,-200,-200,-73,-90,-200
