,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8
1526452181259,-35,-28,-46,-200,-52,-200,-46,-59,-55,-48,-80,-76,-47,-200,-61,-55,-200,-76,-62,-53,-200,-56,-200,-200,-200,-66,-200,-73,-61,-82,-72,-73,-200,-200,-200,-200,-85,-86,-89,-90,-88,-76,-88,-70,-80,-87,-86,-89,-200,-200,-200,-200
1526452184274,-35,-28,-46,-200,-52,-200,-46,-59,-55,-48,-80,-76,-47,-200,-61,-55,-200,-76,-62,-53,-200,-56,-200,-200,-200,-66,-200,-73,-61,-200,-72,-73,-200,-200,-200,-200,-85,-86,-89,-90,-88,-76,-200,-70,-80,-87,-86,-89,-200,-200,-200,-200
1526452187302,-33,-28,-42,-200,-48,-200,-45,-59,-59,-52,-71,-76,-44,-200,-61,-55,-200,-76,-66,-53,-79,-60,-200,-200,-200,-66,-200,-72,-65,-83,-73,-71,-200,-200,-200,-200,-77,-86,-89,-90,-88,-75,-200,-70,-80,-87,-86,-89,-81,-200,-200,-200
1526452190317,-33,-28,-42,-200,-48,-200,-45,-59,-59,-52,-71,-200,-44,-200,-61,-55,-200,-76,-66,-53,-79,-60,-200,-200,-200,-66,-200,-72,-65,-83,-73,-71,-200,-200,-200,-200,-77,-86,-89,-90,-88,-75,-200,-200,-80,-87,-86,-89,-81,-200,-200,-200
1526452193346,-33,-35,-42,-200,-44,-200,-51,-60,-59,-55,-58,-200,-43,-200,-65,-55,-200,-76,-65,-59,-79,-62,-200,-200,-68,-66,-200,-63,-65,-79,-73,-61,-91,-89,-83,-200,-75,-84,-89,-90,-88,-75,-200,-200,-80,-87,-86,-89,-81,-90,-200,-200
1526452196371,-33,-35,-42,-200,-44,-200,-51,-60,-59,-55,-58,-200,-43,-200,-65,-55,-200,-76,-65,-59,-79,-62,-200,-200,-68,-66,-200,-63,-65,-79,-73,-61,-91,-89,-83,-200,-75,-84,-89,-90,-88,-75,-200,-200,-200,-200,-86,-89,-81,-90,-200,-200
1526452199393,-13,-38,-37,-200,-44,-200,-54,-59,-55,-54,-58,-200,-43,-61,-65,-55,-200,-76,-67,-61,-79,-62,-200,-200,-72,-66,-200,-61,-65,-79,-73,-64,-91,-88,-82,-88,-75,-82,-89,-90,-89,-78,-200,-200,-200,-200,-86,-89,-81,-89,-200,-200
1526452202416,-13,-38,-37,-200,-44,-200,-54,-59,-55,-54,-58,-200,-43,-61,-65,-55,-200,-200,-67,-61,-79,-62,-200,-200,-72,-66,-200,-61,-65,-79,-73,-64,-91,-88,-82,-88,-75,-82,-89,-90,-89,-78,-200,-200,-200,-200,-86,-89,-81,-89,-200,-200
1526452205436,-25,-37,-36,-200,-52,-200,-55,-62,-60,-52,-58,-200,-42,-61,-61,-65,-200,-200,-65,-61,-79,-60,-200,-200,-71,-66,-200,-60,-65,-79,-71,-63,-91,-88,-82,-88,-81,-81,-91,-90,-89,-78,-200,-200,-200,-74,-86,-89,-81,-89,-79,-80
1526452208462,-25,-37,-36,-200,-52,-200,-55,-62,-60,-52,-58,-200,-42,-61,-61,-65,-200,-200,-65,-61,-79,-60,-200,-200,-71,-66,-200,-60,-65,-79,-71,-63,-91,-88,-82,-88,-81,-81,-91,-90,-89,-78,-200,-200,-200,-74,-86,-89,-81,-89,-79,-80
1526452211472,-25,-33,-36,-200,-50,-59,-48,-62,-62,-55,-70,-200,-47,-62,-57,-57,-200,-200,-67,-61,-79,-57,-200,-200,-71,-72,-200,-66,-65,-79,-69,-67,-90,-88,-82,-88,-77,-86,-90,-200,-89,-78,-200,-200,-200,-74,-200,-89,-81,-89,-79,-80
1526452214500,-25,-33,-36,-200,-50,-59,-48,-62,-62,-55,-70,-200,-47,-62,-57,-57,-200,-200,-67,-61,-79,-57,-200,-200,-71,-72,-200,-66,-65,-79,-69,-67,-90,-88,-82,-88,-77,-86,-90,-200,-89,-78,-200,-200,-200,-74,-200,-89,-81,-89,-79,-80
1526452217526,-29,-34,-38,-59,-50,-63,-48,-62,-61,-51,-70,-200,-47,-62,-60,-58,-200,-200,-63,-61,-79,-53,-200,-65,-74,-64,-200,-64,-200,-79,-70,-67,-90,-88,-83,-88,-75,-86,-90,-200,-89,-75,-200,-200,-200,-74,-200,-89,-200,-89,-79,-80
