,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526460412869,-96,-200,-200,-70,-200,-66,-95,-81,-76,-200,-80,-200,-200,-200,-200,-200
1526460417410,-200,-200,-91,-76,-200,-74,-200,-94,-76,-200,-200,-200,-200,-200,-200,-200
1526460417513,-200,-200,-95,-76,-200,-74,-91,-94,-77,-200,-92,-200,-200,-200,-200,-200
1526460417622,-97,-200,-93,-77,-200,-200,-200,-200,-76,-200,-91,-200,-200,-200,-200,-200
1526460417756,-96,-200,-91,-76,-200,-74,-91,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526460417868,-95,-200,-93,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526460417947,-95,-200,-200,-71,-200,-62,-91,-86,-75,-90,-88,-200,-200,-89,-200,-200
1526460422518,-200,-200,-200,-71,-200,-63,-89,-86,-77,-90,-200,-200,-200,-89,-96,-200
1526460422609,-200,-90,-95,-70,-200,-200,-91,-87,-200,-92,-200,-200,-200,-200,-200,-200
1526460422725,-200,-92,-200,-72,-200,-62,-90,-88,-81,-200,-89,-200,-200,-89,-200,-200
1526460422835,-200,-93,-200,-69,-200,-64,-200,-87,-78,-200,-82,-200,-200,-200,-94,-200
1526460427579,-200,-200,-83,-69,-97,-200,-91,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526460427637,-91,-200,-200,-69,-200,-65,-89,-88,-200,-200,-82,-200,-200,-200,-200,-200
1526460427756,-200,-200,-200,-69,-200,-65,-200,-200,-79,-200,-82,-200,-200,-200,-200,-200
1526460427865,-200,-200,-82,-69,-200,-200,-93,-87,-200,-200,-200,-200,-200,-88,-200,-200
1526460427969,-91,-200,-200,-69,-200,-200,-90,-91,-79,-200,-94,-200,-200,-200,-200,-200
1526460432473,-90,-200,-93,-80,-200,-72,-200,-91,-80,-200,-95,-200,-200,-101,-200,-200
1526460432581,-91,-200,-92,-80,-200,-72,-91,-200,-79,-200,-94,-97,-200,-200,-200,-200
1526460432722,-91,-200,-93,-200,-200,-73,-91,-90,-80,-200,-94,-200,-200,-200,-200,-200
1526460432824,-90,-200,-93,-79,-200,-72,-200,-200,-80,-200,-95,-200,-200,-200,-200,-200
1526460432925,-200,-200,-92,-80,-200,-71,-85,-200,-80,-200,-95,-97,-200,-200,-200,-200
1526460437409,-200,-90,-84,-200,-200,-63,-88,-200,-74,-90,-200,-200,-200,-200,-200,-200
1526460437506,-88,-91,-83,-71,-200,-63,-92,-200,-75,-200,-81,-200,-200,-200,-200,-200
1526460437606,-88,-200,-200,-73,-200,-62,-200,-84,-74,-200,-81,-200,-200,-200,-200,-200
1526460437735,-200,-93,-83,-70,-200,-200,-90,-200,-73,-200,-200,-200,-200,-88,-92,-200
1526460437850,-86,-90,-85,-71,-200,-63,-90,-86,-74,-91,-81,-200,-200,-87,-93,-200
1526460437945,-87,-91,-83,-72,-200,-200,-88,-84,-74,-200,-81,-200,-200,-200,-92,-200
1526460442387,-89,-92,-79,-75,-200,-63,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526460442515,-200,-200,-80,-74,-200,-62,-200,-82,-200,-200,-81,-200,-200,-200,-200,-200
1526460442639,-89,-200,-81,-70,-200,-65,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
1526460442745,-88,-200,-200,-79,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460442859,-88,-200,-200,-82,-200,-65,-200,-200,-80,-200,-82,-200,-200,-200,-200,-95
1526460442963,-200,-200,-200,-71,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460447402,-94,-200,-93,-91,-200,-72,-92,-98,-200,-200,-200,-96,-200,-200,-98,-200
1526460447494,-200,-200,-92,-94,-200,-71,-200,-200,-200,-96,-200,-94,-200,-200,-200,-200
