,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526446316148,-39,-41,-58,-65,-53,-43,-47,-40,-46,-65,-62,-60,-51,-52,-54,-53,-82,-77,-52,-72,-67,-71,-74,-79,-68,-76,-84,-77,-74,-200,-77,-200,-76,-83,-74,-74,-82,-83,-200,-200,-78,-200,-79,-83,-200,-82,-81,-200,-75,-86,-86,-79,-200,-83,-200,-200,-200,-200,-200,-200,-85,-200,-200,-81,-200,-89,-64,-83,-200,-200,-200,-88,-89,-54,-89,-90,-200,-200,-200,-200,-200
1526446319216,-42,-43,-59,-49,-57,-43,-47,-43,-43,-65,-62,-63,-50,-51,-54,-51,-82,-77,-52,-72,-67,-71,-74,-62,-68,-76,-81,-77,-74,-81,-200,-200,-77,-79,-71,-74,-82,-83,-200,-200,-78,-84,-75,-82,-200,-80,-81,-200,-73,-200,-86,-79,-200,-83,-200,-200,-200,-200,-200,-200,-85,-200,-200,-81,-200,-200,-64,-83,-200,-200,-200,-88,-89,-54,-89,-90,-89,-200,-200,-200,-200
1526446322297,-39,-44,-62,-47,-57,-45,-51,-43,-46,-65,-63,-63,-51,-49,-54,-51,-82,-77,-50,-72,-61,-71,-74,-71,-64,-68,-81,-77,-73,-81,-200,-200,-77,-83,-75,-74,-82,-83,-74,-200,-78,-84,-74,-82,-83,-80,-81,-200,-73,-85,-86,-81,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-88,-64,-83,-200,-200,-200,-73,-86,-54,-89,-90,-89,-200,-200,-200,-200
1526446325377,-42,-42,-60,-42,-57,-49,-51,-44,-45,-66,-61,-63,-52,-50,-59,-53,-73,-77,-53,-72,-61,-70,-79,-64,-65,-72,-84,-77,-68,-85,-200,-200,-79,-82,-75,-75,-82,-83,-74,-200,-78,-84,-73,-82,-83,-83,-81,-200,-73,-85,-200,-81,-200,-85,-200,-200,-200,-200,-200,-82,-200,-200,-87,-81,-200,-88,-54,-83,-200,-200,-200,-73,-86,-54,-89,-90,-89,-200,-200,-200,-200
1526446328438,-42,-42,-60,-47,-58,-46,-49,-40,-43,-66,-60,-63,-52,-53,-59,-53,-73,-76,-54,-200,-65,-67,-75,-67,-65,-72,-84,-77,-68,-82,-200,-200,-79,-82,-74,-74,-200,-83,-74,-200,-78,-82,-75,-82,-83,-83,-81,-200,-73,-83,-200,-81,-200,-85,-200,-200,-200,-200,-200,-82,-200,-200,-87,-200,-200,-88,-54,-83,-200,-200,-200,-73,-86,-200,-200,-200,-89,-86,-200,-200,-200
1526446331483,-39,-40,-60,-43,-66,-46,-49,-40,-41,-65,-62,-58,-52,-51,-68,-56,-73,-76,-52,-67,-65,-67,-72,-67,-66,-77,-85,-200,-68,-74,-200,-200,-78,-85,-72,-72,-200,-83,-74,-200,-78,-82,-79,-85,-83,-83,-81,-200,-78,-83,-200,-81,-200,-84,-200,-200,-200,-200,-200,-82,-200,-200,-87,-200,-200,-88,-54,-84,-200,-200,-200,-73,-86,-200,-200,-200,-89,-86,-87,-200,-200
1526446334539,-37,-40,-59,-51,-61,-47,-51,-38,-41,-66,-62,-58,-51,-52,-68,-56,-73,-75,-51,-67,-63,-67,-74,-66,-67,-77,-85,-200,-70,-82,-200,-73,-77,-81,-70,-73,-79,-83,-74,-84,-76,-84,-79,-85,-87,-83,-81,-200,-78,-83,-200,-81,-200,-83,-200,-200,-200,-200,-200,-82,-200,-200,-87,-200,-200,-88,-54,-84,-200,-200,-200,-73,-86,-200,-200,-200,-200,-86,-87,-200,-200
1526446337595,-37,-42,-59,-49,-58,-51,-48,-40,-45,-66,-60,-60,-47,-54,-68,-53,-73,-75,-51,-67,-60,-69,-74,-70,-67,-77,-84,-200,-71,-78,-200,-73,-77,-82,-72,-75,-79,-85,-74,-84,-81,-84,-77,-85,-87,-83,-81,-200,-78,-83,-200,-81,-200,-83,-200,-200,-200,-200,-200,-82,-200,-200,-87,-88,-200,-200,-54,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-87,-200,-200
1526446340662,-38,-38,-59,-43,-58,-51,-49,-38,-45,-67,-64,-62,-49,-55,-57,-55,-73,-75,-50,-67,-65,-69,-73,-66,-68,-75,-84,-200,-72,-74,-200,-73,-77,-82,-71,-75,-81,-85,-74,-84,-81,-84,-77,-85,-87,-200,-200,-200,-78,-83,-200,-81,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-87,-200,-200
1526446343684,-38,-41,-62,-50,-58,-46,-51,-62,-43,-67,-61,-62,-45,-67,-57,-58,-75,-80,-52,-67,-65,-73,-76,-65,-68,-75,-84,-76,-72,-74,-74,-73,-76,-82,-70,-75,-81,-85,-74,-84,-81,-84,-77,-85,-87,-200,-200,-200,-78,-200,-200,-81,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-65,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526446346720,-41,-41,-62,-42,-56,-46,-51,-44,-43,-67,-64,-61,-49,-52,-55,-53,-75,-73,-54,-59,-63,-73,-76,-63,-66,-75,-91,-76,-72,-74,-74,-73,-78,-83,-74,-77,-81,-85,-200,-84,-81,-84,-77,-85,-87,-200,-82,-200,-200,-200,-200,-81,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-82,-85
1526446349772,-41,-41,-62,-50,-56,-47,-49,-48,-43,-65,-62,-63,-49,-48,-55,-51,-75,-71,-54,-59,-64,-71,-78,-62,-68,-72,-91,-76,-72,-68,-73,-200,-79,-84,-78,-77,-81,-85,-69,-200,-81,-200,-83,-85,-200,-200,-82,-200,-72,-200,-200,-83,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-87,-88,-200,-200,-65,-200,-200,-85,-200,-86,-200,-200,-89,-200,-200,-200,-200,-82,-86
