,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whjx-gaofeng-13,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,,D-Link_DIR-823Pro
1526461519995,-44,-40,-47,-46,-26,-60,-48,-59,-59,-62,-73,-57,-62,-69,-66,-47,-78,-80,-71,-77,-71,-70,-68,-59,-74,-74,-73,-64,-82,-200,-200,-82,-69,-72,-75,-77,-71,-67,-84,-82,-85,-74,-85,-86,-76,-77,-78,-200,-76,-89,-69,-82,-84,-87,-87,-97,-85,-88,-87,-93,-82,-200,-92,-200,-200,-200,-88,-80,-84,-91,-92,-93,-200,-200,-91,-90,-93,-200,-94,-200,-200,-200,-80,-83,-87,-94,-200,-73,-200,-200,-200,-200,-95,-94,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461523051,-43,-40,-48,-44,-26,-61,-48,-59,-60,-64,-71,-57,-73,-68,-68,-51,-71,-80,-51,-75,-72,-69,-68,-64,-79,-74,-76,-65,-82,-200,-71,-85,-68,-72,-75,-76,-69,-68,-77,-82,-85,-83,-85,-87,-70,-81,-81,-200,-75,-88,-69,-82,-84,-87,-88,-97,-90,-87,-87,-93,-85,-91,-92,-200,-90,-200,-86,-90,-84,-91,-92,-93,-200,-200,-91,-90,-90,-200,-90,-200,-200,-200,-80,-83,-84,-97,-200,-73,-200,-200,-200,-200,-95,-94,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461526109,-44,-37,-46,-46,-25,-57,-46,-58,-58,-61,-69,-56,-66,-69,-66,-49,-71,-200,-51,-72,-67,-68,-68,-60,-78,-77,-72,-64,-82,-200,-77,-85,-70,-69,-78,-73,-73,-69,-83,-82,-85,-75,-87,-85,-69,-76,-78,-200,-74,-89,-69,-81,-86,-87,-93,-97,-83,-87,-87,-93,-85,-91,-91,-93,-90,-92,-86,-84,-85,-91,-93,-93,-200,-200,-91,-88,-94,-200,-89,-200,-200,-200,-79,-83,-84,-97,-95,-73,-81,-200,-200,-200,-95,-94,-200,-200,-97,-80,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461529165,-45,-38,-47,-43,-24,-62,-49,-59,-58,-62,-69,-55,-68,-69,-70,-50,-71,-78,-51,-76,-72,-68,-70,-61,-79,-77,-75,-63,-83,-94,-77,-85,-69,-68,-78,-63,-66,-67,-82,-83,-86,-76,-85,-83,-70,-74,-78,-200,-74,-89,-68,-83,-86,-200,-94,-200,-80,-87,-86,-93,-85,-89,-92,-95,-90,-92,-86,-85,-84,-200,-93,-200,-200,-200,-92,-89,-94,-200,-94,-200,-200,-200,-79,-85,-84,-96,-95,-71,-81,-200,-200,-200,-96,-200,-200,-200,-98,-80,-95,-92,-98,-200,-200,-200,-200,-200,-200,-200
1526461532218,-50,-39,-48,-45,-25,-62,-50,-60,-58,-67,-71,-57,-69,-64,-74,-45,-58,-81,-200,-76,-73,-68,-65,-66,-85,-77,-78,-64,-81,-94,-77,-200,-71,-71,-74,-78,-66,-67,-77,-90,-82,-82,-83,-83,-70,-81,-79,-200,-75,-86,-69,-83,-82,-87,-90,-200,-87,-200,-87,-93,-200,-91,-88,-94,-200,-92,-83,-85,-86,-200,-93,-200,-200,-200,-93,-89,-94,-200,-94,-95,-200,-94,-79,-82,-200,-97,-95,-77,-81,-200,-95,-200,-93,-91,-97,-200,-98,-80,-95,-92,-98,-86,-96,-200,-200,-200,-200,-200
1526461535280,-42,-39,-47,-45,-26,-60,-48,-59,-58,-61,-71,-57,-67,-72,-64,-48,-76,-81,-71,-77,-71,-65,-65,-60,-85,-77,-72,-63,-81,-94,-200,-200,-67,-71,-81,-71,-72,-67,-81,-90,-83,-75,-83,-83,-71,-77,-81,-200,-74,-89,-70,-82,-82,-91,-93,-88,-87,-200,-82,-200,-86,-92,-92,-92,-200,-200,-86,-91,-85,-91,-94,-200,-200,-200,-93,-88,-200,-200,-94,-95,-200,-94,-79,-87,-85,-97,-95,-77,-200,-200,-95,-200,-91,-96,-97,-200,-98,-77,-200,-92,-98,-86,-96,-200,-200,-200,-200,-200
1526461538336,-46,-38,-45,-44,-26,-60,-54,-62,-56,-67,-67,-59,-68,-65,-72,-47,-76,-76,-77,-77,-77,-72,-66,-70,-80,-77,-73,-60,-74,-82,-200,-200,-67,-84,-78,-74,-67,-67,-83,-83,-77,-74,-88,-81,-71,-77,-84,-200,-74,-89,-73,-87,-82,-91,-90,-88,-84,-200,-84,-91,-86,-91,-89,-90,-200,-200,-85,-91,-85,-91,-96,-200,-200,-200,-93,-88,-200,-200,-94,-95,-200,-96,-79,-87,-89,-97,-95,-73,-76,-200,-95,-200,-91,-96,-97,-200,-200,-77,-200,-94,-200,-86,-96,-200,-200,-200,-200,-200
1526461541391,-42,-36,-49,-41,-26,-71,-48,-62,-57,-62,-68,-59,-67,-65,-70,-50,-75,-81,-75,-73,-71,-71,-66,-60,-74,-200,-79,-63,-82,-82,-73,-200,-63,-72,-81,-74,-70,-63,-77,-84,-80,-74,-88,-81,-67,-83,-84,-200,-74,-87,-70,-82,-200,-90,-88,-88,-84,-200,-85,-91,-82,-90,-92,-93,-200,-200,-89,-91,-87,-84,-92,-200,-200,-200,-97,-88,-200,-200,-92,-92,-200,-96,-79,-87,-84,-97,-96,-73,-76,-200,-200,-200,-91,-96,-200,-200,-200,-77,-200,-94,-200,-200,-200,-93,-200,-200,-200,-200
1526461544432,-50,-40,-44,-44,-22,-58,-51,-63,-59,-60,-75,-53,-70,-69,-69,-50,-69,-79,-72,-65,-71,-67,-66,-57,-70,-200,-72,-63,-82,-82,-73,-200,-69,-77,-77,-76,-72,-63,-78,-80,-78,-76,-88,-76,-72,-82,-87,-200,-74,-86,-75,-82,-200,-85,-88,-89,-86,-200,-86,-91,-82,-87,-92,-93,-91,-93,-89,-92,-87,-84,-93,-91,-200,-200,-97,-88,-200,-200,-91,-92,-200,-93,-77,-200,-88,-97,-97,-73,-76,-200,-87,-200,-200,-96,-200,-200,-200,-200,-200,-94,-200,-200,-200,-93,-200,-200,-200,-200
1526461547485,-42,-40,-53,-49,-25,-61,-47,-66,-62,-64,-76,-56,-78,-69,-74,-46,-69,-79,-72,-76,-72,-60,-69,-70,-70,-200,-75,-61,-82,-200,-73,-200,-71,-72,-77,-72,-74,-73,-84,-82,-78,-76,-80,-80,-78,-77,-87,-200,-74,-86,-74,-82,-81,-86,-93,-89,-89,-200,-84,-200,-82,-97,-91,-93,-91,-93,-82,-79,-87,-88,-94,-91,-94,-200,-97,-88,-200,-200,-91,-92,-200,-93,-77,-79,-88,-97,-97,-74,-82,-95,-87,-200,-94,-200,-200,-200,-200,-80,-200,-200,-96,-200,-200,-93,-92,-97,-200,-200
1526461550540,-39,-47,-57,-54,-25,-56,-42,-61,-63,-64,-75,-56,-65,-64,-77,-47,-66,-79,-73,-76,-72,-70,-72,-74,-70,-75,-73,-58,-79,-200,-72,-81,-73,-72,-75,-76,-74,-67,-72,-85,-91,-72,-79,-78,-78,-77,-87,-200,-73,-86,-70,-82,-86,-87,-91,-89,-89,-86,-82,-200,-200,-93,-92,-92,-91,-93,-81,-82,-85,-88,-94,-93,-94,-200,-200,-200,-200,-200,-90,-200,-200,-94,-76,-82,-87,-97,-98,-74,-86,-95,-91,-200,-96,-200,-200,-200,-200,-80,-200,-200,-96,-200,-200,-200,-92,-97,-97,-200
1526461553601,-40,-45,-51,-47,-23,-56,-48,-56,-63,-60,-72,-58,-63,-66,-71,-49,-69,-200,-69,-71,-67,-63,-85,-69,-78,-76,-71,-61,-86,-200,-72,-83,-71,-72,-75,-72,-71,-65,-77,-80,-86,-72,-85,-77,-68,-77,-85,-200,-71,-200,-71,-84,-84,-83,-87,-89,-90,-86,-83,-200,-200,-87,-92,-92,-200,-94,-80,-82,-85,-92,-94,-93,-94,-200,-200,-200,-89,-200,-94,-200,-200,-94,-76,-82,-82,-95,-98,-75,-86,-95,-91,-200,-96,-200,-200,-200,-200,-77,-200,-89,-96,-200,-200,-200,-92,-97,-97,-78
