,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro
1526454343777,-33,-35,-32,-47,-61,-58,-61,-52,-62,-66,-64,-63,-60,-73,-66,-200,-78,-200,-72,-82,-85,-83,-200,-81,-200,-83,-200,-81,-200,-82,-200,-200,-200,-72,-200,-200,-84,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200
1526454346808,-33,-35,-32,-47,-61,-58,-61,-52,-62,-66,-64,-63,-60,-73,-66,-200,-78,-200,-72,-82,-85,-83,-200,-81,-200,-83,-200,-81,-200,-82,-200,-200,-200,-72,-200,-200,-84,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200
1526454349846,-33,-35,-32,-47,-61,-58,-61,-52,-62,-66,-64,-63,-60,-73,-66,-200,-78,-200,-72,-82,-85,-83,-200,-81,-200,-83,-200,-81,-200,-82,-200,-200,-200,-72,-200,-200,-84,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200
1526454352885,-31,-34,-33,-48,-61,-63,-59,-52,-60,-67,-64,-59,-61,-72,-69,-200,-73,-200,-71,-82,-84,-83,-200,-82,-200,-83,-200,-81,-92,-80,-200,-200,-200,-77,-200,-88,-200,-200,-200,-89,-91,-79,-84,-91,-200,-200,-200
1526454355935,-31,-35,-32,-48,-60,-62,-58,-52,-60,-69,-64,-59,-61,-70,-73,-200,-79,-200,-72,-82,-84,-83,-200,-81,-200,-83,-200,-81,-92,-82,-200,-81,-200,-77,-200,-88,-84,-200,-200,-89,-91,-79,-84,-91,-80,-200,-200
1526454358959,-31,-35,-32,-48,-60,-62,-58,-52,-60,-69,-64,-59,-61,-70,-73,-200,-79,-200,-72,-82,-84,-83,-200,-81,-200,-83,-200,-81,-92,-82,-200,-81,-200,-77,-200,-88,-84,-200,-200,-89,-91,-79,-84,-91,-80,-200,-200
1526454362006,-31,-35,-32,-48,-60,-62,-58,-52,-60,-69,-64,-59,-61,-70,-73,-200,-79,-200,-72,-82,-84,-83,-200,-81,-200,-83,-200,-81,-92,-82,-200,-81,-200,-77,-200,-88,-84,-200,-200,-89,-91,-79,-84,-91,-80,-200,-200
1526454365032,-34,-35,-32,-46,-60,-63,-62,-51,-62,-65,-63,-59,-58,-65,-69,-67,-81,-79,-70,-83,-81,-200,-200,-83,-200,-83,-200,-200,-200,-82,-200,-81,-200,-71,-200,-200,-84,-200,-200,-200,-200,-78,-200,-200,-84,-87,-93
1526454368068,-34,-35,-32,-46,-60,-63,-62,-51,-62,-65,-63,-59,-58,-65,-69,-67,-81,-79,-70,-83,-81,-200,-200,-83,-200,-83,-200,-200,-200,-82,-200,-81,-200,-71,-200,-200,-84,-200,-200,-200,-200,-78,-200,-200,-84,-87,-93
1526454371105,-34,-35,-32,-46,-60,-63,-62,-51,-62,-65,-63,-59,-58,-65,-69,-67,-81,-79,-70,-83,-81,-200,-200,-83,-200,-83,-200,-200,-200,-82,-200,-81,-200,-71,-200,-200,-84,-200,-200,-200,-200,-78,-200,-200,-84,-87,-93
1526454374139,-34,-35,-32,-46,-60,-63,-62,-51,-62,-65,-63,-59,-58,-65,-69,-67,-81,-79,-70,-83,-81,-200,-200,-83,-200,-83,-200,-200,-200,-82,-200,-81,-200,-71,-200,-200,-84,-200,-200,-200,-200,-78,-200,-200,-84,-87,-93
1526454377167,-32,-35,-32,-47,-61,-64,-59,-51,-58,-68,-64,-59,-59,-68,-73,-71,-200,-78,-70,-83,-84,-200,-200,-79,-200,-86,-200,-200,-200,-200,-200,-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-79,-200,-200,-85,-200,-200
