,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28
1526454502565,-50,-28,-43,-49,-58,-68,-64,-62,-64,-58,-55,-56,-72,-64,-76,-71,-76,-74,-71,-80,-200,-83,-200,-200,-81,-82,-200,-83,-200,-200,-74,-92,-200,-200,-200,-200,-84,-200
1526454505600,-50,-28,-43,-49,-58,-68,-64,-62,-64,-58,-55,-56,-72,-64,-76,-71,-76,-74,-71,-80,-200,-83,-200,-200,-81,-82,-200,-83,-200,-200,-74,-92,-200,-200,-200,-200,-84,-200
1526454508628,-50,-28,-43,-49,-58,-68,-64,-62,-64,-58,-55,-56,-72,-64,-76,-71,-76,-74,-71,-80,-200,-83,-200,-200,-81,-82,-200,-83,-200,-200,-74,-92,-200,-200,-200,-200,-84,-200
1526454511673,-51,-30,-43,-53,-56,-64,-58,-63,-59,-61,-59,-52,-72,-59,-72,-70,-200,-73,-74,-200,-200,-85,-200,-200,-81,-82,-91,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454514703,-55,-30,-54,-53,-56,-68,-56,-67,-59,-61,-59,-51,-72,-60,-72,-70,-200,-78,-74,-80,-200,-85,-200,-200,-80,-82,-91,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454517739,-55,-30,-54,-53,-56,-68,-56,-67,-59,-61,-59,-51,-72,-60,-72,-70,-200,-78,-74,-80,-200,-85,-200,-200,-80,-82,-91,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454520772,-55,-30,-54,-53,-56,-68,-56,-67,-59,-61,-59,-51,-72,-60,-72,-70,-200,-78,-74,-80,-200,-85,-200,-200,-80,-82,-91,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454523808,-57,-29,-44,-52,-57,-68,-62,-71,-60,-57,-60,-56,-71,-60,-72,-73,-81,-71,-200,-83,-200,-85,-200,-200,-81,-84,-83,-81,-92,-200,-200,-200,-200,-200,-200,-200,-200,-90
1526454526848,-54,-29,-44,-51,-57,-65,-58,-71,-60,-57,-60,-58,-71,-60,-72,-73,-81,-70,-80,-83,-200,-85,-200,-200,-81,-84,-83,-81,-92,-200,-200,-200,-200,-200,-200,-200,-200,-90
1526454529889,-54,-29,-44,-51,-57,-65,-58,-71,-60,-57,-60,-58,-71,-60,-72,-73,-81,-70,-80,-83,-200,-85,-200,-200,-81,-84,-83,-81,-92,-200,-200,-200,-200,-200,-200,-200,-200,-90
1526454532925,-54,-29,-44,-51,-57,-65,-58,-71,-60,-57,-60,-58,-71,-60,-72,-73,-81,-70,-80,-83,-200,-85,-200,-200,-81,-84,-83,-81,-92,-200,-200,-200,-200,-200,-200,-200,-200,-90
1526454535965,-50,-30,-44,-50,-58,-64,-61,-64,-59,-60,-58,-60,-70,-64,-71,-77,-80,-78,-81,-200,-200,-84,-83,-200,-200,-86,-200,-81,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200
