,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454184406,-24,-44,-44,-49,-57,-52,-60,-61,-57,-62,-59,-66,-55,-76,-200,-67,-59,-200,-61,-69,-71,-83,-86,-81,-200,-82,-200,-84,-75,-84,-86,-91,-86,-89,-200,-200,-200,-200
1526454187444,-24,-44,-44,-49,-57,-52,-60,-61,-57,-62,-59,-66,-55,-76,-200,-67,-59,-200,-61,-69,-71,-83,-86,-81,-200,-82,-200,-84,-75,-84,-86,-91,-86,-89,-200,-200,-200,-200
1526454190477,-24,-44,-44,-49,-57,-52,-60,-61,-57,-62,-59,-66,-55,-76,-200,-67,-59,-200,-61,-69,-71,-83,-86,-81,-200,-82,-200,-84,-75,-84,-86,-91,-86,-89,-200,-200,-200,-200
1526454193523,-27,-44,-43,-47,-53,-54,-60,-62,-54,-63,-60,-66,-47,-75,-200,-67,-59,-200,-60,-70,-69,-200,-81,-200,-200,-82,-200,-200,-77,-84,-200,-200,-200,-89,-80,-91,-200,-200
1526454196553,-27,-44,-46,-47,-57,-53,-60,-61,-55,-64,-51,-66,-47,-73,-200,-64,-59,-82,-61,-70,-69,-200,-80,-200,-200,-82,-200,-200,-77,-84,-200,-200,-200,-89,-78,-91,-200,-200
1526454199590,-27,-44,-46,-47,-57,-53,-60,-61,-55,-64,-51,-66,-47,-73,-200,-64,-59,-82,-61,-70,-69,-200,-80,-200,-200,-82,-200,-200,-77,-84,-200,-200,-200,-89,-78,-91,-200,-200
1526454202613,-27,-44,-46,-47,-57,-53,-60,-61,-55,-64,-51,-66,-47,-73,-200,-64,-59,-82,-61,-70,-69,-200,-80,-200,-200,-82,-200,-200,-77,-84,-200,-200,-200,-89,-78,-91,-200,-200
1526454205645,-27,-44,-44,-47,-60,-54,-78,-59,-53,-68,-64,-69,-51,-73,-200,-64,-60,-79,-63,-72,-200,-200,-80,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200
1526454208680,-27,-44,-44,-47,-58,-53,-78,-59,-55,-64,-61,-65,-52,-74,-200,-71,-59,-79,-60,-70,-200,-200,-83,-200,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200
1526454211707,-27,-44,-44,-47,-58,-53,-78,-59,-55,-64,-61,-65,-52,-74,-200,-71,-59,-79,-60,-70,-200,-200,-83,-200,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200
1526454214739,-27,-44,-44,-47,-58,-53,-78,-59,-55,-64,-61,-65,-52,-74,-200,-71,-59,-79,-60,-70,-200,-200,-83,-200,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200
1526454217760,-25,-41,-43,-47,-58,-51,-200,-59,-54,-64,-58,-66,-48,-73,-71,-67,-59,-82,-61,-71,-200,-200,-83,-84,-85,-81,-200,-200,-200,-200,-86,-200,-200,-200,-82,-200,-85,-91
