,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526455829037,-90,-200,-86,-70,-64,-200,-200,-77,-200,-84,-200,-83,-200,-75,-85,-66,-200,-200
1526455830082,-200,-79,-200,-200,-68,-200,-200,-200,-200,-91,-200,-200,-200,-84,-91,-200,-95,-200
1526455831164,-200,-200,-200,-200,-200,-200,-76,-200,-200,-81,-200,-200,-200,-200,-200,-73,-200,-200
1526455832258,-200,-82,-91,-200,-70,-200,-200,-200,-94,-200,-200,-200,-200,-86,-200,-77,-200,-200
1526455833344,-200,-80,-77,-200,-66,-200,-200,-84,-200,-200,-85,-200,-200,-78,-200,-67,-200,-200
1526455834574,-87,-82,-200,-200,-65,-200,-68,-73,-200,-200,-84,-75,-200,-85,-93,-72,-200,-200
1526455836650,-82,-81,-200,-68,-200,-200,-74,-79,-200,-200,-200,-79,-200,-68,-200,-200,-200,-200
1526455837746,-80,-200,-200,-79,-67,-81,-74,-82,-200,-88,-78,-200,-200,-70,-200,-78,-200,-200
1526455838908,-200,-79,-200,-200,-69,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455841039,-200,-200,-200,-200,-68,-200,-73,-83,-200,-85,-77,-200,-200,-200,-200,-73,-200,-200
1526455842172,-78,-200,-86,-200,-70,-200,-80,-81,-200,-86,-200,-200,-200,-200,-200,-200,-200,-93
1526455843271,-73,-78,-83,-200,-67,-200,-200,-200,-84,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526455844330,-75,-200,-82,-73,-200,-200,-200,-74,-200,-87,-77,-89,-200,-71,-91,-200,-200,-200
1526455845454,-72,-200,-200,-72,-200,-200,-82,-81,-200,-200,-200,-84,-200,-73,-200,-66,-200,-200
1526455845597,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-76,-200,-200,-200,-200,-72,-200,-200
1526455846667,-77,-73,-200,-78,-200,-200,-200,-92,-87,-90,-200,-200,-200,-73,-200,-68,-94,-200
1526455847785,-72,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
