,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WIFI_RTT_08,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_03,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_06,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WIFI_RTT_07
1540968486287,-40,-29,-48,-33,-43,-39,-35,-50,-53,-60,-50,-200,-56,-45,-61,-57,-69,-63,-67,-68,-64,-55,-60,-57,-61,-62,-77,-79,-200,-200,-70,-76,-200,-77,-86,-83,-76,-82,-84,-84,-200,-83,-200,-64,-86,-49,-42,-56,-59,-55,-71,-84,-81,-87,-50,-62,-39,-84,-54,-60,-62,-77,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968489305,-40,-29,-48,-33,-43,-39,-35,-50,-53,-60,-50,-200,-56,-45,-61,-57,-69,-63,-67,-68,-200,-55,-60,-57,-61,-62,-77,-79,-200,-200,-70,-76,-200,-77,-86,-83,-76,-82,-84,-84,-200,-83,-200,-200,-200,-49,-42,-56,-59,-55,-71,-84,-81,-87,-50,-62,-39,-84,-54,-60,-62,-77,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968492329,-40,-33,-48,-36,-43,-39,-33,-50,-53,-60,-53,-60,-56,-45,-61,-57,-64,-63,-67,-68,-66,-56,-60,-63,-64,-66,-74,-77,-200,-200,-70,-79,-200,-81,-84,-85,-76,-86,-84,-80,-200,-78,-200,-200,-200,-49,-42,-56,-60,-52,-71,-84,-81,-87,-50,-62,-39,-84,-51,-60,-58,-77,-90,-54,-71,-200,-200,-200,-200,-200,-200,-200
1540968495354,-40,-33,-48,-36,-43,-39,-33,-50,-53,-60,-53,-60,-56,-45,-61,-57,-64,-63,-67,-68,-66,-56,-60,-63,-64,-66,-74,-77,-200,-200,-70,-79,-200,-81,-84,-85,-76,-86,-84,-80,-200,-78,-200,-200,-200,-49,-42,-56,-60,-52,-71,-84,-81,-87,-50,-62,-39,-84,-51,-60,-58,-77,-90,-54,-71,-200,-200,-200,-200,-200,-200,-200
1540968498376,-200,-30,-35,-37,-43,-42,-35,-49,-58,-56,-50,-57,-56,-45,-61,-57,-64,-63,-65,-200,-64,-56,-59,-63,-64,-66,-77,-77,-200,-200,-71,-81,-200,-77,-84,-85,-76,-85,-86,-79,-200,-79,-200,-200,-200,-56,-44,-200,-60,-52,-200,-84,-200,-80,-50,-62,-39,-84,-51,-60,-58,-77,-90,-58,-71,-55,-75,-200,-200,-200,-200,-200
1540968501397,-200,-30,-35,-37,-43,-42,-35,-49,-58,-56,-50,-57,-56,-45,-61,-57,-64,-63,-65,-200,-64,-56,-59,-63,-64,-66,-77,-77,-200,-200,-71,-81,-200,-77,-84,-85,-76,-85,-86,-79,-200,-79,-200,-200,-200,-56,-44,-200,-60,-52,-200,-84,-200,-80,-50,-62,-39,-84,-51,-60,-58,-77,-90,-58,-71,-55,-75,-200,-200,-200,-200,-200
1540968504422,-200,-38,-33,-37,-43,-42,-38,-56,-60,-57,-50,-57,-56,-44,-62,-57,-64,-63,-65,-64,-65,-56,-60,-63,-68,-66,-74,-77,-200,-200,-68,-80,-200,-73,-81,-88,-76,-85,-85,-82,-200,-81,-200,-200,-200,-52,-47,-56,-60,-61,-200,-84,-200,-80,-200,-64,-39,-84,-51,-60,-58,-77,-90,-58,-71,-55,-75,-67,-200,-200,-200,-200
1540968507448,-200,-38,-33,-37,-43,-42,-38,-56,-60,-57,-50,-57,-56,-44,-62,-57,-64,-63,-65,-64,-65,-56,-60,-63,-68,-66,-74,-77,-200,-200,-68,-80,-200,-73,-81,-88,-76,-85,-85,-82,-200,-81,-200,-200,-200,-52,-47,-56,-60,-61,-200,-84,-200,-80,-200,-64,-39,-84,-51,-60,-58,-77,-90,-58,-71,-55,-75,-67,-200,-200,-200,-200
1540968510472,-200,-35,-33,-35,-43,-37,-36,-52,-62,-57,-50,-57,-53,-44,-71,-57,-66,-61,-65,-64,-65,-58,-60,-63,-65,-66,-74,-76,-200,-200,-68,-77,-200,-73,-81,-88,-78,-81,-85,-82,-200,-79,-200,-200,-200,-50,-43,-54,-58,-61,-200,-84,-200,-80,-200,-64,-39,-84,-51,-60,-58,-77,-90,-58,-71,-55,-75,-67,-58,-76,-200,-200
1540968513503,-200,-35,-33,-35,-43,-37,-36,-52,-62,-57,-50,-57,-53,-44,-71,-57,-66,-61,-65,-64,-65,-58,-60,-63,-65,-66,-74,-76,-200,-200,-68,-77,-200,-73,-81,-88,-78,-81,-85,-82,-200,-79,-200,-200,-200,-50,-43,-54,-58,-61,-200,-84,-200,-80,-200,-64,-39,-84,-51,-60,-58,-77,-90,-58,-71,-55,-75,-67,-58,-76,-200,-200
1540968516524,-200,-32,-33,-35,-43,-36,-36,-52,-62,-55,-50,-57,-53,-45,-71,-57,-66,-61,-68,-63,-65,-58,-62,-67,-66,-67,-74,-76,-200,-200,-68,-77,-200,-73,-81,-88,-74,-84,-85,-82,-200,-77,-200,-200,-200,-52,-43,-54,-58,-61,-200,-200,-200,-76,-200,-64,-200,-84,-51,-200,-58,-200,-200,-58,-71,-55,-75,-67,-58,-76,-77,-200
1540968519547,-200,-32,-33,-35,-43,-36,-36,-52,-62,-55,-50,-57,-53,-45,-71,-57,-66,-61,-68,-63,-65,-58,-62,-67,-66,-67,-74,-76,-200,-200,-68,-77,-200,-73,-81,-88,-74,-84,-85,-82,-200,-77,-200,-200,-200,-52,-43,-54,-58,-61,-200,-200,-200,-76,-200,-64,-200,-84,-51,-200,-58,-200,-200,-58,-71,-55,-75,-67,-58,-76,-77,-200
1540968522570,-200,-36,-33,-35,-46,-35,-37,-48,-62,-50,-50,-57,-59,-44,-67,-57,-66,-62,-66,-65,-63,-58,-61,-63,-65,-66,-72,-75,-200,-200,-68,-77,-200,-76,-83,-86,-78,-82,-86,-80,-200,-77,-200,-66,-200,-52,-45,-54,-58,-61,-75,-200,-200,-76,-200,-66,-200,-84,-200,-200,-55,-200,-200,-58,-200,-55,-75,-67,-58,-73,-77,-62
