,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WIFI_RTT_03,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WIFI_RTT_07,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WIFI_RTT_08,D-Link_DIR-823Pro,WIFI_RTT_06,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1540968838169,-35,-32,-45,-37,-37,-37,-42,-52,-200,-49,-200,-200,-47,-52,-58,-63,-200,-54,-54,-44,-50,-200,-200,-56,-57,-47,-57,-56,-64,-62,-69,-72,-72,-200,-70,-200,-68,-200,-66,-75,-200,-200,-71,-200,-61,-200,-74,-77,-200,-80,-67,-81,-200,-81,-82,-79,-200,-200,-75,-84,-88,-88,-83,-88,-87,-88,-200,-60,-69,-66,-87,-56,-61,-63,-53,-84,-200,-200,-200,-200,-200,-200,-200,-200
1540968841195,-35,-36,-45,-37,-37,-37,-42,-52,-200,-49,-200,-200,-47,-52,-58,-63,-200,-54,-54,-44,-50,-200,-200,-56,-57,-47,-57,-56,-64,-62,-69,-72,-72,-200,-70,-200,-68,-200,-66,-75,-200,-200,-71,-200,-61,-200,-74,-77,-200,-80,-67,-81,-200,-81,-82,-79,-200,-200,-75,-84,-88,-88,-83,-88,-87,-88,-200,-60,-69,-66,-87,-56,-61,-63,-53,-84,-200,-200,-200,-200,-200,-200,-200,-200
1540968844225,-35,-35,-45,-37,-37,-37,-41,-52,-200,-49,-200,-200,-47,-55,-58,-63,-200,-54,-54,-44,-50,-200,-200,-57,-58,-45,-57,-58,-64,-64,-69,-72,-70,-77,-70,-200,-68,-200,-63,-78,-69,-200,-71,-200,-61,-200,-74,-73,-200,-76,-67,-81,-200,-81,-82,-82,-200,-200,-75,-200,-88,-86,-83,-88,-86,-200,-200,-60,-200,-67,-87,-56,-61,-63,-53,-84,-200,-200,-200,-200,-200,-200,-200,-200
1540968847258,-35,-30,-45,-37,-37,-37,-41,-52,-200,-49,-200,-200,-47,-55,-58,-63,-200,-54,-54,-44,-50,-200,-200,-57,-58,-45,-57,-58,-64,-64,-69,-72,-70,-77,-70,-200,-68,-200,-63,-78,-69,-200,-71,-200,-61,-200,-74,-73,-200,-76,-67,-81,-200,-81,-82,-82,-200,-200,-75,-200,-88,-86,-83,-88,-86,-200,-200,-60,-200,-67,-87,-56,-61,-63,-53,-84,-200,-200,-200,-200,-200,-200,-200,-200
1540968850287,-36,-34,-45,-37,-37,-35,-37,-52,-200,-49,-200,-200,-47,-56,-54,-61,-200,-200,-57,-45,-49,-200,-200,-57,-61,-51,-56,-58,-200,-61,-68,-70,-70,-77,-72,-200,-69,-200,-62,-75,-69,-200,-71,-200,-58,-200,-77,-77,-200,-76,-63,-80,-200,-79,-82,-80,-200,-200,-200,-200,-88,-86,-83,-88,-86,-200,-200,-60,-200,-67,-85,-56,-57,-63,-53,-84,-68,-70,-200,-200,-200,-200,-200,-200
1540968853313,-36,-35,-45,-37,-37,-35,-37,-52,-200,-49,-200,-200,-47,-56,-54,-61,-200,-200,-57,-45,-49,-200,-200,-57,-61,-51,-56,-58,-200,-61,-68,-70,-70,-77,-72,-200,-69,-200,-62,-75,-69,-200,-71,-200,-58,-200,-77,-77,-200,-76,-63,-80,-200,-79,-82,-80,-200,-200,-200,-200,-88,-86,-83,-88,-86,-200,-200,-60,-200,-67,-85,-56,-57,-63,-53,-84,-68,-70,-200,-200,-200,-200,-200,-200
1540968856351,-32,-30,-42,-39,-37,-35,-37,-50,-200,-49,-200,-200,-47,-54,-54,-61,-58,-200,-53,-45,-51,-200,-200,-57,-60,-51,-55,-58,-65,-61,-69,-71,-71,-77,-72,-200,-71,-200,-62,-78,-67,-200,-71,-200,-58,-200,-77,-73,-200,-76,-61,-80,-200,-79,-82,-81,-200,-200,-200,-200,-88,-87,-83,-88,-86,-200,-200,-200,-200,-67,-85,-200,-57,-200,-53,-84,-68,-70,-66,-85,-200,-200,-200,-200
1540968859383,-32,-33,-42,-39,-37,-35,-37,-50,-200,-49,-200,-200,-47,-54,-54,-61,-58,-200,-53,-45,-51,-200,-200,-57,-60,-51,-55,-58,-65,-61,-69,-71,-71,-77,-72,-200,-71,-200,-62,-78,-67,-200,-71,-200,-58,-200,-77,-73,-200,-76,-61,-80,-200,-79,-82,-81,-200,-200,-200,-200,-88,-87,-83,-88,-86,-200,-200,-200,-200,-67,-85,-200,-57,-200,-53,-84,-68,-70,-66,-85,-200,-200,-200,-200
1540968862411,-38,-31,-42,-41,-37,-35,-37,-53,-200,-49,-200,-200,-47,-54,-54,-61,-58,-200,-60,-45,-51,-67,-200,-57,-59,-51,-55,-58,-65,-61,-69,-71,-71,-77,-73,-200,-70,-200,-66,-78,-70,-200,-69,-200,-58,-200,-77,-79,-200,-77,-61,-80,-200,-79,-85,-81,-200,-200,-200,-200,-88,-87,-85,-88,-86,-200,-200,-200,-200,-67,-85,-57,-55,-62,-53,-84,-68,-71,-66,-85,-50,-70,-200,-200
1540968865445,-38,-38,-42,-41,-37,-35,-37,-53,-200,-49,-200,-200,-47,-54,-54,-61,-58,-200,-60,-45,-51,-67,-200,-57,-59,-51,-55,-58,-65,-61,-69,-71,-71,-77,-73,-200,-70,-200,-66,-78,-70,-200,-69,-200,-58,-200,-77,-79,-200,-77,-61,-80,-200,-79,-85,-81,-200,-200,-200,-200,-88,-87,-85,-88,-86,-200,-200,-200,-200,-67,-85,-57,-55,-62,-53,-84,-68,-71,-66,-85,-50,-70,-200,-200
1540968868474,-38,-32,-42,-41,-37,-35,-37,-51,-200,-49,-200,-200,-47,-54,-54,-61,-58,-200,-60,-45,-51,-67,-200,-61,-63,-51,-58,-58,-65,-61,-69,-71,-71,-62,-65,-200,-70,-200,-58,-78,-70,-200,-69,-200,-58,-200,-73,-75,-200,-76,-61,-79,-200,-83,-85,-80,-200,-200,-200,-200,-86,-87,-85,-85,-86,-200,-200,-200,-200,-67,-85,-57,-55,-62,-200,-200,-68,-71,-66,-85,-50,-70,-200,-200
1540968871505,-38,-36,-42,-41,-37,-35,-37,-51,-200,-49,-200,-200,-47,-54,-54,-61,-58,-200,-60,-45,-51,-67,-200,-61,-63,-51,-58,-58,-65,-61,-69,-71,-71,-62,-65,-200,-70,-200,-58,-78,-70,-200,-69,-200,-58,-200,-73,-75,-200,-76,-61,-79,-200,-83,-85,-80,-200,-200,-200,-200,-86,-87,-85,-85,-86,-200,-200,-200,-200,-67,-85,-57,-55,-62,-200,-200,-68,-71,-66,-85,-50,-70,-200,-200
1540968874536,-38,-38,-40,-37,-37,-38,-41,-48,-200,-49,-200,-200,-47,-54,-58,-61,-58,-200,-60,-45,-51,-67,-200,-60,-61,-51,-62,-55,-65,-58,-66,-71,-73,-61,-65,-200,-66,-200,-62,-78,-72,-200,-69,-200,-58,-200,-71,-75,-200,-79,-63,-80,-91,-82,-85,-79,-86,-200,-200,-200,-86,-87,-84,-85,-86,-88,-200,-200,-200,-67,-85,-50,-55,-62,-200,-200,-68,-71,-66,-85,-50,-70,-52,-67
